"Plant.Code","Unit","Generator.ID","Cooling.ID","January.Condenser.Duty","February.Condenser.Duty","March.Condenser.Duty","April.Condenser.Duty","May.Condenser.Duty","June.Condenser.Duty","July.Condenser.Duty","August.Condenser.Duty","September.Condenser.Duty","October.Condenser.Duty","November.Condenser.Duty","December.Condenser.Duty"
1715,1,"1","CW",4340441.636,3925259.348,4341543.712,4210243.968,4303195.388,4145910.472,4256219.864,4204607.492,1810106.944,1509836.512,4212755.2,4349698.392
1729,2,"2","N71",5803164.112,5247690.216,3384904.292,4941669.456,5786077.368,5547101.868,5730568.792,5716559.9,2208559.252,0,305603.656,5805767.468
1922,1,"1","CS1",3178007.708,2892808.736,3203874.388,1087727.052,39288.708,2904663.332,3261915.212,3311827.564,3205307.556,3343664.352,2460600.46,3272593.448
1925,1,"1","0",2356042.48,1450814.56,2805270.88,547896.6,1839176.84,2412656.96,2758369.24,2775001.96,2693503.4,2803087.2,2699369.4,2796092.6
1925,1,"2","0",2733265.92,2470287.8,726789.8,2339452.08,2658811.2,1976308.76,2644899.8,2659766.56,2581153.8,1387217.32,0,613896.96
2289,1,"1","1",2465088.112,2226507.424,2447862.984,812763.832,0,1473503.624,1644271.008,2403563.96,2339438.432,2461037.392,2391678.932,2465934.288
2388,1,"1","535",3148993.28,2845560.512,2572846.216,3028862.592,2304131.136,2951235.232,3003177.612,2997500.956,2939005.076,3115797.492,2939052.844,3134092.4
2410,1,"1","NSS1",5560718.44,4977165.888,3155792.72,5100977.532,5483739.104,5270864.424,5326277.912,5415850.54,5266012.56,5473314.24,5100823.992,5545798.164
2410,1,"2","NSS2",5672364.348,5003677.528,5677137.736,5489427.148,5706078.32,5497927.116,5619705.28,4831519.16,5475572.524,3998416.356,0,5289979.436
2497,2,"2","CW",5461346.1,4938321.044,5468586.364,5289111.56,5426125.24,5168036.012,5282591.96,5263006.496,5133339.86,5411731.78,5256586.172,4793341.852
2589,1,"1","U1",3099573.596,2746327.04,1349481.808,1749408.952,3068717.028,2955672.604,2995350.28,2994968.136,2564965.048,3093854.54,2992088.572,3094513.6
2589,1,"2","U2",1404550,1037251.812,1408200.796,1359741.436,1383331.524,1344135.696,1381593.272,1368336.3,1312947.636,1403647.6,1360810.856,1391482.556
2589,2,"1","U1",8382884.596,7427310.04,3650955.808,4732600.952,8301631.028,7995397.604,8102271.28,8101889.136,6938145.048,8368765.54,8151032.572,8409556.6
2589,2,"2","U2",6685457,4911794.812,6669657.796,6443603.436,6555335.524,6368974.696,6541398.272,6479349.3,6215805.636,6648840.6,6448607.856,6596014.556
3166,2,"2","PLANT",4851822.656,4368608.096,4843390.384,5010626.152,5193447.612,5002951.668,5176487.532,5146910.848,5118944.4,5436813.476,5225372.268,4803893.796
3166,2,"3","PLANT",4686201.244,3990105.796,4630165.768,4547666.74,4573540.016,4366145.328,4451394.068,4117338.956,2358125.324,1248317.772,4624979.648,5300787.224
3251,2,"2","2",3755160.496,3390956.592,3722829.788,3547169.792,1299736.172,484886.144,3516156.316,3516258.676,3460044.372,3665604.928,2104838.916,3719760.592
3265,1,"1","1CCW",4201504.148,3801626.796,4229900.164,4092820.36,4214658.084,4060018.192,4162860.308,4126029.24,3992882.764,4177723.656,3987143.264,4196642.96
3265,1,"2","2CCW",4215642.104,3808242.632,4211441.932,4074211.676,4216624.76,4093032.268,3846958.152,4147472.512,4041181.888,2155242.168,2527207.3,4207883.216
3265,1,"3","3CCW",4066788.492,3415660.072,4115292.076,3986710.456,4115691.28,3961417.3,4062647.928,4017429.496,3881467.316,4062835.588,3974123.588,4107647.992
3806,1,"1","CW1",4238993.8,3759320.808,4251167.816,2276583.168,295932.956,4041915.468,2626901.736,4167056.156,4082426.376,1759055.096,1643289.188,4242426.272
