"Plant.Code","January.Condenser.Duty","February.Condenser.Duty","March.Condenser.Duty","April.Condenser.Duty","May.Condenser.Duty","June.Condenser.Duty","July.Condenser.Duty","August.Condenser.Duty","September.Condenser.Duty","October.Condenser.Duty","November.Condenser.Duty","December.Condenser.Duty"
46,17395544.824,15652122.852,13640181.872,14161160.896,16716931.424,16327948.604,16742723.764,16618449.348,15761120.892,17224297.932,15596482.12,15397089.94
204,4844722.208,5255170.976,5781712.276,4687586.928,2351324.132,5612144.36,5798222.176,5771274.676,5576135.588,5824581.812,5660687.868,5849461.64
210,5863200.952,5131050.7,0,0,4997549.692,5630156.08,5778999.024,5790369.396,5643914.812,5878483.3,5671965.896,5860621.48
371,5761323,5198446.72,5666447.24,5399170.76,1309800.72,196304.52,4031505.08,5754436.04,5649316.6,5830576.12,5522852.04,5810104.12
566,20911921.064,18864654.216,20864197.704,18743560.728,20838114.312,20199682.728,20780175.456,20698304.88,19982584.424,10397962.576,16113190.08,20761796.728
621,8871372.936,8049036.98,8451051.684,8241115.228,7265909.084,8369417.14,8641472.776,8638150.548,8468686.836,6922536.3,4348134.84,8169739.108
649,12095010.224,10919903.208,11374384.448,11723483.36,11790565.04,11564786.212,11916962.708,11949672.536,9450030.228,7245658.5,11737788.42,12141717.092
869,9472273.72,7997293.8,10020352.932,9625528.864,9710258.2,9485555.468,9901080.908,9853460.516,9529779.368,9643344.776,6337575.552,8943689.596
880,10019547.388,9048177.332,6407738.24,9162994.24,10009731.084,9594138.956,9864017.536,9869020.88,9160278.288,10030749.588,9731869.216,10023025.78
1060,2932245.504,2890393.944,3172575.26,3071747.356,3046272.584,2990282.444,3051155.7,3115182.716,3019127.62,3125208.26,3076830.62,3192538.636
1590,2818168.772,1663937.224,3323494.984,1988777.756,713015.88,3130843.976,3303900.104,2909742.172,3194167.684,3277588.82,3225012.364,3295054.612
1715,4340441.636,3925259.348,4341543.712,4210243.968,4303195.388,4145910.472,4256219.864,4204607.492,1810106.944,1509836.512,4212755.2,4349698.392
1729,5803164.112,5247690.216,3384904.292,4941669.456,5786077.368,5547101.868,5730568.792,5716559.9,2208559.252,0,305603.656,5805767.468
1922,3178007.708,2892808.736,3203874.388,1087727.052,39288.708,2904663.332,3261915.212,3311827.564,3205307.556,3343664.352,2460600.46,3272593.448
1925,5089308.4,3921102.36,3532060.68,2887348.68,4497988.04,4388965.72,5403269.04,5434768.52,5274657.2,4190304.52,2699369.4,3409989.56
2289,2465088.112,2226507.424,2447862.984,812763.832,0,1473503.624,1644271.008,2403563.96,2339438.432,2461037.392,2391678.932,2465934.288
