"Plant.Code","CD_january","CD_february","CD_march","CD_april","CD_may","CD_june","CD_july","CD_august","CD_september","CD_october","CD_november","CD_december","percentAllocation","cooling"
46,3449609.608,3112234.1184,2708009.8128,2803699.6144,3307711.7968,3218119.6336,3285402.9504,3268641.8872,3120076.4384,3417032.6312,3085885.6616,3060929.3336,20,"tower"
371,5716942.816,5160267.62,5625486.588,5354161.464,1271722.256,137259.02,3972562.428,5720005.54,5631421.412,5834791.324,5496712.696,5877496.512,100,"tower"
649,12084833.152,10923922.612,11211228.032,11560218.288,11620175.24,11394140.488,11730188.6,11760709.712,9291628.348,7039439.26,11630410.356,11995284.616,100,"tower"
869,1335906.5424,1127768.3568,1412434.674,1357530.2802,1369077.468,1337929.0008,1395929.7954,1389743.331,1344448.7832,1349838.2472,894374.7192,1262186.4474,15,"tower"
1060,2861674.396,2835699.224,3102813.96,3000123.328,2970627.056,2950388.716,2972842.788,3038351.356,2945459.568,3050747.18,3003015.572,3119414.764,100,"tower"
1715,4160417.788,3751846.42,4160138.24,4000931.18,4053386.576,3897358.676,4004944.556,3953972.376,1679883.884,1417829.468,3990052.472,4131031.564,100,"tower"
1729,5868916.072,5289835.44,3342414.304,4907280.512,5734890.256,5473096.224,5657663.356,5639216.272,2131618.816,15360.824,250020.676,5857176.616,100,"tower"
1922,948991.0428,861843.7524,954693.4848,320717.2044,5058.3564,859080.9636,965564.8248,980464.5744,949348.0164,1010697.246,732796.8492,977318.1348,30,"tower"
1925,256707.474,197269.2284,170554.7332,144006.4424,223255.1602,215870.8242,268996.8832,270320.2556,263381.0804,208564.8248,136175.0562,167728.8628,5,"tower"
2589,6596312.28,4846291.352,6581728.236,6361429.336,6471688.344,6287210.136,6453370.472,6392730.62,6131694.656,6561783.2,6366318.196,6513491.516,100,"tower"
3166,1188669.502,1040386.3016,1180320.4132,1189830.4284,1215469.7036,1166100.7616,1198290.2548,1151166.72,924454.574,823863.0892,1238602.4,1260617.8952,10,"tower"
6001,9143640.956,8261372.86,8291340.284,4416142.488,6551637.008,8661848.696,8897598.776,8934438.9,8698933.488,9057230.312,7688916.34,9105932.716,100,"tower"
6008,20331409.24,18343141.972,20291302.012,13720171.956,18899357.812,19479620.988,20132826.488,20024768.476,19419617.36,15348864.544,15981009.284,20416062.528,100,"tower"
6015,4900709.464,4446341.692,4868902.148,103215.828,2282621.276,4592311.344,4752073.072,4762574.96,4629739.056,4833819.38,4735020.28,4814928.656,100,"tower"
6020,6381284.468,5397352.54,1367875.74,912605.952,6450416.816,6173977.328,6390918.24,6399984.568,6101227.588,6484966.04,6305117.288,6471592.052,100,"tower"
6023,12099793.036,10895658.5,10460304.276,11530790.796,11835831.908,11491483.884,11831714.872,11854360.548,7968755.084,10783757.592,10359031.02,12020952.728,100,"tower"
6036,11869922.756,10530298.352,5904964.056,10385367.296,11752198.052,11288202.896,11623737.608,11528950.904,11301431.956,11774548.464,9496331.14,8262541.648,100,"tower"
6040,9560587.404,8626465.256,9514339.992,7094794.268,5669922.6,8682893.74,9326676.236,9343201.872,8033654.94,4810477.048,9206277.424,9530223.016,100,"tower"
6051,8285664.864,5098006.992,6588189.236,8574022.636,9012521.14,8635380.268,8907218.792,8753966.7,8490491.46,9047466.348,8789658.18,8939888.816,100,"tower"
6072,7040532.88,4007077.752,7230768.064,6663461.768,7163933.004,6641828.156,7046010.308,6864978.032,6614909.7,7173287.228,6748435.872,6901257.1,100,"tower"
6103,13185369.632,11866401.656,13363940.528,8313835.624,7269665.236,12356371.004,12788039.056,12774637.556,12288646.704,12884629.792,10696069.092,13001589.06,100,"tower"
6105,11978403.284,9992344.38,11093195.288,7460345.04,9829233.012,11252340.936,11551275.764,11589516.568,11135504.492,11787149.648,11533785.72,10236936.264,100,"tower"
6118,6272517.024,5672581.972,6243704.632,1852245.816,3353127.94,5856170.94,6064477.368,6074069.872,5357996.992,5735055.328,5683959.344,6168951.888,100,"tower"
6149,4664001.364,4209373.208,4646989.84,4493170.304,4047951.396,4470217.568,4612290.28,4616289.9,4395820.52,4646819.36,4501525.24,4668671.108,100,"tower"
6152,5865223.512,5331946.652,4313734.976,3495132.362,4216983.342,5586090.262,5065095.984,4972008.908,4915525.89,5707069.784,3649690.312,3328157.954,50,"tower"
6153,6230206.84,5145546.996,6259853.448,6024718.468,6175932.676,5904155.564,5361996.612,5735014.06,5951545.232,6239458.384,6067731.696,6286102.76,100,"tower"
6462,4420933.964,3346967.612,103797.028,4697313.02,4743929.884,2801554.332,4527144.716,4906780.868,4682530.004,4966874.4,3892169.144,4196929.728,100,"tower"
7722,5949473.448,3876067.004,5359808.392,5623291.98,5765898.236,5431880.64,5488945.348,5621384.288,3342044.852,1275606.42,4157122.192,5878085.08,100,"tower"
8011,4318325.868,3891492.632,4303783.092,4156917.812,3353880.6,4062425.392,3950334.84,4193217.024,4060845.884,3942362.132,577180.308,4302203.584,100,"tower"
8055,5125855.956,4631694.404,5110034.344,4928584.96,5073926.736,4869845.432,4970907.92,4882542.908,3040006.032,7049.192,2322401.3,5116289.984,100,"tower"
46,17248048.04,15561170.592,13540049.064,14018498.072,16538558.984,16090598.168,16427014.752,16343209.436,15600382.192,17085163.156,15429428.308,15304646.668,100,"tower"
869,8906043.616,7518455.712,9416231.16,9050201.868,9127183.12,8919526.672,9306198.636,9264955.54,8962991.888,8998921.648,5962498.128,8414576.316,100,"tower"
1922,3163303.476,2872812.508,3182311.616,1069057.348,16861.188,2863603.212,3218549.416,3268215.248,3164493.388,3368990.82,2442656.164,3257727.116,100,"tower"
1925,5134149.48,3945384.568,3411094.664,2880128.848,4465103.204,4317416.484,5379937.664,5406405.112,5267621.608,4171296.496,2723501.124,3354577.256,100,"tower"
