param,mx,mn,med,mean,num_nans
rh_avg,100.0,7.2000003,68.05,65.15124907054086,False
air_tmp_C_avg,40.30002,-35.600006,15.100006,13.472843433904096,False
open_wtr_et_mm,14.174999,0.0,3.4649997000000003,3.5808359464718755,False
wb_tmp_C,28.651455,-35.033325,10.983623000000001,9.70426647373231,False
rh_max,100.0,10.900001,91.3,86.86561174777052,False
rh_min,100.0,3.0,45.0,43.43688612612347,False
sp_h_kg_kg,0.02455,0.00012,0.00665,0.0075439503816766285,False
air_tmn_K,305.2,230.0,281.8,280.64932583325185,False
air_tmx_K,322.6,242.9,294.7,292.59634902518155,False
precip_mm,166.7,0.0,0.0,2.853822698713074,False
wnd_spd_m_s,17.5,0.3,3.7,3.9710380454662,False
wnd_dir_dg_clk_frm_N,359.0,0.0,201.0,196.54733495390272,False
ref_et_gr_mm,13.5,0.0,3.3,3.4103200492669656,False
ref_et_alf_mm,20.7,0.0,4.4,4.561244729370413,False
sur_rad_Wm2,445.1,14.0,185.5,187.73591014960388,False
vpdef_kPa,7.16,0.0,0.68,0.793445994427604,False
