"Plant.Code","Elevation","pond_area","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Tdb","Twb","nwT"
116,1180,1e+06,51067,25827,35415,43555,0,122059,35500,121101,79054,43335,55187,63192,9,13,15,17,19,28,28,28,25,19,11,7,4,6,7,7,10,15,18,19,17,13,5,2,9.850046155,12.50941219,13.99181228,16.90986549,18.25473731,18.90892971,22.0661109,21.33599459,20.51893725,19.26692867,12.9015959,8.975991323,4,4,5,6,7,7,7,6,5,5,5,4,96.68488697,75.06482624,30.49
117,1060,1e+06,251888,210216,207640,291326,97031,512283,551684,849342,926029,723188,755752,844499,7,11,14,15,18,27,26,27,24,18,9,5,3,5,6,6,9,14,17,18,16,12,3,0,10.01451405,12.65970133,14.01470558,16.8961384,18.00467571,18.93056363,22.04063126,21.29681,20.52001986,19.13302831,13.04563351,9.114119033,4,4,5,6,6,6,7,6,5,5,5,4,96.65957508,75.28778524,30.49
120,121,1e+06,31959,118561,148457,189909,178721,116059,152387,138792,117698,146423,146563,186165,13,17,20,20,22,30,30,33,30,25,15,11,8,10,11,11,14,18,19,20,20,16,8,5,12.23448178,15.23286989,14.93850222,17.28603402,17.04906884,19.02911114,22.11136056,21.28929139,21.33524225,18.02698348,15.29097253,11.88469085,6,6,6,8,8,8,8,8,7,7,7,7,95.17238764,77.85301666,30.49
126,2610,1e+06,285204,219383,255453,233348,244471,446940,450313,719792,299797,398083,346115,302305,13,16,19,20,22,32,30,31,28,23,15,11,7,9,10,9,11,17,20,20,19,15,7,4,10.18426231,12.89063355,14.19803988,16.58747625,17.77812019,18.89016417,22.34468304,22.17887895,21.62997476,18.76070253,12.95126838,9.22945335,7,7,7,8,8,8,7,7,7,7,7,6,87.78565693,71.2098752,30.49
127,1230,1e+06,1469130,1354021,5074,0,1398108,1152538,1150176,1458409,1124916,1075598,1024205,837009,5,5,12,17,20,27,29,28,26,19,12,8,1,2,8,14,17,22,23,21,20,13,9,5,5.98307071,8.579401238,14.30650504,19.12012637,21.38956752,26.44045498,28.2777598,27.24326533,25.1503761,19.97875965,13.93860194,8.547389292,10,11,9,12,11,10,10,9,9,9,11,10,91.14378078,76.39770714,30.49
130,80,1e+06,4882063,5584007,3724061,2156328,3884644,5244463,5430034,4966555,3572520,3472003,3005414,2147367,8,7,15,19,23,28,29,27,25,19,16,17,5,3,12,16,19,23,24,23,21,16,14,14,9.995912312,8.670544633,13.23777819,19.54670399,23.94860323,29.08848572,29.76186578,29.39302999,26.66313848,20.9708017,17.91273165,15.30337059,7,8,8,7,7,7,6,6,6,7,6,6,87.83979351,78.42682415,30.49
136,80,1e+06,3212620,2567408,1872720,2588265,3718379,3884605,3784514,3707991,3648851,3755019,3491672,3802935,13,12,20,24,26,29,29,29,27,23,21,20,10,9,16,20,20,23,24,24,23,19,19,17,15.82856832,14.50485235,20.74569997,24.24331965,26.20286717,29.41679039,29.89580687,29.62026518,27.54456676,24.53520083,23.32741518,20.38645058,8,8,7,7,7,6,6,6,6,7,7,7,88.33952764,79,30.49
141,1140,1e+06,1486,6710,11485,4344,22,237313,90119,312521,66195,22766,13,12315,7,11,13,15,17,26,26,27,24,18,9,5,3,5,6,6,9,14,17,18,16,12,3,0,9.951465673,12.59795528,13.96178801,16.87503569,18.07306646,19.00423029,22.02100784,21.30028061,20.45861871,19.13017882,13.01388358,9.056232808,3,4,5,6,6,6,7,6,5,5,4,4,96.3335461,75.30324108,30.49
147,1190,1e+06,0,8322,100213,239477,114958,292827,274347,278924,277885,257518,44073,187020,9,13,15,17,19,29,28,28,25,19,11,7,4,7,7,7,10,15,18,19,17,13,5,2,9.903149032,12.56202058,14.01810874,16.90465788,18.17968742,18.83512783,22.0681422,21.32557285,20.56308747,19.21149576,12.95603348,9.050248845,4,4,5,6,7,7,7,6,5,5,5,4,96.59249497,75.02244662,30.49
160,4200,1e+06,1139667,888595,730333,584049,646193,1144597,1227389,1235647,1057163,1047230,819338,897624,10,14,16,18,20,29,28,29,26,19,13,9,5,7,8,8,10,16,19,19,18,14,6,3,9.581275104,12.39811154,13.8923802,16.29012167,18.91541415,19.8993846,22.79715106,22.90772168,21.81423454,18.73846263,12.71713341,8.957666621,7,7,7,8,8,8,7,7,6,7,7,7,85.60070051,70.11482179,30.49
