param,mx,mn,med,mean,num_nans
rh_avg,100.0,10.2,68.8,66.96880927924754,False
air_tmp_C_avg,41.0,-26.549988,15.699982,14.999594562026536,False
open_wtr_et_mm,14.07,0.0,3.36,3.628361296572152,False
wb_tmp_C,28.35462,-26.957386,11.815114,11.265521601678238,False
rh_max,100.0,15.5,93.1,89.18724087445543,False
rh_min,100.0,3.8,45.3,44.7503774287964,False
sp_h_kg_kg,0.02385,0.00024999998,0.007299999699999999,0.008229687196459258,False
air_tmn_K,304.9,239.6,282.7,282.3708112660776,False
air_tmx_K,324.8,253.1,295.0,293.9283658252542,False
precip_mm,206.8,0.0,0.0,2.8466241743855756,False
wnd_spd_m_s,16.7,0.4,3.4,3.738375524064313,False
wnd_dir_dg_clk_frm_N,359.0,0.0,203.0,196.6300106517377,False
ref_et_gr_mm,13.400001,0.0,3.2,3.455582290920519,False
ref_et_alf_mm,20.2,0.0,4.2000003,4.56655235749259,False
sur_rad_Wm2,436.2,13.2,186.3,189.64227523372188,False
vpdef_kPa,8.13,0.0,0.68,0.8173489425372172,False
