param,mx,mn,med,mean,num_nans
rh_avg,100.0,10.700001,68.0,65.69765827453578,False
air_tmp_C_avg,39.5,-29.149994,14.7500305,13.644761939985232,False
open_wtr_et_mm,13.859998999999998,0.0,3.36,3.5101323256172763,False
wb_tmp_C,28.204758,-28.588652000000003,10.6445,9.883875601535292,False
rh_max,100.0,15.8,91.5,87.57143098859257,False
rh_min,100.0,4.4,44.5,43.823885310013694,False
sp_h_kg_kg,0.02358,0.0002,0.0065099997,0.007526071761663773,False
air_tmn_K,306.0,238.2,281.5,280.92772498699566,False
air_tmx_K,321.0,248.6,294.3,292.6617867670696,False
precip_mm,152.8,0.0,0.0,2.6865233530773125,False
wnd_spd_m_s,16.9,0.3,3.6000001000000004,3.8308264156260226,False
wnd_dir_dg_clk_frm_N,359.0,0.0,210.0,199.32842775396963,False
ref_et_gr_mm,13.2,0.0,3.2,3.3429832652085,False
ref_et_alf_mm,20.300001,0.0,4.3,4.453107880887431,False
sur_rad_Wm2,425.30002,14.400001,183.1,186.18989612057865,False
vpdef_kPa,6.67,0.0,0.68,0.7848858647159934,False
