eia_p_date,eia_plant,date,rh_max,rh_min
3-2022-01,3,2022-01-15,95.325806,38.167744
3-2022-02,3,2022-02-15,93.33929,38.139286
3-2022-03,3,2022-03-15,95.94516,35.474194
3-2022-04,3,2022-04-15,97.30667,40.69
3-2022-05,3,2022-05-15,98.90645,43.86774
3-2022-06,3,2022-06-15,99.61667,42.763336
3-2022-07,3,2022-07-15,99.83549,48.535484
3-2022-08,3,2022-08-15,99.665215,48.373913
7-2022-01,7,2022-01-15,86.20645,41.303226
7-2022-02,7,2022-02-15,87.957146,39.135715
7-2022-03,7,2022-03-15,82.44194,39.61613
7-2022-04,7,2022-04-15,82.87334,39.313335
7-2022-05,7,2022-05-15,95.70968,50.406452
7-2022-06,7,2022-06-15,97.23334,49.83
7-2022-07,7,2022-07-15,98.4871,53.364517
7-2022-08,7,2022-08-15,95.86957,52.70435
8-2022-01,8,2022-01-15,87.95484,38.84516
8-2022-02,8,2022-02-15,92.38214,38.139286
8-2022-03,8,2022-03-15,86.187096,35.880646
8-2022-04,8,2022-04-15,90.24333,39.303333
8-2022-05,8,2022-05-15,94.5,45.9
8-2022-06,8,2022-06-15,97.87334,46.773335
8-2022-07,8,2022-07-15,97.23871,51.9871
8-2022-08,8,2022-08-15,97.36957,50.239132
10-2022-01,10,2022-01-15,89.58387,40.77097
10-2022-02,10,2022-02-15,92.09286,41.803574
10-2022-03,10,2022-03-15,86.81936,36.71613
10-2022-04,10,2022-04-15,90.72,43.643333
10-2022-05,10,2022-05-15,96.770966,47.164516
10-2022-06,10,2022-06-15,97.86667,48.603333
10-2022-07,10,2022-07-15,97.9129,48.241936
10-2022-08,10,2022-08-15,97.526085,49.786957
26-2022-01,26,2022-01-15,88.76129,39.7
26-2022-02,26,2022-02-15,90.51071,37.664288
26-2022-03,26,2022-03-15,85.9871,36.351612
26-2022-04,26,2022-04-15,90.363335,39.413334
26-2022-05,26,2022-05-15,95.08064,44.62581
26-2022-06,26,2022-06-15,98.49333,46.940002
26-2022-07,26,2022-07-15,98.05807,50.690323
26-2022-08,26,2022-08-15,95.41305,50.173916
