eia_id,MAH_revised_9/20/22,plant_name,county2,state,name_of_wa,water_sour,water_type,water_source_aeg,nsegment_v11_old,nsegment_v11_new,WT_multsrc,which_list,min_yr,mx_yr,cont_yrs,elev_ft,pond_acres,latitude,longitude,cmplxcoo_flg,coolty_1,coolty_2,coolty_3,gen_ty,netgen_mwh,wthdrw_mgd,cnsmpt_mgd,mn_wth_mgd,mx_wth_mgd,mn_cns_mgd,mx_cns_mgd,note,water source note,
59,,Platte,Hall County,NE,Wells,GW,FR,sw,25787,25787,,2015,2000,2020,continuous years,1867.22,1000000,40.85405821,-98.34846297,0,tower_recirculating,null,,COAL,541762,1,0.66,1,2,0.57,0.71,,,
60,,Whelan Energy Center,Adams County,NE,Wells,GW,FR,sw,27609,27609,,2015,2000,2020,continuous years,1902.65,1000000,40.58061518,-98.31275377,0,tower_recirculating,null,,COAL,1380537,2,1.58,1,4,1.38,1.71,,,
79,,Aurora Energy LLC Chena,Fairbanks North Star Borough,AK,Chena River,SW,-nr-,sw,alaska,Alaska,,2015,2000,2020,missing 1 years,427.64,1000000,64.847474,-147.732909,0,river_once_through_fresh,null,,COAL,198296,32,0.24,15,244,0.19,0.3,,,
87,,Escalante,McKinley County,NM,Wells,GW,FR,gw,42034,42034,,2015,2000,2020,continuous years,6884.12,1000000,35.41600724,-108.0825471,0,tower_recirculating,null,,COAL,1368602,2,1.46,1,4,1.09,1.72,,,
96,,Beluga,Kenai Peninsula Borough,AK,Well,GW,-nr-,gw,NA,Alaska,,2015,2000,2015,continuous years,75.86,1000000,61.18522683,-151.0364175,1,tower_recirculating,dry_cooling,,NGCC,188818,0,0.03,0,0,0.02,0.15,,,
108,,Holcomb,Finney County,KS,Wells,GW,FR,gw,37521,37521,,2015,2000,2020,continuous years,2918.28,1000000,37.93035601,-100.9725428,0,tower_recirculating,null,,COAL,1443465,2,1.57,1,4,1.27,1.8,,,
113,,Cholla,Navajo County,AZ,Lake Wells,GW,FR,gw,46228,46228,,2015,2000,2020,continuous years,5024.88,330.3413368,34.94082453,-110.3003025,0,tower_recirculating,null,,COAL,5522942,9,6.69,5,16,5.43,7.24,,,
116,,Ocotillo,Maricopa County,AZ,Wells,GW,FR,gw,45309,45309,,2015,2000,2019,continuous years,1174,1000000,33.42512468,-111.912384,0,tower_recirculating,null,,GAS STEAM,105522,0,0.12,0,0,0.07,0.14,,,
117,,West Phoenix,Maricopa County,AZ,Wells,GW,FR,gw,45303,45303,,2015,2000,2020,continuous years,1052.93,1000000,33.44270271,-112.1546127,0,tower_recirculating,null,,NGCC,1811587,2,1.17,1,3,0.7,1.33,,,
118,,,Pinal County,AZ,Wells,,,gw,44930,44930,,all_verified,2000,2013,missing 3 years,1910.4,1000000,32.55247254,-111.2998975,0,tower_recirculating,null,,,,,,,,,,,,
120,,Yucca,Yuma County,AZ,Wells,GW,-nr-,gw,46114,46114,,2015,2000,2020,continuous years,120.81,1000000,32.72139444,-114.7103528,0,tower_recirculating,null,,GAS STEAM,277526,0,0.31,0,1,0.21,0.37,,,
126,,H Wilson Sundt Generating Station,Pima County,AZ,Wells,GW,FR,gw,44967,44967,,2015,2000,2020,continuous years,2608.97,1000000,32.16016304,-110.905565,0,tower_recirculating,null,,GAS STEAM,764312,1,0.62,0,2,0.3,0.88,,,
127,,Oklaunion,Wilbarger County,TX,Municipality,SW,FR,municipal,36290,36290,,2015,2000,2020,continuous years,1221.95,1000000,34.08264661,-99.17592552,0,tower_recirculating,null,,COAL,2081937,3,2.47,2,6,2.1,2.78,,municipal or Lake diversion? https://www.texomashomepage.com/news/local-news/oklaunion-power-plant-looking-at-alternative-water-sources/,
130,,Cross,Berkeley County,SC,Diversion Canal,SW,FR,sw,6662,6662,,2015,2000,2020,continuous years,82.13,1000000,33.36932286,-80.11332509,0,tower_recirculating,null,,COAL,8921964,14,10.1,9,25,8.73,11.3,,,
136,,Seminole (FL),Putnam County,FL,St Johns River,SW,FR,sw,8121,8121,,2015,2000,2020,continuous years,79.7,1000000,29.73469548,-81.63206718,0,tower_recirculating,null,,COAL,7744214,12,8.76,8,21,7.64,9.66,,,
141,,Agua Fria,Maricopa County,AZ,Wells,GW,FR,gw,45149,45149,,2015,2000,2020,continuous years,1134.68,1000000,33.55450661,-112.2156297,0,tower_recirculating,null,,GAS STEAM,110469,0,0.14,0,0,0.07,0.17,,,
143,,Crosscut,Maricopa County,AZ,Crosscut Canal,,,sw,45309,45309,,all_verified,2000,2002,continuous years,1165.88,1000000,33.439375,-111.946052,0,river_once_through_fresh,null,,,,,,,,,,,,
147,,Kyrene,Maricopa County,AZ,Well Water,SW,FR,gw_municipal,45309,45309,,2015,2000,2020,continuous years,1193.57,1000000,33.35589145,-111.936438,0,tower_recirculating,null,,NGCC,872866,1,0.39,0,1,0.2,0.45,,"might have changed their water source, in 2010 was municipal effluent",
160,,Apache Station,Cochise County,AZ,Wells,GW,OT,gw,NA,NA,,2015,2000,2020,continuous years,4196.03,1000000,32.06178337,-109.8944462,0,tower_recirculating,null,,COMPLEX,1929246,3,2.18,1,6,1.24,2.49,,,
165,,GREC,Mayes County,OK,Grand Neosho,SW,FR,sw,37586,37586,,2015,2000,2020,continuous years,621.78,1000000,36.1902051,-95.28903116,0,tower_recirculating,null,,COAL,3755194,8,5.48,5,14,4.79,6.08,,,
167,,,Pulaski County,AR,Arkansas River,,,sw,37711,37711,,all_verified,2000,2013,missing 2 years,249.88,1000000,34.75355,-92.197928,0,tower_recirculating,null,,,,,,,,,,,,
168,,Hamilton Moses,St. Francis County,AR,L'Anquille River,,,sw,23225,23225,,all_verified,2000,2009,missing 1 years,213.24,1000000,34.9806,-90.8722,0,tower_recirculating,null,,,,,,,,,,,,
169,,,Lafayette County,AR,Wells,,,gw,36405,36405,,all_verified,2000,2013,continuous years,301.08,1000000,33.35937416,-93.46565472,0,tower_recirculating,null,,,,,,,,,,,,
170,,Lake Catherine,Hot Spring County,AR,Lake Catherine,SW,FR,sw,23073,23073,,2015,2000,2020,continuous years,329.99,1000000,34.4340047,-92.90441257,0,lake_once_through_fresh,null,,GAS STEAM,159628,18,0.18,8,131,0.14,0.22,,,
173,,Robert E Ritchie,Phillips County,AR,Mississippi River,,,sw,21518,21518,,all_verified,2000,2013,missing 1 years,184.79,1000000,34.4629,-90.5987,0,river_once_through_fresh,null,,,,,,,,,,,,
201,,Thomas Fitzhugh,Franklin County,AR,Arkansas River,SW,FR,sw,35525,35525,,2015,2000,2020,continuous years,375.97,1000000,35.46221888,-93.80493609,1,river_once_through_fresh,tower_recirculating,,NGCC,76419,4,0.05,0,31,0.04,0.06,,,
202,,Carl Bailey,Woodruff County,AR,White River,SW,FR,sw,35893,35893,,2015,2000,2020,continuous years,209.19,1000000,35.25984386,-91.36364542,0,river_once_through_fresh,null,,GAS STEAM,32020,4,0.04,2,29,0.03,0.05,,,
203,,McClellan (AR),Ouachita County,AR,Ouachita River,SW,FR,sw,23034,23034,,2015,2000,2020,continuous years,112.07,1000000,33.56440516,-92.79140028,0,river_once_through_fresh,null,,GAS STEAM,88953,10,0.12,5,75,0.09,0.14,,,
204,1,Clinton Power Station,De Witt County,IL,Salt Creek,SW,FR,sw,19850,19850,,2015,2000,2020,continuous years,719.73,1000000,40.17262133,-88.83435066,0,lake_once_through_fresh,null,,NUCLEAR,8663837,1010,10.3,458,7500,8.03,12.6,,,
207,,St Johns River Power Park,Duval County,FL,St. Johns River,SW,SA,sw,8101,8101,,2015,2000,2018,continuous years,11.33,1000000,30.43184208,-81.55028704,0,tower_recirculating,null,,COAL,4799223,9,6.34,6,15,5.58,6.95,,,
210,,Wolf Creek Generating Station,Coffey County,KS,Wolf Creek Cooling Lake,SW,FR,sw,36773,36773,,2015,2000,2020,continuous years,1100,5140.330863,38.23998736,-95.68972204,0,pond_recirculating,null,,NUCLEAR,8630178,12,11.5,9,14,9.43,13.5,,,
228,,,Contra Costa County,CA,San Joaquin River,,,sw,53804,53804,,all_verified,2000,2013,continuous years,5.67,1000000,38.01868571,-121.7627666,1,river_once_through_fresh,tower_recirculating,,,,,,,,,,"3 cooling types, third type is dry cooling",,
246,,,Humboldt County,CA,Humboldt Bay,,,saline,NA,NOAA saline,,all_verified,2000,2010,continuous years,6.4,1000000,40.74122,-124.21024,0,saline_once_through,null,,,,,,,,,,,,
247,,Hunters Point,San Francisco County,CA,San Francisco Bay,,,saline,NA,NOAA saline,compare SNTemp / NOAA sst,all_verified,2000,2006,continuous years,12.55,1000000,37.737885,-122.376322,0,saline_once_through,null,,,,,,,,,,,,
259,,,San Luis Obispo County,CA,Morro Bay,,,saline,NA,NOAA saline,,all_verified,2000,2014,continuous years,23.8,1000000,35.37224557,-120.8573682,0,saline_once_through,null,,,,,,,,,,,,
260,,Dynegy Moss Landing Power Plant,Monterey County,CA,Moss Landing Harbor,SW,SA,saline,55430,55430,compare SNTemp / NOAA sst,2015,2000,2020,continuous years,31.5,1000000,36.80472192,-121.7826217,0,saline_once_through,null,,COMPLEX,3947428,160,0,73,1190,0,0,,,
271,,Pittsburg Power,Contra Costa County,CA,Sacremento-San Joaquin River D,SW,SA,saline,53804,53804,,2015,2000,2017,continuous years,5.84,1000000,38.03955743,-121.8941649,1,river_once_through_fresh,tower_recirculating,,GAS STEAM,181060,18,0.22,8,131,0.17,0.26,,,
