param,mx,mn,med,mean,num_nans
rh_avg,100.0,6.0,67.5,65.19183254413355,False
air_tmp_C_avg,39.80002,-28.149994,16.449982000000002,14.609152281931049,False
open_wtr_et_mm,13.545,0.0,3.57,3.6831592836722216,False
wb_tmp_C,28.76043,-28.653143,12.136187,10.663507524041394,False
rh_max,100.0,10.0,89.8,85.66896692952324,False
rh_min,100.0,1.0,44.5,44.71469784398423,False
sp_h_kg_kg,0.02283,0.00029999999,0.00727,0.008067131498031324,False
air_tmn_K,306.2,238.0,283.5,282.0028878594945,False
air_tmx_K,320.9,248.4,295.8,293.5154046421695,False
precip_mm,357.6,0.0,0.0,2.9693131197468863,False
wnd_spd_m_s,16.800001,0.3,3.7,3.9383742879662504,False
wnd_dir_dg_clk_frm_N,356.0,4.0,186.0,181.46835195323143,False
ref_et_gr_mm,12.900001,0.0,3.4,3.507770851113175,False
ref_et_alf_mm,19.6,0.0,4.6,4.645704183705539,False
sur_rad_Wm2,427.2,15.2,195.2,195.51921132124605,False
vpdef_kPa,6.33,0.0,0.71999997,0.8323101994030289,False
