"Plant.Code","CD_january","CD_february","CD_march","CD_april","CD_may","CD_june","CD_july","CD_august","CD_september","CD_october","CD_november","CD_december","percentAllocation","cooling"
26,2561075,2614283,4618909,1720438,2925566,2767861,2310899,2641824,0,0,190938,1869375,100,"tower"
51,0,0,0,0,14874,1770587,2380489,2591671,2636957,2380891,2506399,2632356,100,"tower"
56,674197,700546,0,732869,903098,1108342,1556323,1474256,1008266,598664,1064046,652805,100,"tower"
59,286758,296503,281761,280490,301059,257826,289378,352001,274666,184517,311658,325105,100,"tower"
60,944097,804081,866437,497719,771261,827285,916348,932323,681356,230781,647668,905904,100,"tower"
87,796845,706896,776895,747236,793981,761939,814534,788930,646660,10621,366436,761073,100,"tower"
96,97333.4,89278,92892.6,75224,67690.4,100284.2,55048.8,70171.6,53776,56061,48139,68441.8,20,"tower"
108,1081563,936695,948844,802836,814379,871700,1137441,1199034,831102,898599,861939,876142,100,"tower"
113,3403609,3004727,3443677,2587506,3366745,3347610,3688866,3725360,3540807,2797972,2689014,2758504,100,"tower"
116,21311,9961,8134,29958,31753,66623,69575,47378,58091,36148,93017,29291,100,"tower"
117,219471,276567,242533,215082,196738,611348,841517,837831,725969,692868,363822,307629,100,"tower"
120,123719,114747,119740,46975,707,109714,134261,125918,105561,122412,116550,113655,100,"tower"
126,313584,390717,180023,322792,405601,729008,742373,719766,527131,361504,334178,346145,100,"tower"
127,1800354,1882743,16569,0,1883610,2099345,1712051,1851853,1744423,1336285,535807,1733857,100,"tower"
130,6297333,5223857,4659350,4384412,6661047,6403711,6126952,5589767,4809495,4023616,4888835,3942295,100,"tower"
136,4233880,3977944,3398448,2576613,3650815,4101517,4070181,3877979,2996626,2432494,3177577,3526713,100,"tower"
141,1142,1014,927,1115,13655,37780,85661,11530,19667,0,118,1,100,"tower"
147,15714,59138,20065,108777,166297,262367,289247,259362,239304,227364,126605,2,100,"tower"
160,1331521,1241579,840127,977571,1287005,1307581,1409093,1377243,1370726,1385470,1373635,1209369,100,"tower"
165,3004038,3169961,2769997,2039191,2795031,2915346,2413270,3343342,2754891,1520658,2411507,2414458,100,"tower"
201,7993.5,0,3082.05,3288.9,0,0,1080.75,0,0,0,0,17.85,15,"tower"
207,3826835,3928804,1948368,1933432,2305773,3987825,4176975,3883940,3452376,3673865,3921226,3172228,100,"tower"
271,0,0,0,39084,148866,0,0,0,62443,0,0,0,100,"tower"
298,5561397,5076570,3694092,3665290,5788780,5527949,5265818,4444553,5356563,5774977,5639288,3997786,100,"tower"
329,354933,263946,277573,11581,135437,24754,222052,184216,7192,0,0,1669,100,"tower"
331,141993,115553,151115,107575,162193,62687,195677,70946,238912,178750,154554,111437,100,"tower"
358,794016,967245,1115886,1248220,1196755,1321194,1453529,1539624,1469714,1343231,1047728,1364479,100,"tower"
377,82897,85166,91991,94303,119123,97848,124325,115804,101793,113223,100783,105456,100,"tower"
384,773739.6,640630.2,906840.6,578833.8,966342.6,1008585.3,1005903.3,934635.9,733724.7,62188.5,967682.1,1097399.7,30,"tower"
389,104923,146779,105035,226087,451033,519090,545914,533495,535166,417256,183815,126232,100,"tower"
408,635460,27949,308434,440847,259048,61320,319925,307892,361580,581172,374595,27800,100,"tower"
420,39296,0,37584,36297,25641,14584,56993,123737,42993,16082,21454,28306,100,"tower"
469,1040699,1182652,1553342,1648070,1605016,1641318,1746769,1686685,1605552,1077945,847817,1463257,100,"tower"
470,1545122.25,1229703.3,892659.6,1422754.2,1411629.03,1109843.28,1606007.34,1606197.6,0,69927.48,982365.3,1169587.44,63,"tower"
470,2509797,2316893,2024730,1054631,1160351,1876027,2543919,2560045,2571167,2649491,2084984,1985881,100,"tower"
492,885811,829533,749565,823476,109755,92767,346801,461717,718282,701196,660741,825711,100,"tower"
493,0,2914,1593,0,21758,19511,28979,4339,0,0,0,4696,100,"tower"
525,1685646,1644286,1701824,770768,1279869,1516178,1607243,1710056,1539550,1637311,1775384,1739543,100,"tower"
527,386518,326459,81279,1691,320277,396787,441668,408362,409999,188445,3286,167661,100,"tower"
533,939437,613313,809350,508941,705894,821424,315756,170496,641093,773844,747541,772948,100,"tower"
550,243171,216137,107331,176233,139972,0,173388,243898,211967,221378,87955,255733,100,"tower"
562,300091,1481,0,511,0,0,20922,21969,0,0,3497,0,100,"tower"
564,2406998,2995834,2287436,2682300,2047613,2620103,2850130,2805873,2500018,1947044,2970782,2754595,100,"tower"
589,239318,233685,256589,79993,95451,201982,182633,178503,187046,222620,190196,169162,100,"tower"
594,1073017,1297417,833424,636311,718474,384035,429696,839,445885,0,0,131979,100,"tower"
599,28695,4816,0,9131,9960,40724,83332,33146,21513,0,0,0,100,"tower"
602,3940800,3050968,3285745,2247247,2789571,2476105,2865745,2499507,2178169,565782,1367250,1883078,100,"tower"
612,317333.6,299869.8,347410.2,342055.4,354038.4,350862.4,362127.6,375026.4,343254,353473.2,211186.4,278951,20,"tower"
628,3383523,3053118,2955252,4386782,3947329,4403411,3498498,4600575,4209102,4256108,2682765,3721271,100,"tower"
641,182351.5,122718,122957,65271.5,0,76793.5,12025,0,154915.5,109246.5,33450.5,75956.5,50,"tower"
641,1805345,1446186,1447481,1518044,1989684,1894411,1962758,1984298,921459,829694,1656510,1440331,100,"tower"
643,664456,667228,652989,470992,622778,685087,765102,772109,772864,819854,432074,792700,100,"tower"
663,60674,347166,587768,555592,659261,606868,651783,555386,569698,532440,165992,408391,100,"tower"
664,220865,87777,0,0,0,107719,93555,136459,98323,108153,57383,0,100,"tower"
673,0,0,0,9768,8799,13756,9673,30082,8588,58240,30942,0,100,"tower"
676,1228526,871165,439340,387511,411624,390699,494784,599815,411623,402029,583738,986047,100,"tower"
688,407534,284827,256176,385307,414252,448892,478380,495064,451952,360157,307524,308987,100,"tower"
689,318050,277560,285431,173301,289646,303109,315766,291975,305252,223008,294980,299971,100,"tower"
693,10053,0,0,1191,1078,134,481,9903,2828,428,0,0,100,"tower"
703,8677974,8237701,6413764,6499445,7603201,8464590,9295192,8897765,7271777,1857526,4442947,4104563,100,"tower"
709,683851.5,741972,69834.75,0,25.75,525514.5,518145.25,250848,147540.5,128683.75,282264.5,149776.5,25,"tower"
710,2927435,2198992,2700368,2314330,3048670,3062588,3094057,3190821,2899184,2727328,3024286,3077536,100,"tower"
728,1318394,87430,277542,0,0,0,474739,1022242,262076,368009,429810,0,100,"tower"
772,111643,118219,129851,130252,103008,128945,111853,65165,127309,107005,120264,123297,100,"tower"
861,0,0,0,0,0,0,0,0,0,0,0,0,30,"tower"
891,1521980,1405440,1279697,1394262,441469,1341221,1275004,1557249,1119551,1399142,1284219,1422895,100,"tower"
963,633274,597478,599448,399885,700747,582051,525443,579955,428580,98937,427174,514235,100,"tower"
990,116861.7,103679.4,125198.85,78335.25,93127.2,67296.3,88961.1,82403.25,94671.3,88989,99797.7,69276.15,15,"tower"
990,1578048,1457822,378240,670430,1027955,1065783,1243235,1354233,1084998,1360997,1010086,1317696,100,"tower"
991,240169.3,250791.45,280396.55,102876.55,140179.9,172303.25,53988.2,98958.3,49338.1,90794.55,136627.4,75133.45,35,"tower"
992,0,0,0,0,0,0,0,0,0,0,0,0,100,"tower"
994,3822581,3238173,3638765,2211050,2734938,3430398,3475805,3647815,3593849,1994186,3282908,3489458,100,"tower"
997,1512035,1480385,1264636,1298927,679706,989945,1549132,1638073,1595022,973248,985131,1542291,100,"tower"
1001,316384.7,280710.7,291851.7,290860.2,215459.3,276345.7,259137.6,293739,262140.2,117954.7,0,0,10,"tower"
1007,71407,28700,43770,27010,151021,101011,144112,160678,147653,139204,87594,15981,100,"tower"
1016,67497,0,21932,89,3712,10171,0,0,0,1055,0,0,100,"tower"
1040,146893,22764,0,0,0,58847,57405,24774,36047,0,0,0,100,"tower"
1043,103065.45,69694.2,76534.2,7924.2,3791.7,40468.2,26795.55,58496.25,34005.6,58845.45,55106.55,50806.2,15,"tower"
1077,0,4985,21396,67411,68276,124,13023,2816,15747,7361,38471,124330,100,"tower"
1082,2355725,2340953,2364577,221362,561070,2487643,2572988,2852290,2488697,2421199,2234175,2761352,100,"tower"
1122,180458,171788,182964,137717,150594,141823,148806,190813,159106,141478,168288,173496,100,"tower"
1131,10829.6,10224.4,2990,22.2,0.2,334,651,3834.2,19.2,0,0,1063.8,20,"tower"
1206,0,0,0,0,3502,20980,8025,10377,1084,0,151,0,100,"tower"
1217,80361,0,0,18757,8314,6615,0,0,4648,0,0,6131,100,"tower"
1230,0,0,0,0,29030,6411,90071,50968,0,516,10956,0,100,"tower"
1233,241784,207374,22560,107908,275841,186808,210279,234950,126516,125335,100866,67056,100,"tower"
1235,0,18404,0,0,0,0,28188,0,0,0,0,0,100,"tower"
1240,166162,145690,47801,33886,364064,233870,264363,317032,195464,98584,86670,120634,100,"tower"
1242,151997,149560,68483,78448,36826,69397,100929,119500,51205,49787,41224,28409,100,"tower"
1248,32347,0,16041,25760,47929,32656,57679,60449,39682,20488,44063,5385,100,"tower"
1250,1890500,1651320,1746161,1935954,1070603,1673199,1820602,1786926,1758681,1819232,1841505,1860822,100,"tower"
1252,765075,791705,558269,673932,527590,732800,566389,771999,670866,694513,724976,738369,100,"tower"
1271,8096,340,8493,13091,4504,5001,12386,12569,5059,14380,10900,14085,100,"tower"
1317,0,0,6088,15667,2907,0,0,0,0,0,0,0,100,"tower"
1330,0,0,0,0,555,0,0,0,315,0,0,0,100,"tower"
1336,0,48729,0,0,17042,10432,0,0,0,0,7539,0,100,"tower"
1353,3090799,2655051,1368544,2402924,1959058,2823797,2274156,2767752,903786,0,405871,2183792,100,"tower"
1355,1668103,1522540,1774212,522897,1888776,1494018,1466638,1642997,1135071,1087351,1441189,1395369,100,"tower"
1356,6982544,6824919,6006709,4769549,5844613,6631127,7067769,6800556,6437217,5818616,5239046,6516552,100,"tower"
1364,4280067,3813392,3502188,3099147,3793736,3546415,3569520,3857479,3138358,1930130,2522864,2660464,100,"tower"
1378,511506.6,544631.3,517869.8,589595.1,595051.8,670824.7,783805.8,808345.2,618777.9,560680.3,598616,653931.1,10,"tower"
1382,1246112,1090181,1230844,1030893,772166,1021395,1140191,1156439,1096934,1151052,1188413,1176199,100,"tower"
1383,42951.25,53962.25,63345,62524.5,60727,53074.25,46568.5,19387.5,350.25,355.25,25910.5,312,25,"tower"
1384,86087,109498.8,103269.6,0,11998.4,40629.2,32812.2,68180.6,8378.6,115793.8,106649.6,40927,20,"tower"
1393,3544882,2179376,3193209,2227496,477877,2380203,3630547,3984879,3996334,3496400,2100289,2845895,100,"tower"
1400,5474.4,6758.3,7769.3,8611.5,29771.4,20441.9,1673.4,8157.6,4505.5,5997.4,3737.5,3763.1,10,"tower"
1439,136,10818,12564,25320,0,0,9461,44578,19925,3584,5285,6074,100,"tower"
1447,2896,0,0,0,0,0,0,2266,0,0,0,0,100,"tower"
1449,1811,0,4372,0,22026,18469,0,4243,2224,0,0,0,100,"tower"
1455,995,2345,3434,1906,408,2289,0,387,0,0,0,0,100,"tower"
1464,114938,0,3795,0,24663,0,0,0,0,0,0,0,100,"tower"
1564,73034,18349,18663,0,0,7325,0,0,7627,0,0,0,100,"tower"
1571,2220,0,73733,0,580495,486658,674863,883912,269728,0,35367,695,100,"tower"
1595,376245,524861,526882,399919,401840,486691,511140,506336,501249,494867,336912,551089,100,"tower"
1619,2679993,2996558,3274266,1437599,67559,248273,804280,315818,440002,66852,1574070,1159574,100,"tower"
1682,22250,10618,28363,97489,28298,50454,97155,90489,96906,97155,30440,22747,100,"tower"
1702,8743,1173,28,0,21,0,28557,86624,289,42,3754,37,100,"tower"
1831,48660.3,39416.25,17072.1,27812.1,32260.2,52125.9,70064.4,63665.55,30991.95,67226.55,78341.7,39028.35,15,"tower"
1832,518660,586755,622890,425383,582103,488295,562583,534840,546938,58566,140379,542754,100,"tower"
1880,0,0,0,96,448,0,1065,1067,0,0,1083,2,100,"tower"
1893,2917345,3551111,3280101,1901590,2512269,3293460,3420331,3328631,2955536,2480406,2930606,3419608,100,"tower"
1915,15864.88,13272.25,3812.64,0,4434.28,14589.08,15517.23,15692.39,14140.42,15452.75,10241.12,15571.37,1,"tower"
1943,46105,43355.1,44421.4,10403.5,0,122,19210.8,26105.2,34961.9,39334.2,40163.4,40771.5,10,"tower"
1979,58508,61434,64988,54561,54959,39968,58717,67630,67928,79174,84718,80493,100,"tower"
1980,7388,0,0,0,0,3626,10137,10816,0,0,0,0,100,"tower"
2001,0,0,0,0,0,0,6948,3870,0,0,0,0,100,"tower"
2022,17017,16708,16178,405,2448,10278,19808,19617,17901,18990,18108,18662,100,"tower"
2048,60628,0,0,0,0,0,0,0,0,0,0,0,100,"tower"
2049,1239345,1515121,1067722,1300771,1400612,1492922,1481029,1469161,1478491,1246617,835878,1303127,100,"tower"
2062,0,0,0,0,0,15848,4477,15704,5374,0,0,0,100,"tower"
