"Plant.Code","CD_january","CD_february","CD_march","CD_april","CD_may","CD_june","CD_july","CD_august","CD_september","CD_october","CD_november","CD_december","percentAllocation","cooling"
3,0,1449506,1512103,1274413,1206249,1666539,1567849,1617132,1551261,1325862,1434897,1376307,100,"tower"
26,2218006,396624,411,440,934,2038881,2404800,2419200,2317941,782359,1055841,268169,100,"tower"
51,1799,0,1690,0,29173,1405444,0,861738,1718564,752798,0,0,100,"tower"
56,0,0,160962,409435,0,743738,810858,267719,0,0,0,0,100,"tower"
59,283941,263732,271624,28320,0,195304,296365,323977,282856,43820,79296,290144,100,"tower"
60,0,674551,541618,16466,181116,642857,1006653,879329,1704413,655535,701915,777229,100,"tower"
87,673714,643640,165821,1097,3309,248524,701800,850209,3629,7062,16110,17033,100,"tower"
108,839655,730946,3492,3717,329225,744971,1112148,1175019,971414,522454,870677,932887,100,"tower"
113,1720209,435758,826062,548513,1511780,2142966,2218243,2745375,2311637,2149459,1673216,986437,100,"tower"
117,899751,708057,562767,862111,1067063,816776,1213614,1250440,1089647,876615,708323,1227484,100,"tower"
120,49005,1577,137320,143195,140943,141628,143409,150011,142249,96516,144646,161807,100,"tower"
126,354957,353948,330793,257056,612830,483337,359522,573854,430092,655109,439273,192350,100,"tower"
127,0,0,0,0,495252,1169530,1543161,1748992,1432048,0,0,0,100,"tower"
130,3341867,2276389,1884832,1914865,2185721,3685614,4936539,4765101,3331397,1780945,1773344,3510056,100,"tower"
136,2274177,1666697,1879430,2671746,3031929,3428253,3634676,3843370,3356216,3484957,2914702,3214179,100,"tower"
141,0,3146,103546,162520,123833,313187,588539,410723,62616,11524,27954,357,100,"tower"
147,360632,354463,207861,115067,329177,316273,365189,372919,350850,327509,324874,295453,100,"tower"
160,1015628,724748,241754,682981,1090862,1264544,1461075,1472801,1338014,1078643,1003350,1012772,100,"tower"
165,465890,335217,496898,575878,504191,670152,653511,643440,488839,29329,202466,608048,100,"tower"
201,10757.25,3763.35,841.2,25984.8,40755.45,18169.95,47389.95,13607.25,834.75,36569.55,1970.1,17666.25,15,"tower"
298,3034487,1849965,3028936,3144904,1970961,3218809,4125123,4356873,3458734,0,360085,4133128,100,"tower"
358,486327,781517,690278,266820,158267,440672,955776,1083379,765697,1217597,526733,523125,100,"tower"
377,0,0,0,1324,85580,98957,114815,119559,115113,113780,58147,25516,100,"tower"
384,117524.4,14200.8,0,0,35413.8,415269.9,784253.7,280613.1,28792.5,48060.3,0,0,30,"tower"
389,77149,93486,41489,30354,104408,219993,366391,520219,275347,206712,106377,3647,100,"tower"
408,250180,22446,92419,100422,143027,173798,410644,480358,198980,150798,41239,23883,100,"tower"
422,23105,5039,4134,8145,5045,5495,7510,18604,12494,9083,7730,2162,100,"tower"
469,595639,836957,591474,576969,695126,1195071,1681956,1584696,1416640,1166929,1044327,855950,100,"tower"
470,569492.28,0,0,0,0,9522.45,0,0,0,0,0,56293.02,63,"tower"
470,2098956,2232107,2357700,1796479,1400992,1977847,2292814,2396428,2198430,2482204,2192053,2444974,100,"tower"
492,279772,219187,210133,0,32212,254097,342368,432944,349864,226421,276797,229385,100,"tower"
493,1,4,11,3,1,15278,23607,33874,11,1,1,3,100,"tower"
525,1231053,1124821,1184884,1140777,851016,1128429,1171993,1263393,758541,462447,742649,1143036,100,"tower"
533,925600,830186,810288,525923,908973,960188,1011886,1037872,928977,638568,473899,917206,100,"tower"
550,264944,222460,202239,218251,0,5158,116944,236857,291966,257732,161823,238901,100,"tower"
562,0,0,0,0,23178,0,0,0,0,0,0,98667,100,"tower"
564,2336725,1589043,1578852,1656008,2112837,2605508,2891416,3302089,2902333,2190465,1855757,2460915,100,"tower"
589,200759,206823,103785,39221,123236,165606,232182,169420,456,263778,148341,246940,100,"tower"
594,0,0,0,0,0,0,521823,245824,87302,0,227061,236342,100,"tower"
599,0,0,0,0,0,2386,23021,14432,4268,0,0,0,100,"tower"
602,2626,197,0,179600,418912,596486,1786123,1459256,1180042,629916,59062,1200523,100,"tower"
612,294968.2,280008.2,346590.6,339556,355362,380472.2,384144,386090.2,334240.2,383846.8,345438,282625.6,20,"tower"
628,2053924,1526650,2322228,2738711,3751932,3921518,5357211,5764273,4964162,3735506,1893130,2805070,100,"tower"
641,0,5751.5,0,0,0,0,0,0,0,0,62247.5,29399,50,"tower"
641,926282,1676330,585754,233963,774414,537457,1490828,879356,395161,0,0,188084,100,"tower"
643,901149,771539,683836,781427,917735,925313,954571,884782,759323,1063920,1006119,824427,100,"tower"
663,345475,149454,177269,165552,485506,396357,555422,575706,541265,571846,503408,441987,100,"tower"
664,195118,238824,263448,233164,164197,233998,243238,245915,236834,254163,171863,217879,100,"tower"
673,0,0,0,4528,0,2804,856,1216,3219,38099,1340,4314,100,"tower"
676,455369,250927,497654,758658,809194,439326,504871,567756,1212574,1207786,992437,1287193,100,"tower"
688,333623,297245,142471,324717,340252,329420,344327,310641,326414,306534,251681,316366,100,"tower"
689,311795,292943,281836,0,0,171375,314633,318154,285543,234372,225511,306893,100,"tower"
703,1278366,1381524,1823075,1606038,1021081,1818400,5063391,8604504,4859697,2852159,4126730,6908964,100,"tower"
710,3439737,3374599,2971770,2539561,3244913,3444061,3626971,3556425,2561774,2712688,3305335,3456911,100,"tower"
728,695517,921055,1398116,1032827,1183991,1775153,1915201,1551997,1274412,1049448,453135,516393,100,"tower"
772,159009,114167,115302,105516,95399,135482,151920,155570,67644,114243,100653,113828,100,"tower"
963,424317,348446,0,123174,413090,440097,479492,469182,247664,116670,379794,399373,100,"tower"
990,15876,11861.55,70651.5,22332.75,36962.25,75254.55,82997.85,73027.35,15640.65,13902.6,8262.6,9198.45,15,"tower"
990,763395,515212,928102,159268,411493,1081380,1330652,623961,343216,870621,23777,100657,100,"tower"
991,1045077,977679,591764,809396,1047627,1000405,894453,1015507,902648,892751,1586187,1020663,100,"tower"
992,0,0,0,0,0,0,0,0,0,0,0,0,100,"tower"
994,2143454,2637588,1261813,0,203790,1605006,2759380,2413352,2426451,1695510,2158647,3329287,100,"tower"
997,1413359,1268506,518794,0,0,315701,537903,1343214,1267362,1183381,1002956,65008,100,"tower"
1001,156768.7,121519.7,199422.8,157027.6,145186.8,172175.6,321500.9,289829.4,219459.8,227076.6,147383.3,221890,10,"tower"
1007,393728,420343,135404,549128,556698,551493,573709,533338,72357,326655,282187,606464,100,"tower"
1016,13554,942,0,0,3673,3217,3682,0,0,48,0,1035,100,"tower"
1040,0,0,0,0,11265,62412,126779,63524,11511,0,0,0,100,"tower"
1122,109683,167417,167691,128958,124585,155926,110708,163029,164355,137235,166984,150880,100,"tower"
1131,478.8,0,2.4,1.4,0,1047.6,1687.2,58.6,13.2,2361.4,0,2425.2,20,"tower"
1206,0,2300,1569,0,0,0,49801,26603,0,0,0,0,100,"tower"
1217,122,0,2076,1966,0,5611,8352,6802,0,2687,2162,3782,100,"tower"
1230,0,0,0,0,0,0,0,0,3293,0,0,0,100,"tower"
1233,0,0,0,0,0,429,20861,0,0,0,0,0,100,"tower"
1235,0,0,0,0,0,92,9606,0,0,0,0,0,100,"tower"
1250,1343005,874144,928029,814184,651120,1224066,1460215,1460688,387291,244916,864831,1464496,100,"tower"
1271,0,0,145,0,312,2187,0,0,0,0,0,0,100,"tower"
1317,0,0,0,0,0,0,0,16339,0,0,0,0,100,"tower"
1330,0,0,0,0,0,0,0,606,0,0,0,0,100,"tower"
1336,0,0,0,0,0,6983,13149,0,0,0,0,0,100,"tower"
1353,424824,0,0,201336,504876,696961,820349,788875,261620,0,452769,339093,100,"tower"
1355,747449,656037,277497,748717,787329,555764,878911,827388,739167,649415,210292,304033,100,"tower"
1356,4483871,4172370,3555394,2616847,4083767,5365086,6433481,5995521,5148665,4758955,5782149,5612270,100,"tower"
1363,917516,527555,2812,644339,852404,849964,875540,869110,845978,848363,524655,923836,100,"tower"
1364,2938147,3425514,3616984,1584173,1287972,1888537,2635030,2545743,2301652,2082026,1248472,2730622,100,"tower"
