"Plant.Code","CD_january","CD_february","CD_march","CD_april","CD_may","CD_june","CD_july","CD_august","CD_september","CD_october","CD_november","CD_december","percentAllocation","cooling"
3,916993,962107,753703,764271,412137,791333,937686,943701,602360,1092599,1066994,547001,100,"tower"
26,2852715,2563898,2830905,1984731,2655913,2707064,2575973,2198136,486644,2093300,2379823,2559703,100,"tower"
51,2815280,2745854,2760963,989559,2286905,2579117,2955415,2878630,1859415,2847644,2817328,3019152,100,"tower"
56,1631917,1436009,839392,959458,1267134,1521385,1570292,1423933,1500884,1596546,1539561,1473348,100,"tower"
59,363623,332909,352979,240421,323701,338761,371920,354785,235835,336982,341666,332282,100,"tower"
60,296811,287692,299311,296560,204406,286216,306192,296161,237405,148918,253385,299105,100,"tower"
87,991857,722595,361755,918094,965048,937303,1010736,1010614,938936,959741,890342,948278,100,"tower"
96,59470,102207.4,71495.4,51619,106459.6,126945.8,99187.2,98672.2,90419.4,44170.2,84905.8,91733.2,20,"tower"
108,1310216,1290462,1368274,844428,1042192,1292403,1377655,1248109,1307461,1376133,1228382,1429876,100,"tower"
113,3773007,2935314,3153826,2247217,2674749,3320419,3855071,3834436,3960326,3755148,3480199,3817707,100,"tower"
116,23524,26722,0,6572,16822,92820,100071,105511,65491,57255,6914,122,100,"tower"
117,560445,343004,151089,264256,223421,641660,818112,909572,651740,497118,68869,375719,100,"tower"
118,0,0,0,0,7968,67530,83525,93418,27670,29398,0,0,100,"tower"
120,51814,116095,99929,130083,170202,140358,122121,130157,164191,172952,154932,165415,100,"tower"
126,389917,374152,340842,315006,349763,538794,591394,589586,491061,468027,420493,364848,100,"tower"
127,2418988,120632,2199646,1467675,1727388,2151609,2516340,2646980,2064029,2063535,1969496,1977906,100,"tower"
130,5829627,5146118,5160879,3600607,5278658,6464033,6447007,6744518,5561368,4993407,5515417,4914978,100,"tower"
136,4552609,4171407,3970950,2824634,4289687,4398685,4667397,4487920,3941617,3485067,2439540,2456743,100,"tower"
141,38034,7801,3440,10855,112053,168804,182853,211288,134803,90936,17955,11632,100,"tower"
147,201387,213847,119445,290082,187446,213331,241764,212490,217576,210145,127389,242678,100,"tower"
160,1479129,1321070,802803,808608,1456927,1339415,1530689,1472498,1423783,1384162,1265863,1301627,100,"tower"
165,3902981,3433166,3774604,2597410,3179014,3709310,3676318,3723060,3660258,2886978,3234667,3864182,100,"tower"
167,0,0,0,0,7608,50521,55198,119041,0,0,0,0,100,"tower"
169,0,0,0,0,1797,60834,94211,91713,53255,318,0,0,100,"tower"
201,0,0,0,0,1239.75,1165.05,14166.75,4798.95,0,0,40.35,471.3,15,"tower"
207,3924245,3166433,1525825,2595358,4244535,3947452,4030357,3903673,4865566,3992242,4060281,4016839,100,"tower"
271,0,0,0,1950,212958,0,203742,0,0,0,0,0,100,"tower"
298,6733751,5144858,5199569,6459573,6723681,6505934,6704840,6498278,6760119,5997014,6600013,5635233,100,"tower"
329,215922,133334,15990,144346,82867,159246,96814,442675,359497,543068,441592,142279,100,"tower"
331,93446,0,20687,163167,394454,719237,772092,984449,802897,753532,383999,437134,100,"tower"
358,1409133,1430043,1429470,1250073,1205749,1034671,1368769,1496875,1442207,1207051,1399360,1493423,100,"tower"
377,96772,86338,88194,90881,111450,93851,109652,135958,109392,114229,113279,109245,100,"tower"
384,976193.4,847836,1025934,592072.5,830233.8,971658.6,1060978.2,966150.9,668755.8,365541.6,534186.3,818721,30,"tower"
389,100004,76966,0,136863,140028,115940,233093,260284,203066,144480,153460,161393,100,"tower"
408,385776,270096,303968,400394,775,458553,644000,670462,640395,624173,603650,738547,100,"tower"
420,59783,0,0,1098,43087,60664,114571,117913,115332,88666,16694,0,100,"tower"
465,688100,653849,284925,149774,522973,631804,711010,686757,622578,463365,362430,567204,100,"tower"
469,2694163,2323865,1891452,1669961,2069778,1895777,2676448,2451734,2124697,2336174,1531825,2440936,100,"tower"
470,2259737,1942575,2408867,2218675,1971530,2144652,2412081,2385146,1215293,951161,1772428,2226940,100,"tower"
478,0,0,0,0,0,0,0,0,0,0,0,0,100,"tower"
492,1050344,1001818,532892,793985,886465,978240,966384,1062493,784314,659416,904231,1100700,100,"tower"
493,2512,0,12951,42861,22889,5442,9898,589,0,3580,0,0,100,"tower"
525,1880226,1842081,1911884,892705,1461533,1677918,1841071,1742462,1661778,1758286,1818637,1799115,100,"tower"
527,401972,440286,424314,370555,402480,396111,490525,473198,198013,464762,451885,371472,100,"tower"
533,395360,93509,223777,72079,218465,491461,629498,567463,144945,43168,177098,159302,100,"tower"
550,183446,203317,241451,45642,7328,0,0,125090,74423,50385,165394,176961,100,"tower"
562,0,105553,0,0,25796,47019,47049,0,20765,0,28885,93231,100,"tower"
