"Plant.Code","CD_january","CD_february","CD_march","CD_april","CD_may","CD_june","CD_july","CD_august","CD_september","CD_october","CD_november","CD_december","percentAllocation","cooling"
994,1867310,1708468,1677746,997746,1313285,2279145,2917842,2920223,3184082,2917945,3114130,3023808,100,"tower"
997,1165042,18120,16038,3330,1078,1185198,1409639,979370,10,400273,1093257,369786,100,"tower"
1001,232601,166704.9,168209,126956.3,124998.8,137785.4,233686.1,209801.5,0,126068.8,211605.1,137109.8,10,"tower"
1007,420327,317660,395125,323248,75358,193466,329903,499114,416276,311182,563303,425860,100,"tower"
1016,1971,0,1383,15691,3250,4242,6899,7857,18075,17587,12545,1556,100,"tower"
1040,59809,17001,9714,188,2980,28761,112656,59298,21534,0,0,7857,100,"tower"
1122,90124,119268,86061,52050,26844,123959,67121,182607,95838,66092,4537,12557,100,"tower"
1131,530.4,570.6,56.8,0,1328.6,0.4,1818.4,460.8,1152,651.2,0,0,20,"tower"
1206,5714,3415,1829,9,239,8175,8622,15136,5666,9,5361,2246,100,"tower"
1217,0,971,0,0,5901,5132,10798,13162,11469,2089,0,2552,100,"tower"
1230,0,0,0,0,0,482,0,755,5171,0,0,0,100,"tower"
1233,0,0,0,0,0,0,31883,142,0,0,12757,0,100,"tower"
1235,0,0,0,0,0,15572,0,0,0,0,0,0,100,"tower"
1250,1390546,1516249,1428209,279652,1306764,1271502,1514445,1483368,1209537,1199520,1326072,1263302,100,"tower"
1271,319,69,9874,24579,33075,33219,52684,40571,30113,31747,10556,70,100,"tower"
1317,0,0,0,0,0,0,15051,0,23439,6716,0,0,100,"tower"
1330,0,0,0,0,0,0,0,147,577,0,0,0,100,"tower"
1336,0,0,117942,162906,0,17792,16768,19944,0,0,0,0,100,"tower"
1353,295847,209833,435911,584798,449310,280003,777407,706026,752141,100007,213196,486556,100,"tower"
1355,903059,156263,1009434,950773,670396,172393,907155,685852,900686,145622,0,223463,100,"tower"
1356,6337941,5552712,5025777,4939543,5657644,5893853,6259937,5571969,4714366,3049503,4407915,4905164,100,"tower"
1363,822530,775903,897369,798592,795956,714398,856771,833154,840100,898446,886028,649993,100,"tower"
1364,3645474,3044387,3909373,3076112,3687210,3537844,3808358,3660985,3197641,2564684,2396851,2573817,100,"tower"
1378,208154,74583.8,9888.6,81.5,69021.7,246856,77996.3,166068.8,212272.1,147132.1,2,220265.1,10,"tower"
1378,958684,693755,1153802,428599,1061770,1122479,1169031,1222198,1187451,1217531,644458,1191699,100,"tower"
1382,122400,0,0,0,0,0,0,0,0,0,0,0,100,"tower"
1384,45134.2,4744.4,17909,47.6,0,16547.6,9595.2,28380.2,22315.2,0,21000.2,0,20,"tower"
1393,2013324,2680187,1574764,890283,1918900,2419414,2880328,2324848,2444651,1190310,1005264,1522284,100,"tower"
1400,41184.2,11676.3,22003.1,50749.4,73944.1,52850,71711.3,82456.6,60939.2,56008.6,50214.8,21844.8,10,"tower"
1404,0,0,0,0,9362,3534,5225,2535,0,2926,0,0,100,"tower"
1439,29323,4965,16467,45725,33944,47649,45365,79053,39401,39083,52987,4608,100,"tower"
1464,138549,6952,48015,67625,124729,28741,0,46133,44238,51796,0,405,100,"tower"
1564,0,0,0,0,97,474,19883,0,0,8491,0,0,100,"tower"
1571,0,0,0,0,1519,0,48276,285915,246959,0,0,0,100,"tower"
1595,46065,50361,61296,58651,20769,41005,12460,18074,27866,33457,48633,33572,100,"tower"
