"Plant.Code","CD_january","CD_february","CD_march","CD_april","CD_may","CD_june","CD_july","CD_august","CD_september","CD_october","CD_november","CD_december","percentAllocation","cooling"
3,2537762,2612120,1859566,2029310,2222512,2403392,2586136,2711528,2457642,2465836,2493040,2782182,100,"tower"
26,2532392,1119121,2405196,2317678,2880563,2866478,2834387,2998766,2698720,2474063,2697869,239338,100,"tower"
51,2949108,2682184,2943383,424427,2788077,2792821,1981427,2702641,2615286,2408140,2755784,2392620,100,"tower"
56,1553775,1358829,1155215,942350,1422366,1362319,1750040,1208593,809688,824885,1391786,1343913,100,"tower"
59,370274,330697,289023,155712,266499,302914,341520,346144,286385,205032,268501,334311,100,"tower"
60,309934,272655,264975,57647,235569,278627,291480,286791,262719,177331,263650,239823,100,"tower"
87,951933,778578,907693,253308,800758,823989,884049,870476,844331,868186,885350,902205,100,"tower"
96,86491.6,92902.2,99764.2,116185.4,105060.2,89299.8,118343.6,120976.8,69384.4,96674.6,102228.8,106750,20,"tower"
108,1320212,1246683,1226035,613887,923173,1267856,1394225,1322545,1290290,1230204,1200967,1300868,100,"tower"
113,3442984,3070315,3567657,3227620,3704024,3342827,3672158,2694449,2719266,2652849,3250464,3627235,100,"tower"
116,1144,0,0,75,0,7823,47914,127202,82742,71680,1278,0,100,"tower"
117,316840,247918,343458,218066,90381,499504,697418,764723,565861,722070,477244,528226,100,"tower"
120,190924,168777,26159,22962,180704,170137,183917,202296,169292,147190,198790,196403,100,"tower"
126,315638,295849,409909,385842,360281,577061,852263,795869,545085,433958,274373,246329,100,"tower"
127,1951828,2091443,1827516,152364,1147119,1648572,2256702,2007247,2101404,2168347,1243798,1789173,100,"tower"
130,7103965,6438172,5785444,4056844,6143546,6837623,8295913,7879379,6427375,5226222,5676444,6262153,100,"tower"
136,4060374,3680212,2635390,2753088,4044852,4275947,4489075,4446335,4146368,3266497,2782352,4149328,100,"tower"
141,24,0,0,13294,0,4181,72861,100786,0,11407,3299,14,100,"tower"
147,24428,1171,70024,8373,37989,100805,211521,223101,170819,135528,41078,0,100,"tower"
160,1135135,1032278,523319,858592,1064101,1141910,1299101,1209530,1158313,1051115,1015438,1072332,100,"tower"
165,3861088,3350998,3135829,1908543,2137182,3416054,3833646,3765749,3620861,2365504,2819572,3089651,100,"tower"
167,0,0,0,0,0,104813,120266,217441,37603,0,0,0,100,"tower"
169,0,0,0,0,0,0,176915,148923,164859,0,0,0,100,"tower"
201,12868.2,284.55,0,0,0,4121.25,12996,18836.1,1789.2,0,0,0,15,"tower"
207,4392192,3137219,1862311,3598533,4206093,4008509,4449190,4884868,4368043,3468795,3713099,4218447,100,"tower"
298,6003505,3352288,6093278,5830621,5784618,6613772,5914599,6734032,6382814,5842477,5955257,5075509,100,"tower"
329,7890,0,841,0,0,0,25630,25802,33037,15957,27030,0,100,"tower"
331,0,0,69018,101356,26289,47409,332590,179415,339457,169895,188172,63350,100,"tower"
358,1000328,789351,1093205,1416913,1331058,794680,1513856,1518811,1524934,1291209,1520285,1130431,100,"tower"
377,97103,78453,89731,99600,94320,101578,92145,95192,138421,117731,122883,126602,100,"tower"
384,1002895.8,810611.7,727108.8,639601.5,251551.5,775414.2,973179.3,1013728.2,885581.4,792150.9,854475,875812.2,30,"tower"
389,117714,103634,265011,263240,119008,192592,204153,212027,196272,55099,112896,115714,100,"tower"
408,213669,525670,3989,49818,21614,148351,319930,102783,356522,725282,691256,447296,100,"tower"
420,0,0,0,0,68470,70,23283,37047,99049,0,0,18497,100,"tower"
465,333306,188685,124808,339874,329358,445127,448508,460115,582269,318814,508138,554972,100,"tower"
469,1961439,1691745,2010359,1181588,1203440,2031575,2212697,1942011,1929573,1477175,2041116,2471403,100,"tower"
470,0,0,0,0,0,0,1093424.85,1318225.23,1441380.15,873879.3,1011974.04,780623.55,63,"tower"
470,2231385,2178721,2291097,2033853,1497894,1465976,2248664,2208016,944435,947291,1097710,2086674,100,"tower"
478,12276,0,0,1956,0,6405,24230,5079,3476,4163,0,0,100,"tower"
492,927895,740505,570476,840530,919253,837415,929080,931565,687555,795003,775353,771844,100,"tower"
493,0,0,7411,0,0,12290,0,0,7369,0,0,12023,100,"tower"
525,1891799,1639621,1647084,1728598,1741467,1611200,1796341,1776140,1686730,1618899,1283449,2220816,100,"tower"
527,349288,378168,372364,380967,413575,387089,440057,445308,138721,2932,7297,177136,100,"tower"
533,630298,562769,447120,387568,643869,822057,838933,872420,556598,482584,472217,779700,100,"tower"
550,192434,162373,187909,178260,90698,2219,125984,176559,181036,137830,172333,174681,100,"tower"
562,0,0,37429,0,79965,28444,211408,86323,62169,0,2406,0,100,"tower"
564,3071306,2611466,1743179,1829030,3140050,3292055,3383494,3197686,2846894,1696502,2773943,2877768,100,"tower"
589,222511,191486,174931,77084,218110,187111,192656,147703,165607,167901,178044,191741,100,"tower"
594,1485979,1017379,387473,0,487341,1253738,1316390,1018609,829532,803676,452840,458152,100,"tower"
599,0,0,0,0,0,18577,138512,88475,24870,0,0,0,100,"tower"
602,2243594,2638488,3931162,2495632,2727912,2968675,3538029,3510541,2960791,2192409,1953838,4036485,100,"tower"
603,0,0,17573,0,201290,486462,429359,187231,125407,38492,0,42552,100,"tower"
612,347946.8,294754.4,238610.8,378455.2,455296.4,423113.6,457532.6,409105.2,321801.8,409718.8,326695.4,355777.4,20,"tower"
628,3859531,3702606,2140121,1915285,2223682,3947556,4652918,4608240,3018274,3623651,3322381,4349773,100,"tower"
641,284136,217190,147591.5,136919.5,130241.5,237141,276634.5,271998.5,251346.5,110784,119561.5,38909.5,50,"tower"
641,2337664,1965999,1473680,1310647,2337749,2214258,2504408,2499746,2362521,1360175,1404336,2565060,100,"tower"
643,2526,0,477199,584004,513425,614827,681526,678476,622353,697196,501791,726798,100,"tower"
663,741906,583435,567564,250026,871327,965185,943705,916905,807211,722734,723121,729159,100,"tower"
664,62952,31016,68321,161333,36530,130946,119533,114869,107017,82561,30645,65632,100,"tower"
672,7962,7196,7984,8263,10247,11395,11175,11463,11245,9485,7803,8624,100,"tower"
673,2640,0,2173,0,34743,25404,29351,0,19702,0,2913,11852,100,"tower"
676,1540626,905266,451615,389368,998422,1556878,519680,1130991,1415672,1073679,779519,1288421,100,"tower"
688,442370,174243,260601,411523,399887,495862,411228,480588,429368,340537,241565,381954,100,"tower"
689,272761,378094,316426,203575,292206,146327,353948,333539,309796,261095,304098,309858,100,"tower"
693,44139,0,2225,0,14659,13161,8471,84,2724,0,0,17556,100,"tower"
703,9276097,8626694,9310236,11119524,11311156,10221866,11258602,10911118,10070747,8098244,7463012,9943211,100,"tower"
