"Plant.Code","CD_january","CD_february","CD_march","CD_april","CD_may","CD_june","CD_july","CD_august","CD_september","CD_october","CD_november","CD_december","percentAllocation","cooling"
3,2192912,2438778,2389990,2479842,2592064,2656692,2774318,2977718,2769098,2930244,2970426,2599848,100,"tower"
26,0,589121,2881832,2269421,2563947,2559626,2918917,2874538,2591459,2623985,2436384,1986493,100,"tower"
51,2655080,2554247,1607249,1280549,2409045,2643327,2796702,2789426,2762543,2290583,2742841,2937950,100,"tower"
56,1794449,1155823,1379261,1463282,1268441,1706154,1837029,1595275,1311748,1514227,723601,679408,100,"tower"
59,344857,290990,332025,225220,308542,308710,324904,322564,276938,209007,266906,277268,100,"tower"
60,642196,641659,563869,370400,721632,644975,955546,934659,852072,588822,526001,858946,100,"tower"
87,891898,862704,891702,870628,830132,793765,874819,821612,800741,776279,760968,862170,100,"tower"
96,106400,97405.4,105075.2,119365,101558.4,96160.6,98763.6,56220.4,93933.8,101786.2,99311.2,104385.6,20,"tower"
108,1147132,1114645,1120124,1269394,1235366,1209721,1353331,1325670,1234994,1277136,1338021,1381286,100,"tower"
113,3757081,3275945,3380582,2938976,2850805,3590249,3173273,3955276,3707276,3444811,3562441,2971764,100,"tower"
116,2650,14129,1583,3498,0,46925,143984,191057,64099,86222,3062,16052,100,"tower"
117,250080,188966,130763,354851,237483,463198,928092,986982,490883,406737,410431,615092,100,"tower"
118,0,0,0,0,0,0,0,0,10632,0,0,0,100,"tower"
120,168242,145290,0,129616,130647,140810,121531,112468,39926,0,0,0,100,"tower"
126,354596,480440,482640,432436,439530,761653,755897,724537,574162,572704,376906,311698,100,"tower"
127,1920718,1425521,1771708,140807,1998553,1957501,2558312,2301228,2116293,1911144,448916,863843,100,"tower"
130,6057574,5198344,5274927,4365415,6198154,6602508,6776254,7157737,6546470,4427198,4749301,5599096,100,"tower"
136,4290965,3878803,3651085,2607696,4307756,4157309,4161976,4224860,3409995,2585452,2318832,3629474,100,"tower"
141,2216,47,0,12196,0,17589,73133,188950,27125,0,0,92,100,"tower"
147,24361,25953,6841,59026,81458,148656,190616,257157,232074,127240,120738,43181,100,"tower"
160,1100941,919955,661694,524974,865780,1075334,1197566,1273078,1131889,1010469,819883,943232,100,"tower"
