month,gen_type,year,thermal_efficiency-Weighted_average_across_all_bogens,boiler_efficiency,CD/MWh-Weighted_average_across_all_bogens,date
January,oil^NGCC,2008,0.3833072580645752,0.0,3.531435528257375,2008-01-01
February,oil^NGCC,2008,0.3938061293781382,0.0,3.3463325238676616,2008-02-01
March,oil^NGCC,2008,0.3917279242162225,0.0,3.3821721320004428,2008-03-01
April,oil^NGCC,2008,0.39711008537913345,0.0,3.290091781327592,2008-04-01
May,oil^NGCC,2008,0.39072765030784595,0.0,3.3995729043185285,2008-05-01
June,oil^NGCC,2008,0.3805182135429854,0.0,3.5823403789863466,2008-06-01
July,oil^NGCC,2008,0.38129917903697447,0.0,3.5680031765578106,2008-07-01
August,oil^NGCC,2008,0.37500905719208855,0.0,3.6850843675280465,2008-08-01
September,oil^NGCC,2008,0.38002928414750264,0.0,3.5913352014476554,2008-09-01
October,oil^NGCC,2008,0.3877304815888912,0.0,3.4522363003606737,2008-10-01
November,oil^NGCC,2008,0.3774042590403393,0.0,3.6400489091177866,2008-11-01
December,oil^NGCC,2008,0.37969343780701453,0.0,3.597525884583341,2008-12-01
January,oil^NGCC,2009,0.38576698240959745,0.0,3.487172908751184,2009-01-01
February,oil^NGCC,2009,0.3834191912878688,0.0,3.529410137271121,2009-02-01
March,oil^NGCC,2009,0.3871744652193638,0.0,3.4620834710576247,2009-03-01
April,oil^NGCC,2009,0.39369275439839835,0.0,3.3482754302553346,2009-04-01
May,oil^NGCC,2009,0.3862735392380231,0.0,3.478124770328145,2009-05-01
June,oil^NGCC,2009,0.38297238810741685,0.0,3.5375050816514024,2009-06-01
July,oil^NGCC,2009,0.391795077350745,0.0,3.3810138562633467,2009-07-01
August,oil^NGCC,2009,0.38800814849654075,0.0,3.447319429972934,2009-08-01
September,oil^NGCC,2009,0.3834578348435219,0.0,3.528725755115556,2009-09-01
October,oil^NGCC,2009,0.3841964387698653,0.0,3.5153739790950844,2009-10-01
November,oil^NGCC,2009,0.38043006047406835,0.0,3.5839616979169597,2009-11-01
December,oil^NGCC,2009,0.387197433181535,0.0,3.461680997907249,2009-12-01
January,oil^NGCC,2010,0.3898582338858432,0.0,3.4147706813630254,2010-01-01
February,oil^NGCC,2010,0.38301187901271666,0.0,3.5368002220069714,2010-02-01
March,oil^NGCC,2010,0.37279916151851406,0.0,3.7271576488479035,2010-03-01
April,oil^NGCC,2010,0.37886269380957877,0.0,3.6129006269926562,2010-04-01
May,oil^NGCC,2010,0.3767271862640073,0.0,3.6527149092205393,2010-05-01
June,oil^NGCC,2010,0.3718444847243987,0.0,3.745484726002497,2010-06-01
July,oil^NGCC,2010,0.38405603174764746,0.0,3.5179051281626275,2010-07-01
August,oil^NGCC,2010,0.38263405089270514,0.0,3.543660638375205,2010-08-01
September,oil^NGCC,2010,0.38299940070993216,0.0,3.5370323885755894,2010-09-01
October,oil^NGCC,2010,0.3783435127363951,0.0,3.6225310630862846,2010-10-01
November,oil^NGCC,2010,0.37686264683761955,0.0,3.650186808203602,2010-11-01
December,oil^NGCC,2010,0.38139464948904145,0.0,3.566256354385296,2010-12-01
January,oil^NGCC,2011,0.405225641232625,0.0,3.1558751818408926,2011-01-01
February,oil^NGCC,2011,0.4004510234428276,0.0,3.2341827583004004,2011-02-01
March,oil^NGCC,2011,0.4060445555894959,0.0,3.1426236734243185,2011-03-01
April,oil^NGCC,2011,0.39553735559677355,0.0,3.3167481829079386,2011-04-01
May,oil^NGCC,2011,0.39404473605117685,0.0,3.342235298126839,2011-05-01
June,oil^NGCC,2011,0.38546545339496563,0.0,3.4925687984900677,2011-06-01
July,oil^NGCC,2011,0.4008998019789045,0.0,3.226741867723664,2011-07-01
August,oil^NGCC,2011,0.39195291665373455,0.0,3.3782795710310842,2011-08-01
September,oil^NGCC,2011,0.38970259981675953,0.0,3.4174910319838934,2011-09-01
October,oil^NGCC,2011,0.40489592479477293,0.0,3.161214923827911,2011-10-01
November,oil^NGCC,2011,0.40532679626343904,0.0,3.1542374661641603,2011-11-01
December,oil^NGCC,2011,0.4086898605692416,0.0,3.1002020382851536,2011-12-01
January,oil^NGCC,2012,0.38135841135551424,0.0,3.5669152564500073,2012-01-01
February,oil^NGCC,2012,0.4126432947798853,0.0,3.0378135034039877,2012-02-01
March,oil^NGCC,2012,0.410261278144405,0.0,3.075259524915472,2012-03-01
April,oil^NGCC,2012,0.4443327092411313,0.0,2.577809779233991,2012-04-01
May,oil^NGCC,2012,0.40616287210723373,0.0,3.1407183974720185,2012-05-01
June,oil^NGCC,2012,0.3970147967486221,0.0,3.291704838335349,2012-06-01
July,oil^NGCC,2012,0.39786693375498844,0.0,3.277344690914665,2012-07-01
August,oil^NGCC,2012,0.39919747541791367,0.0,3.255056651279899,2012-08-01
September,oil^NGCC,2012,0.44775074884942534,0.0,2.532093129097865,2012-09-01
October,oil^NGCC,2012,0.40174154328819806,0.0,3.2128363678002976,2012-10-01
November,oil^NGCC,2012,0.4079368450015131,0.0,3.1122152696497705,2012-11-01
December,oil^NGCC,2012,0.41450819361512226,0.0,3.0087878843436364,2012-12-01
January,oil^NGCC,2013,0.41147397569650185,0.0,3.0561363779536,2013-01-01
February,oil^NGCC,2013,0.4038391313963253,0.0,3.1784218513415237,2013-02-01
March,oil^NGCC,2013,0.3975361038563019,0.0,3.2829066689830486,2013-03-01
April,oil^NGCC,2013,0.4070071374149101,0.0,3.1271258153728074,2013-04-01
May,oil^NGCC,2013,0.40173924792391486,0.0,3.2128846174502463,2013-05-01
June,oil^NGCC,2013,0.38729097923033484,0.0,3.460016608506201,2013-06-01
July,oil^NGCC,2013,0.3913368587738263,0.0,3.388974318886522,2013-07-01
August,oil^NGCC,2013,0.3938816477225347,0.0,3.3450262074268933,2013-08-01
September,oil^NGCC,2013,0.3937091925394145,0.0,3.347984198663353,2013-09-01
October,oil^NGCC,2013,0.3958764089088857,0.0,3.3109741530603958,2013-10-01
November,oil^NGCC,2013,0.3983508509613006,0.0,3.2692286408267064,2013-11-01
December,oil^NGCC,2013,0.4106251032826953,0.0,3.0695068588198287,2013-12-01
January,oil^NGCC,2014,0.38926110762129496,0.0,3.425230405005496,2014-01-01
February,oil^NGCC,2014,0.39871545465224223,0.0,3.263116239351842,2014-02-01
March,oil^NGCC,2014,0.3890366506184024,0.0,3.4291794585542843,2014-03-01
April,oil^NGCC,2014,0.3889630047883179,0.0,3.430483149296006,2014-04-01
May,oil^NGCC,2014,0.34282473918242035,0.0,4.351344135130198,2014-05-01
