month,gen_type,year,thermal_efficiency-Weighted_average_across_all_bogens,boiler_efficiency,CD/MWh-Weighted_average_across_all_bogens,date
January,gas^NGCC,2008,0.4552060207937656,0.0,2.4347388150928753,2008-01-01
February,gas^NGCC,2008,0.45427135656210504,0.0,2.4467684667730687,2008-02-01
March,gas^NGCC,2008,0.45087264658448695,0.0,2.4909323573662148,2008-03-01
April,gas^NGCC,2008,0.4526736620089917,0.0,2.4674469474428404,2008-04-01
May,gas^NGCC,2008,0.447439960868595,0.0,2.536218788490519,2008-05-01
June,gas^NGCC,2008,0.4456161760681102,0.0,2.5605631340457,2008-06-01
July,gas^NGCC,2008,0.44790462642854184,0.0,2.5300479563706992,2008-07-01
August,gas^NGCC,2008,0.45338124951956016,0.0,2.4582709126353945,2008-08-01
September,gas^NGCC,2008,0.45376597389544077,0.0,2.4532938824571318,2008-09-01
October,gas^NGCC,2008,0.455615003362353,0.0,2.4294906435043093,2008-10-01
November,gas^NGCC,2008,0.4563663364040119,0.0,2.419873601554585,2008-11-01
December,gas^NGCC,2008,0.45421335557624626,0.0,2.4475166300482547,2008-12-01
January,gas^NGCC,2009,0.45010571057030796,0.0,2.500990377014514,2009-01-01
February,gas^NGCC,2009,0.45822800049848067,0.0,2.3961801070204816,2009-02-01
March,gas^NGCC,2009,0.4570679901767033,0.0,2.4109209185661302,2009-03-01
April,gas^NGCC,2009,0.45865483237456306,0.0,2.3907749557033826,2009-04-01
May,gas^NGCC,2009,0.45230795213764535,0.0,2.4722006308126097,2009-05-01
June,gas^NGCC,2009,0.45534409319385794,0.0,2.4329661204902333,2009-06-01
July,gas^NGCC,2009,0.4530682064750623,0.0,2.462326808547353,2009-07-01
August,gas^NGCC,2009,0.45288416897786327,0.0,2.464714137460738,2009-08-01
September,gas^NGCC,2009,0.4564667073712304,0.0,2.4185912116921666,2009-09-01
October,gas^NGCC,2009,0.45320997947293196,0.0,2.4604892292553577,2009-10-01
November,gas^NGCC,2009,0.45702207516271304,0.0,2.41150580656377,2009-11-01
December,gas^NGCC,2009,0.45529745317881276,0.0,2.4335647021716094,2009-12-01
January,gas^NGCC,2010,0.4548564870545136,0.0,2.4392318352766202,2010-01-01
February,gas^NGCC,2010,0.45763168234476825,0.0,2.4037485226309365,2010-02-01
March,gas^NGCC,2010,0.4595469655640343,0.0,2.3795096706751315,2010-03-01
April,gas^NGCC,2010,0.4545634027564538,0.0,2.4430043972792457,2010-04-01
May,gas^NGCC,2010,0.4474339319719033,0.0,2.536298860797924,2010-05-01
June,gas^NGCC,2010,0.45209365373159727,0.0,2.4749899068674113,2010-06-01
July,gas^NGCC,2010,0.45007732669950756,0.0,2.501363270799837,2010-07-01
August,gas^NGCC,2010,0.45249743553332744,0.0,2.4697365759085295,2010-08-01
September,gas^NGCC,2010,0.456462232825153,0.0,2.418648470876757,2010-09-01
October,gas^NGCC,2010,0.45879208390700776,0.0,2.389038923793934,2010-10-01
November,gas^NGCC,2010,0.4619773515668804,0.0,2.3490417102496597,2010-11-01
December,gas^NGCC,2010,0.4565305979813774,0.0,2.4177752281173497,2010-12-01
January,gas^NGCC,2011,0.45769730573865064,0.0,2.402914584640384,2011-01-01
February,gas^NGCC,2011,0.4529015609365156,0.0,2.4644885540108286,2011-02-01
March,gas^NGCC,2011,0.4588612046164556,0.0,2.3881651048453505,2011-03-01
April,gas^NGCC,2011,0.4566669002174316,0.0,2.416035215603874,2011-04-01
May,gas^NGCC,2011,0.45198255906819534,0.0,2.4764368207273595,2011-05-01
June,gas^NGCC,2011,0.449318977121262,0.0,2.5113436880420092,2011-06-01
July,gas^NGCC,2011,0.45034771756224906,0.0,2.497812886472369,2011-07-01
August,gas^NGCC,2011,0.4558476795273842,0.0,2.4265090413332455,2011-08-01
September,gas^NGCC,2011,0.4587603373317371,0.0,2.38944033308899,2011-09-01
October,gas^NGCC,2011,0.4585092680771631,0.0,2.3926170650702256,2011-10-01
November,gas^NGCC,2011,0.4618962418786609,0.0,2.350053330101351,2011-11-01
December,gas^NGCC,2011,0.46190961321678065,0.0,2.349886536339517,2011-12-01
January,gas^NGCC,2012,0.4641840475437268,0.0,2.3216540498055127,2012-01-01
February,gas^NGCC,2012,0.4671201541868921,0.0,2.285615083885909,2012-02-01
March,gas^NGCC,2012,0.46419407218857317,0.0,2.321530179376636,2012-03-01
