month,gen_type,year,thermal_efficiency-Weighted_average_across_all_bogens,boiler_efficiency,CD/MWh-Weighted_average_across_all_bogens,date
January,other^ST,2008,0.25879819816391025,0.8728166140000004,7.8320188474718515,2008-01-01
February,other^ST,2008,0.2660898924753829,0.8728166139999999,7.523896774170449,2008-02-01
March,other^ST,2008,0.27554222116177723,0.8728166139999995,7.1487461539068535,2008-03-01
April,other^ST,2008,0.29309072879649867,0.8728166139999998,6.516431000719571,2008-04-01
May,other^ST,2008,0.28731757701829824,0.872816614,6.7159268417959135,2008-05-01
June,other^ST,2008,0.2971907881766171,0.8728166140000001,6.379458497021675,2008-06-01
July,other^ST,2008,0.27803523698427707,0.8728166139999999,7.054051644816211,2008-07-01
August,other^ST,2008,0.2905000981830354,0.8728166140000003,6.6049726514432745,2008-08-01
September,other^ST,2008,0.3000365173490495,0.8728166140000005,6.2865910745398095,2008-09-01
October,other^ST,2008,0.2934909088965537,0.8728166139999994,6.502894964129199,2008-10-01
November,other^ST,2008,0.29414939606303947,0.8728166139999994,6.480701451562526,2008-11-01
December,other^ST,2008,0.28196595789929796,0.8728166139999993,6.908152027560335,2008-12-01
January,other^ST,2009,0.28436406820929877,0.8728166139999998,6.821117942996583,2009-01-01
February,other^ST,2009,0.28404872558593036,0.8728166139999999,6.832480805881932,2009-02-01
March,other^ST,2009,0.2514467916382374,0.8728166140000002,8.160752236465433,2009-03-01
April,other^ST,2009,0.280563688158031,0.8728166140000001,6.959732595217555,2009-04-01
May,other^ST,2009,0.2969834853042262,0.8728166140000004,6.386294977655516,2009-05-01
June,other^ST,2009,0.28730663833910136,0.8728166139999998,6.716313094840155,2009-06-01
July,other^ST,2009,0.28768021551991285,0.8728166139999999,6.703159488276182,2009-07-01
August,other^ST,2009,0.28978476138568354,0.8728166139999995,6.629697575212129,2009-08-01
September,other^ST,2009,0.28908860037388845,0.8728166139999998,6.653881399195111,2009-09-01
October,other^ST,2009,0.2883139493443712,0.8728166140000001,6.680924923362208,2009-10-01
November,other^ST,2009,0.27826475402825485,0.8728166140000007,7.04541817238702,2009-11-01
December,other^ST,2009,0.24299261990406482,0.8728166140000002,8.563389929190183,2009-12-01
January,other^ST,2010,0.2757486110994265,0.8728166139999997,7.140840033261827,2010-01-01
February,other^ST,2010,0.20847605961233318,0.8728166140000001,10.546108024054366,2010-02-01
March,other^ST,2010,0.2428438892110549,0.8728166139999998,8.570721485939945,2010-03-01
April,other^ST,2010,0.261848444779314,0.8728166139999993,7.701038432030098,2010-04-01
May,other^ST,2010,0.27838065263089407,0.8728166139999992,7.0410667225679395,2010-05-01
June,other^ST,2010,0.29632041412772786,0.8728166139999995,6.4082202117025755,2010-06-01
July,other^ST,2010,0.2688069769165625,0.872816614,7.413357491445159,2010-07-01
August,other^ST,2010,0.2601061699053442,0.872816614,7.775474053069262,2010-08-01
September,other^ST,2010,0.26560343938606373,0.8728166140000007,7.543927845354519,2010-09-01
October,other^ST,2010,0.2621024868699025,0.8728166140000004,7.690265474142893,2010-10-01
November,other^ST,2010,0.22070228438123438,0.8728166139999999,9.772865882416069,2010-11-01
December,other^ST,2010,0.26510336864487855,0.8728166139999998,7.5645921696206875,2010-12-01
January,other^ST,2011,0.19696834505238067,0.8728166139999997,11.361607108484712,2011-01-01
February,other^ST,2011,0.18746763467094793,0.8728166140000002,12.110316538942628,2011-02-01
March,other^ST,2011,0.19882917490364224,0.8728166140000002,11.223338309069424,2011-03-01
April,other^ST,2011,0.21350498991412797,0.8728166140000007,10.217341821213713,2011-04-01
May,other^ST,2011,0.18742255078296102,0.8728166139999998,12.114046757861693,2011-05-01
June,other^ST,2011,0.20782209521160788,0.8728166139999997,10.59003242248012,2011-06-01
July,other^ST,2011,0.2190176650745931,0.8728166139999999,9.874291849525653,2011-07-01
August,other^ST,2011,0.20868244495990154,0.872816614,10.532295126611158,2011-08-01
September,other^ST,2011,0.1864892969802874,0.8728166140000001,12.191746801212199,2011-09-01
October,other^ST,2011,0.19319103280253613,0.8728166139999999,11.650445887256105,2011-10-01
November,other^ST,2011,0.17112445696155992,0.8728166140000001,13.592761495426126,2011-11-01
December,other^ST,2011,0.16299807165921879,0.8728166139999991,14.440542878319599,2011-12-01
January,other^ST,2012,0.2271169148853143,0.8883045257506323,9.633171276095204,2012-01-01
February,other^ST,2012,0.24414501643173642,0.8839566078358617,8.662557401129568,2012-02-01
March,other^ST,2012,0.25331907679449117,0.8862431718037699,8.256071394492187,2012-03-01
April,other^ST,2012,0.24529192432244323,0.8892196398407384,8.679312116837126,2012-04-01
May,other^ST,2012,0.25453302957775026,0.8942070921181744,8.307181166209256,2012-05-01
June,other^ST,2012,0.25374940734412577,0.8923039823874602,8.317780514699963,2012-06-01
July,other^ST,2012,0.27436231345678214,0.8944103107750176,7.462715781854736,2012-07-01
August,other^ST,2012,0.2593848139242876,0.8942760083449305,8.08888297771091,2012-08-01
September,other^ST,2012,0.243295029942275,0.8908667952851868,8.801653987995257,2012-09-01
October,other^ST,2012,0.2246778152827514,0.8862733494233502,9.743937970029691,2012-10-01
November,other^ST,2012,0.2209873422947458,0.8843384589903489,9.93376338495483,2012-11-01
December,other^ST,2012,0.22607486563524587,0.8878556591420002,9.686519449556224,2012-12-01
January,other^ST,2013,0.226570835464347,0.8893798225858277,9.68080109082881,2013-01-01
February,other^ST,2013,0.20522989922045287,0.8856990761609388,10.981068752077263,2013-02-01
March,other^ST,2013,0.18729875967577345,0.8812763063925235,12.278426706444947,2013-03-01
April,other^ST,2013,0.1947538836779772,0.8829959008086002,11.70792319625038,2013-04-01
May,other^ST,2013,0.19449039585025366,0.885434123114693,11.771199535536322,2013-05-01
June,other^ST,2013,0.18703208210508954,0.8845209135040143,12.359995771428835,2013-06-01
July,other^ST,2013,0.23692000838999233,0.8912080773840232,9.135211831076209,2013-07-01
August,other^ST,2013,0.1854722295476311,0.8832252057085923,12.468805580748189,2013-08-01
September,other^ST,2013,0.20769998220161576,0.8842977928972425,10.7868799543531,2013-09-01
October,other^ST,2013,0.19420899466461705,0.8804111170351432,11.70493780853008,2013-10-01
November,other^ST,2013,0.18047723944089536,0.8782681127729544,12.814598525323111,2013-11-01
December,other^ST,2013,0.1996891551083541,0.8839332185287204,11.350257202158016,2013-12-01
January,other^ST,2014,0.27949469760825774,0.8778862041521771,7.061289938453959,2014-01-01
February,other^ST,2014,0.26546706767253775,0.8691089626549632,7.501894041399616,2014-02-01
March,other^ST,2014,0.25997859842861515,0.8746779015394378,7.805388865511627,2014-03-01
April,other^ST,2014,0.2449444723563538,0.875289881014572,8.50241798457718,2014-04-01
May,other^ST,2014,0.2665015957275464,0.8664367747298275,7.42531425093908,2014-05-01
June,other^ST,2014,0.260984555441606,0.8735814006402938,7.747822831697994,2014-06-01
July,other^ST,2014,0.2657084792709516,0.8860975075060382,7.710139393754264,2014-07-01
August,other^ST,2014,0.2483949218109425,0.888801644831654,8.52252492758653,2014-08-01
September,other^ST,2014,0.26397755496211706,0.8780716930840486,7.679337140717161,2014-09-01
October,other^ST,2014,0.2679880050332082,0.8682807590423888,7.388684139421778,2014-10-01
November,other^ST,2014,0.25811089345095756,0.8650326027545919,7.759064810338366,2014-11-01
December,other^ST,2014,0.2106951983845601,0.8716481747682725,10.380168531811494,2014-12-01
January,other^ST,2015,0.30729615129931487,0.8760786317373188,6.0936877555091815,2015-01-01
February,other^ST,2015,0.3162033167629143,0.8806858134526274,5.875639841289072,2015-02-01
March,other^ST,2015,0.3110091523344652,0.8808228431324858,6.032256207955194,2015-03-01
April,other^ST,2015,0.23218725086871006,0.8775463167035631,9.190180351430293,2015-04-01
May,other^ST,2015,0.28371161648945037,0.8897920230103228,7.04881858605213,2015-05-01
June,other^ST,2015,0.2930887706636146,0.8744949040758143,6.5360385904366005,2015-06-01
July,other^ST,2015,0.29461635934612024,0.8781806482342578,6.527140538188331,2015-07-01
August,other^ST,2015,0.28253220950026225,0.8832940905706078,7.0140017753175306,2015-08-01
September,other^ST,2015,0.28770818749821797,0.886022055682379,6.85878560202558,2015-09-01
October,other^ST,2015,0.2926295855864006,0.8664718679295991,6.458092806042595,2015-10-01
November,other^ST,2015,0.315893218055939,0.8762131217814828,5.836445628308062,2015-11-01
December,other^ST,2015,0.31288917858754417,0.861712243379,5.767103438821531,2015-12-01
January,other^ST,2016,0.3296740978777192,0.8763354715069416,5.253544819102961,2016-01-01
February,other^ST,2016,0.32724935770617025,0.8766123708625864,5.30672449949047,2016-02-01
March,other^ST,2016,0.3183262951850128,0.8757327598648382,5.555558772824502,2016-03-01
April,other^ST,2016,0.32597053601799125,0.8798527842580728,5.551363987198503,2016-04-01
May,other^ST,2016,0.31794088230567913,0.8766134268302197,5.6618056488594215,2016-05-01
June,other^ST,2016,0.32360742536813547,0.8779426987845473,5.425217483837767,2016-06-01
July,other^ST,2016,0.32186592512140283,0.8778716035565245,5.480352943356739,2016-07-01
August,other^ST,2016,0.3227887844595499,0.8768232755003854,5.448131437876154,2016-08-01
September,other^ST,2016,0.3228448733252601,0.8758110127559977,5.416101937926381,2016-09-01
October,other^ST,2016,0.32337687727154374,0.8729478800706137,5.388914562637322,2016-10-01
November,other^ST,2016,0.31835383961792824,0.873098498825589,5.600772955056416,2016-11-01
December,other^ST,2016,0.3262285833129951,0.8736893594370138,5.309252924222792,2016-12-01
January,other^ST,2017,0.3263036539859015,0.8744166420242481,5.327218199243997,2017-01-01
February,other^ST,2017,0.3246165399697632,0.8739933206325314,5.474346786964912,2017-02-01
March,other^ST,2017,0.3241456752168032,0.8746795757378171,5.485775778382475,2017-03-01
April,other^ST,2017,0.3264682676330545,0.8757747277926268,5.376250061403629,2017-04-01
