"Plant.Code","bogen","bogen_dom_fuel","general_mover","CD_january","CD_february","CD_march","CD_april","CD_may","CD_june","CD_july","CD_august","CD_september","CD_october","CD_november","CD_december","FuelHeat_january","FuelHeat_february","FuelHeat_march","FuelHeat_april","FuelHeat_may","FuelHeat_june","FuelHeat_july","FuelHeat_august","FuelHeat_september","FuelHeat_october","FuelHeat_november","FuelHeat_december","NetGen_january","NetGen_february","NetGen_march","NetGen_april","NetGen_may","NetGen_june","NetGen_july","NetGen_august","NetGen_september","NetGen_october","NetGen_november","NetGen_december","ThermalEfficiency_january","ThermalEfficiency_february","ThermalEfficiency_march","ThermalEfficiency_april","ThermalEfficiency_may","ThermalEfficiency_june","ThermalEfficiency_july","ThermalEfficiency_august","ThermalEfficiency_september","ThermalEfficiency_october","ThermalEfficiency_november","ThermalEfficiency_december","steamHeat_january","steamHeat_february","steamHeat_march","steamHeat_april","steamHeat_may","steamHeat_june","steamHeat_july","steamHeat_august","steamHeat_september","steamHeat_october","steamHeat_november","steamHeat_december","nomLoss_january","nomLoss_february","nomLoss_march","nomLoss_april","nomLoss_may","nomLoss_june","nomLoss_july","nomLoss_august","nomLoss_september","nomLoss_october","nomLoss_november","nomLoss_december","Exported_Heat_January","Exported_Heat_February","Exported_Heat_March","Exported_Heat_April","Exported_Heat_May","Exported_Heat_June","Exported_Heat_July","Exported_Heat_August","Exported_Heat_September","Exported_Heat_October","Exported_Heat_November","Exported_Heat_December","flag_HighTE_january","flag_HighTE_february","flag_HighTE_march","flag_HighTE_april","flag_HighTE_may","flag_HighTE_june","flag_HighTE_july","flag_HighTE_august","flag_HighTE_september","flag_HighTE_october","flag_HighTE_november","flag_HighTE_december","flag_ZeroFH_ZeroNetGen_january","flag_ZeroFH_ZeroNetGen_february","flag_ZeroFH_ZeroNetGen_march","flag_ZeroFH_ZeroNetGen_april","flag_ZeroFH_ZeroNetGen_may","flag_ZeroFH_ZeroNetGen_june","flag_ZeroFH_ZeroNetGen_july","flag_ZeroFH_ZeroNetGen_august","flag_ZeroFH_ZeroNetGen_september","flag_ZeroFH_ZeroNetGen_october","flag_ZeroFH_ZeroNetGen_november","flag_ZeroFH_ZeroNetGen_december","Flag_gen_no_fuel_january","Flag_gen_no_fuel_february","Flag_gen_no_fuel_march","Flag_gen_no_fuel_april","Flag_gen_no_fuel_may","Flag_gen_no_fuel_june","Flag_gen_no_fuel_july","Flag_gen_no_fuel_august","Flag_gen_no_fuel_september","Flag_gen_no_fuel_october","Flag_gen_no_fuel_november","Flag_gen_no_fuel_december","Flag_fuel_no_gen_january","Flag_fuel_no_gen_february","Flag_fuel_no_gen_march","Flag_fuel_no_gen_april","Flag_fuel_no_gen_may","Flag_fuel_no_gen_june","Flag_fuel_no_gen_july","Flag_fuel_no_gen_august","Flag_fuel_no_gen_september","Flag_fuel_no_gen_october","Flag_fuel_no_gen_november","Flag_fuel_no_gen_december"
3,"3^5","coal","ST",431788,1063200,210055,2,551601,1753814,1865170,1908525,1769134,1912987,1591753,986421,786829.949,2001616.304,382126.312,2.04,962513.667,3341472.008,3563626.133,3731279.353,3405495.638,3678773.025,3070619.564,1857957.918,74078,198771,35872,0,83759,338003,362012,392054,349838,377358,316438,184643,0.321244135713497,0.338843402996182,0.320313682246513,0,0.296928183005219,0.345151344574723,0.34662323700049,0.358521303017539,0.35052055859365,0.35000754799761,0.351632865881135,0.339096897683341,700278.65461,1781438.51056,340092.41768,1.8156,856637.16363,2973910.08712,3171627.25837,3320838.62417,3030891.11782,3274107.99225,2732851.41196,1653582.54702,15736.59898,40032.32608,7642.52624,0.0408,19250.27334,66829.44016,71272.52266,74625.58706,68109.91276,73575.4605,61412.39128,37159.15836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,"3^7","gas","NGCC",724750,662002,683817,704145,738347,713367,799668,769601,690194,638604,563842,679030,2552455.832,2380804.119,2404962.424,2481963.015,2575461.269,2468340.84,2653513.656,2649077.996,2435609.1,2237559.669,1950704.76,2387429.888,371092,350242,349371,361016,372366,355199,372237,380035,354508,324353,280688,346766,0.496078263531731,0.501962647133676,0.495684569556501,0.496315669006857,0.493334898308657,0.491013516536881,0.478657705155598,0.489503376970408,0.496644115478136,0.49461824895808,0.490974734854289,0.495601628004751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,561540.28304,523776.90618,529091.73328,546031.8633,566601.47918,543034.9848,583773.00432,582797.15912,535834.002,492263.12718,429155.0472,525234.57536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"3^2","gas","ST",0,0,8328,0,72148,0,0,0,28816,0,0,13414,0,0,16920.05,0,110696.82,0,0,0,40609.26,0,0,17335.758,0,0,1824,0,6756,0,0,0,1790,0,0,438,0,0,0.367832444939584,0,0.208248239109308,0,0,0,0.150402410681702,0,0,0.086210093611136,0,0,14889.644,0,97413.2016,0,0,0,35736.1488,0,0,15255.46704,0,0,338.401,0,2213.9364,0,0,0,812.1852,0,0,346.71516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"3^6","gas","NGCC",759624,693981,578191,746225,763012,744287,759454,804435,709310,541657,764432,780642,2591750.632,2398807.053,1944791.64,2559131.885,2597862.009,2516686.8,2611585.27,2683264.427,2424360.75,1813878.486,2621379.568,2688524.766,369854,344985,275131,366324,370258,357189,374438,377641,346334,255911,375218,385817,0.486927103239923,0.490717715886256,0.482717773478294,0.488426868769993,0.486312255132563,0.484279122241194,0.489218135818326,0.480222503892644,0.487443997251647,0.481401684996886,0.488405556428751,0.489659472372515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,570185.13904,527737.55166,427854.1608,563009.0147,571529.64198,553671.096,574548.7594,590318.17394,533359.365,399053.26692,576703.50496,591475.44852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"3^4","coal","ST",165132,323,617148,674288,327825,207360,607344,702453,286397,307698,239786,225239,297504.491,370.84,1128610.136,1237150.536,596351.365,363098.894,1070169.07,1291375.888,500199.504,542504.019,429183.296,394532.682,27461,0,106900,117829,55979,31810,94872,123401,43604,48148,39157,34585,0.314955838901941,0,0.323191999048288,0.324979889157159,0.320294705890377,0.298927303810515,0.302491031702122,0.326056489092508,0.297447221299124,0.302832257395682,0.311310265858996,0.299110485097911,264778.99699,330.0476,1004463.02104,1101063.97704,530752.71485,323158.01566,952450.4723,1149324.54032,445177.55856,482828.57691,381973.13344,351134.08698,5950.08982,7.4168,22572.20272,24743.01072,11927.0273,7261.97788,21403.3814,25827.51776,10003.99008,10850.08038,8583.66592,7890.65364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,"3^1","gas","ST",0,0,31734,0,64339,0,0,0,27629,0,0,12271,0,0,42676.69,0,99050.273,0,0,0,40189.02,0,0,14737.338,0,0,1456,0,6109,0,0,0,2032,0,0,118,0,0,0.116411929791181,0,0.210446297911769,0,0,0,0.172521461832112,0,0,0.0273205730912869,0,0,37555.4872,0,87164.24024,0,0,0,35366.3376,0,0,12968.85744,0,0,853.5338,0,1981.00546,0,0,0,803.7804,0,0,294.74676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"7^1","gas","ST",84086,84767,128218,106666,92761,89622,75294,140534,82223,111519,74657,88340,180190.414,182476.756,41546.622,138420.5,0,203585.649,171092.541,124305.23,0,103012.846,157132.579,191536.18,14025,14303,2944,10606,15900,15294,12760,9181,0,7733,12002,14526,0.265581627999367,0.267452356616861,0.241784763151141,0.261443621717881,9999,0.256330784691017,0.254475771681946,0.252015601757062,0,0.256143574753774,0.260623891879226,0.258774846820063,155864.70811,157842.39394,35937.82803,119733.7325,0,176101.586385,147995.047965,107524.02395,0,89106.11179,135919.680835,165678.7957,3603.80828,3649.53512,830.93244,2768.41,0,4071.71298,3421.85082,2486.1046,0,2060.25692,3142.65158,3830.7236,20322,20624,34314,30683,28309,30225,25742,59418,28526,38605,17169,23945,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"7^2","gas","ST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,238565.808,96517.62,207480.26,0,0,209209.825,187360.201,149885.941,0,0,0,0,18792,7323,0,0,0,14813,13942,10900,0,0,0,0,0.268776717910892,0.258886421152946,0,0,0,0.241594914674777,0.253906943022547,0.248137522117568,0,0,0,0,206359.42392,83487.7413,179470.4249,0,0,180966.498625,162066.573865,129651.338965,0,0,0,0,4771.31616,1930.3524,4149.6052,0,0,4184.1965,3747.20402,2997.71882,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,"8^5","coal","ST",1935741,1604008,1774015,1158501,1367954,1884593,2031073,1423619,1820552,1858502,0,183816,3858538.672,3152264.006,3446535.198,2261792.035,2722664.3,3736323.096,4061496.432,2803794.349,3581594.444,3677057.886,0,327271.896,417657,334588,359882,237843,294105,401449,441527,298501,380720,393967,0,29671,0.369337792652296,0.362171790226634,0.356290505372637,0.358810006163984,0.368582874759845,0.366617167644433,0.370935186821801,0.363267442386874,0.362707157695155,0.365583192067268,0,0.309350137232682,3437957.956752,2808667.229346,3070862.861418,2015256.703185,2425893.8913,3329063.878536,3618793.320912,2498180.764959,3191200.649604,3276258.576426,0,291599.259336,77170.77344,63045.28012,68930.70396,45235.8407,54453.286,74726.46192,81229.92864,56075.88698,71631.88888,73541.15772,0,6545.43792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"8^4","coal","ST",373795,379820,349042,286179,256918,360776,389952,468731,383482,421904,21538,457852,680160.026,682975.8,622681.774,503023.962,456380.726,652407.08,703647,832091.344,688668.463,757416.816,32105.472,800816.607,62879,61827,55562,43651,40402,59659,64098,73572,62197,68365,1827,68832,0.315443341064563,0.308887049555782,0.304465829250368,0.29609588089563,0.30206639418861,0.312021231069411,0.310825385058133,0.301695199559725,0.308166967099813,0.307982271019449,0.194171877616376,0.293281156293503,601941.62301,604433.583,551073.36999,445176.20637,403896.94251,577380.2658,622727.595,736400.83944,609471.589755,670313.88216,28413.34272,708722.697195,13603.20052,13659.516,12453.63548,10060.47924,9127.61452,13048.1416,14072.94,16641.82688,13773.36926,15148.33632,642.10944,16016.33214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
