"Plant.Code","bogen","bogen_dom_fuel","general_mover","CD_january","CD_february","CD_march","CD_april","CD_may","CD_june","CD_july","CD_august","CD_september","CD_october","CD_november","CD_december","FuelHeat_january","FuelHeat_february","FuelHeat_march","FuelHeat_april","FuelHeat_may","FuelHeat_june","FuelHeat_july","FuelHeat_august","FuelHeat_september","FuelHeat_october","FuelHeat_november","FuelHeat_december","NetGen_january","NetGen_february","NetGen_march","NetGen_april","NetGen_may","NetGen_june","NetGen_july","NetGen_august","NetGen_september","NetGen_october","NetGen_november","NetGen_december","ThermalEfficiency_january","ThermalEfficiency_february","ThermalEfficiency_march","ThermalEfficiency_april","ThermalEfficiency_may","ThermalEfficiency_june","ThermalEfficiency_july","ThermalEfficiency_august","ThermalEfficiency_september","ThermalEfficiency_october","ThermalEfficiency_november","ThermalEfficiency_december","steamHeat_january","steamHeat_february","steamHeat_march","steamHeat_april","steamHeat_may","steamHeat_june","steamHeat_july","steamHeat_august","steamHeat_september","steamHeat_october","steamHeat_november","steamHeat_december","nomLoss_january","nomLoss_february","nomLoss_march","nomLoss_april","nomLoss_may","nomLoss_june","nomLoss_july","nomLoss_august","nomLoss_september","nomLoss_october","nomLoss_november","nomLoss_december","Exported_Heat_January","Exported_Heat_February","Exported_Heat_March","Exported_Heat_April","Exported_Heat_May","Exported_Heat_June","Exported_Heat_July","Exported_Heat_August","Exported_Heat_September","Exported_Heat_October","Exported_Heat_November","Exported_Heat_December","flag_HighTE_january","flag_HighTE_february","flag_HighTE_march","flag_HighTE_april","flag_HighTE_may","flag_HighTE_june","flag_HighTE_july","flag_HighTE_august","flag_HighTE_september","flag_HighTE_october","flag_HighTE_november","flag_HighTE_december","flag_ZeroFH_ZeroNetGen_january","flag_ZeroFH_ZeroNetGen_february","flag_ZeroFH_ZeroNetGen_march","flag_ZeroFH_ZeroNetGen_april","flag_ZeroFH_ZeroNetGen_may","flag_ZeroFH_ZeroNetGen_june","flag_ZeroFH_ZeroNetGen_july","flag_ZeroFH_ZeroNetGen_august","flag_ZeroFH_ZeroNetGen_september","flag_ZeroFH_ZeroNetGen_october","flag_ZeroFH_ZeroNetGen_november","flag_ZeroFH_ZeroNetGen_december","Flag_gen_no_fuel_january","Flag_gen_no_fuel_february","Flag_gen_no_fuel_march","Flag_gen_no_fuel_april","Flag_gen_no_fuel_may","Flag_gen_no_fuel_june","Flag_gen_no_fuel_july","Flag_gen_no_fuel_august","Flag_gen_no_fuel_september","Flag_gen_no_fuel_october","Flag_gen_no_fuel_november","Flag_gen_no_fuel_december","Flag_fuel_no_gen_january","Flag_fuel_no_gen_february","Flag_fuel_no_gen_march","Flag_fuel_no_gen_april","Flag_fuel_no_gen_may","Flag_fuel_no_gen_june","Flag_fuel_no_gen_july","Flag_fuel_no_gen_august","Flag_fuel_no_gen_september","Flag_fuel_no_gen_october","Flag_fuel_no_gen_november","Flag_fuel_no_gen_december"
3,"3^6","gas","NGCC",770002,670218,524158,759877,0,747971,799779,815927,617467,799279,0,716032,2643419.489,2299878.378,1815157.152,2570527.518,0,2469888.496,2637160.5,2659013.808,2031226.12,2713740.064,0,2467842.726,378624,329334,261332,364928,0,345411,368466,368729,283379,386119,0,354304,0.488729882160599,0.488605713027839,0.491252985724952,0.484408518174051,0,0.477183764145116,0.476746704358722,0.473166016014912,0.476032092901602,0.485489418142002,0,0.48987516012396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,581552.28758,505973.24316,399334.57344,565516.05396,0,543375.46912,580175.31,584983.03776,446869.7464,597022.81408,0,542925.39972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"3^4","coal","ST",649871,336918,434927,684437,0,585315,496361,648590,656117,249855,0,269198,1191028.707,604838.15,779695.65,1255742.11,0,1043111.157,880037.438,1159726.88,1170236.946,449385.225,0,472822.522,113225,55478,71339,119595,0,94429,78919,105619,106093,41357,0,41664,0.32437467647033,0.312974145099809,0.312197016181891,0.324967109130393,0,0.308888430439825,0.305990023869871,0.310751454394159,0.309342625232753,0.314019834497229,0,0.300669689672693,1060015.54923,538305.9535,693929.1285,1117610.4779,0,928368.92973,783233.31982,1032156.9232,1041510.88194,399952.85025,0,420812.04458,23820.57414,12096.763,15593.913,25114.8422,0,20862.22314,17600.74876,23194.5376,23404.73892,8987.7045,0,9456.45044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"3^1","gas","ST",80685,0,0,0,0,0,50079,0,73209,42261,0,0,136421.936,0,0,0,0,0,78156.177,0,111780.35,64522.061,0,0,10738,0,0,0,0,0,5022,0,6718,3877,0,0,0.268575277512555,0,0,0,0,0,0.219250323362157,0,0.205069643457012,0.205028583634363,0,0,120051.30368,0,0,0,0,0,68777.43576,0,98366.708,56779.41368,0,0,2728.43872,0,0,0,0,0,1563.12354,0,2235.607,1290.44122,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"3^7","gas","NGCC",745495,654158,625590,714720,0,485425,651292,625822,465936,769152,0,704155,2616103.156,2300093.982,2224282.064,2517870.498,0,1680540.662,2266582.41,2113475.98,1567775.09,2685526.76,0,2489478.28,379562,334090,325132,366125,0,241910,327269,299733,221843,388499,0,362731,0.495056427614355,0.495615336382372,0.498765835698435,0.49616124359546,0,0.491169780097829,0.492674627992017,0.483909430860908,0.482823957880336,0.493613766060555,0,0.497168006760035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,575542.69432,506020.67604,489342.05408,553931.50956,0,369718.94564,498648.1302,464964.7156,344910.5198,590815.8872,0,547685.2216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"3^2","gas","ST",86755,0,0,0,0,0,50906,0,89041,64035,0,0,142286.56,0,0,0,0,0,76986.888,0,131411.15,92519.086,0,0,10437,0,0,0,0,0,4485,0,7026,4552,0,0,0.250287203373249,0,0,0,0,0,0.198779926005062,0,0.182432736034956,0.167879536553139,0,0,125212.1728,0,0,0,0,0,67748.46144,0,115641.812,81416.79568,0,0,2845.7312,0,0,0,0,0,1539.73776,0,2628.223,1850.38172,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"3^5","coal","ST",1894861,1484856,1650636,1633853,0,2076658,2142822,1921157,1578079,0,0,564418,3649066.965,2864591.7,3151835.606,3144452.104,0,4001757.336,4134395.865,3650773.324,2994969.418,0,0,982681.584,375096,295234,319889,322925,0,411744,426173,367824,301156,0,0,85145,0.350741731438738,0.351666082380955,0.346308053117412,0.350415675945052,0,0.351077802624662,0.351722957283869,0.343781131276832,0.34310414913225,0,0,0.295646794475798,3247669.59885,2549486.613,2805133.68934,2798562.37256,0,3561564.02904,3679612.31985,3249188.25836,2665522.78202,0,0,874586.60976,72981.3393,57291.834,63036.71212,62889.04208,0,80035.14672,82687.9173,73015.46648,59899.38836,0,0,19653.63168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"7^1","gas","ST",90357,80861,93280,178386,88258,85282,90783,88191,86028,88996,75355,97131,197131.432,175521.131,75141.396,203209.656,198975.035,197511.701,213006.98,205848.108,203613.98,202606.656,113477.04,99237.789,14990,13488,5462,16896,14882,14478,15459,14953,14631,15031,8684,7616,0.259461304983571,0.26220742800478,0.248027181714857,0.283704616083795,0.255205219488968,0.250116639520005,0.247636355672476,0.247861055978226,0.245184639777681,0.25314013543563,0.261119110614799,0.26186454274994,170518.68868,151825.778315,64997.30754,175776.35244,172113.405275,170847.621365,184251.0377,178058.61342,176126.0927,175254.75744,98157.6396,85840.687485,3942.62864,3510.42262,1502.82792,4064.19312,3979.5007,3950.23402,4260.1396,4116.96216,4072.2796,4052.13312,2269.5408,1984.75578,25073,21433,31851,54409,29099,32216,36462,34731,36105,30921,23783,32317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"7^2","gas","ST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,134257.497,194674.818,0,0,0,0,0,0,52244.752,117317.319,0,0,9723,13414,0,0,0,0,0,0,3302,8076,0,0,0.247109010381744,0.235112308978761,0,0,0,0,0,0,0.215655847691649,0.234888104117006,0,0,116132.734905,168393.71757,0,0,0,0,0,0,45191.71048,101479.480935,0,0,2685.14994,3893.49636,0,0,0,0,0,0,1044.89504,2346.34638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"8^4","coal","ST",511968,362046,361545,406514,222597,204077,380946,388682,419576,427169,242496,259032,936080.712,652715.52,662250.816,729372.864,399221.376,364502.826,684414.72,698237.68,748051.52,763621.31,433369.222,425106.826,87263,59365,61929,65766,35970,32596,61862,63099,66673,68395,38795,31854,0.31808536272885,0.310336869422072,0.319079135811892,0.307665407250468,0.307435130427485,0.305133753448595,0.308412134502309,0.308351479771186,0.30412024324207,0.305613937489513,0.305453097682142,0.255677634214229,828431.43012,577653.2352,586091.97216,645494.98464,353310.91776,322585.00101,605707.0272,617940.3468,662025.5952,675804.85935,383531.76147,376219.54101,18721.61424,13054.3104,13245.01632,14587.45728,7984.42752,7290.05652,13688.2944,13964.7536,14961.0304,15272.4262,8667.38444,8502.13652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"8^3","coal","ST",450193,327713,0,58447,319277,396889,365695,163005,338864,303349,265593,0,830804.337,582455.087,0,95475.662,558659.902,709887.884,651648.427,268581.353,569840.889,512484.536,447681.912,0,78679,51615,0,7075,48055,63647,58025,20316,45149,41017,35654,0,0.323137170936555,0.302371135613414,0,0.252848631727738,0.293506634560645,0.30592503333949,0.303828591149197,0.258100703811705,0.270346884251053,0.273092623384055,0.271747498165617,0,735261.838245,515472.751995,0,84495.96087,494414.01327,628250.77734,576708.857895,237694.497405,504309.186765,453548.81436,396198.49212,0,16616.08674,11649.10174,0,1909.51324,11173.19804,14197.75768,13032.96854,5371.62706,11396.81778,10249.69072,8953.63824,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
