month,gen_type,year,thermal_efficiency-Weighted_average_across_all_bogens,boiler_efficiency,CD/MWh-Weighted_average_across_all_bogens,date
January,coal^ST,2008,0.3278911660431133,0.873790282218364,5.472818978152659,2008-01-01
February,coal^ST,2008,0.3292184306966144,0.873790282218364,5.436999300670491,2008-02-01
March,coal^ST,2008,0.3282017924940251,0.8737902822183639,5.464410011312452,2008-03-01
April,coal^ST,2008,0.32700880489531314,0.8737902822183639,5.496792679207375,2008-04-01
May,coal^ST,2008,0.32740359898957627,0.873790282218364,5.486050316040621,2008-05-01
June,coal^ST,2008,0.32681805985312457,0.873790282218364,5.501992296154743,2008-06-01
July,coal^ST,2008,0.3263097315644339,0.8737902822183639,5.515878638353866,2008-07-01
August,coal^ST,2008,0.32513573557068254,0.873790282218364,5.548115198151792,2008-08-01
September,coal^ST,2008,0.3263460934665103,0.8737902822183639,5.514883981924293,2008-09-01
October,coal^ST,2008,0.3274184921127974,0.873790282218364,5.485645624346993,2008-10-01
November,coal^ST,2008,0.33076123011184266,0.873790282218364,5.395724257595199,2008-11-01
December,coal^ST,2008,0.3279623610311104,0.8737902822183639,5.470890288959024,2008-12-01
January,coal^ST,2009,0.32920615028315936,0.8737902822183641,5.437329491373338,2009-01-01
February,coal^ST,2009,0.3289654457130329,0.8737902822183641,5.443804617230964,2009-02-01
March,coal^ST,2009,0.3270893797054008,0.8737902822183639,5.494598096665622,2009-03-01
April,coal^ST,2009,0.3254690619300768,0.873790282218364,5.538938989244215,2009-04-01
May,coal^ST,2009,0.3241556488922705,0.873790282218364,5.575206173007715,2009-05-01
June,coal^ST,2009,0.3230764339931169,0.873790282218364,5.605227393690275,2009-06-01
July,coal^ST,2009,0.32561369594174555,0.8737902822183639,5.53496298753829,2009-07-01
August,coal^ST,2009,0.3255606090901918,0.8737902822183639,5.536421877771116,2009-08-01
September,coal^ST,2009,0.32687920108589824,0.873790282218364,5.500325029183368,2009-09-01
October,coal^ST,2009,0.329163481922457,0.873790282218364,5.438476589446429,2009-10-01
November,coal^ST,2009,0.3280663742744248,0.8737902822183641,5.468073985412244,2009-11-01
December,coal^ST,2009,0.3277515231415774,0.873790282218364,5.476604561728252,2009-12-01
January,coal^ST,2010,0.32894756723369684,0.873790282218364,5.444285846274488,2010-01-01
February,coal^ST,2010,0.32893859626400673,0.873790282218364,5.444527277546467,2010-02-01
March,coal^ST,2010,0.3292074434507337,0.873790282218364,5.437294668170091,2010-03-01
April,coal^ST,2010,0.3278233868828505,0.873790282218364,5.4746559970953745,2010-04-01
May,coal^ST,2010,0.327457631241417,0.8737902822183641,5.484582080800062,2010-05-01
June,coal^ST,2010,0.327118649299873,0.8737902822183637,5.49380116145081,2010-06-01
July,coal^ST,2010,0.3253866341566141,0.8737902822183641,5.5412063834366325,2010-07-01
