"Plant.Code","bogen","bogen_dom_fuel","general_mover","CD_january","CD_february","CD_march","CD_april","CD_may","CD_june","CD_july","CD_august","CD_september","CD_october","CD_november","CD_december","FuelHeat_january","FuelHeat_february","FuelHeat_march","FuelHeat_april","FuelHeat_may","FuelHeat_june","FuelHeat_july","FuelHeat_august","FuelHeat_september","FuelHeat_october","FuelHeat_november","FuelHeat_december","NetGen_january","NetGen_february","NetGen_march","NetGen_april","NetGen_may","NetGen_june","NetGen_july","NetGen_august","NetGen_september","NetGen_october","NetGen_november","NetGen_december","ThermalEfficiency_january","ThermalEfficiency_february","ThermalEfficiency_march","ThermalEfficiency_april","ThermalEfficiency_may","ThermalEfficiency_june","ThermalEfficiency_july","ThermalEfficiency_august","ThermalEfficiency_september","ThermalEfficiency_october","ThermalEfficiency_november","ThermalEfficiency_december","steamHeat_january","steamHeat_february","steamHeat_march","steamHeat_april","steamHeat_may","steamHeat_june","steamHeat_july","steamHeat_august","steamHeat_september","steamHeat_october","steamHeat_november","steamHeat_december","nomLoss_january","nomLoss_february","nomLoss_march","nomLoss_april","nomLoss_may","nomLoss_june","nomLoss_july","nomLoss_august","nomLoss_september","nomLoss_october","nomLoss_november","nomLoss_december","Exported_Heat_January","Exported_Heat_February","Exported_Heat_March","Exported_Heat_April","Exported_Heat_May","Exported_Heat_June","Exported_Heat_July","Exported_Heat_August","Exported_Heat_September","Exported_Heat_October","Exported_Heat_November","Exported_Heat_December","flag_HighTE_january","flag_HighTE_february","flag_HighTE_march","flag_HighTE_april","flag_HighTE_may","flag_HighTE_june","flag_HighTE_july","flag_HighTE_august","flag_HighTE_september","flag_HighTE_october","flag_HighTE_november","flag_HighTE_december","flag_ZeroFH_ZeroNetGen_january","flag_ZeroFH_ZeroNetGen_february","flag_ZeroFH_ZeroNetGen_march","flag_ZeroFH_ZeroNetGen_april","flag_ZeroFH_ZeroNetGen_may","flag_ZeroFH_ZeroNetGen_june","flag_ZeroFH_ZeroNetGen_july","flag_ZeroFH_ZeroNetGen_august","flag_ZeroFH_ZeroNetGen_september","flag_ZeroFH_ZeroNetGen_october","flag_ZeroFH_ZeroNetGen_november","flag_ZeroFH_ZeroNetGen_december","Flag_gen_no_fuel_january","Flag_gen_no_fuel_february","Flag_gen_no_fuel_march","Flag_gen_no_fuel_april","Flag_gen_no_fuel_may","Flag_gen_no_fuel_june","Flag_gen_no_fuel_july","Flag_gen_no_fuel_august","Flag_gen_no_fuel_september","Flag_gen_no_fuel_october","Flag_gen_no_fuel_november","Flag_gen_no_fuel_december","Flag_fuel_no_gen_january","Flag_fuel_no_gen_february","Flag_fuel_no_gen_march","Flag_fuel_no_gen_april","Flag_fuel_no_gen_may","Flag_fuel_no_gen_june","Flag_fuel_no_gen_july","Flag_fuel_no_gen_august","Flag_fuel_no_gen_september","Flag_fuel_no_gen_october","Flag_fuel_no_gen_november","Flag_fuel_no_gen_december"
3,"3^1","coal","ST",363792,334209,371398,91993,0,282390,306038,375623,122108,0,0,120634,741465.815,665559.745,703174.675,191864.088,0,521295.996,606507.976,655056.677,221090.274,0,0,218316.72,78917,68593,67106,21049,0,47681,62073,53827,19536,0,0,19274,0.363166914687766,0.351657264097305,0.325630422967096,0.374338604001808,0,0.312095716422882,0.349215137477434,0.280380715484257,0.301503842000757,0,0,0.301239347861217,647885.623744119,581559.637416732,614427.197717056,167648.975601089,0,455503.375464143,529960.775516729,572382.158664854,193186.532914195,0,0,190763.028381788,14829.3163,13311.1949,14063.4935,3837.28176,0,10425.91992,12130.15952,13101.13354,4421.80548,0,0,4366.3344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"3^2","coal","ST",420035,315051,122386,0,271945,351830,235498,453486,42509,314845,274921,242893,834472.137,626372.241,245853.055,0,522362.536,657420.654,489836.098,758390.134,73378.365,577688.086,493537.932,441721.872,85706,64402,25651,0,51009,61392,53552,56864,5903,52280,42924,39345,0.350450132333178,0.350827552525592,0.356004537507171,0,0.333197419923698,0.318636321517212,0.373036862791603,0.255841842161939,0.274493202730805,0.308794111429883,0.296760771287586,0.303925743346483,729153.644092591,547317.977237139,214824.010312697,0,456435.30775174,574447.778794841,428014.022312162,662673.929219483,64117.3022620721,504778.235700126,431248.648887748,385972.279196904,16689.44274,12527.44482,4917.0611,0,10447.25072,13148.41308,9796.72196,15167.80268,1467.5673,11553.76172,9870.75864,8834.43744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"3^3","coal","ST",793310,642533,455298,510471,165456,528175,568996,542929,589797,9833,0,270375,1523503.916,1229971.485,909521.783,953551.041,297502.118,949605.744,1015919.14,1044269.676,1123781.813,12036.732,0,510593.04,148723,119462,94151,88998,25952,82822,87452,102186,108346,130,0,48524,0.333089854177966,0.33140692581178,0.353214622392392,0.31846605232745,0.297651182705193,0.297597461752506,0.293722655210532,0.333891662329569,0.328971083321848,0.0368520458875382,0,0.32427132449749,1331222.91672242,1074737.13099869,794731.29545132,833203.633225005,259954.459647781,829756.27104594,887700.272051638,912472.694904119,981949.627533135,10517.5794512668,0,446151.236520332,30470.07832,24599.4297,18190.43566,19071.02082,5950.04236,18992.11488,20318.3828,20885.39352,22475.63626,240.73464,0,10211.8608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"3^4","coal","ST",1228442,963525,608410,894547,992350,982973,929010,1030599,344377,395855,770128,640780,2385689.176,1870759.467,1200387.197,1780357.097,1918970.377,1897853.664,1861468.104,1909703.319,648152.175,754638.672,1484211.62,1230387.98,236939,185730,122060,183325,189346,186810,193521,175817,61257,72816,145685,120080,0.338882804848673,0.338759083345053,0.34695955558413,0.35135117924042,0.336677974909667,0.33586460615543,0.354731162742502,0.314138962011198,0.322482077576921,0.329241523736806,0.334923678808013,0.333008593923357,2084592.01838234,1634651.44263261,1048886.66763794,1555658.7302371,1676777.66728751,1658326.08867572,1626532.73993464,1668680.20206236,566349.071913696,659395.938179771,1296889.69031158,1075101.06028228,47713.78352,37415.18934,24007.74394,35607.14194,38379.40754,37957.07328,37229.36208,38194.06638,12963.0435,15092.77344,29684.2324,24607.7596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"3^5","coal","ST",933630,1686952,2260687,2010215,2007820,2004604,1610838,2205331,1916411,707567,1671491,1701557,1828315.407,3261227.76,4431967.537,4025963.631,3980114.095,3927548.397,3321173.226,4131786.134,3772920.787,1334823.976,3200127.622,3356964.732,183871,321645,446449,418263,407492,395281,358953,387558,382436,126639,310887,341321,0.343153917282501,0.336529016391054,0.343717881086095,0.35449200331338,0.349341682095674,0.343408654714535,0.368784705305823,0.320055809093821,0.345866040319812,0.323720584308713,0.331483644866961,0.346930971850317,1597564.23546671,2849629.12478876,3872610.16493786,3517847.89733236,3477785.01833134,3431853.62224091,2902008.89044261,3610314.57209378,3296741.51926026,1166356.21870088,2796240.41796216,2933283.16057137,36566.30814,65224.5552,88639.35074,80519.27262,79602.2819,78550.96794,66423.46452,82635.72268,75458.41574,26696.47952,64002.55244,67139.29464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"7^1","coal","ST",180370,21718,150532,132948,158151,152892,157872,193516,29066,19894,151875,107753,275110.635,27299.671,238899.724,202919.7,241014.092,234231.448,245762.706,295971.46,48526.52,23300.358,239766.061,168934.002,15978,466,15662,11812,13958,13802,15228,17345,3624,0,15485,10692,0.198171811569553,0.0582445568666377,0.223696100544679,0.198621413692214,0.197609400034584,0.201059066500754,0.211423729685008,0.199963767790313,0.254821391684382,0,0.220368919936504,0.215957713947959,240388.999397923,23854.1872275585,208748.257255849,177309.261930666,210595.771467283,204669.163052336,214745.064234489,258616.985561981,42402.0016058751,20359.6263926089,209505.254107575,147612.889283858,5502.2127,545.99342,4777.99448,4058.394,4820.28184,4684.62896,4915.25412,5919.4292,970.5304,466.00716,4795.32122,3378.68004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,"7^2","coal","ST",31603,186364,23271,24629,0,61578,96657,142708,106787,187566,71010,78499,44940.187,278873.923,35180.856,36127.562,0,100876.415,162911.234,230883.138,165256.676,288014.494,106304.804,119120.154,1983,15163,1983,1822,0,7195,12437,15949,10055,17098,5789,6801,0.150561759344704,0.185525696570776,0.192328282745593,0.172082441654934,0,0.243370537107212,0.260490232245126,0.23570461373407,0.20761078178772,0.202561922873229,0.185813601236685,0.194811401435898,39268.2986816761,243677.323881512,30740.6900929236,31567.9125958414,0,88144.8311320268,142350.253133402,201743.442312481,144399.677560509,251664.265995239,92888.1046883279,104086.032981555,898.80374,5577.47846,703.61712,722.55124,0,2017.5283,3258.22468,4617.66276,3305.13352,5760.28988,2126.09608,2382.40308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"8^5","coal","ST",2283017,1760761,2179280,1505531,1944181,1978827,1764255,2473044,2130381,2103879,1530008,1997954,4482048.072,3500199.376,4310815.888,2960524.184,3824324.41,3964266.744,3704250.064,4699544.454,4169173.008,4108928,3031050.736,4011255.276,452436,359811,439992,299571,387160,412024,409847,451167,418880,411572,310045,418176,0.344435166299127,0.350758735047555,0.348266857570791,0.345269326784868,0.345432024267,0.354638994333021,0.37752725070345,0.327573232352278,0.342820314834006,0.341778021926887,0.349026472481983,0.355717838547257,3916370.04974915,3058440.20057558,3766749.03136693,2586877.26225165,3341657.50550848,3463937.75702863,3236737.70882995,4106416.27475841,3642982.85927751,3590341.35673494,2648502.67802762,3504995.87966594,89640.96144,70003.98752,86216.31776,59210.48368,76486.4882,79285.33488,74085.00128,93990.88908,83383.46016,82178.56,60621.01472,80225.10552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"8^1","coal","ST",193101,207728,115585,114566,0,161286,259606,415390,0,0,0,199693,332718.018,354038.446,198975.359,200499.472,0,284194.005,483309.327,706172.77,0,0,0,345007.248,26662,27710,15914,16594,0,23844,44853,54963,0,0,0,27805,0.273428163665005,0.26706251953213,0.272902113271222,0.282400001332672,0,0.286280022550089,0.316659966754583,0.265574458244829,0,0,0,0.274992926235567,290725.770847355,309355.353646491,173862.73509511,175194.490223513,0,248325.959833717,422310.993238098,617046.903993224,0,0,0,301463.980597301,6654.36036,7080.76892,3979.50718,4009.98944,0,5683.8801,9666.18654,14123.4554,0,0,0,6900.14496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"8^2","coal","ST",177354,160034,112835,116665,0,192469,254892,381651,0,0,0,241158,313343.687,275261.758,198496.839,197060.012,0,334839.96,478727.017,666456.16,0,0,0,429028.26,26429,21976,16600,15118,0,27378,45088,54913,0,0,0,36677,0.287797239265905,0.272414116602423,0.285352272032906,0.26177169074769,0,0.278991697765105,0.321365961929824,0.281145040087858,0,0,0,0.291698870326164,273796.668695073,240521.049206743,173444.608969263,172189.123499434,0,292579.903146386,418307.015289986,582342.916132567,0,0,0,374880.724385054,6266.87374,5505.23516,3969.93678,3941.20024,0,6696.7992,9574.54034,13329.1232,0,0,0,8580.5652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
