"Plant.Code","bogen","bogen_dom_fuel","general_mover","CD_january","CD_february","CD_march","CD_april","CD_may","CD_june","CD_july","CD_august","CD_september","CD_october","CD_november","CD_december","FuelHeat_january","FuelHeat_february","FuelHeat_march","FuelHeat_april","FuelHeat_may","FuelHeat_june","FuelHeat_july","FuelHeat_august","FuelHeat_september","FuelHeat_october","FuelHeat_november","FuelHeat_december","NetGen_january","NetGen_february","NetGen_march","NetGen_april","NetGen_may","NetGen_june","NetGen_july","NetGen_august","NetGen_september","NetGen_october","NetGen_november","NetGen_december","ThermalEfficiency_january","ThermalEfficiency_february","ThermalEfficiency_march","ThermalEfficiency_april","ThermalEfficiency_may","ThermalEfficiency_june","ThermalEfficiency_july","ThermalEfficiency_august","ThermalEfficiency_september","ThermalEfficiency_october","ThermalEfficiency_november","ThermalEfficiency_december","steamHeat_january","steamHeat_february","steamHeat_march","steamHeat_april","steamHeat_may","steamHeat_june","steamHeat_july","steamHeat_august","steamHeat_september","steamHeat_october","steamHeat_november","steamHeat_december","nomLoss_january","nomLoss_february","nomLoss_march","nomLoss_april","nomLoss_may","nomLoss_june","nomLoss_july","nomLoss_august","nomLoss_september","nomLoss_october","nomLoss_november","nomLoss_december","Exported_Heat_January","Exported_Heat_February","Exported_Heat_March","Exported_Heat_April","Exported_Heat_May","Exported_Heat_June","Exported_Heat_July","Exported_Heat_August","Exported_Heat_September","Exported_Heat_October","Exported_Heat_November","Exported_Heat_December","flag_HighTE_january","flag_HighTE_february","flag_HighTE_march","flag_HighTE_april","flag_HighTE_may","flag_HighTE_june","flag_HighTE_july","flag_HighTE_august","flag_HighTE_september","flag_HighTE_october","flag_HighTE_november","flag_HighTE_december","flag_ZeroFH_ZeroNetGen_january","flag_ZeroFH_ZeroNetGen_february","flag_ZeroFH_ZeroNetGen_march","flag_ZeroFH_ZeroNetGen_april","flag_ZeroFH_ZeroNetGen_may","flag_ZeroFH_ZeroNetGen_june","flag_ZeroFH_ZeroNetGen_july","flag_ZeroFH_ZeroNetGen_august","flag_ZeroFH_ZeroNetGen_september","flag_ZeroFH_ZeroNetGen_october","flag_ZeroFH_ZeroNetGen_november","flag_ZeroFH_ZeroNetGen_december","Flag_gen_no_fuel_january","Flag_gen_no_fuel_february","Flag_gen_no_fuel_march","Flag_gen_no_fuel_april","Flag_gen_no_fuel_may","Flag_gen_no_fuel_june","Flag_gen_no_fuel_july","Flag_gen_no_fuel_august","Flag_gen_no_fuel_september","Flag_gen_no_fuel_october","Flag_gen_no_fuel_november","Flag_gen_no_fuel_december","Flag_fuel_no_gen_january","Flag_fuel_no_gen_february","Flag_fuel_no_gen_march","Flag_fuel_no_gen_april","Flag_fuel_no_gen_may","Flag_fuel_no_gen_june","Flag_fuel_no_gen_july","Flag_fuel_no_gen_august","Flag_fuel_no_gen_september","Flag_fuel_no_gen_october","Flag_fuel_no_gen_november","Flag_fuel_no_gen_december"
57138,"57138^1","biomass","ST",7546,7033,-3348,-12894,-34801,-29264,-23656,-30364,-19369,-21588,-31097,-38691,100922.4,376829.7,350219.3,291262.1,396812.9,466206.8,271355.7,456959.9,480567,490843.2,470804.6,475698.9,2457,8452,6547,4648,4450,6422,2023,6134,7882,7844,6272,5698,0.083070041735036,0.0765316727423555,0.0637865491136553,0.0544513917876717,0.0382649429995849,0.0470022382341913,0.0254380476253125,0.045802852197753,0.0559640746867762,0.0545282610821541,0.0454561023405464,0.0408711765362501,78880.5839567298,294528.7348323,273730.14213809,227649.407192689,310147.531901376,364385.553936474,212090.636726705,357158.210236864,375609.434479697,383641.275348089,367979.177838761,371804.545071996,2018.448,7536.594,7004.386,5825.242,7936.258,9324.136,5427.114,9139.198,9611.34,9816.864,9416.092,9513.978,60933,251121,247735,218859,321829,362414,223417,357454,358474,368649,368260,381540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58023,"58023^1","biomass","ST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,208725.817352921,82985.8955705559,211672.682744364,143447.936956089,200980.637122938,0,0,0,0,0,0,0,5341.0128,2123.4974,5416.41912,3670.63968,5142.82406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2446,"2446^3","gas","ST",219542,246983,222231,299253,259371,253937,276166,265637,216420,229553,61901,133852,387886.335,444325.805,402748.609,543283.624,466405.54,455263.748,495168.52,483262.34,387839.958,412174.291,110611.872,230460.013,35697,42211,38742,52414,44275,42994,46771,46786,36600,39027,10386,20209,0.314017665974234,0.324153672641183,0.328227397751236,0.329190680630565,0.323908027550445,0.322234194583839,0.322292701361549,0.330338966698709,0.321999632642287,0.32308077113912,0.320385916983667,0.299209985985725,349097.7015,399893.2245,362473.7481,488955.2616,419764.986,409737.3732,445651.668,434936.106,349055.9622,370956.8619,99550.6848,207414.0117,7757.7267,8886.5161,8054.97218,10865.67248,9328.1108,9105.27496,9903.3704,9665.2468,7756.79916,8243.48582,2212.23744,4609.20026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6193,"6193^1","coal","ST",717821,533859,881503,898810,515564,912537,1120602,849895,299569,998365,860288,976396,1565335.114,1174240.762,1961159.2,1986628.387,1124827.808,2009213.798,2472027.543,1854221.096,655128.286,2185324.71,1879237.265,2171966.597,147462,111972,189977,190727,106038,191867,236688,174794,61967,206972,177467,210357,0.321439788949882,0.32537121214329,0.330533146304492,0.327583774619647,0.321663901573813,0.325837432547833,0.326700483013186,0.321656139306485,0.322746069584301,0.323163618133435,0.322227672182735,0.330468956093251,1252268.0912,939392.6096,1568927.36,1589302.7096,899862.2464,1607371.0384,1977622.0344,1483376.8768,524102.6288,1748259.768,1503389.812,1737573.2776,31306.70228,23484.81524,39223.184,39732.56774,22496.55616,40184.27596,49440.55086,37084.42192,13102.56572,43706.4942,37584.7453,43439.33194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6193,"6193^2","coal","ST",1104801,1029047,918903,954067,750284,909208,1178892,1005036,1070241,422105,621899,1016406,2424285.138,2254616.91,2009786.722,2089805.908,1658658.844,1974549.246,2560523.826,2202022.646,2342353.968,914563.923,1327027.741,2205991.728,230405,213820,190132,198119,159282,184918,239835,208834,221804,85362,121097,206409,0.324291109315871,0.323595450545964,0.322798929547311,0.323479688746291,0.327669843286954,0.319549439345814,0.31960280493793,0.323598327226286,0.323105009276719,0.318476475350756,0.311372479122876,0.319265206809515,1939428.1104,1803693.528,1607829.3776,1671844.7264,1326927.0752,1579639.3968,2048419.0608,1761618.1168,1873883.1744,731651.1384,1061622.1928,1764793.3824,48485.70276,45092.3382,40195.73444,41796.11816,33173.17688,39490.98492,51210.47652,44040.45292,46847.07936,18291.27846,26540.55482,44119.83456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6193,"6193^3","coal","ST",973027,908270,53121,0,605274,976517,992865,1114764,1054765,1017467,757028,571582,2179659.973,2034303.758,111930.715,0,1334619.666,2175249.561,2170001.706,2448353.43,2322985.833,2233187.086,1647397.249,1267859.706,213103,198853,10019,0,127705,211072,205081,232987,221912,212315,154731,122318,0.333601240297676,0.333536362380352,0.305423141985647,0,0.326495517637607,0.331091763902671,0.322472135116377,0.324701594320065,0.325957567593999,0.324401170256454,0.320483620244288,0.329189529839037,1743727.9784,1627443.0064,89544.572,0,1067695.7328,1740199.6488,1736001.3648,1958682.744,1858388.6664,1786549.6688,1317917.7992,1014287.7648,43593.19946,40686.07516,2238.6143,0,26692.39332,43504.99122,43400.03412,48967.0686,46459.71666,44663.74172,32947.94498,25357.19412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10148,"10148^1","coal","ST",0,1893,40,4000,332,5718,45185,15235,26665,8526,1658,46395,0,2848.76,47,6323.48,389,9154.6,72684.72,24653.78,43163.92,13495.18,2489.4,54339.7,0,158,0,410,0,615,4945,1704,2986,878,137,0,0,0.189246591499459,0,0.221235364071682,0,0.229225318419155,0.232140019250263,0.235837529174025,0.236045522278792,0.221994735898299,0.187781465413353,0,0,2489.21880437239,41.0681432642631,5525.39537380218,339.904419782944,7999.20051759623,63511.2020017628,21542.2333839495,37716.2138384509,11791.9571407876,2175.2135285544,47481.5017986612,0,56.9752,0.94,126.4696,7.78,183.092,1453.6944,493.0756,863.2784,269.9036,49.788,1086.794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
50974,"50974^1","coal","ST",471640,425313,497201,298872,485887,477652,497316,485910,457910,488060,458696,356050,784480.13,713363.46,829788.76,497708.9,814342.85,801240.81,830454.98,816416.24,769286.45,820704.65,778195.95,600133.2,58072,53854,61918,36948,61369,60504,62051,61881,58294,62324,60293,45820,0.252587397057463,0.257592935247903,0.254610443891768,0.253304187889748,0.257139385039115,0.25766051352277,0.254952651545301,0.258626206823127,0.258560759987388,0.259116618091539,0.26436549434625,0.260515923464991,685471.114187399,623330.059037669,725061.354782026,434893.200193592,711564.868724007,700116.433494771,725643.491343846,713376.576757255,672195.024252263,717123.747741424,679980.058771688,524390.55819661,15689.6026,14267.2692,16595.7752,9954.178,16286.857,16024.8162,16609.0996,16328.3248,15385.729,16414.093,15563.919,12002.664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"3^NGCC","gas","NGCC",1514043,1393880,1053546,1232160,1459078,1372062,1426915,1492597,1448873,1497358,1226457,1505117,5152214.095,4774148.44,3535022.844,4179059.082,4990217.634,4537625.175,4751068.84,4945374.776,4804461.189,5006880.2,4188436.028,5193062.061,734081,682871,499347,594228,713157,635195,667913,693082,673683,705747,598043,746035,0.486157426138558,0.488055929392091,0.481988928437035,0.485178383012868,0.487632344810074,0.477645064039473,0.479684201717439,0.478202951767553,0.478451302069619,0.480959693938753,0.487200097692408,0.490187838119118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1133487.1009,1050312.6568,777705.02568,919392.99804,1097847.87948,998277.5385,1045235.1448,1087982.45072,1056981.46158,1101513.644,921455.92616,1142473.65342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,"96^NGCC","gas","NGCC",539378,482713,514421,252663,255441,243388,388644,579450,507937,515085,515977,518034,1373372,1226522,1300533,621025,629100,592839,864128,1211929,1171059,1266612,1284864,1308581,155877,138914,146540,67918,68950,64193,83639,107226,118842,138591,142502,147321,0.387276096192437,0.386453741522777,0.384469287284521,0.3731664981603,0.373974015259895,0.369468781608497,0.330261231507369,0.30189072432461,0.346272512213304,0.373351819452208,0.378434429075762,0.384141200995582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302141.84,269834.84,286117.26,136625.5,138402,130424.58,190108.16,266624.38,257632.98,278654.64,282670.08,287887.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
