,year,Sum-CD,Sum-MWh, Weighted Annual_CD/MWh
0,2008,195362353.0,19594225.74,9.970404321778524
1,2009,189548919.0,19014408.841,9.968699031614559
2,2010,191911721.0,19196905.584000003,9.997013329062376
3,2011,191482723.0,19026992.027000003,10.06374116982227
4,2012,194872889.0,19301765.0,10.096117583029324
5,2013,199074872.0,19937728.0,9.984832374079936
6,2014,212681530.0,21568087.999999996,9.860935749149393
7,2015,213697637.0,21699557.0,9.848018418071852
8,2016,207939175.0,21268854.766999997,9.776698241535367
9,2017,208622907.0,20942203.0,9.961841502539155
10,2018,205276789.0,20701506.0,9.916031664556192
11,2019,189620961.0,19111248.916,9.921955484617685
12,2020,181100360.0,18263532.0,9.915954920439267
