,year,Sum-CD,Sum-MWh, Weighted Annual_CD/MWh
0,2008,61055915.0,9734682.0,6.27199892097143
1,2009,42357010.0,6847647.0,6.185629895933596
2,2010,41852809.0,6473709.978,6.4650423238345445
3,2011,31189733.0,4873551.0,6.399796165055008
4,2012,29043341.0,4801236.0,6.0491383885316194
5,2013,29565686.0,4761635.0,6.209145808110029
6,2014,35506611.0,5794351.0,6.127797746460303
7,2015,33618611.0,5497707.34,6.115023758249016
8,2016,28114585.0,4459156.0,6.30491173666048
9,2017,26072030.0,4110022.0,6.343525655093817
10,2018,27595680.0,4389854.0,6.286240954710567
11,2019,23988278.0,3828859.0,6.265124414349026
12,2020,22395368.0,3532442.0,6.339911030386345
