,year,Sum-CD,Sum-MWh, Weighted Annual_CD/MWh
0,2008,10589371839.0,1931088681.025,5.4836279364339084
1,2009,9436449841.0,1714751903.1250002,5.503099208581028
2,2010,9922171654.0,1808530270.673,5.486317710517341
3,2011,9393641649.0,1706025938.49,5.506154060772542
4,2012,8393042761.0,1478066420.0,5.678393506159216
5,2013,8765853564.0,1551236089.292,5.650882947160432
6,2014,8455784128.0,1536839430.0,5.502060893895727
7,2015,7276134176.0,1313811363.7849998,5.5381878834096545
8,2016,5286630622.0,951776144.0,5.554489525007469
9,2017,4985971680.0,904895564.72,5.509996815536165
10,2018,4459945701.0,801109900.0,5.567208320606199
11,2019,3478902814.0,618132333.0,5.6280874309158655
12,2020,2643865414.0,460816191.0,5.737353560131311
