,year,Sum-CD,Sum-MWh, Weighted Annual_CD/MWh
0,2008,140045495.0,20725728.0,6.7570844797345595
1,2009,124415095.0,18130632.612,6.862148589214378
2,2010,86378922.0,11365825.12,7.599881318603291
3,2011,33492204.0,2935982.756,11.407493430114682
4,2012,60298755.0,7076189.916999999,8.521359051590306
5,2013,37121674.0,3340281.684,11.113336392500484
6,2014,22198440.0,2872341.0,7.728344232108931
7,2015,58549151.0,9278715.0,6.31004950577747
8,2016,1271017877.0,233803056.503,5.436275710038424
9,2017,1308565022.0,242068470.0,5.405764005531163
10,2018,1543672783.0,288100450.002,5.358106115381923
11,2019,1605077351.0,296791470.0,5.408097985430646
12,2020,1472856037.0,269290955.10800004,5.469385469739621
