,year,Sum-CD,Sum-MWh, Weighted Annual_CD/MWh
0,2008,5536261672.292001,806301799.0,6.866240009830364
1,2009,5486111885.024,798997978.0,6.866240010715021
2,2010,5518660704.245869,807078965.561,6.837820014810882
3,2011,5408070630.012,790339314.0,6.842719999136978
4,2012,5278143465.464,769742908.0,6.857021234762711
5,2013,5388573630.088001,789214961.0,6.827764166128119
6,2014,5451461345.296,797238682.0,6.837928801472781
7,2015,5451119318.26,797258735.0,6.837327807088875
8,2016,5509525706.723999,805800038.0,6.837336121748854
9,2017,5505274866.356,805106622.0,6.837945081957107
10,2018,5515667769.244,807144638.0,6.833555610195357
11,2019,5521417790.744,809495978.0,6.820809418208129
12,2020,5391319078.644,789930068.0,6.825058694491928
