param,mx,mn,med,mean,num_nans
rh_avg,99.8,4.1000004,65.05,62.426611558250244,False
air_tmp_C_avg,40.649994,-26.699982000000002,15.649994,14.18947753943087,False
open_wtr_et_mm,15.33,0.0,3.57,3.8382140748823983,False
wb_tmp_C,28.766245,-27.290128999999997,11.1086505,9.997048083888005,False
rh_max,100.0,7.2000003,89.200005,85.18400871599465,False
rh_min,99.6,1.0,40.100002,39.66921411742048,False
sp_h_kg_kg,0.02392,0.00029999999,0.0064,0.00740542037106223,False
air_tmn_K,305.2,239.4,281.8,280.9975302831377,False
air_tmx_K,323.3,251.3,295.6,293.68141271767917,False
precip_mm,201.8,0.0,0.0,2.692014695201896,False
wnd_spd_m_s,18.1,0.4,3.8,4.036443599823732,False
wnd_dir_dg_clk_frm_N,360.0,0.0,201.0,185.9202605960019,False
ref_et_gr_mm,14.6,0.0,3.4,3.655442086998609,False
ref_et_alf_mm,22.5,0.0,4.7000003,4.96296842726393,False
sur_rad_Wm2,445.1,13.6,191.2,192.22924992575616,False
vpdef_kPa,7.6499996,0.0,0.76,0.916334895436152,False
