,Plant_ID,WB_01,WB_02,WB_03,WB_04,WB_05,WB_06,WB_07,WB_08,WB_09,WB_10,WB_11,WB_12,DB_01,DB_02,DB_03,DB_04,DB_05,DB_06,DB_07,DB_08,DB_09,DB_10,DB_11,DB_12
0,3,7.095415584866065,6.516397443307324,15.282607262102003,19.057213517614088,20.781501854665596,23.677560288820743,24.911248280334913,23.966736506215653,21.901560042429153,17.653148402774082,15.473018912268849,14.79545862344811,9.706367840874696,9.129509552452149,17.969235422260162,21.45088866156529,23.968347295525177,27.060441252599478,28.752354222601618,27.748577423789566,25.49675995228194,21.00949568778748,17.663206590537644,16.217718364656907
1,7,2.815295562705217,0.9869394778174627,10.399212982746747,14.838473781382556,17.948126213861265,21.746686220606094,23.26849722250084,21.627439163766333,19.598025020144078,14.334006406385358,11.740832230181843,11.178831048226074,5.377181809147738,3.9726020066884287,13.528134631691227,18.209311668412802,22.184107600102546,26.23669996240215,27.633283454868362,26.144671296854273,23.504006406385354,17.726599995243824,14.553419268515349,13.329403162807763
2,8,3.336192982621906,1.5603290869531339,11.103035378779621,15.49913485156289,18.30918377854216,22.145023179926124,23.64263936121725,22.086515394149174,20.051914503063113,14.837246681367807,12.356261751814369,11.673370648435878,6.091053945107271,4.5998398675038334,14.070842800687242,18.85963056166703,22.347320041041538,26.490986768136654,27.70081806004106,26.388694497502513,24.007246681367807,18.535983676785097,15.26553689366023,13.83920821123662
3,10,4.3678250849519875,2.9818677190684864,12.42468375873011,16.412818286912216,18.750814055915637,22.370789740874997,23.98131298455545,22.435621813664753,20.236707703892083,15.334972625916437,12.924130969265933,12.03804500348817,7.23168032980852,6.093963268706994,15.074414907910912,19.765228963826548,22.647830315695074,26.638086653605185,28.039599238127956,27.27879534149675,24.567040574820073,19.128805198579446,15.825228963826548,14.246209077454006
4,26,3.4987651164439435,1.7443967951326529,11.24771850566539,15.573510608504298,18.384381126963753,22.155364792033488,23.63185441220891,22.10267765312845,20.045188699714394,14.836232447976508,12.364758297712815,11.64540920705697,6.271062507627175,4.825053658189401,14.257124588317456,18.965641621824737,22.304588828653866,26.35600003320874,27.500144755981296,26.41913919599685,24.006232447976508,18.57935308007928,15.278092585218294,13.871866989181655
5,46,1.9814130068716762,-0.19879002243053517,9.649750374330006,14.480500989926137,17.768226848134642,21.840160789615787,23.387780456068075,21.31723533302688,19.18765564323308,13.636690209985677,11.209750374330005,10.168719124698066,5.162956464954722,2.0076617932057617,12.431362066618181,17.134476246202347,21.196818097807014,26.335908586023738,27.360822581953354,24.946901282689208,22.620846770385086,16.926317677704965,13.797172591628676,11.880301647343888
6,47,2.0504271986315765,-0.23160029582275907,9.49511491400802,14.37597811130619,17.47364045160955,21.734930847539303,23.422550454943067,21.30517397970216,19.087571405068008,13.58369868465398,11.046263143718933,10.114979049875057,4.7493914981981415,2.2961506144414563,13.255940259983456,17.426696644436383,21.432396725390774,26.472059629344837,27.804717352317798,25.33745887579053,23.014835351031437,17.320945597847796,14.014759252567684,12.128614107562388
7,50,1.9077206202476513,-0.29000317233901185,9.333918066556487,13.91101057412002,17.634825080870485,21.555603529372174,23.088429641028757,21.19927751725103,19.14301064322161,13.76444365566025,10.82053326993637,10.371707705503846,4.556742669304507,2.3951764280380736,12.417283229284696,17.210791910469553,21.724758261946153,26.18507025943581,27.32874424731466,25.504125940697357,22.936873843913066,16.901883456348582,13.477759024559788,12.155372912662408
8,51,4.337075341903472,4.466375222782915,11.876063531877683,16.82285016827197,20.165110554726464,23.2355985360001,24.37489579149086,22.627203905108615,21.034731380807195,15.946950555963584,13.030172513103148,11.221370245865543,7.247261755754446,7.229890153811287,14.10320958634046,20.026015804714426,23.48024097834593,27.55855904157515,29.41645704105354,28.933718305693613,26.811490045889002,21.15007705877663,15.859325604875394,13.542693255682197
9,56,6.878169000908136,5.833201972768078,14.799287519177499,18.52840410055586,20.16795160446447,23.30227993651174,24.630510073617288,23.62099884663723,21.59428120136497,17.108835023086108,14.986084315536798,14.168272452429187,9.934483621477446,8.530360163451709,17.66504259474107,21.221882265258866,23.787151593453675,26.976521835296992,28.668963645561597,27.66151551748447,25.281928165068543,20.528483251642907,17.317441530847177,15.875396706890417
