User description of input file for big lakes,,,,,Note: The minimum heat loading and input wind coefficient values should be on Row 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Input wind function coefficients,,,,"Note: The input data (Plant ID, Elevation, etc.) should  begin on Row 7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1396,50,650,238188,332997,538716,437643,753259,909579,864929,762654,343993,792747,991235,780082,8.09,8.82,16.05,20.91,24.32,27.38,28.78,28.7,26.51,21.47,17.45,15.37,5.59,5.95,13.63,18.28,21.05,23.5,24.8,23.23,21.67,16.83,14.8,12.92,10.6,13.3,17.9,24.4,28.6,30.5,30.7,32.1,29.1,26,22.5,19.9,5.7,6.5,5.8,5.7,5.1,4.6,4.7,4.1,3.5,5.4,5.4,6.5
1417,190,31000,0,0,8779,0,9626,54447,64268,17931,27771,109905,17511,0,6.91,6.68,13.47,19.55,23.14,27.55,29.85,28.87,26.74,20.98,15.37,12.98,3.9,3.95,11.31,16.29,19.86,23.16,24.32,22.45,20.83,15.71,12.49,10.68,9.1,10,14.6,21.1,24.3,27.3,29.2,28.8,26.7,22.1,17.3,13.3,6.5,7.6,6.3,7.9,7.3,6.5,7.4,5.4,4.7,6,6.2,7.2
1695,590,4150,1006339,745218,1046146,954964,796059,752787,1030929,1037154,948287,661027,685594,703398,-4.97,-9.2,0.16,8.28,15.1,18.75,21.15,20.98,19.34,11.14,7.68,4.22,-6.02,-10.12,-1.82,4.88,11.97,15.53,17.28,17.61,16.3,8.65,4.71,2.97,1.4,1,2.8,9.4,16,20.8,23.4,23.4,21.3,14.8,8.4,5.6,10.8,10.4,9.9,9.8,9.3,7.7,7.1,7.7,7.1,10.5,11.3,11.1
1710,600,1000000,4628639,4323214,4037360,2898341,4093342,4073519,4472226,4437983,4393722,3411176,4165632,3911486,-5.3,-9.46,0.13,8.37,15.33,18.9,21.14,20.91,19.35,11.18,7.71,4.33,-6.3,-10.27,-1.82,5.04,12.35,15.91,17.46,17.7,16.34,8.7,4.83,3.11,2.1,1.3,3,6.4,13.4,14.9,17.6,21.7,19.4,11.8,8.6,5.5,10.5,9.8,9.7,9.7,9.1,7.6,6.8,7.3,6.6,10.1,11,11.2
1723,580,1000000,964410,997871,1104857,985729,1024435,938238,892831,972655,806557,635449,750426,963511,-5.35,-9.76,1.15,9.74,17.87,20.65,22.33,22.1,20.59,12.67,8.02,5.46,-6.57,-10.36,-0.88,6.27,13.81,17.37,18.35,17.83,16.63,9.28,5.29,3.91,0.8,0.5,2.6,11.6,19.9,23.1,25,24.5,23,15.1,8.9,6.2,9.6,9.2,9,9.4,8.1,7.9,6.2,6.6,6.2,9.6,9.5,9.6
1769,610,1000000,928568,925273,1050342,912028,961235,966503,912049,888131,816198,1033167,1009480,975318,-10.01,-14.56,-2.53,4.59,11.58,14.66,19.41,18.51,17.34,8.22,3.59,-0.24,-10.34,-14.74,-4.33,1.42,8.44,11.81,15.71,15.63,14.45,6.12,1.89,-1.23,0.4,0.1,0.6,3.1,7,8.3,15.6,17.2,16.6,11.7,5.7,4.4,10,10,9.7,9.3,8.4,6.3,7.7,8,7.5,8.8,8.9,8.7
1771,583,1000000,59365,42,0,0,0,0,0,0,0,0,0,0,-10.16,-14.74,-1.92,5.56,12.85,16.17,20,19.01,17.58,8.52,3.79,0.27,-10.36,-14.63,-3.81,2.17,9.74,13.24,16.24,15.96,14.76,6.35,2.05,-0.8,0.5,0.1,0.8,4.9,13,16.6,20.6,19.8,18.4,10,5.6,2.7,8.6,8.7,8.5,8.2,7.5,5.7,6.6,6.8,6.4,7.8,7.8,7.6
1772,618,1000000,118170,96094,89432,111740,91324,77872,104494,92233,70129,94180,113710,87930,-9.95,-14.51,-2.55,4.53,11.5,14.55,19.37,18.48,17.37,8.23,3.64,-0.23,-10.29,-14.72,-4.36,1.4,8.35,11.72,15.67,15.62,14.46,6.14,1.93,-1.21,0.3,0.1,0.6,4.3,11,13.9,17.8,16.5,15.6,8.1,4.6,1.4,11.2,11,10.1,9.9,8.7,6.4,8.2,8.6,7.3,9.2,9.4,9.5
1830,585,2351,99552,105161,85577,16808,0,17820,25544,83038,82944,35715,83841,82362,-5.43,-9.59,0.13,8.39,15.4,18.93,21.14,20.89,19.36,11.21,7.7,4.33,-6.41,-10.36,-1.82,5.08,12.46,16.02,17.52,17.73,16.36,8.73,4.86,3.13,2,1.2,3,9.2,16,18.5,20.7,22.2,20.1,12.7,8.5,5.4,10.2,9.4,9.4,9.5,8.8,7.4,6.4,6.9,6.2,9.7,10.9,11.1
1843,586,1000000,227195,202493,208000,92594,161954,146834,186595,198210,183651,185839,181734,196777,-10.06,-14.61,-2.51,4.63,11.63,14.72,19.42,18.5,17.32,8.21,3.55,-0.26,-10.38,-14.77,-4.32,1.45,8.49,11.87,15.72,15.63,14.44,6.11,1.86,-1.26,0.4,0.1,0.6,3.4,8.6,10.3,15.8,17.3,16.6,10.9,5.5,3.6,9.9,9.9,9.7,9.2,8.4,6.3,7.6,7.9,7.5,8.8,8.9,8.7
1888,1238,1041,61,1663,5897,0,0,0,29190,21693,87037,0,0,0,-7.24,-11.14,2.23,9.04,14.35,20.21,21.22,19.64,18.82,10.34,3.57,-2.45,-7.66,-11.71,-0.46,5.28,11.37,16.87,18.63,17.15,16.12,7.41,2,-2.54,0.4,0.4,3.9,10.6,16.6,21.4,24.5,23.2,20.9,13.4,6.8,2.9,13,14,13,13.3,13.5,9.7,8.1,9,9.1,10.7,13.1,13.1
1891,1450,517,332713,316048,6362,0,9567,6993,15391,0,0,0,0,0,-10.01,-14.79,-1.22,5.03,9.95,14.39,18.97,17.78,15.94,7.81,2.68,-2.15,-10.44,-15.06,-3.39,1.59,7.04,11.91,15.94,15.02,13.51,5.92,1.43,-2.68,1.9,0.6,3.5,6.2,12.6,21.9,22.6,19.6,17.9,9.9,4.7,1.5,9,9.1,8.8,9,7.9,5.6,6.4,7,6.6,8.2,8.1,8
1893,1290,767,509387,487761,474673,324574,478631,462935,513348,506319,434094,447681,421582,490803,-10.64,-14.72,-0.91,6.74,11.76,17.57,21.01,18.97,17.11,8.38,2.46,-3.85,-10.95,-15.16,-3.06,2.5,8.56,14.23,17.29,15.8,14.09,5.89,0.81,-4.12,1.5,0.6,2.9,7.8,14.3,20.6,23.3,21.4,19.6,11.4,4.4,2.4,8.7,8.9,8.9,9.3,7.9,6.1,7.1,7.5,6.9,8,8,7.4
2080,755,1700,1116532,1156679,1193184,495152,151717,1407076,1106994,1204580,598268,0,207226,670902,0.5,-2.81,8.68,14.56,18.4,24.43,25.73,23.9,22.59,14.94,9.43,5.4,-2.13,-4.69,4.83,10.45,15.21,20.75,22.2,20.07,18.35,10.7,6.65,3.62,2.4,3,8.7,15.9,19.3,23.7,26.1,26.3,23.6,17.1,11.5,7.1,9.3,10.1,8.9,9.8,9.2,8.5,7.5,6.7,8.4,7.9,10.9,10.5
2168,740,4950,3381173,3662459,3404816,3314456,2452833,3676953,3880560,3459251,2974847,2449929,2887209,2879996,0.41,-3.04,8.03,14.73,18.92,24.15,25.71,23.57,22.6,15.02,9.6,6.08,-2.14,-4.8,4.62,10.61,15.52,20.91,22.36,20.03,18.19,10.85,6.84,4.36,3.2,2.8,8.6,15.3,19.3,24.2,27.3,27.1,24.6,17.2,13.3,10.2,8.2,8.6,8.2,8.8,7.8,6.6,6.2,5.3,6.6,7.2,9.4,9.3
2535,384,42240,358125,471492,283736,0,130257,318441,478277,446210,392102,346211,56684,0,-7.7,-11.85,-2.41,7.96,17.52,18.54,21.3,21,19.7,9.97,7.7,5.27,-8.4,-11.91,-3.68,4.72,13.23,15.84,17.83,17.58,16.47,7.55,5.44,3.9,2.3,0.8,1.8,3.7,7.8,10.7,16.3,19.5,20.3,15.6,10.6,8.8,9.5,8.5,8.8,9.1,7.3,6.4,5.7,5.6,5.6,7.3,8.8,7.9
2554,581,1000000,227766,264876,287307,267671,303332,131602,249111,249068,219030,249039,282107,237459,-6.84,-12.13,-1.76,7.61,16.16,18.03,20.59,20.22,19.03,10.87,7.82,5.77,-7.23,-12.02,-2.75,4.86,12.98,15.87,17.61,17.11,16.24,8.44,5.52,4.49,0.7,1.5,2.1,5.9,13.7,15,21.1,22.5,21.8,15,11.1,7.5,12.2,10.1,9.7,9.9,8.6,7.8,6.9,7.6,7.4,10.7,11.3,10.9
2589,261,1000000,3076893,2725873,1341738,1738791,3050028,2936950,2975592,2976328,2548123,3073527,2992089,3086644,-7.8,-11.72,-2.79,7.59,17.22,18.21,20.95,20.86,19.45,9.7,7.46,5.18,-8.56,-11.88,-3.94,4.47,13.08,15.64,17.67,17.49,16.33,7.36,5.37,3.79,3,1.4,2.2,5.8,11,12.5,19.3,23.4,21.1,12.8,10.6,8.3,9.4,8.6,8.6,9.2,7,6.4,5.7,5.4,5.1,7.2,8,7.4
2594,253,1000000,82867,123709,48976,663,47251,0,32758,61893,57675,0,0,0,-7.79,-11.68,-2.8,7.57,17.2,18.18,20.92,20.85,19.43,9.69,7.45,5.18,-8.56,-11.87,-3.95,4.46,13.06,15.62,17.65,17.47,16.32,7.35,5.36,3.78,2.7,1.1,2,5.3,13.2,13.3,20.7,23.2,21.8,15.5,9.7,6.2,9.3,8.5,8.6,9.2,6.9,6.3,5.7,5.3,5,7.1,7.9,7.3
2718,567,13400,710406,2117384,368601,0,356407,1661842,2005947,1855866,314126,72833,11733,76641,4.78,3.13,12.31,16.68,21.64,26.39,27.53,26.21,22.92,15.86,12.76,13.12,1.83,-0.01,8.1,12.86,17.06,21.04,21.91,20.79,18.89,12.7,9.99,10.92,8.7,6.8,9.2,16.4,21.7,28.6,27.9,27.8,26.5,17.1,16.9,14.9,5.2,6.6,6,6.1,5.3,4.9,5,4.7,5.5,5.9,4.8,5.1
2727,760,31872,2556045,2952001,3404209,2352474,2749780,4434690,4430038,4205527,2522760,1923971,2819174,2103860,4.41,2.46,11.75,16.08,21.44,25.79,27.07,25.8,22.37,15.53,12.35,12.22,1.36,-0.66,7.58,12.22,16.73,20.7,21.55,20.45,18.39,12.21,9.48,10.04,6.9,5.9,7.6,14.4,19.6,18,25.9,26.1,25.2,20.1,15.7,12.8,4.9,6,5.6,5.7,4.9,4.5,4.4,4.2,5.1,5.6,4.4,4.4
2823,1962,660,2389649,2218393,2062004,2667288,2759919,2241756,2707407,2753270,2191195,1309433,2010816,2693061,-7.63,-12.26,1.68,6.99,11.94,18.82,21.57,20.7,17.32,9.11,0.65,-5.04,-8.39,-12.65,-1.12,3.27,8.06,14.92,17.56,15.83,12.79,5.9,-1.24,-6.04,6.7,3.7,7.6,10.8,15,19.1,22.2,22.9,24.1,14.4,10.6,10.1,10.9,10.3,10.9,11.6,10.8,8,9.3,7.8,9.2,10.8,9.7,9.1
2835,606,1000000,89924,216395,179368,79931,0,0,0,0,0,0,0,0,-6.42,-11.28,-0.8,8.56,17.07,18.97,21.06,20.47,19.55,11.16,8.32,5.92,-6.96,-11.73,-2.41,5.5,13.37,16.5,17.67,17.06,16.25,8.55,5.51,4.6,0.5,0.3,1.6,3.1,16.6,18.8,21.5,22.4,20.5,13.5,8.5,5.9,9.8,8.1,8,8.3,6.6,6.7,5.1,5.6,5.6,8.3,9.1,9
2836,596,1000000,854401,1509447,1201700,1241346,660506,1187072,1446817,1640844,1778816,1522669,805562,266694,-5.24,-10.18,0.86,9.97,17.85,20.32,21.65,21.15,20.13,12.25,8.74,6.53,-6.2,-10.62,-1.1,6.78,14.06,17.45,18.28,17.54,16.52,9.06,5.75,4.93,0.7,0.5,2.2,9.2,16.4,20.6,23.5,24.1,22.5,16.7,10.4,6.9,12,10.6,9.9,10.5,8.9,8.6,6.9,7.5,7.7,10.8,11,11.1
2837,575,1000000,1224634,1149487,876025,246749,0,0,0,0,0,0,0,0,-5.74,-10.71,0.25,9.43,17.48,19.77,21.37,20.77,19.82,11.86,8.54,6.27,-6.49,-11.09,-1.56,6.35,13.83,17.18,18.11,17.44,16.46,8.92,5.69,4.85,0.6,0.3,1.9,8.5,17.4,19.6,21.8,22.8,21,14,9,6.4,12.1,10.4,9.6,10.1,8.6,8.5,7.1,8,8.1,11.2,11.3,11.3
2838,579,1000000,86001,50717,150763,112804,0,0,0,0,0,0,0,0,-5.09,-9.93,1,10.13,17.95,20.49,21.84,21.39,20.31,12.34,8.86,6.59,-6.1,-10.48,-1,6.83,14.15,17.53,18.34,17.6,16.64,9.16,5.8,5.04,0.6,0.4,2.1,7.8,17.6,20.1,21.9,22.9,21.2,14.1,9.3,6.7,13.2,11.4,10.1,10.6,9.3,9.1,7.9,8.9,9.1,12.4,12.3,12.3
2878,580,1000000,666120,701526,758215,708637,710298,641674,727443,695603,755184,588850,771106,142930,-5.37,-9.84,1.06,9.77,17.95,20.7,22.35,22.16,20.58,12.71,8.09,5.52,-6.6,-10.4,-0.9,6.28,13.87,17.46,18.37,17.86,16.64,9.32,5.33,3.95,0.8,0.5,2.6,12.7,19.9,25.4,25.5,24.9,22.8,18.5,8.7,5.9,9.5,9,8.9,9.3,8,7.9,6.1,6.5,6.1,9.5,9.4,9.5
2956,949,1350,429660,440628,720658,1232117,248559,650375,1634957,1604770,587723,395988,768450,814522,4.45,3.86,11.9,17.22,19.99,26.41,28.24,27.11,25.41,18.19,11.68,8.23,1.02,0.59,8.41,13.61,16.88,21.91,23.62,21.44,19.9,13.34,8.63,5.61,6,7.4,12.4,18.1,20.6,25.7,28.1,26.8,24.6,19.4,13.3,9.8,8.8,10.5,8.6,10.7,9.5,8.8,9,7.8,8.6,8,11.1,10.4
3000,919,226,1580,0,0,0,0,0,8245,826,568,0,0,0,3.07,2.78,11.27,16.76,19.3,26.79,28.31,26.65,25.43,17.62,10.98,7.15,0.17,-0.49,7.54,12.91,16.27,21.75,23.39,21.07,19.66,12.53,7.85,4.62,4.9,5.9,11.7,17.3,19.6,25.4,27.7,26.2,23.9,17.9,12.2,8,8.2,9.5,7.9,10.4,9.5,8.9,8.8,7.9,8.9,7.4,10.3,9.3
3166,153,1000000,10334536,9046031,10262106,10345523,10568878,10139724,10419847,10011053,8045155,7174882,10770246,10958099,-2.58,-5.7,2.03,11.28,19.31,21.92,23.65,22.86,20.9,11.94,9.3,8.19,-4.05,-7.02,-0.12,7.6,15.38,18.91,20.44,19,17.28,9.4,6.92,6.73,1.9,1.1,3.1,10.3,19.9,24.3,24.3,26.8,24.9,16.3,10.6,8,8.1,8.3,7.3,8.8,6.4,7.1,5.1,5.2,5.4,6.7,6.4,5.8
3166,153,1000000,11482818,10051145,11402340,11495025,11743198,11266360,11577607,11123392,8939062,7972092,11966940,12175666,-2.58,-5.7,2.03,11.28,19.31,21.92,23.65,22.86,20.9,11.94,9.3,8.19,-4.05,-7.02,-0.12,7.6,15.38,18.91,20.44,19,17.28,9.4,6.92,6.73,1.9,1.1,3.1,10.3,19.9,24.3,24.3,26.8,24.9,16.3,10.6,8,8.1,8.3,7.3,8.8,6.4,7.1,5.1,5.2,5.4,6.7,6.4,5.8
3287,207,1000000,348098,589471,0,0,496261,544107,691239,620281,234958,653296,777422,259702,7.3,6.25,14.86,19.37,23.11,27.97,29.15,27.7,24.15,18.25,14.93,15.85,4.23,2.79,10.88,15.33,18.08,22.23,23.22,22.47,20.78,15.08,12.52,13.19,8.5,7.9,13.3,18.6,23.3,28.2,28.8,28.7,25.8,19.1,15.1,13.3,5,6.1,5.8,5.7,4.7,5.2,5.3,4.1,4.5,4.3,3.6,3.9
3452,455,22745,6997,8909,15424,27011,18234,207243,502431,644064,128214,41214,0,128214,7.39,7.79,13.65,19.1,22.4,27.84,30.35,30.34,27.63,21.49,14.25,11.38,3.82,4.6,10.84,15.88,19.35,22.77,23.53,22.18,20.85,15.65,11.24,8.67,9.7,10.6,13.9,20.6,22,26.7,28.9,28.2,26.9,23,17.1,12.4,7.9,9.3,7.7,9.2,9.7,7.6,8.8,7.5,7.3,7.5,8.6,8.1
3453,474,2741,5772,93558,69235,51378,225302,83757,826048,740364,333439,180396,31382,28426,7.86,8.19,13.66,19.19,22.29,27.78,30.46,30.51,27.83,21.74,14.38,11.65,4.07,4.8,10.82,15.94,19.29,22.59,23.39,22.06,20.83,15.72,11.27,8.78,8.2,11.2,14,20.3,23.3,28.2,29.5,29.7,28.1,23.7,18,12.8,8.2,9.4,8,9.3,9.8,7.5,8.7,7.4,7.2,7.6,8.8,8.1
3476,289,3987,23529,14583,0,0,0,48251,102138,157628,54864,311936,51,27569,7.3,7.42,13.84,19.91,23.35,27.62,30.07,29.23,27.06,21.34,15.48,13.15,4.17,4.5,11.48,16.49,19.99,23.16,24.22,22.51,20.89,15.9,12.5,10.65,9.2,10.4,14.9,20.9,23.8,27.3,29.4,28.9,26.9,22.3,17.6,13.4,6.8,8,6.3,8.2,7.5,6.5,7.7,5.7,5,6.1,6.4,7.5
3477,269,1374,0,0,0,0,0,4936,6385,9643,0,14679,1812,0,7.05,6.94,13.5,19.44,23.04,27.47,29.89,28.95,26.76,20.97,14.95,12.68,3.95,4.09,11.26,16.22,19.89,23.24,24.32,22.38,20.71,15.66,12.19,10.3,8.8,9.8,14.3,20.8,23.5,26.6,29,28.5,26.5,21.8,16.7,12.6,7,8,6.5,8.3,7.6,6.6,7.9,6,5.3,6.3,6.6,7.6
3490,1077,2550,12169,88521,69587,10730,8546,118586,304721,461957,58213,18738,25036,13012,6.04,6.76,12.92,18.23,21.36,26.87,29.03,29.15,26.94,20.28,13.2,10.08,2.6,3.61,9.91,15.13,18.58,22.22,23.16,21.93,20.38,14.58,10.09,6.74,7.1,9.7,14.2,19.9,21.8,27,28.8,28,26,21,14.6,9.9,8.4,9.5,7.8,9.6,9,7.9,8.4,7,7.1,7.3,9.3,8.9
3491,563,2200,23677,168430,60324,45414,70442,134241,1019522,1051432,259509,109237,64889,63517,7.1,7.59,13.54,18.91,22.15,28.14,30.6,30.84,28.08,21.58,14.57,11.61,3.62,4.6,10.77,15.98,19.32,22.61,23.49,22.19,20.95,15.61,11.2,8.39,7.7,11.3,12.3,21,24.8,28.8,30.2,31,28.6,23.6,18.3,12.7,9,10.2,8.6,10.1,10.2,8.6,10.5,8.3,7.9,8.3,9.4,8.7
3497,322,2350,3822794,3177946,4015766,3329314,2202830,4062434,4302066,3841353,3776507,3284533,3556142,3287113,7.72,8.5,13.99,20.04,23.28,27.68,30.06,29.88,27.74,22.12,15.17,12.81,4.41,5.45,11.48,16.86,20.19,23.22,23.98,22.54,21.04,16.21,12.35,10.07,9.5,11.7,15,21,23.2,27.5,29.2,29,27.3,22.8,17.9,13.6,7,7.9,6.7,7.7,7.5,6.1,7.6,6.2,5.5,6.9,6.8,7.1
3504,306,1000000,31710,32700,78771,0,6275,115585,202332,298378,94539,7420,35447,20959,8.09,8.74,14.83,20.86,23.95,27.88,29.94,29.15,26.89,21.42,15.44,13.1,4.81,5.61,12.13,17.19,20.45,23.37,24.22,22.59,20.88,16.1,12.67,10.75,9.4,11.1,15.1,20.8,23.4,27.3,29.1,29.1,27.2,22.7,17.4,13.9,6.7,7.7,6.3,7.8,7.3,6.1,7.4,5.8,5.1,6.4,6.4,7.1
3576,519,1000000,7633,11851,19429,0,0,0,177461,191178,14378,0,0,0,6.57,7.08,13.32,18.66,22.01,27.63,30.05,30.04,27.39,21.12,14.2,11.19,3.34,4.19,10.75,15.74,19.26,22.78,23.63,22.24,20.82,15.48,11.17,8.49,8.6,9.6,13.6,19.7,21.7,26.3,28.8,28,26.3,21.9,16.4,11.9,7.5,9.1,7.3,9,9.3,7.7,9.3,7.2,6.7,7,8.4,8.1
3601,456,1000000,27459,147935,84819,157,0,36592,407779,760594,189014,71128,307,27697,8.66,10.28,17.45,21.37,23.85,26.78,29.11,29.95,27.88,23.04,16.26,13.49,5.79,7.45,12.63,18.07,21.04,23.22,23.92,23.18,21.67,17.32,13.33,10.72,13.3,15.2,17.9,21.6,24.6,26.6,29,29.5,27.7,23.7,19.8,15.7,6.3,7.4,6.4,6.8,7.1,5,7.2,4.9,3.8,5.5,5.9,5.5
3611,492,3500,15589,204123,181723,510189,253621,338547,615951,792998,345218,203877,214106,46853,9.52,11.85,16.01,21.92,24.7,27.47,29.71,30.7,28.91,24.52,17.54,14.62,6.38,8.39,13.2,18.5,21.52,23.35,23.92,23.47,22.16,18.26,14.18,11.3,16.6,18.8,19.6,23.5,24.9,27.4,29.3,29.9,28.6,24.8,20.9,17.8,6.9,8,6.9,7.7,9.5,6.7,9.5,6.9,6.4,7.5,7.2,6.5
