User description of input file for big lakes,,,,,Note: The minimum heat loading and input wind coefficient values should be on Row 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Input wind function coefficients,,,,"Note: The input data (Plant ID, Elevation, etc.) should  begin on Row 7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum heat loading,a,b,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1.04,1.05,0,lake,"Webster and Sherman, 1995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant Characteristics,,,Added heat load (MMBtu),,,,,,,,,,,,Dry bulb air temperature Ta (oC),,,,,,,,,,,,Wet bulb air temperature Twb (oC),,,,,,,,,,,,Natural water temperature  T (oC),,,,,,,,,,,,Wind speed at 2m W (mph),,,,,,,,,,,
Plant ID,Elevation (feet),Pond Area (acres),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2956,949,1350,"429,660","440,628","720,658","1,232,117","248,559","650,375","1,634,957","1,604,770","587,723","395,988","768,450","814,522",1.02,0.59,8.41,13.61,16.88,21.91,23.62,21.44,19.9,13.34,8.63,5.61,4.45,3.86,11.9,17.22,19.99,26.41,28.24,27.11,25.41,18.19,11.68,8.23,6,7.4,12.4,18.1,20.6,25.7,28.1,26.8,24.6,19.4,13.3,9.8,8.8,10.5,8.6,10.7,9.5,8.8,9,7.8,8.6,8,11.1,10.4
3000,919,226,"1,580",0,0,0,0,0,"8,245",826,568,0,0,0,0.17,-0.49,7.54,12.91,16.27,21.75,23.39,21.07,19.66,12.53,7.85,4.62,3.07,2.78,11.27,16.76,19.3,26.79,28.31,26.65,25.43,17.62,10.98,7.15,4.9,5.9,11.7,17.3,19.6,25.4,27.7,26.2,23.9,17.9,12.2,8,8.2,9.5,7.9,10.4,9.5,8.9,8.8,7.9,8.9,7.4,10.3,9.3
3166,153,1000000,"10,334,536","9,046,031","10,262,106","10,345,523","10,568,878","10,139,724","10,419,847","10,011,053","8,045,155","7,174,882","10,770,246","10,958,099",-4.05,-7.02,-0.12,7.6,15.38,18.91,20.44,19,17.28,9.4,6.92,6.73,-2.58,-5.7,2.03,11.28,19.31,21.92,23.65,22.86,20.9,11.94,9.3,8.19,1.9,1.1,3.1,10.3,19.9,24.3,24.3,26.8,24.9,16.3,10.6,8,8.1,8.3,7.3,8.8,6.4,7.1,5.1,5.2,5.4,6.7,6.4,5.8
3166,153,1000000,"11,482,818","10,051,145","11,402,340","11,495,025","11,743,198","11,266,360","11,577,607","11,123,392","8,939,062","7,972,092","11,966,940","12,175,666",-4.05,-7.02,-0.12,7.6,15.38,18.91,20.44,19,17.28,9.4,6.92,6.73,-2.58,-5.7,2.03,11.28,19.31,21.92,23.65,22.86,20.9,11.94,9.3,8.19,1.9,1.1,3.1,10.3,19.9,24.3,24.3,26.8,24.9,16.3,10.6,8,8.1,8.3,7.3,8.8,6.4,7.1,5.1,5.2,5.4,6.7,6.4,5.8
3287,207,1000000,"348,098","589,471",0,0,"496,261","544,107","691,239","620,281","234,958","653,296","777,422","259,702",4.23,2.79,10.88,15.33,18.08,22.23,23.22,22.47,20.78,15.08,12.52,13.19,7.3,6.25,14.86,19.37,23.11,27.97,29.15,27.7,24.15,18.25,14.93,15.85,8.5,7.9,13.3,18.6,23.3,28.2,28.8,28.7,25.8,19.1,15.1,13.3,5,6.1,5.8,5.7,4.7,5.2,5.3,4.1,4.5,4.3,3.6,3.9
3452,455,22745,"6,997","8,909","15,424","27,011","18,234","207,243","502,431","644,064","128,214","41,214",0,"128,214",3.82,4.6,10.84,15.88,19.35,22.77,23.53,22.18,20.85,15.65,11.24,8.67,7.39,7.79,13.65,19.1,22.4,27.84,30.35,30.34,27.63,21.49,14.25,11.38,9.7,10.6,13.9,20.6,22,26.7,28.9,28.2,26.9,23,17.1,12.4,7.9,9.3,7.7,9.2,9.7,7.6,8.8,7.5,7.3,7.5,8.6,8.1
3453,474,2741,"5,772","93,558","69,235","51,378","225,302","83,757","826,048","740,364","333,439","180,396","31,382","28,426",4.07,4.8,10.82,15.94,19.29,22.59,23.39,22.06,20.83,15.72,11.27,8.78,7.86,8.19,13.66,19.19,22.29,27.78,30.46,30.51,27.83,21.74,14.38,11.65,8.2,11.2,14,20.3,23.3,28.2,29.5,29.7,28.1,23.7,18,12.8,8.2,9.4,8,9.3,9.8,7.5,8.7,7.4,7.2,7.6,8.8,8.1
3476,289,3987,"23,529","14,583",0,0,0,"48,251","102,138","157,628","54,864","311,936",51,"27,569",4.17,4.5,11.48,16.49,19.99,23.16,24.22,22.51,20.89,15.9,12.5,10.65,7.3,7.42,13.84,19.91,23.35,27.62,30.07,29.23,27.06,21.34,15.48,13.15,9.2,10.4,14.9,20.9,23.8,27.3,29.4,28.9,26.9,22.3,17.6,13.4,6.8,8,6.3,8.2,7.5,6.5,7.7,5.7,5,6.1,6.4,7.5
3477,269,1374,0,0,0,0,0,"4,936","6,385","9,643",0,"14,679","1,812",0,3.95,4.09,11.26,16.22,19.89,23.24,24.32,22.38,20.71,15.66,12.19,10.3,7.05,6.94,13.5,19.44,23.04,27.47,29.89,28.95,26.76,20.97,14.95,12.68,8.8,9.8,14.3,20.8,23.5,26.6,29,28.5,26.5,21.8,16.7,12.6,7,8,6.5,8.3,7.6,6.6,7.9,6,5.3,6.3,6.6,7.6
3490,1077,2550,"12,169","88,521","69,587","10,730","8,546","118,586","304,721","461,957","58,213","18,738","25,036","13,012",2.6,3.61,9.91,15.13,18.58,22.22,23.16,21.93,20.38,14.58,10.09,6.74,6.04,6.76,12.92,18.23,21.36,26.87,29.03,29.15,26.94,20.28,13.2,10.08,7.1,9.7,14.2,19.9,21.8,27,28.8,28,26,21,14.6,9.9,8.4,9.5,7.8,9.6,9,7.9,8.4,7,7.1,7.3,9.3,8.9
3491,563,2200,"23,677","168,430","60,324","45,414","70,442","134,241","1,019,522","1,051,432","259,509","109,237","64,889","63,517",3.62,4.6,10.77,15.98,19.32,22.61,23.49,22.19,20.95,15.61,11.2,8.39,7.1,7.59,13.54,18.91,22.15,28.14,30.6,30.84,28.08,21.58,14.57,11.61,7.7,11.3,12.3,21,24.8,28.8,30.2,31,28.6,23.6,18.3,12.7,9,10.2,8.6,10.1,10.2,8.6,10.5,8.3,7.9,8.3,9.4,8.7
3497,322,2350,"3,822,794","3,177,946","4,015,766","3,329,314","2,202,830","4,062,434","4,302,066","3,841,353","3,776,507","3,284,533","3,556,142","3,287,113",4.41,5.45,11.48,16.86,20.19,23.22,23.98,22.54,21.04,16.21,12.35,10.07,7.72,8.5,13.99,20.04,23.28,27.68,30.06,29.88,27.74,22.12,15.17,12.81,9.5,11.7,15,21,23.2,27.5,29.2,29,27.3,22.8,17.9,13.6,7,7.9,6.7,7.7,7.5,6.1,7.6,6.2,5.5,6.9,6.8,7.1
3504,306,1000000,"31,710","32,700","78,771",0,"6,275","115,585","202,332","298,378","94,539","7,420","35,447","20,959",4.81,5.61,12.13,17.19,20.45,23.37,24.22,22.59,20.88,16.1,12.67,10.75,8.09,8.74,14.83,20.86,23.95,27.88,29.94,29.15,26.89,21.42,15.44,13.1,9.4,11.1,15.1,20.8,23.4,27.3,29.1,29.1,27.2,22.7,17.4,13.9,6.7,7.7,6.3,7.8,7.3,6.1,7.4,5.8,5.1,6.4,6.4,7.1
3576,519,1000000,"7,633","11,851","19,429",0,0,0,"177,461","191,178","14,378",0,0,0,3.34,4.19,10.75,15.74,19.26,22.78,23.63,22.24,20.82,15.48,11.17,8.49,6.57,7.08,13.32,18.66,22.01,27.63,30.05,30.04,27.39,21.12,14.2,11.19,8.6,9.6,13.6,19.7,21.7,26.3,28.8,28,26.3,21.9,16.4,11.9,7.5,9.1,7.3,9,9.3,7.7,9.3,7.2,6.7,7,8.4,8.1
3601,456,1000000,"27,459","147,935","84,819",157,0,"36,592","407,779","760,594","189,014","71,128",307,"27,697",5.79,7.45,12.63,18.07,21.04,23.22,23.92,23.18,21.67,17.32,13.33,10.72,8.66,10.28,17.45,21.37,23.85,26.78,29.11,29.95,27.88,23.04,16.26,13.49,13.3,15.2,17.9,21.6,24.6,26.6,29,29.5,27.7,23.7,19.8,15.7,6.3,7.4,6.4,6.8,7.1,5,7.2,4.9,3.8,5.5,5.9,5.5
3611,492,3500,"15,589","204,123","181,723","510,189","253,621","338,547","615,951","792,998","345,218","203,877","214,106","46,853",6.38,8.39,13.2,18.5,21.52,23.35,23.92,23.47,22.16,18.26,14.18,11.3,9.52,11.85,16.01,21.92,24.7,27.47,29.71,30.7,28.91,24.52,17.54,14.62,16.6,18.8,19.6,23.5,24.9,27.4,29.3,29.9,28.6,24.8,20.9,17.8,6.9,8,6.9,7.7,9.5,6.7,9.5,6.9,6.4,7.5,7.2,6.5
3954,3270,1120,"5,304,185","5,207,570","3,703,986","213,067","4,699,674","5,415,410","5,180,348","5,398,333","3,835,849","4,615,480","5,188,880","5,415,556",-4.28,-7.16,0.38,7.41,14.97,18.15,19.39,17.64,16.11,8.76,6.23,5.46,-2.44,-5.27,3.38,11.8,19.32,20.9,23.24,22.35,20.21,11.7,9.25,7.38,2,1.4,7.2,10.2,17.2,26.4,28.8,29.4,26.6,21.6,18.9,10,6.1,6.3,6.4,5.9,4.2,4.6,3.5,3.1,3.2,4.6,5.2,4.5
3982,605,1000000,"186,097","175,666","122,524","113,091","225,358","192,723","182,295","207,904","144,599","221,018","157,439","172,159",-10.2,-14.33,-2.87,2.42,8.35,13.61,17.24,16.37,14.56,6.18,1.76,-1.73,-9.67,-14.18,-0.55,5.65,10.91,15.71,19.76,18.74,16.57,7.78,2.98,-1.24,0.4,0.2,1.4,6.7,13.1,16.9,21.3,19.8,17.8,9.4,4.8,1.5,8.9,8.7,8.6,8.7,7.1,5,6.2,6.6,6.5,7.3,7.7,8.6
3992,853,2753,"6,756","20,900",7,0,"91,444","49,152","103,356","45,762","78,184","40,162",2,0,-7.43,-12.13,-1.2,5.16,12.34,16.26,17.98,17.46,16.16,8.14,3.52,0.93,-6.65,-11.77,1.36,9.14,15.77,19.56,21.47,20.91,19.54,10.87,5.64,1.74,0.9,0.5,3.6,9.8,15.3,21,22.8,23.3,21.5,13.8,8,5.6,7,7.8,7.1,8.4,8.1,5.9,5.3,5.8,6.4,7.4,8.4,8.4
4040,591,1000000,"755,220","915,427","687,316","675,996","696,151","855,715","895,038","752,349","632,210","652,301","811,000","791,846",-7.48,-11.92,-1.57,4.12,10.77,14.8,17.28,17.17,15.97,8.38,3.85,1.28,-6.66,-11.44,0.58,7.13,13.89,17.72,20.5,20,18.83,11.04,5.9,2.2,2.4,1,4.4,8.5,10,13.1,16.6,15,14.1,13.4,7.6,4.9,10.1,10.6,9.7,10.4,9.9,7.7,7.4,7.4,7.4,10.2,10.6,10.7
4041,597,1000000,"3,218,935","2,492,143","2,213,686","1,351,470","2,403,204","2,639,723","3,026,270","3,181,752","3,326,272","2,134,142","1,696,671","2,076,216",-6.52,-10.76,-1.16,4.58,10.97,14.89,17.34,17.47,16.36,9.01,4.5,2.07,-5.58,-10.34,0.76,7.75,13.97,17.72,20.89,20.72,19.68,11.97,6.78,3.26,1.8,1.1,4,6.5,10.7,12.5,14.7,12.2,11.5,14.4,8.9,5.9,10,10.4,9.5,10.1,9.5,7.7,7.5,7.6,7.9,10.6,11,10.7
4046,603,1000000,"5,928,129","5,354,800","5,899,676","5,747,698","5,941,255","5,732,927","5,920,230","5,896,060","5,640,423","3,172,904","5,494,766","5,786,327",-7.94,-12.46,-1.65,4.2,11.06,15.08,17.36,17.06,15.88,8.13,3.54,0.89,-7.18,-11.93,0.61,7.27,14.26,18.22,20.56,19.84,18.62,10.64,5.54,1.7,1.6,0.8,4,7.5,10,13,14.8,14.6,13.6,12.2,7,4.8,9.6,10,9.3,10.3,9.5,7.2,6.8,6.9,6.9,9.3,10,10.2
4050,588,1000000,"1,842,367","1,894,817","1,883,338","1,132,544","1,445,381","2,148,570","2,241,597","2,181,416","2,005,159","1,570,444","1,262,704","1,182,225",-7.82,-12.33,-1.75,3.95,10.67,14.72,17.17,17.01,15.77,8.18,3.53,0.96,-7.11,-11.88,0.33,6.69,13.6,17.63,20.24,19.58,18.35,10.63,5.49,1.75,2.8,1.2,4.5,8.5,8.9,12.5,14.5,12.7,12,12.3,7,5.2,10,10.4,9.5,10.3,9.7,7.4,6.9,7,6.8,9.7,10.2,10.5
4072,589,1000000,"232,583","400,054","283,625","96,348","75,172","225,823","431,301","271,359","288,432","244,963","52,975","23,523",-7.98,-12.49,-1.63,4.27,11.17,15.18,17.41,17.07,15.91,8.11,3.54,0.87,-7.2,-11.95,0.69,7.42,14.44,18.38,20.65,19.91,18.69,10.64,5.54,1.68,0.6,0.5,3.2,9.1,17.2,21.6,23.7,23.3,22.4,14.3,7.1,3.6,9.5,9.8,9.4,10.4,9.6,7.1,6.7,6.8,6.8,9.1,9.9,10.2
4125,607,1000000,"59,607","65,718","61,106","101,751","79,480","61,212","88,738","92,820","68,751","35,010","117,983","136,439",-7.92,-12.43,-1.67,4.15,10.98,15.01,17.32,17.05,15.86,8.14,3.54,0.91,-7.16,-11.92,0.56,7.15,14.13,18.1,20.49,19.79,18.57,10.64,5.53,1.72,1.5,0.8,3.5,7.3,9.2,12.5,15.1,12.9,12.4,12.2,6.7,3.4,9.7,10,9.3,10.3,9.5,7.3,6.8,6.9,6.9,9.4,10,10.2
4937,851,6534,0,"446,785","615,449","376,408","575,922","573,944","611,851","614,079","612,165","546,531","440,419","620,107",5.87,7.51,12.67,18.1,21.06,23.24,23.94,23.22,21.72,17.42,13.39,10.79,8.84,10.44,17.01,21.49,23.97,26.91,29.26,30.16,28.09,23.24,16.36,13.62,10.8,12.8,17.2,15,23.9,28.3,29.1,29.6,28,23.7,19.3,15.2,3.7,5.1,4.3,5.4,5.7,4.6,6.6,4.4,4,4,4.4,4.3
6000,622,1000000,"11,322,020","10,270,288","9,821,230","5,608,708","11,041,183","5,581,344","5,987,113","10,616,359","10,464,603","11,194,382","10,705,103","11,330,994",-6.27,-9.82,-1.03,5.84,13.16,17.08,18.08,17.91,16.35,8.87,4.96,3.52,-5.56,-9.28,0.6,9.03,15.9,19.47,21.05,20.94,19.42,11.69,7.51,4.64,2.8,2.4,4.1,11.4,17.1,19.9,22,22.4,20.6,14.4,9,6.1,9.5,9.1,8.5,9.3,8.2,6.7,5.8,6.3,5.5,8.8,10.3,10.8
6038,760,31872,"11,035,915","8,713,042","11,015,357","10,668,297","11,013,636","10,557,307","10,491,353","10,323,021","7,045,233","8,977,390","10,688,909","11,038,349",1.49,-0.45,7.73,12.42,16.84,20.82,21.67,20.55,18.54,12.36,9.64,10.31,4.51,2.67,11.93,16.25,21.51,25.96,27.2,25.95,22.55,15.61,12.49,12.5,10.5,8.3,11.2,15.3,20.4,25.3,26.9,26.9,26.2,21.2,18.1,15.1,5,6.2,5.8,5.9,5.1,4.6,4.7,4.4,5.3,5.8,4.6,4.7
6043,27,6600,"1,143,784","511,552","1,330,363","1,765,301","1,958,966","2,848,212","2,754,089","2,789,624","3,022,725","2,973,144","2,748,286","1,962,169",15.97,14.43,19.62,21.69,21.77,23.78,24.2,24.66,24.53,21.96,21.73,21.31,18.78,17.45,22.95,25.26,25.78,27.56,28.24,28.17,27.63,25.72,25.03,23.65,21.1,19.2,24.3,26.2,27.5,28.9,28.5,29,28.7,26.8,25.9,24,8.3,9.3,8.4,8.1,9.3,7.3,7.1,5.9,5.1,8.3,9.5,9.2
6082,291,1000000,"734,323","1,731,368","563,570",0,360,0,"214,485","159,349","91,588",0,0,0,-7.69,-11.8,-3.06,4.81,12.92,15.66,17.41,16.89,16.14,7.8,5.21,4.17,-7.12,-11.52,-1.57,8.1,16.97,18.28,20.88,20.28,19.3,10.45,7.75,5.62,1,1.1,1.9,4.6,11,11.8,20.1,20.7,18.8,13.9,10.6,7.2,12.5,11.5,10.5,10.8,9.5,8.6,7.4,7.8,7.5,10.4,10.5,9.9
6110,271,1000000,"4,169,931","3,795,567","4,196,081","4,051,730","4,196,087","4,048,126","4,074,275","4,042,385","3,920,066","4,151,556","4,052,006","4,188,166",-8.56,-11.88,-3.94,4.47,13.08,15.64,17.67,17.49,16.33,7.36,5.37,3.79,-7.8,-11.72,-2.79,7.59,17.22,18.21,20.95,20.86,19.45,9.7,7.46,5.18,4,1.5,2.2,5.8,11,13.2,19.9,23.6,21.6,13.3,11.1,8.8,9.4,8.6,8.6,9.2,7,6.4,5.7,5.4,5.1,7.2,8,7.4
6122,272,1000000,"2,903,815","2,622,486","2,900,496","2,812,403","2,894,905","2,796,796","2,843,260","2,867,343","2,811,604","1,647,048","2,208,979","2,938,459",-8.09,-11.69,-3.39,4.82,13.19,15.79,17.75,17.43,16.5,7.65,5.42,3.96,-7.38,-11.47,-1.96,8.19,17.56,18.58,21.35,20.9,19.75,10.15,7.81,5.41,1,0.6,1.6,5.8,10.7,11.3,18.4,21.8,12.1,13.3,10.5,8.3,10,9.3,9.2,9.7,7.8,6.7,6.1,6,5.9,8,8.9,7.9
6136,286,2770,"846,799","831,650","1,060,078","1,089,365","964,221","1,068,180","1,229,701","1,222,157","1,133,498","961,763","910,981","815,500",6.03,7.76,12.97,18.44,21.18,23.44,24.39,23.41,21.85,17.51,13.97,11.95,8.68,10.38,15.46,21.57,24.35,27.44,29.4,29.48,26.97,22.81,16.62,14.32,10.8,12.8,16,21.8,24.2,27,29.4,29.6,27.9,24,18.8,15.5,6.7,7.8,7,7,7.8,5.6,7.3,5.4,4.6,6.3,6.6,6.9
6138,1155,530,"1,939,728","1,708,841","1,849,114","549,414","1,054,771","1,578,051","1,739,108","1,599,397","1,599,578","577,242","1,173,640","1,130,192",0.68,-1.07,7.81,12.89,16.84,21.95,23.72,21.12,19.47,12.98,8.53,6.07,3.7,1.79,10.78,16.54,20.01,26.21,28.26,25.62,23.82,17.31,11.64,8.69,7.9,8.4,10.8,15.3,17.1,19.9,22.8,23.2,22.1,18.2,14.8,12.1,7.1,8.8,6.7,8.8,7.4,6.8,6.1,4.9,5,6,8.1,8.4
6146,312,5020,"4,810,447","4,374,832","4,047,443","1,398,927","5,012,001","6,626,340","6,867,247","6,680,837","7,111,143","5,009,111","4,543,422","3,217,797",4.16,4.48,11.48,16.5,20,23.16,24.23,22.51,20.9,15.9,12.51,10.67,7.29,7.39,13.84,19.91,23.35,27.62,30.06,29.22,27.05,21.33,15.5,13.16,9.3,10.6,14.9,21,23.8,27.3,29.4,28.9,27,22.5,17.7,13.6,7,8.1,6.5,8.3,7.6,6.6,7.7,5.9,5.2,6.4,6.6,7.6
6147,380,2000,0,0,0,0,"794,335","4,938,250","9,596,986","5,652,246","2,573,809","2,686,680","2,645,664","2,767,940",3.94,4.1,11.24,16.2,19.88,23.22,24.3,22.37,20.7,15.66,12.15,10.26,7.06,6.97,13.49,19.43,23.02,27.46,29.89,28.95,26.76,20.97,14.92,12.66,8.5,9.5,14.1,20.5,23.1,26.6,29,28.4,26.3,21.5,16.2,12.3,6.9,8.2,6.4,8.2,7.8,6.6,8,6,5.3,6.2,6.7,7.4
6178,100,3200,"1,993,120","982,042","819,630","1,235","793,373","1,880,872","2,198,177","2,006,005","1,589,447","2,011,673","1,950,099","797,215",8.21,10.43,14.97,20.53,23.19,24.56,25.36,24.79,23.51,20.19,16.48,13.9,10.93,12.93,16.98,22.84,25.64,27.76,29.54,29.4,26.94,23.92,18.69,15.71,13.4,16,18.9,23.6,26.1,28.6,29.9,30.5,28.6,25,20.9,17.1,9.1,10,9.2,10.1,12.2,8.7,10,8.1,7.3,9,9.2,9.1
6180,434,2330,"6,219,631","5,242,605","1,370,625","3,268,441","5,677,383","5,879,907","6,286,549","6,413,836","6,019,108","5,946,037","5,963,565","5,833,646",4.92,6.35,11.91,17.43,20.55,23.29,24.06,22.89,21.43,16.74,12.84,10.53,7.9,9.18,14.36,20.52,23.6,27.62,29.75,30.02,27.8,22.68,15.62,13.06,10.1,12.2,15.6,21.4,23.8,27.3,29.3,29.4,27.7,23.6,18.5,14.6,7,8.4,7.3,7.8,8.2,5.7,8.2,5.9,5.3,6.7,7.2,6.7
6181,492,3500,"1,706,397","1,169,526","949,858","1,588,799","1,891,143","1,955,040","2,178,551","2,239,417","1,920,035","1,108,590","568,484","946,205",6.38,8.39,13.2,18.5,21.52,23.35,23.92,23.47,22.16,18.26,14.18,11.3,9.52,11.85,16.01,21.92,24.7,27.47,29.71,30.7,28.91,24.52,17.54,14.62,16.6,18.8,19.6,23.5,24.9,27.4,29.3,29.9,28.6,24.8,20.9,17.8,6.9,8,6.9,7.7,9.5,6.7,9.5,6.9,6.4,7.5,7.2,6.5
6213,490,1600,"3,299,684","2,872,132","1,747,934","1,550,408","1,789,887","2,442,604","3,231,464","2,277,265","2,096,519","3,011,217","2,910,716","1,849,987",-3.61,-7.21,1.98,9.2,15.48,19.81,20.78,18.77,16.81,10.06,6.2,4.81,-2.42,-6.62,4.09,12.58,19,22.61,23.61,22.19,20.15,13.72,8.63,6.1,3,2.4,7,14.4,20.2,23.4,24.8,25.8,24.1,17.4,12.3,8.7,8.3,9.3,7.8,8.9,8.3,7.1,5.3,4.7,5.1,7.9,8.2,9.4
7097,490,3500,"1,245,461","256,081",28,"223,171","2,988,721","2,804,402","3,095,869","3,171,000","2,571,419","2,612,560","2,392,047","2,220,457",6.38,8.39,13.2,18.5,21.52,23.35,23.92,23.47,22.16,18.26,14.18,11.3,9.52,11.84,16.01,21.92,24.7,27.47,29.71,30.7,28.9,24.51,17.53,14.62,16.6,18.9,19.6,23.5,24.9,27.4,29.3,29.9,28.6,24.8,20.9,17.8,6.9,8,6.9,7.7,9.5,6.7,9.5,6.9,6.4,7.5,7.2,6.5
8042,724,3863,"5,798,625","6,169,240","6,059,606","2,641,463","3,741,249","5,853,962","6,784,388","5,633,208","5,203,763","4,447,535","3,424,029","2,733,123",0.67,-1.9,6.4,11.68,16.82,20.81,21.84,20.43,18.52,11.8,9.18,9.86,3.56,1.13,10.54,15.74,21.36,25.8,26.3,24.89,22.1,15.04,12.24,11.74,8.4,6,14.1,17.1,21.3,29.2,27.8,27.9,26.9,21.8,18.1,15.8,6.1,7.2,6.4,6.8,5.7,5.8,5.3,4.3,5.5,6.6,4.9,5
10075,633,1000000,"777,519","781,974","698,659","626,645","625,714","438,097","454,662","487,835","512,101","465,575","434,367","465,553",-10.08,-15.11,-3.59,1.27,6.35,10.63,14.94,14.3,13.18,5.89,1.69,-2.42,-9.66,-14.92,-1.71,4.4,9.04,12.93,17.61,16.83,15.47,7.72,2.64,-1.79,1.1,0.4,1.3,3.8,9.1,7.8,15.6,12.8,14.2,10.3,5.1,3.5,8.8,8.5,8.2,8.1,7.2,4.8,5.6,6,5.8,8.1,7.9,8.6
10148,869,1000000,-3,"9,964","9,665","1,520",517,"2,778","5,989","4,938","6,535","7,295","4,499",0,-10.39,-15.03,-3.56,1.76,7.65,11.9,15.61,15.05,13.84,5.9,1.7,-2,-10.07,-15.05,-1.58,4.91,10.35,14.13,18.24,17.37,16.06,7.69,2.71,-1.4,0.3,0.2,1.3,5.5,11.8,15.3,20.5,19.2,17.6,9.2,4.5,1.7,9.7,9.4,9.1,9,7.8,5.4,6.9,7.2,6.5,8.2,8.4,9.2
50450,254,1000000,"21,120","20,162","37,366","2,171","17,355","9,812","36,345","25,337","25,299","22,918","31,194","4,997",-8.57,-11.87,-3.96,4.45,13.06,15.62,17.65,17.47,16.31,7.35,5.36,3.78,-7.8,-11.69,-2.81,7.56,17.19,18.17,20.92,20.84,19.43,9.68,7.44,5.17,2.1,1.1,2.1,5.5,12.9,17.1,21.5,23.7,21.9,14.3,9.8,6.3,9.3,8.5,8.6,9.2,6.9,6.3,5.7,5.3,5,7.1,7.9,7.3
55096,605,1000000,"183,937","171,083","171,134","149,535","157,734","147,458","149,685","150,619","143,911","149,418","155,551","164,899",-5.94,-9.48,-0.49,6.51,13.51,17.59,18.64,18.09,16.75,9.17,4.97,3.56,-5.22,-8.96,1.65,10.36,17.11,20.54,22.37,21.92,20.52,12.59,7.56,4.6,3.4,2.1,5,12.2,17.3,20.2,23.1,23.5,21.6,15.4,9.4,7.2,9.6,9.8,9.1,10.2,9.2,7.7,6.5,6.9,6.8,9.5,10.4,10.7
55154,490,906,"434,274","295,954","650,645","245,747","415,241","620,163","658,887","709,661","634,657","601,548","532,194","497,117",5.79,7.45,12.63,18.07,21.04,23.22,23.92,23.18,21.67,17.32,13.33,10.72,8.65,10.28,17.45,21.37,23.85,26.78,29.11,29.95,27.88,23.04,16.26,13.49,13.3,15.2,17.9,21.6,24.6,26.6,29,29.5,27.7,23.7,19.8,15.7,6.3,7.4,6.4,6.8,7.1,5,7.2,4.9,3.8,5.5,5.9,5.5
56068,580,1000000,"3,317,688","2,547,908","2,306,168","2,583,960","3,436,964","2,752,408","3,385,793","3,076,317","1,827,774","1,955,247","3,089,635","2,829,173",-6.52,-10.76,-1.16,4.59,10.98,14.9,17.34,17.47,16.37,9.01,4.5,2.08,-5.58,-10.35,0.76,7.76,13.98,17.73,20.89,20.72,19.68,11.97,6.78,3.26,1.8,1.1,4,6.5,10.7,12.5,14.7,12.2,11.5,14.4,8.9,5.9,10,10.4,9.5,10.1,9.5,7.7,7.5,7.6,7.9,10.7,11,10.7
