User description of input file for big lakes,,,,,Note: The minimum heat loading and input wind coefficient values should be on Row 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Input wind function coefficients,,,,"Note: The input data (Plant ID, Elevation, etc.) should  begin on Row 7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum heat loading,a,b,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,1.04,1.05,0,lake,"Webster and Sherman, 1995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant Characteristics,,,Added heat load (MMBtu),,,,,,,,,,,,Dry bulb air temperature Ta (oC),,,,,,,,,,,,Wet bulb air temperature Twb (oC),,,,,,,,,,,,Natural water temperature  T (oC),,,,,,,,,,,,Wind speed at 2m W (mph),,,,,,,,,,,
Plant ID,Elevation (feet),Pond Area (acres),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
995,620,1000000,"1,299,580","1,075,715","452,612","534,220","156,793","1,066,676","1,113,221","756,665","1,084,431","925,758","474,790","522,263",-5.96,-9.5,-0.51,6.5,13.51,17.6,18.63,18.08,16.73,9.15,4.95,3.55,-5.25,-8.99,1.62,10.34,17.1,20.53,22.33,21.88,20.48,12.56,7.54,4.59,3.3,2.1,4.9,12.2,17.3,20.1,22.9,23.3,21.5,15.2,9.4,7,9.5,9.8,9,10.2,9.2,7.7,6.4,6.8,6.7,9.4,10.4,10.7
1396,50,650,"238,188","332,997","538,716","437,643","753,259","909,579","864,929","762,654","343,993","792,747","991,235","780,082",5.59,5.95,13.63,18.28,21.05,23.5,24.8,23.23,21.67,16.83,14.8,12.92,8.09,8.82,16.05,20.91,24.32,27.38,28.78,28.7,26.51,21.47,17.45,15.37,10.6,13.3,17.9,24.4,28.6,30.5,30.7,32.1,29.1,26,22.5,19.9,5.7,6.5,5.8,5.7,5.1,4.6,4.7,4.1,3.5,5.4,5.4,6.5
1417,190,31000,0,0,"8,779",0,"9,626","54,447","64,268","17,931","27,771","109,905","17,511",0,3.9,3.95,11.31,16.29,19.86,23.16,24.32,22.45,20.83,15.71,12.49,10.68,6.91,6.68,13.47,19.55,23.14,27.55,29.85,28.87,26.74,20.98,15.37,12.98,9.1,10,14.6,21.1,24.3,27.3,29.2,28.8,26.7,22.1,17.3,13.3,6.5,7.6,6.3,7.9,7.3,6.5,7.4,5.4,4.7,6,6.2,7.2
1695,590,4150,"1,006,339","745,218","1,046,146","954,964","796,059","752,787","1,030,929","1,037,154","948,287","661,027","685,594","703,398",-6.02,-10.12,-1.82,4.88,11.97,15.53,17.28,17.61,16.3,8.65,4.71,2.97,-4.97,-9.2,0.16,8.28,15.1,18.75,21.15,20.98,19.34,11.14,7.68,4.22,1.4,1,2.8,9.4,16,20.8,23.4,23.4,21.3,14.8,8.4,5.6,10.8,10.4,9.9,9.8,9.3,7.7,7.1,7.7,7.1,10.5,11.3,11.1
1710,600,1000000,"4,628,639","4,323,214","4,037,360","2,898,341","4,093,342","4,073,519","4,472,226","4,437,983","4,393,722","3,411,176","4,165,632","3,911,486",-6.3,-10.27,-1.82,5.04,12.35,15.91,17.46,17.7,16.34,8.7,4.83,3.11,-5.3,-9.46,0.13,8.37,15.33,18.9,21.14,20.91,19.35,11.18,7.71,4.33,2.1,1.3,3,6.4,13.4,14.9,17.6,21.7,19.4,11.8,8.6,5.5,10.5,9.8,9.7,9.7,9.1,7.6,6.8,7.3,6.6,10.1,11,11.2
1723,580,1000000,"964,410","997,871","1,104,857","985,729","1,024,435","938,238","892,831","972,655","806,557","635,449","750,426","963,511",-6.57,-10.36,-0.88,6.27,13.81,17.37,18.35,17.83,16.63,9.28,5.29,3.91,-5.35,-9.76,1.15,9.74,17.87,20.65,22.33,22.1,20.59,12.67,8.02,5.46,0.8,0.5,2.6,11.6,19.9,23.1,25,24.5,23,15.1,8.9,6.2,9.6,9.2,9,9.4,8.1,7.9,6.2,6.6,6.2,9.6,9.5,9.6
1769,610,1000000,"928,568","925,273","1,050,342","912,028","961,235","966,503","912,049","888,131","816,198","1,033,167","1,009,480","975,318",-10.34,-14.74,-4.33,1.42,8.44,11.81,15.71,15.63,14.45,6.12,1.89,-1.23,-10.01,-14.56,-2.53,4.59,11.58,14.66,19.41,18.51,17.34,8.22,3.59,-0.24,0.4,0.1,0.6,3.1,7,8.3,15.6,17.2,16.6,11.7,5.7,4.4,10,10,9.7,9.3,8.4,6.3,7.7,8,7.5,8.8,8.9,8.7
1771,583,1000000,"59,365",42,0,0,0,0,0,0,0,0,0,0,-10.36,-14.63,-3.81,2.17,9.74,13.24,16.24,15.96,14.76,6.35,2.05,-0.8,-10.16,-14.74,-1.92,5.56,12.85,16.17,20,19.01,17.58,8.52,3.79,0.27,0.5,0.1,0.8,4.9,13,16.6,20.6,19.8,18.4,10,5.6,2.7,8.6,8.7,8.5,8.2,7.5,5.7,6.6,6.8,6.4,7.8,7.8,7.6
1772,618,1000000,"118,170","96,094","89,432","111,740","91,324","77,872","104,494","92,233","70,129","94,180","113,710","87,930",-10.29,-14.72,-4.36,1.4,8.35,11.72,15.67,15.62,14.46,6.14,1.93,-1.21,-9.95,-14.51,-2.55,4.53,11.5,14.55,19.37,18.48,17.37,8.23,3.64,-0.23,0.3,0.1,0.6,4.3,11,13.9,17.8,16.5,15.6,8.1,4.6,1.4,11.2,11,10.1,9.9,8.7,6.4,8.2,8.6,7.3,9.2,9.4,9.5
1830,585,2351,"99,552","105,161","85,577","16,808",0,"17,820","25,544","83,038","82,944","35,715","83,841","82,362",-6.41,-10.36,-1.82,5.08,12.46,16.02,17.52,17.73,16.36,8.73,4.86,3.13,-5.43,-9.59,0.13,8.39,15.4,18.93,21.14,20.89,19.36,11.21,7.7,4.33,2,1.2,3,9.2,16,18.5,20.7,22.2,20.1,12.7,8.5,5.4,10.2,9.4,9.4,9.5,8.8,7.4,6.4,6.9,6.2,9.7,10.9,11.1
1843,586,1000000,"227,195","202,493","208,000","92,594","161,954","146,834","186,595","198,210","183,651","185,839","181,734","196,777",-10.38,-14.77,-4.32,1.45,8.49,11.87,15.72,15.63,14.44,6.11,1.86,-1.26,-10.06,-14.61,-2.51,4.63,11.63,14.72,19.42,18.5,17.32,8.21,3.55,-0.26,0.4,0.1,0.6,3.4,8.6,10.3,15.8,17.3,16.6,10.9,5.5,3.6,9.9,9.9,9.7,9.2,8.4,6.3,7.6,7.9,7.5,8.8,8.9,8.7
1888,1238,1041,61,"1,663","5,897",0,0,0,"29,190","21,693","87,037",0,0,0,-7.66,-11.71,-0.46,5.28,11.37,16.87,18.63,17.15,16.12,7.41,2,-2.54,-7.24,-11.14,2.23,9.04,14.35,20.21,21.22,19.64,18.82,10.34,3.57,-2.45,0.4,0.4,3.9,10.6,16.6,21.4,24.5,23.2,20.9,13.4,6.8,2.9,13,14,13,13.3,13.5,9.7,8.1,9,9.1,10.7,13.1,13.1
1891,1450,517,"332,713","316,048","6,362",0,"9,567","6,993","15,391",0,0,0,0,0,-10.44,-15.06,-3.39,1.59,7.04,11.91,15.94,15.02,13.51,5.92,1.43,-2.68,-10.01,-14.79,-1.22,5.03,9.95,14.39,18.97,17.78,15.94,7.81,2.68,-2.15,1.9,0.6,3.5,6.2,12.6,21.9,22.6,19.6,17.9,9.9,4.7,1.5,9,9.1,8.8,9,7.9,5.6,6.4,7,6.6,8.2,8.1,8
1893,1290,767,"509,387","487,761","474,673","324,574","478,631","462,935","513,348","506,319","434,094","447,681","421,582","490,803",-10.95,-15.16,-3.06,2.5,8.56,14.23,17.29,15.8,14.09,5.89,0.81,-4.12,-10.64,-14.72,-0.91,6.74,11.76,17.57,21.01,18.97,17.11,8.38,2.46,-3.85,1.5,0.6,2.9,7.8,14.3,20.6,23.3,21.4,19.6,11.4,4.4,2.4,8.7,8.9,8.9,9.3,7.9,6.1,7.1,7.5,6.9,8,8,7.4
2080,755,1700,"1,116,532","1,156,679","1,193,184","495,152","151,717","1,407,076","1,106,994","1,204,580","598,268",0,"207,226","670,902",-2.13,-4.69,4.83,10.45,15.21,20.75,22.2,20.07,18.35,10.7,6.65,3.62,0.5,-2.81,8.68,14.56,18.4,24.43,25.73,23.9,22.59,14.94,9.43,5.4,2.4,3,8.7,15.9,19.3,23.7,26.1,26.3,23.6,17.1,11.5,7.1,9.3,10.1,8.9,9.8,9.2,8.5,7.5,6.7,8.4,7.9,10.9,10.5
2168,740,4950,"3,381,173","3,662,459","3,404,816","3,314,456","2,452,833","3,676,953","3,880,560","3,459,251","2,974,847","2,449,929","2,887,209","2,879,996",-2.14,-4.8,4.62,10.61,15.52,20.91,22.36,20.03,18.19,10.85,6.84,4.36,0.41,-3.04,8.03,14.73,18.92,24.15,25.71,23.57,22.6,15.02,9.6,6.08,3.2,2.8,8.6,15.3,19.3,24.2,27.3,27.1,24.6,17.2,13.3,10.2,8.2,8.6,8.2,8.8,7.8,6.6,6.2,5.3,6.6,7.2,9.4,9.3
2535,384,42240,"358,125","471,492","283,736",0,"130,257","318,441","478,277","446,210","392,102","346,211","56,684",0,-8.4,-11.91,-3.68,4.72,13.23,15.84,17.83,17.58,16.47,7.55,5.44,3.9,-7.7,-11.85,-2.41,7.96,17.52,18.54,21.3,21,19.7,9.97,7.7,5.27,2.3,0.8,1.8,3.7,7.8,10.7,16.3,19.5,20.3,15.6,10.6,8.8,9.5,8.5,8.8,9.1,7.3,6.4,5.7,5.6,5.6,7.3,8.8,7.9
2554,581,1000000,"227,766","264,876","287,307","267,671","303,332","131,602","249,111","249,068","219,030","249,039","282,107","237,459",-7.23,-12.02,-2.75,4.86,12.98,15.87,17.61,17.11,16.24,8.44,5.52,4.49,-6.84,-12.13,-1.76,7.61,16.16,18.03,20.59,20.22,19.03,10.87,7.82,5.77,0.7,1.5,2.1,5.9,13.7,15,21.1,22.5,21.8,15,11.1,7.5,12.2,10.1,9.7,9.9,8.6,7.8,6.9,7.6,7.4,10.7,11.3,10.9
