User description of input file for big lakes,,,,,Note: The minimum heat loading and input wind coefficient values should be on Row 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Input wind function coefficients,,,,"Note: The input data (Plant ID, Elevation, etc.) should  begin on Row 7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum heat loading,a,b,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,2.465993817,0,0.123395469,cooling ponds,"Brady and others, 1969",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant Characteristics,,,Added heat load (MMBtu),,,,,,,,,,,,Wet bulb air temperature Twb (oC),,,,,,,,,,,,Dry bulb air temperature Ta (oC),,,,,,,,,,,,Natural water temperature  T (oC),,,,,,,,,,,,Wind speed at 2m W (mph),,,,,,,,,,,
Plant ID,Elevation (feet),Pond Area (acres),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
204,730,4895,4914446,5332454,5868087,4757673,2381725,5689904,5881614,5857898,5656743,5906539,5743246,5934514,-4.14,-7.6,1.46,8.9,15.22,19.81,20.55,18.9,16.99,9.81,5.9,4.24,-3.23,-7.02,3.5,12.42,19.12,22.62,23.32,22.46,21.22,13.9,8.25,5.4,2.6,2.1,6.5,13.2,17.9,20.6,24.9,25.8,24,16.5,11.6,7.6,10.2,11.3,10,11.4,10.8,8.5,6.2,6.1,7.1,10.6,11.6,12.6
210,1100,5090,5855882,5077281,0,0,4944257,5570321,5720726,5726488,5583733,5827798,5670842,5860622,-2.09,-3.93,4.94,10.68,15.04,20.97,22.69,20.06,18.83,10.85,6.36,2.75,0.4,-1.61,8.9,14.55,17.86,25.09,26.71,23.87,23.02,15.26,9.34,4.67,2.7,2.8,8.2,15.7,19,23.4,26.6,26.2,23.9,16.5,11.1,5.6,9.7,10.5,9.1,10.9,10.2,9.4,8.4,7.1,9.6,8.2,11.7,10.8
477,5240,531,508968,282462,497449,65818,468598,476976,385518,487789,511914,496642,469012,509177,-2.2,-2.67,1.66,4.18,8.07,14.58,14.65,14.08,11.4,7.63,-1.04,-3.7,0.92,0.91,6.88,9.11,11.21,20.5,22.08,22.79,20.3,13.34,3.51,-1.09,2.5,3.2,4.8,6.2,6.6,9.8,12.6,14.5,12.2,9.1,4.9,3,8.3,8.3,8.7,9.2,8.1,8,8.1,8.4,7.8,7.7,9.1,8.8
620,15,1100,901447,1350147,2110189,1726322,1127010,1957276,2360816,2311910,2151906,2241223,1993691,1620262,12.95,11.69,18.04,20.84,21.2,23.55,24.23,24.39,23.85,20.55,20.01,19.1,15.97,15.04,22.04,24.96,26.18,28.24,28.77,28.39,27.5,24.32,23.63,22.03,17,15.4,22.7,25.8,27.7,30.1,29.9,29.9,28.5,25.7,24.4,21.8,7.7,8.4,7.4,7.1,7.7,6.4,6.5,6,5.8,7.1,7.2,7.4
621,4,3850,0,25386,58803,142475,280671,156496,204213,198866,137173,209657,317871,191412,17.78,16.17,20.44,22.44,22.18,24.38,24.56,25.23,25.21,23.13,22.72,22.49,21.21,19.9,24.63,26.73,27,28.68,29.36,29.32,28.48,27.04,25.96,25.13,24.2,22,26.6,28.6,28.7,30.1,31,29.8,28.3,27.6,27.3,25.7,7.9,8.9,8.8,8.1,9.7,7.2,6.5,5.5,4.9,7.9,9,8.7
869,520,638,8088058,6830895,8549538,8217215,8286926,8098655,8449710,8412292,8138105,8231043,5428386,7634894,-5.91,-10.03,-0.24,6.33,13.07,17.13,18.59,18.08,16.92,9.32,4.8,3.12,-5.15,-9.74,2.14,10.32,16.56,20.59,22.72,22,20.76,12.74,7.2,4.33,1.4,1.7,6.2,12.4,20.9,21.2,24.6,25.6,23.2,15.6,9.7,6.7,10,10.5,9.4,10.7,10.1,8.1,6.9,7.1,7.3,10.2,11,11.4
869,520,638,9515362,8036348,10058280,9667312,9749325,9527829,9940836,9896815,9574242,9683580,6386337,8982228,-5.91,-10.03,-0.24,6.33,13.07,17.13,18.59,18.08,16.92,9.32,4.8,3.12,-5.15,-9.74,2.14,10.32,16.56,20.59,22.72,22,20.76,12.74,7.2,4.33,1.4,1.7,6.2,12.4,20.9,21.2,24.6,25.6,23.2,15.6,9.7,6.7,10,10.5,9.4,10.7,10.1,8.1,6.9,7.1,7.3,10.2,11,11.4
