User description of input file for big lakes,,,,,Note: The minimum heat loading and input wind coefficient values should be on Row 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Input wind function coefficients,,,,"Note: The input data (Plant ID, Elevation, etc.) should  begin on Row 7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimum heat loading,a,b,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,2.96,0.64,0,stream,"Gulliver and Stefan, 1986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant Characteristics,,,Added heat load (MMBtu),,,,,,,,,,,,Dry bulb air temperature Ta (oC),,,,,,,,,,,,Wet bulb air temperature Twb (oC),,,,,,,,,,,,Natural water temperature  T (oC),,,,,,,,,,,,Wind speed at 2m W (mph),,,,,,,,,,,
Plant ID,Elevation (feet),Pond Area (acres),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
3,15,1000000,405419,1064511,2324899,2597022,1554045,2743315,3137517,2800006,2643224,1802518,1692890,1908658,9.71,9.13,17.97,21.45,23.97,27.06,28.75,27.75,25.5,21.01,17.66,16.22,7.1,6.52,15.28,19.06,20.78,23.68,24.91,23.97,21.9,17.65,15.47,14.8,10,10.6,15,20.2,24.2,28.9,31.6,32.1,29.9,23.8,19.3,16,7.7,8.7,7.2,6.6,6.4,5.3,4.9,5.5,5.6,7.4,7.6,7.7
7,535,1000000,113055,180714,164246,113741,118986,125004,109714,115549,131400,121990,118424,108293,5.38,3.97,13.53,18.21,22.18,26.24,27.63,26.14,23.5,17.73,14.55,13.33,2.82,0.99,10.4,14.84,17.95,21.75,23.27,21.63,19.6,14.33,11.74,11.18,7.8,6.7,12.4,18.7,22.4,28.8,29.1,28.3,25.9,20.7,15.5,13.4,5.6,6.7,5.6,5.7,4.3,4.2,4.5,4.4,4.1,4.5,5.1,5.1
8,275,1000000,2159396,2146686,1114027,2151974,2384965,3195320,3335001,3172447,2906380,53769,0,1270189,6.09,4.6,14.07,18.86,22.35,26.49,27.7,26.39,24.01,18.54,15.27,13.84,3.34,1.56,11.1,15.5,18.31,22.15,23.64,22.09,20.05,14.84,12.36,11.67,8.9,8.3,13.1,15,20.8,23.3,22.3,21.8,20.6,18.6,16.4,14.1,5.9,7.2,5.6,5.9,4.4,4.4,4.4,4.4,3.9,4.8,5.2,5.8
10,100,1000000,756871,887232,280420,924414,1174645,1262621,1341680,1309174,1160789,1139372,711435,956078,7.23,6.09,15.07,19.77,22.65,26.64,28.04,27.28,24.57,19.13,15.83,14.25,4.37,2.98,12.42,16.41,18.75,22.37,23.98,22.44,20.24,15.33,12.92,12.04,9.5,9.4,13.3,18.3,22.7,28.3,31.1,31.1,28.8,22.9,18.6,15.2,5.9,7.2,5.6,5.8,4.4,4.1,4.1,4.2,3.6,4.9,5,5.7
26,400,1000000,914963,892835,638343,602572,833896,907018,990328,910547,611037,207769,386544,329752,6.27,4.83,14.26,18.97,22.3,26.36,27.5,26.42,24.01,18.58,15.28,13.87,3.5,1.74,11.25,15.57,18.38,22.16,23.63,22.1,20.05,14.84,12.36,11.65,8.3,9,13.4,18.3,21.7,27.2,29.3,29.2,27,21.5,15.9,14.7,5.5,6.6,5.2,5.3,4,3.9,4,4,3.5,4.5,4.8,5.3
47,445,1000000,1408685,1555137,1062897,165334,1619633,1294269,1529474,1262828,1874546,808353,1424345,1199425,4.75,2.3,13.26,17.43,21.43,26.47,27.8,25.34,23.01,17.32,14.01,12.13,2.05,-0.23,9.5,14.38,17.47,21.73,23.42,21.31,19.09,13.58,11.05,10.11,8.4,6.2,10.9,16,20.7,25.4,26.5,25.9,23.3,17.9,14.4,13.1,6.3,7.6,6.1,6.8,5.4,5.2,4.9,4,3.8,5.6,6.1,7.1
