"Plant.Code","CD_january","CD_february","CD_march","CD_april","CD_may","CD_june","CD_july","CD_august","CD_september","CD_october","CD_november","CD_december","percentAllocation","cooling","DB_jan","DB_feb","DB_mar","DB_apr","DB_may","DB_jun","DB_jul","DB_aug","DB_sep","DB_oct","DB_nov","DB_dec","WB_jan","WB_feb","WB_mar","WB_apr","WB_may","WB_jun","WB_jul","WB_aug","WB_sep","WB_oct","WB_nov","WB_dec","WS_jan","WS_feb","WS_mar","WS_apr","WS_may","WS_jun","WS_jul","WS_aug","WS_sep","WS_oct","WS_nov","WS_dec","eia_id","WT_multsrc","t_source","WT_jan","WT_feb","WT_mar","WT_apr","WT_may","WT_jun","WT_jul","WT_aug","WT_sep","WT_oct","WT_nov","WT_dec","nsegment_v","prms_id","water_source_aeg","nsegment_v11_new","cmplxcoo_flg","coolty_1","coolty_2","coolty_3"
3,1514043,1393880,1053546,1232160,1459078,1372062,1426915,1492597,1448873,1497358,1226457,1505117,100,"tower",12.7322645,13.225869,19.414526,20.371672,24.7242,26.55001,27.466137,27.158073,24.223341,19.15807,12.99834,12.746781,8.693473,9.274855,14.340626,15.5374,19.696638,21.807388,23.39369,23.043432,20.296476,14.831417,9.119964,9.100014,9.885816,9.00174,9.893031,8.3959675,6.220126,7.3595204,6.9994464,8.738483,6.20377,7.518993,7.5384755,9.077632,3,"","sntemp",13.6450709677419,15.0751551724138,18.5951322580645,21.3395733333333,23.0018129032258,27.4152466666667,28.644964516129,29.1678290322581,27.5827733333333,23.2616935483871,34.8322866666667,14.3879387096774,8721,8782,"sw","8721",1,"river_once_through_fresh","tower_recirculating",""
3,1178571,751316,2958279,1679667,1213985,3720010,3839266,3723084,3344629,2512224,2854229,2070774,100,"river",12.7322645,13.225869,19.414526,20.371672,24.7242,26.55001,27.466137,27.158073,24.223341,19.15807,12.99834,12.746781,8.693473,9.274855,14.340626,15.5374,19.696638,21.807388,23.39369,23.043432,20.296476,14.831417,9.119964,9.100014,9.885816,9.00174,9.893031,8.3959675,6.220126,7.3595204,6.9994464,8.738483,6.20377,7.518993,7.5384755,9.077632,3,"","sntemp",13.6450709677419,15.0751551724138,18.5951322580645,21.3395733333333,23.0018129032258,27.4152466666667,28.644964516129,29.1678290322581,27.5827733333333,23.2616935483871,34.8322866666667,14.3879387096774,8721,8782,"sw","8721",1,"river_once_through_fresh","tower_recirculating",""
7,151606,106983,136093,142086,173253,133998,161562,199699,319771,147742,172982,113706,100,"river",8.4242,9.425866,17.601618,18.515009,23.30323,25.358341,29.425814,26.96291,23.751673,16.720974,10.338339,10.208075,5.0002646,5.941288,12.567815,13.908218,18.7505,20.220684,23.556911,21.936064,18.521193,12.441236,6.167994,6.843944,9.690986,8.9786,9.61161,8.433249,6.0902395,6.6660705,6.5520587,6.9561505,6.6213317,8.00246,7.2103915,9.344622,7,"","sntemp",9.75029677419355,10.632224137931,18.1843741935484,21.5776133333333,21.4417258064516,24.70999,28.9515903225806,29.0760129032258,26.67837,21.6664806451613,17.6711433333333,10.9855161290323,9614,9679,"sw","9614",0,"river_once_through_fresh","",""
8,1788339,2603238,1012329,1185647,298807,1122840,3219529,3334730,1765822,419670,401339,545172,100,"river",9.233875,9.9569,17.861296,18.416677,23.137104,24.943336,28.90968,26.722582,23.310007,16.558067,10.3616705,10.032266,5.7553506,6.275397,12.811711,13.733318,18.516603,20.125834,23.51063,21.903128,18.820236,12.577963,6.4724903,6.6713223,9.856952,9.0788765,9.690986,8.567467,5.9314895,6.8077426,6.465468,7.273651,6.673527,7.8725724,7.2774997,9.279677,8,"","sntemp",10.6482612903226,10.5081827586207,16.2619741935484,19.6853133333333,21.9208419354839,24.8730533333333,28.6311516129032,29.9276483870968,27.0102433333333,21.2675612903226,21.4262366666667,10.5743741935484,8917,8980,"sw","8917",0,"river_once_through_fresh","",""
10,796245,516689,573632,536975,1005047,1174741,1454587,1286453,805266,964688,1059051,754202,100,"river",10.804843,11.360349,18.761297,19.600004,24.10807,26.405003,28.859684,27.856457,24.285006,18.174202,11.266669,11.067744,7.186881,7.67287,13.703597,14.776331,19.281662,21.068575,23.598017,22.769695,19.77624,13.70291,7.392895,7.6690035,8.882802,8.184102,8.55087,7.5981274,5.2676244,6.524398,6.2922854,7.1293325,6.032272,7.273651,6.643701,8.3632555,10,"","sntemp",12.0986225806452,11.1144724137931,17.6365548387097,20.3790266666667,23.5770741935484,26.6699666666667,29.5985161290323,31.3683516129032,29.2616733333333,24.2566064516129,36.0567166666667,11.8393290322581,8611,8675,"sw","8611",0,"river_once_through_fresh","",""
26,1688016,0,1951538,2162992,2596618,2186042,2876335,2847089,1946092,2603714,2532088,2237743,100,"tower",10.088714,10.791384,18.550003,19.055004,23.391943,25.211672,28.9242,26.73388,23.601677,17.080647,11.083337,10.991947,6.4104085,7.0707397,13.476382,14.455296,18.741505,20.48169,23.519909,22.11034,18.894617,13.026637,7.0554748,7.5359917,9.936327,9.248575,9.626042,8.239383,6.0108647,6.882308,6.7108088,7.3025146,6.673527,8.024107,7.4340854,9.359054,26,"","sntemp",10.2809290322581,10.652675862069,17.6879870967742,20.99027,21.7312096774194,24.80492,29.0382870967742,29.3464161290323,26.8439933333333,21.8023548387097,17.8413666666667,11.3614709677419,9676,9750,"sw","9676",1,"river_once_through_fresh","tower_recirculating",""
26,991811,810273,1007396,1070683,2346997,2079852,2332751,2126769,1572442,1315902,1321574,1346986,100,"river",10.088714,10.791384,18.550003,19.055004,23.391943,25.211672,28.9242,26.73388,23.601677,17.080647,11.083337,10.991947,6.4104085,7.0707397,13.476382,14.455296,18.741505,20.48169,23.519909,22.11034,18.894617,13.026637,7.0554748,7.5359917,9.936327,9.248575,9.626042,8.239383,6.0108647,6.882308,6.7108088,7.3025146,6.673527,8.024107,7.4340854,9.359054,26,"","sntemp",10.2809290322581,10.652675862069,17.6879870967742,20.99027,21.7312096774194,24.80492,29.0382870967742,29.3464161290323,26.8439933333333,21.8023548387097,17.8413666666667,11.3614709677419,9676,9750,"sw","9676",1,"river_once_through_fresh","tower_recirculating",""
47,1392109,524678,787729,1521492,1797585,2280590,3614978,2247157,1882477,1768892,1443019,1553098,100,"river",8.200005,9.043109,17.432264,17.915003,23.264523,24.631676,29.012909,27.083881,23.45501,15.716136,9.568346,9.587102,4.858444,5.5175943,12.395379,13.017161,18.403778,19.445772,23.226486,21.361319,18.444197,11.775182,5.5642633,6.2237387,11.480535,10.243626,11.350648,10.230255,6.8623433,8.224469,7.22314,7.836493,8.172275,9.936327,8.440706,11.249625,47,"","sntemp",8.40161935483871,7.56843793103448,12.9514419354839,16.5441233333333,22.2009838709677,22.3761633333333,30.1642838709677,27.3482580645161,25.9649366666667,19.0302129032258,14.7451933333333,9.61511612903226,16917,16275,"sw","16917",0,"river_once_through_fresh","",""
50,1826594,1743151,1498779,1477580,1464527,2810465,3238293,3319326,3064342,2015090,2896906,2458691,100,"river",7.103232,8.141386,16.55646,17.090004,22.270973,24.026676,28.040327,25.55323,22.201675,15.006459,8.960008,8.998391,4.155259,4.8830605,12.063279,12.866059,18.26845,19.511562,23.252468,21.18657,17.85763,11.3978195,5.161623,5.9227176,11.350648,10.336189,11.191897,9.544262,6.8912067,7.1656528,6.046944,6.9489346,7.627953,9.669338,7.8591027,11.408375,50,"","sntemp",10.9437580645161,9.79339655172414,15.158035483871,18.2472166666667,20.6246612903226,26.0069866666667,35.4172096774194,30.4997774193548,28.43207,22.3719032258065,16.18593,12.2355161290323,16310,16331,"sw","16310",0,"river_once_through_fresh","",""
51,1983908,2067239,1595431,985368,2487018,2349481,2390869,2029459,2112755,1692240,2450784,2479900,100,"tower",11.285492,11.641392,18.791945,20.241674,24.48872,28.183346,29.327421,29.440329,25.578342,18.664522,13.34167,11.975808,7.667851,8.052606,13.873972,15.505925,19.467388,22.17461,23.887806,23.415161,20.354357,14.150495,8.904009,8.20507,9.423996,8.631489,10.46309,9.775413,7.215924,8.008232,7.244787,8.500359,6.68844,8.464278,7.61304,9.589963,51,"","sntemp",10.0115838709677,10.7845517241379,18.2580677419355,21.02769,21.150635483871,25.0032566666667,27.6464903225806,28.0072838709677,22.99742,21.1408838709677,15.0753233333333,11.5866935483871,35680,35705,"sw","35680",0,"tower_recirculating","",""
