"Plant.Code","CD_january","CD_february","CD_march","CD_april","CD_may","CD_june","CD_july","CD_august","CD_september","CD_october","CD_november","CD_december","percentAllocation","cooling","DB_jan","DB_feb","DB_mar","DB_apr","DB_may","DB_jun","DB_jul","DB_aug","DB_sep","DB_oct","DB_nov","DB_dec","WB_jan","WB_feb","WB_mar","WB_apr","WB_may","WB_jun","WB_jul","WB_aug","WB_sep","WB_oct","WB_nov","WB_dec","WS_jan","WS_feb","WS_mar","WS_apr","WS_may","WS_jun","WS_jul","WS_aug","WS_sep","WS_oct","WS_nov","WS_dec","eia_id","WT_multsrc","t_source","WT_jan","WT_feb","WT_mar","WT_apr","WT_may","WT_jun","WT_jul","WT_aug","WT_sep","WT_oct","WT_nov","WT_dec","nsegment_v","prms_id","water_source_aeg","nsegment_v11_new","cmplxcoo_flg","coolty_1","coolty_2","coolty_3"
3,1515497,1324376,1149748,1474597,0,1233396,1451071,1441749,1083403,1568431,0,1420187,100,"tower",6.511298,17.333937,14.896784,16.735012,24.445171,27.056679,28.020973,27.116137,26.826672,21.798395,12.885006,11.550005,3.0985925,13.445873,10.813543,12.843365,20.435877,23.17768,24.050198,23.27599,23.222286,18.043522,9.716001,8.524952,10.030134,9.642794,10.116725,9.5591755,6.465468,6.531854,5.3325677,6.4871154,5.793665,7.670527,8.3959675,9.027121,3,"","sntemp",10.4457870967742,13.7734571428571,15.9695741935484,16.1218933333333,20.1908387096774,26.1528533333333,28.3588129032258,28.570335483871,28.79395,26.1635516129032,34.6675833333333,12.7475483870968,8721,8782,"sw","8721",1,"river_once_through_fresh","tower_recirculating",""
3,2712172,1821774,2085563,2318290,0,2661973,2740168,2569747,2396446,356151,0,833616,100,"river",6.511298,17.333937,14.896784,16.735012,24.445171,27.056679,28.020973,27.116137,26.826672,21.798395,12.885006,11.550005,3.0985925,13.445873,10.813543,12.843365,20.435877,23.17768,24.050198,23.27599,23.222286,18.043522,9.716001,8.524952,10.030134,9.642794,10.116725,9.5591755,6.465468,6.531854,5.3325677,6.4871154,5.793665,7.670527,8.3959675,9.027121,3,"","sntemp",10.4457870967742,13.7734571428571,15.9695741935484,16.1218933333333,20.1908387096774,26.1528533333333,28.3588129032258,28.570335483871,28.79395,26.1635516129032,34.6675833333333,12.7475483870968,8721,8782,"sw","8721",1,"river_once_through_fresh","tower_recirculating",""
7,90357,80861,93280,178386,88258,85282,90783,88191,86028,88996,75355,97131,100,"river",3.1451643,13.214293,11.477423,15.958341,24.151619,26.040003,26.835487,26.90001,26.600004,19.075811,8.380004,7.535493,-0.057180077,10.017009,7.4511385,11.121723,19.81474,22.439941,23.032354,22.998777,22.276333,14.668336,5.8908005,5.031992,9.330189,9.7626295,10.470305,10.051301,6.898423,6.4349203,5.736659,6.44382,6.0099025,8.16121,9.193809,9.25803,7,"","sntemp",6.44464193548387,12.3827571428571,15.908035483871,17.37304,20.7567612903226,26.34079,28.0355838709677,27.9833612903226,27.8500933333333,24.4885419354839,17.6357566666667,8.78324193548387,9614,9679,"sw","9614",0,"river_once_through_fresh","",""
8,3200038,1931527,2453452,2291361,2738364,2569801,2739426,2598811,2462936,2516811,1680189,539554,100,"river",3.8032296,13.305366,11.774197,14.55334,23.580648,26.186674,27.153233,26.5742,26.565006,19.08549,8.85834,8.111296,0.4959251,9.964996,7.7938085,10.461152,19.51275,22.462614,23.317904,22.89987,22.410793,14.893315,6.173728,5.3306,9.496156,10.178061,10.369282,10.118409,6.5592747,6.4871154,5.5418296,6.645866,5.980077,8.132346,9.178896,9.243598,8,"","sntemp",6.55387419354839,12.2557357142857,12.7759387096774,14.6523,21.3824838709677,27.1230933333333,29.6358,29.1345,28.64109,25.6727935483871,19.5149166666667,8.94265806451613,8917,8980,"sw","8917",0,"river_once_through_fresh","",""
10,366053,284965,315149,329794,444766,745556,484066,669918,906421,818543,713219,579095,100,"river",4.896783,14.691077,12.962909,15.293344,24.016136,26.976673,27.314518,26.81291,26.49834,19.779037,9.86667,9.258073,1.6166961,11.469102,9.126931,11.479651,20.24616,23.164711,23.664335,23.285894,23.10211,16.186293,7.257945,6.6279297,8.890018,9.538937,9.474508,9.238547,5.751091,5.7041874,4.92126,5.823251,5.294083,7.1221166,8.052971,8.31996,10,"","sntemp",7.78391612903226,13.2066607142857,14.3196193548387,15.8168133333333,22.4530290322581,29.4625666666667,29.8278258064516,30.0765483870968,29.53033,27.2501322580645,34.91354,10.1014741935484,8611,8675,"sw","8611",0,"river_once_through_fresh","",""
26,2529880,1614207,1709240,1239830,1805696,2179284,2216341,816763,118,347,201269,1098258,100,"tower",4.60646,14.337504,12.190331,15.598336,23.859686,26.56167,26.888714,26.630648,26.958336,19.517748,9.131679,8.579037,1.1822327,11.081361,8.221118,11.419969,19.667627,22.718195,23.16958,22.876444,22.697353,15.290638,6.644247,5.928797,9.792008,10.257951,10.701215,10.20043,6.7613206,6.4498334,5.5418296,6.63865,5.9651637,8.348824,9.104331,9.553884,26,"","sntemp",6.70970967741936,12.3072535714286,14.9860225806452,16.2840666666667,20.8781935483871,26.3567633333333,27.9677032258064,28.0667096774194,27.9380166666667,24.6677838709677,17.50778,8.87652903225806,9676,9750,"sw","9676",1,"river_once_through_fresh","tower_recirculating",""
26,938927,71120,1430715,1691784,2451442,2492676,2551173,1876579,2350019,1645455,1034884,838351,100,"river",4.60646,14.337504,12.190331,15.598336,23.859686,26.56167,26.888714,26.630648,26.958336,19.517748,9.131679,8.579037,1.1822327,11.081361,8.221118,11.419969,19.667627,22.718195,23.16958,22.876444,22.697353,15.290638,6.644247,5.928797,9.792008,10.257951,10.701215,10.20043,6.7613206,6.4498334,5.5418296,6.63865,5.9651637,8.348824,9.104331,9.553884,26,"","sntemp",6.70970967741936,12.3072535714286,14.9860225806452,16.2840666666667,20.8781935483871,26.3567633333333,27.9677032258064,28.0667096774194,27.9380166666667,24.6677838709677,17.50778,8.87652903225806,9676,9750,"sw","9676",1,"river_once_through_fresh","tower_recirculating",""
46,3317889.352,2206000.3104,2106966.9168,3005769.5232,3125124.3152,3256123.5632,3441757.1712,3273273.068,3026421.8568,1875914.9376,2495809.8848,3580378.4544,20,"tower",2.567744,11.69644,10.5935545,13.321674,23.572582,25.790009,26.322588,26.172588,25.586668,17.953234,8.021676,7.1983967,-0.4911823,8.669721,7.0282903,9.572428,19.466406,22.204027,22.778011,22.44902,21.681358,14.031152,5.331786,4.583385,8.211721,8.6122055,8.86837,8.671857,5.5490456,5.15241,4.740862,5.4768863,5.15241,6.7974,7.926211,7.482913,46,"","sntemp",4.11788387096774,10.8135821428571,10.7010419354839,13.29304,21.8527548387097,26.8611533333333,28.0305838709677,26.756264516129,27.0416266666667,23.2125258064516,15.8354,8.02898064516129,16249,16274,"sw","16249",1,"lake_once_through_fresh","tower_recirculating",""
46,16589446.76,11030001.552,10534834.584,15028847.616,15625621.576,16280617.816,17208785.856,16366365.34,15132109.284,9379574.688,12479049.424,17901892.272,100,"tower",2.567744,11.69644,10.5935545,13.321674,23.572582,25.790009,26.322588,26.172588,25.586668,17.953234,8.021676,7.1983967,-0.4911823,8.669721,7.0282903,9.572428,19.466406,22.204027,22.778011,22.44902,21.681358,14.031152,5.331786,4.583385,8.211721,8.6122055,8.86837,8.671857,5.5490456,5.15241,4.740862,5.4768863,5.15241,6.7974,7.926211,7.482913,46,"","sntemp",4.11788387096774,10.8135821428571,10.7010419354839,13.29304,21.8527548387097,26.8611533333333,28.0305838709677,26.756264516129,27.0416266666667,23.2125258064516,15.8354,8.02898064516129,16249,16274,"sw","16249",1,"lake_once_through_fresh","tower_recirculating",""
46,13271557.408,8824001.2416,8427867.6672,12023078.0928,12500497.2608,13024494.2528,13767028.6848,13093092.272,12105687.4272,7503659.7504,9983239.5392,14321513.8176,80,"lake",2.567744,11.69644,10.5935545,13.321674,23.572582,25.790009,26.322588,26.172588,25.586668,17.953234,8.021676,7.1983967,-0.4911823,8.669721,7.0282903,9.572428,19.466406,22.204027,22.778011,22.44902,21.681358,14.031152,5.331786,4.583385,8.211721,8.6122055,8.86837,8.671857,5.5490456,5.15241,4.740862,5.4768863,5.15241,6.7974,7.926211,7.482913,46,"","sntemp",4.11788387096774,10.8135821428571,10.7010419354839,13.29304,21.8527548387097,26.8611533333333,28.0305838709677,26.756264516129,27.0416266666667,23.2125258064516,15.8354,8.02898064516129,16249,16274,"sw","16249",1,"lake_once_through_fresh","tower_recirculating",""
46,16589446.76,11030001.552,10534834.584,15028847.616,15625621.576,16280617.816,17208785.856,16366365.34,15132109.284,9379574.688,12479049.424,17901892.272,100,"lake",2.567744,11.69644,10.5935545,13.321674,23.572582,25.790009,26.322588,26.172588,25.586668,17.953234,8.021676,7.1983967,-0.4911823,8.669721,7.0282903,9.572428,19.466406,22.204027,22.778011,22.44902,21.681358,14.031152,5.331786,4.583385,8.211721,8.6122055,8.86837,8.671857,5.5490456,5.15241,4.740862,5.4768863,5.15241,6.7974,7.926211,7.482913,46,"","sntemp",4.11788387096774,10.8135821428571,10.7010419354839,13.29304,21.8527548387097,26.8611533333333,28.0305838709677,26.756264516129,27.0416266666667,23.2125258064516,15.8354,8.02898064516129,16249,16274,"sw","16249",1,"lake_once_through_fresh","tower_recirculating",""
51,1247964,1133250,0,0,322747,1363110,1603523,1704143,1615252,1012777,83,0,100,"tower",5.7193613,12.946434,15.929039,15.980001,25.611298,28.488342,29.577425,28.388716,26.356668,20.035494,11.098337,9.791941,2.2941484,10.138411,11.493828,11.943304,20.891003,23.91604,23.98366,23.303843,22.590311,16.361494,8.05533,6.805274,8.67354,9.538936,9.712633,10.066214,6.1840467,8.07534,6.176831,7.9302998,5.86823,8.197289,9.111787,8.991041,51,"","sntemp",7.38710322580645,10.6463392857143,18.8129870967742,17.3942,19.5983193548387,25.4807333333333,27.3041419354839,25.1625709677419,21.1413233333333,21.3036483870968,16.30102,10.8485677419355,35680,35705,"sw","35680",0,"tower_recirculating","",""
56,1052753,3120,382080,0,31768,822212,1573927,1526702,1057904,1027597,200195,455849,100,"tower",5.9500113,16.460722,14.280652,15.871672,23.882265,26.276676,27.406458,26.875816,26.61167,20.938719,11.910006,10.595173,2.5601969,12.802115,10.290065,12.166159,19.953405,22.651669,23.704424,23.104412,23.043344,17.151299,8.744143,7.7675686,9.294109,9.411111,9.698202,9.305655,6.21291,6.218683,5.166601,6.2850695,5.577428,7.3746743,7.97095,8.558085,56,"","sntemp",8.80057419354839,14.1874607142857,15.3478290322581,15.99987,20.4732806451613,25.8240966666667,27.6107129032258,28.3921548387097,28.3472533333333,26.0674129032258,20.2316966666667,10.7757258064516,9364,9428,"sw","9364",0,"tower_recirculating","",""
56,92666,0,0,0,0,144366,0,0,5137,11623,0,0,100,"river",5.9500113,16.460722,14.280652,15.871672,23.882265,26.276676,27.406458,26.875816,26.61167,20.938719,11.910006,10.595173,2.5601969,12.802115,10.290065,12.166159,19.953405,22.651669,23.704424,23.104412,23.043344,17.151299,8.744143,7.7675686,9.294109,9.411111,9.698202,9.305655,6.21291,6.218683,5.166601,6.2850695,5.577428,7.3746743,7.97095,8.558085,56,"","sntemp",8.80057419354839,14.1874607142857,15.3478290322581,15.99987,20.4732806451613,25.8240966666667,27.6107129032258,28.3921548387097,28.3472533333333,26.0674129032258,20.2316966666667,10.7757258064516,9364,9428,"sw","9364",0,"tower_recirculating","",""
59,327701,269644,294770,236444,195716,328722,372044,362779,295416,146368,315478,312651,100,"tower",-4.4935393,-4.8285666,4.4096866,6.145005,19.374197,24.308344,23.624197,22.40646,19.136677,9.282266,1.4083425,-1.2951561,-6.721247,-6.8617315,1.1014487,2.383539,14.478253,18.87569,19.263071,18.408833,15.82462,6.1582856,-1.1623818,-3.4351857,9.7487135,9.602848,11.545478,12.168934,9.68377,10.849141,8.045755,9.157007,10.446493,10.167236,9.521893,9.517804,59,"","sntemp",0,0,1.79327741935484,13.8676466666667,12.1373741935484,21.8157,24.4397580645161,23.5019290322581,22.0763033333333,14.9046483870968,6.323,1.59784838709677,25787,25809,"sw","25787",0,"tower_recirculating","",""
60,2226777,1881052,1556431,659822,644680,753435,816894,652980,1284018,954569,1844309,1945135,100,"tower",-4.183867,-4.523211,4.391939,6.180006,19.287104,24.253344,23.682266,22.516136,19.09834,9.230654,1.336671,-1.1919339,-6.535503,-6.687168,1.0311773,2.3287337,14.292928,18.59987,19.071444,18.409557,15.845602,6.129514,-1.2607954,-3.4166396,9.452861,9.427089,11.357863,11.915415,9.438429,10.722382,7.8004136,8.882802,10.125865,9.712633,9.25346,9.171439,60,"","sntemp",0.0276935483870968,0,1.27255161290323,3.20614666666667,10.2542161290323,19.7354133333333,22.6527290322581,21.6015322580645,20.30081,13.0946193548387,6.14085,2.47494516129032,27609,27645,"sw","27609",0,"tower_recirculating","",""
87,644415,579682,557294,415725,571222,534904,601107,294472,579016,664277,609258,662993,100,"tower",-0.47902557,1.0000066,4.456458,9.778344,14.545168,19.596672,21.337103,19.803236,16.000004,8.612914,2.1350067,-1.4451511,-3.5250654,-2.209391,0.20787153,3.3993833,6.694019,10.176853,15.046026,14.057995,10.56979,5.5289016,-1.7616987,-4.2151012,9.835304,12.231249,11.155818,13.48127,10.46309,9.603913,6.8262634,6.9705825,7.128371,10.398146,9.931997,9.712633,87,"","sntemp",9.61172796916667,9.61172796916667,9.61172796916667,9.61172796916667,9.61172796916667,9.61172796916667,9.61172796916667,9.61172796916667,9.61172796916667,9.61172796916667,9.61172796916667,9.61172796916667,42034,42038,"gw","42034",0,"tower_recirculating","",""
108,823088,413565,716521,550556,1036956,909976,1224078,1055279,684650,827,366459,784854,100,"tower",0.42903778,0.60357666,8.306459,9.51334,21.103233,25.373344,25.275814,23.690327,20.275005,10.724196,3.655005,0.43549272,-3.0198271,-2.9648464,3.0385585,4.096279,14.73935,18.519375,20.113546,18.925669,16.18063,7.5636916,0.57748556,-2.3954403,9.712633,10.769251,11.451672,12.877296,11.025931,13.086078,9.265245,9.676554,11.475484,10.044566,9.5591755,9.3879175,108,"","sntemp",12.4487358466667,12.4487358466667,12.4487358466667,12.4487358466667,12.4487358466667,12.4487358466667,12.4487358466667,12.4487358466667,12.4487358466667,12.4487358466667,12.4487358466667,12.4487358466667,37521,37545,"gw","37521",0,"tower_recirculating","",""
