"Plant.Code","CD_january","CD_february","CD_march","CD_april","CD_may","CD_june","CD_july","CD_august","CD_september","CD_october","CD_november","CD_december","percentAllocation","cooling","DB_jan","DB_feb","DB_mar","DB_apr","DB_may","DB_jun","DB_jul","DB_aug","DB_sep","DB_oct","DB_nov","DB_dec","WB_jan","WB_feb","WB_mar","WB_apr","WB_may","WB_jun","WB_jul","WB_aug","WB_sep","WB_oct","WB_nov","WB_dec","WS_jan","WS_feb","WS_mar","WS_apr","WS_may","WS_jun","WS_jul","WS_aug","WS_sep","WS_oct","WS_nov","WS_dec","eia_id","WT_multsrc","t_source","WT_jan","WT_feb","WT_mar","WT_apr","WT_may","WT_jun","WT_jul","WT_aug","WT_sep","WT_oct","WT_nov","WT_dec","nsegment_v","prms_id","water_source_aeg","nsegment_v11_new","cmplxcoo_flg","coolty_1","coolty_2","coolty_3"
2393,2038,14056,0,0,2515,35877,73846,22830,40373,0,0,0,100,"tower",-3.7951553,-6.9892764,1.0596806,10.666668,18.961298,20.83334,23.41291,22.656458,20.43667,11.419362,8.690007,7.2741914,-6.0806813,-8.956017,-2.2049012,6.344949,14.123951,17.129868,19.3365,18.05408,16.409847,8.028796,5.407232,4.8547993,10.650703,10.35382,9.3807,10.6851,8.139562,8.425794,6.86956,7.114901,7.672692,10.268259,8.738965,8.861155,2393,"","sntemp",3.36077741935484,0.000878571428571429,0.511403225806452,2.82606333333333,4.94220967741935,13.6720833333333,14.2494677419355,8.29748387096774,7.07094666666667,4.84561290322581,3.81783,3.68560967741935,1491,1492,"sw","1491",0,"tower_recirculating","",""
2398,1589306,1605039,1063621,927100,1046281,1372334,1638159,1447914,1635289,1507433,1093267,1140506,100,"tower",-2.0096712,-5.958921,2.4564583,11.45501,19.458073,21.683344,25.227428,24.861303,22.26834,12.972586,10.270006,8.867747,-4.796972,-7.981492,-1.0749973,6.7489247,14.378704,17.389608,20.256514,19.45197,17.463434,8.992726,6.580533,5.826637,12.649514,11.672014,10.167236,10.946075,8.615813,8.679314,7.3313785,7.7282543,8.3214035,11.964002,10.30482,10.0950775,2398,"","sntemp",0.0648806451612903,0,0.474325806451613,1.96408333333333,9.04063870967742,7.45223,5.40832903225806,4.7253935483871,5.93918333333333,5.74204838709677,3.99778333333333,2.6035935483871,2665,2648,"reclaimed ww","2665",0,"tower_recirculating","",""
2403,776745,637621,26020,63769,433409,238050,439269,141564,274710,0,122,139819,100,"OS",-1.5274097,-5.4553494,2.6871004,11.671671,19.780651,22.116674,25.845167,25.574203,22.815,13.648391,10.708337,9.253235,-4.4257665,-7.5566826,-0.8788327,6.849442,14.439791,17.56064,20.474356,19.813047,17.684568,9.396422,6.8059015,6.0146856,13.73912,12.710591,10.506386,11.207051,8.897234,9.02231,7.6200156,8.052971,8.970116,12.902072,11.035553,10.823886,2403,"compare SNTemp / NOAA sst","sntemp",0.35888064516129,0.0287321428571429,0.965296774193548,1.96603666666667,3.06990322580645,16.1296733333333,6.05413548387097,6.46534838709677,5.44673333333333,6.29822580645161,2.94388333333333,6.46887419354839,2666,2689,"sw","2666",0,"saline_once_through","",""
2406,1106592,1330614,1624225,1398833,1523907,1446780,1735722,1747311,1463700,1202188,1544062,1151182,100,"tower",-0.68870103,-4.473209,2.8935597,11.950007,20.001621,23.091675,25.746778,25.745165,22.526674,13.306459,10.488341,9.232265,-3.8176286,-6.865531,-0.739794,7.073864,14.627953,18.083015,20.656214,19.920317,17.65628,9.331971,6.7746706,5.978076,12.844345,12.087445,10.131157,11.020639,8.659109,8.865725,7.3385944,7.6344476,8.6867695,12.065024,10.2153425,10.239395,2406,"","sntemp",0.740664516129032,0.152653571428571,1.11005483870968,2.62489,4.88902580645161,9.47907,6.03242903225806,6.4472064516129,5.41538,5.4612,3.35254333333333,4.72115483870968,2675,2691,"reclaimed ww","2675",0,"tower_recirculating","",""
2408,620365,1096727,68846,3634,29867,30491,181142,0,0,0,21,348,100,"river",-2.2193437,-5.308923,2.6080725,11.498342,19.587101,21.628338,24.296782,23.682266,21.276676,12.487104,9.780002,9.03226,-4.642084,-7.449921,-0.79737794,7.1926446,14.843332,17.93934,20.334663,19.02798,17.07774,9.102562,6.522651,6.3634744,10.643488,10.569524,9.344622,10.461406,8.045755,8.403424,6.782968,7.0499578,7.6503224,10.181668,8.597292,8.832291,2408,"","sntemp",0.61128064516129,0.0791321428571429,5.54817419354839,4.05429333333333,5.73902903225806,10.9269733333333,10.1600032258065,6.03948387096774,5.77593,4.11503225806452,3.20987,5.66999677419355,1766,1502,"sw","1766",0,"river_once_through_fresh","",""
2410,12010538.784,10571909.92,9313555.264,11301850.044,11844679.12,11386687.568,11561333.032,10831263.696,11357349,10052225.184,5547251.8,11465720.46,100,"OS",-0.73547953,-3.8357065,3.7274268,12.375006,20.337105,22.856672,24.830648,24.09678,22.406672,13.216136,10.598341,9.551622,-3.269117,-6.196507,0.46531492,8.268191,15.684006,19.153446,21.21001,19.930315,18.373528,9.969058,7.373022,6.7844443,11.235193,11.304518,9.626042,10.752208,8.312744,8.880637,6.855128,6.7974,8.015689,10.6218405,8.992484,9.005472,2410,"compare SNTemp / NOAA sst","sntemp",2.16654838709677,0.0262857142857143,3.39111290322581,3.05767,7.14051290322581,13.9327,14.3237483870968,8.89356774193548,7.58494666666667,5.79252903225806,4.04229666666667,4.57354193548387,4197,4226,"sw","4197",0,"saline_once_through","",""
2411,5295,8937,10122,2134,23578,15806,18807,51224,13274,811,0,969,100,"OS",-0.43386644,-4.2910657,2.6935544,11.725009,19.835487,23.238344,25.579039,25.651617,22.350008,13.193555,10.39334,9.154842,-3.6266346,-6.7559075,-0.8807112,6.990899,14.599674,18.137186,20.59757,19.794867,17.50755,9.257658,6.7071743,5.9387555,12.649514,12.039512,10.051782,10.998271,8.543654,8.828443,7.244787,7.497345,8.582379,11.761956,9.954368,10.015702,2411,"","sntemp",0.740664516129032,0.152653571428571,1.11005483870968,2.62489,4.88902580645161,9.47907,6.03242903225806,6.4472064516129,5.41538,5.4612,3.35254333333333,4.72115483870968,2675,2691,"sw","2675",0,"saline_once_through","",""
2442,3775256,3506189,3487095,4974945,4285878,4225066,5239741,4367760,3120503,5178792,4901644,4269042,100,"pond",0.91452616,4.617862,9.062905,10.895006,14.459681,22.060009,23.10323,23.422586,20.178339,13.769361,4.053342,-1.5532197,-1.278143,1.3827183,4.1327024,4.479924,8.491945,13.8012705,16.35088,16.173187,13.212507,9.031442,0.92260313,-4.038206,5.9098415,6.4631486,6.3860927,7.531019,6.768536,5.1673226,5.823251,5.85933,5.4208426,7.3169465,7.926211,7.215924,2442,"","sntemp",-1.278143,1.3827183,4.1327024,4.479924,8.491945,13.8012705,16.35088,16.173187,13.212507,9.031442,0.92260313,-4.038206,44231,44244,"sw","44231",0,"pond_recirculating","",""
2444,275544,90277,198552,275992,402563,0,467543,507207,352095,289645,289055,364644,100,"tower",5.9758143,10.88929,14.538716,17.445002,20.945166,28.161673,28.07097,28.674204,25.806673,18.938715,11.275006,6.7903285,2.855151,6.0969343,8.155524,9.328756,11.492121,17.792358,20.1989,19.975855,18.143301,13.182692,6.6055446,2.508222,5.491318,7.493737,7.042742,9.387676,8.803427,7.2774997,5.9098415,5.6356363,5.6669054,6.5520587,7.523563,7.0571737,2444,"","sntemp",18.12596315,18.12596315,18.12596315,18.12596315,18.12596315,18.12596315,18.12596315,18.12596315,18.12596315,18.12596315,18.12596315,18.12596315,41708,41710,"gw","41708",0,"tower_recirculating","",""
2446,210623,138587,169689,180296,185577,218607,242927,253334,173078,103149,84973,137057,100,"tower",3.8661351,6.7321496,11.108068,15.616675,18.574196,24.730007,27.132267,26.514523,23.928337,16.730648,9.640002,6.3000054,0.48398295,2.654448,6.3215356,8.920434,12.288975,18.475563,19.63035,19.22085,17.478622,11.986127,5.1077213,1.7684791,8.586949,9.770619,8.3632555,11.25179,10.78059,8.955202,8.024107,8.247801,8.418337,9.467293,9.917085,10.383714,2446,"","sntemp",15.906084425,15.906084425,15.906084425,15.906084425,15.906084425,15.906084425,15.906084425,15.906084425,15.906084425,15.906084425,15.906084425,15.906084425,40217,40228,"gw","40217",0,"tower_recirculating","",""
2450,35709,0,24114,67698,6925,158108,123007,160291,93781,189598,26630,139634,100,"tower",3.0161388,5.5642962,10.990331,13.033339,15.959682,24.58334,24.080648,25.320978,21.86667,14.801618,6.125008,2.3290377,-0.009305392,1.2677819,4.810874,5.6236925,9.067151,14.9103985,16.966866,17.006552,14.317021,9.543291,2.2482338,-1.2297522,6.465468,7.7334085,6.5087633,8.604749,8.3632555,5.816035,5.0800104,5.6500683,6.2261395,7.1221166,8.351229,6.8984227,2450,"","sntemp",13.9725905583333,13.9725905583333,13.9725905583333,13.9725905583333,13.9725905583333,13.9725905583333,13.9725905583333,13.9725905583333,13.9725905583333,13.9725905583333,13.9725905583333,13.9725905583333,42097,42105,"gw","42097",0,"tower_recirculating","",""
2451,5011622,3904387,3873772,3180608,4998410,5250827,5027400,5669574,5370984,3750106,4493459,5206068,100,"tower",1.0306515,4.6553597,9.098394,10.711674,14.337105,21.966671,23.041943,23.254843,20.051674,13.706462,4.025004,-1.6161253,-1.2302092,1.3232727,4.092853,4.3616757,8.352699,13.601895,16.111559,15.986692,13.082966,8.939521,0.8879695,-4.089732,5.563477,6.2074986,6.2778535,7.5533886,6.883991,5.1225843,5.715012,5.6861477,5.4581246,7.078821,7.7621694,7.0499578,2451,"","sntemp",0.0379161290322581,1.144,11.0706516129032,6.83612,8.33864193548387,11.6749733333333,17.0996290322581,18.2378774193548,14.5398166666667,12.7704225806452,6.40503333333333,0.825277419354839,44232,44233,"sw","44232",0,"tower_recirculating","",""
2454,63609,140981,312548,473288,175118,348678,379313,451624,390283,339334,262313,355123,100,"tower",3.7580714,6.6678643,11.066138,15.531674,18.50968,24.64834,26.975811,26.4371,23.875008,16.674198,9.615005,6.3161345,0.40050584,2.6087084,6.2843804,8.849223,12.204223,18.43703,19.553572,19.177195,17.433943,11.939099,5.071513,1.7467228,8.594166,9.778607,8.384903,11.303985,10.766158,8.962658,7.9952435,8.262233,8.418337,9.474508,9.939454,10.405361,2454,"","sntemp",15.83958535,15.83958535,15.83958535,15.83958535,15.83958535,15.83958535,15.83958535,15.83958535,15.83958535,15.83958535,15.83958535,15.83958535,40217,40228,"gw","40217",0,"tower_recirculating","",""
2465,54215,53033,38876,0,2202,4186,35974,11850,32154,4020,12340,0,100,"tower",0.9322638,4.482148,9.017747,10.49167,14.300005,22.08667,23.341938,23.454845,19.86001,13.566137,3.9583426,-1.5790267,-1.2610505,1.2655467,4.042364,4.1439004,8.089109,13.494652,16.225294,15.9778805,12.95528,8.794199,0.8148627,-4.060569,4.8563166,5.7681003,5.9098415,7.1581964,6.6819453,4.831783,5.397511,5.4624543,5.2344313,6.2562056,7.299869,6.4221725,2465,"","sntemp",0.0241096774193548,0.166617857142857,6.93631935483871,1.68940333333333,3.03990967741936,6.41270666666667,11.2735161290323,11.5013322580645,10.9383033333333,8.6422,2.68858666666667,0.0870741935483871,44268,44277,"sw","44268",0,"tower_recirculating","",""
2480,9180,11323,15812,20439,11436,51579,79664,10148,32772,0,0,0,100,"river",-5.169347,-9.22321,-0.2677366,9.460005,18.364525,19.91334,22.959684,22.801619,20.385004,10.850006,7.6766715,6.224198,-7.336982,-10.920618,-3.1952357,5.2396603,13.477085,16.028757,18.733423,18.30381,16.285574,7.1647153,4.5283747,3.7081268,12.03616,10.673382,9.986838,11.400919,8.933313,8.761334,7.201492,7.8004136,7.933667,11.199114,9.700847,9.698202,2480,"","sntemp",0.1524,0.303789285714286,2.63343548387097,2.2305,5.38381935483871,13.6962733333333,9.57064838709677,7.38490322580645,9.39081333333333,6.58236129032258,3.75899,3.22476129032258,2528,2551,"sw","2528",0,"saline_once_through","",""
2490,270755,176284,456237,423123,731975,730238,882180,932826,1162707,605025,170541,182320,100,"OS",-0.89354384,-4.6071343,3.035489,12.048337,20.120974,22.923338,25.959684,25.856459,22.761675,13.682264,10.82334,9.479039,-3.9358988,-6.9342823,-0.6223594,7.1151023,14.646883,17.995573,20.686684,19.981524,17.767673,9.520973,6.9705324,6.129211,13.190709,12.391029,10.2899065,11.117574,8.752915,8.992484,7.4684806,7.7859817,8.865725,12.3825245,10.513601,10.470305,2490,"compare SNTemp / NOAA sst","sntemp",0.740664516129032,0.152653571428571,1.11005483870968,2.62489,4.88902580645161,9.47907,6.03242903225806,6.4472064516129,5.41538,5.4612,3.35254333333333,4.72115483870968,2675,2691,"saline","2675",0,"saline_once_through","",""
2493,328340,231348,272634,354415,205215,371078,625774,665383,468827,150672,345951,526587,100,"OS",-1.0854768,-5.005349,3.0951715,11.865005,19.808073,22.113344,26.046778,25.932262,23.27334,14.140326,11.20334,9.835492,-4.140072,-7.266527,-0.6481177,6.9500775,14.445157,17.536535,20.522736,19.91716,17.831907,9.630269,7.058651,6.2653995,14.691621,13.66129,10.960988,11.4158325,9.019904,9.14907,7.692175,8.233369,9.290742,13.392755,11.572418,11.256841,2493,"compare SNTemp / NOAA sst","sntemp",0.113587096774194,0,0.254664516129032,1.31068333333333,4.23864838709677,5.52271,4.45243225806452,4.22813225806452,4.82445666666667,3.28814838709677,3.15540333333333,2.0645,2587,2608,"saline","2587",0,"saline_once_through","",""
2497,5258862.34,4740483.952,5247806.764,5085686.336,5198317.8,4940980.784,5051110.58,5028109.208,4905748.66,5178789.872,5030400.108,4583382.576,100,"OS",-3.987096,-8.062494,0.7419394,10.415005,18.745167,20.598341,23.679033,23.490326,21.053333,11.859684,8.95334,7.308074,-6.281717,-9.815404,-2.3510847,6.0450835,14.033483,16.657547,19.324396,18.78786,16.814308,8.10076,5.5882673,4.7622914,11.177465,10.114148,9.344622,10.401754,8.074619,8.060428,6.790184,7.244787,7.173109,10.246612,8.813529,8.803427,2497,"compare SNTemp / NOAA sst","sntemp",0.0571225806451613,0,3.47670967741935,2.00629,6.91662903225807,8.16901666666667,9.05199677419355,5.61985483870968,5.61939333333333,3.90478387096774,3.37140666666667,3.25984516129032,2583,2603,"saline","2583",0,"saline_once_through","",""
2500,494213,512661,979179,1041390,1628718,1501447,1914473,1968721,1454418,1077252,764891,1100085,100,"OS",-1.0080587,-4.912496,3.2080688,11.961672,19.80162,22.105007,26.07259,25.950006,23.25334,14.200005,11.293339,9.869361,-4.0868273,-7.2059226,-0.5851028,7.0006595,14.465072,17.506937,20.462343,19.89289,17.822657,9.63843,7.103317,6.313284,14.388552,13.389662,10.939341,11.311441,8.8755865,8.999941,7.583936,8.125131,9.04468,13.053606,11.311441,11.018716,2500,"compare SNTemp / NOAA sst","sntemp",0.113587096774194,0,0.254664516129032,1.31068333333333,4.23864838709677,5.52271,4.45243225806452,4.22813225806452,4.82445666666667,3.28814838709677,3.15540333333333,2.0645,2587,2608,"saline","2587",1,"saline_once_through","dry_cooling",""
2511,741707,649911,576330,391531,533835,742256,1099476,1081427,708068,657291,232348,588043,100,"OS",-0.8322547,-4.6142817,3.0725894,11.195006,17.927425,21.768341,25.72581,25.7371,22.756676,13.85646,11.028338,9.838717,-3.873286,-6.9169884,-0.4692183,6.878128,13.851182,17.820179,21.032368,20.568747,18.274563,9.957709,7.4107714,6.3916087,15.304975,14.124655,10.881613,11.005727,8.738483,8.865725,7.410754,8.146778,9.566631,13.876222,12.101825,11.63207,2511,"","noaa",5.37580728530884,2.21821427345276,2.51903223991394,6.51833248138428,13.6016130447388,18.3433322906494,23.0283889770508,24.2583866119385,22.7453327178955,17.1900005340576,13.8973302841187,10.8109664916992,NA,NA,"saline","NOAA saline",0,"saline_once_through","",""
2516,1650416,1880906,1070404,691687,1344099,1513681,2379633,1968925,1649876,1163691,899347,299550,100,"OS",-2.0387022,-6.466068,1.282265,10.270008,17.533878,20.633339,24.209679,24.26936,21.653341,13.0887165,9.756679,8.809683,-4.7232356,-8.341314,-1.7979114,6.07332,13.397856,16.823395,19.90335,19.420776,17.37698,9.215253,6.416573,5.818713,12.079456,10.873109,9.734282,10.737295,8.392119,8.388512,7.114901,7.5695043,7.829277,11.249625,9.753043,9.640474,2516,"","noaa",2.85935497283936,-0.869285702705383,0.142903238534927,4.51333332061768,14.2993535995483,19.5733337402344,24.0048370361328,24.2306442260742,23.5289993286133,18.080322265625,13.4616670608521,8.86032199859619,NA,NA,"saline","NOAA saline",0,"saline_once_through","",""
2517,118878,305945,129550,115439,210737,248718,300406,233931,92474,142295,329364,251590,100,"OS",-1.688703,-6.1285663,1.6758138,9.786672,16.8742,20.078339,23.848396,23.83065,21.298338,12.91614,9.896674,8.938717,-4.4179626,-7.994464,-1.4098927,5.9233236,13.113988,16.729347,20.046232,19.621687,17.523724,9.295828,6.612463,5.8129597,14.6266775,13.197925,10.982636,11.348723,8.890018,8.917919,7.518993,8.08905,8.701682,12.736106,11.110117,10.917693,2517,"","noaa",2.87193489074707,-0.809999942779541,0.0309677198529243,4.38100004196167,13.9183855056763,18.9363346099854,23.665807723999,24.2825794219971,23.5369968414307,18.0848407745361,13.4819974899292,9.02709674835205,NA,NA,"saline","NOAA saline",0,"saline_once_through","",""
2535,358125,471492,283736,0,130257,318441,478278,446210,392102,346211,56684,0,100,"lake",-6.448378,-10.341068,-2.5225673,7.6783385,17.661297,18.938343,21.183876,21.035494,19.686676,10.5612955,8.000007,5.983874,-8.3733835,-11.982268,-4.8266516,4.1830163,12.946648,15.573168,17.641266,17.096506,16.163515,7.134875,4.730408,3.1814103,12.663947,10.94501,11.321784,11.885589,9.2508135,8.418337,6.934503,7.4324017,7.411716,10.6218405,11.169768,11.083659,2535,"","sntemp",0.303009677419355,0,0,2.42898,12.9915419354839,19.8281733333333,22.2346548387097,24.0795129032258,23.9864366666667,18.3260741935484,12.01318,11.2549741935484,11966,11995,"sw","11966",0,"lake_once_through_fresh","",""
