"Plant.Code","Elevation","Pond_Area","percentAllocation","CD_january","CD_february","CD_march","CD_april","CD_may","CD_june","CD_july","CD_august","CD_september","CD_october","CD_november","CD_december","DB_jan","DB_feb","DB_mar","DB_apr","DB_may","DB_jun","DB_jul","DB_aug","DB_sep","DB_oct","DB_nov","DB_dec","WB_jan","WB_feb","WB_mar","WB_apr","WB_may","WB_jun","WB_jul","WB_aug","WB_sep","WB_oct","WB_nov","WB_dec","WT_jan","WT_feb","WT_mar","WT_apr","WT_may","WT_jun","WT_jul","WT_aug","WT_sep","WT_oct","WT_nov","WT_dec","WS_jan","WS_feb","WS_mar","WS_apr","WS_may","WS_jun","WS_jul","WS_aug","WS_sep","WS_oct","WS_nov","WS_dec","Tdb","Twb","nwT"
117,1060,0,100,276239,126173,261662,212885,495149,453052,949146,858656,675050,413371,349706,274365,13.966138,15.141075,18.50968,21.328342,29.037104,30.553339,35.654842,33.91291,30.768343,21.775812,18.223345,10.85807,7.409056,8.203451,8.808439,10.000301,15.099751,15.6733265,21.386852,18.930292,17.47078,10.8009,8.742971,5.1825137,23.31075,23.31075,23.31075,23.31075,23.31075,23.31075,23.31075,23.31075,23.31075,23.31075,23.31075,23.31075,3.0884154,4.082409,4.5316,5.7862086,5.5490456,6.3678126,5.960353,5.3397837,5.1225843,4.8923965,3.3032093,3.4564276,96.65957508,75.28778524,30.49
118,1910,0,100,0,0,0,14245,153043,38103,156892,103454,29598,0,3034,4311,12.767749,14.123225,17.387104,20.110004,27.951618,29.48501,33.80323,32.833878,29.611673,21.4742,18.220007,9.796779,6.6427336,7.226562,8.088783,9.433352,14.669771,15.686558,21.753895,19.229513,17.761389,10.962369,8.813167,4.7778573,22.29703975,22.29703975,22.29703975,22.29703975,22.29703975,22.29703975,22.29703975,22.29703975,22.29703975,22.29703975,22.29703975,22.29703975,6.1118875,7.5975943,7.836493,9.141613,7.396322,8.418337,7.4468336,7.114901,7.0612626,8.31996,6.9941545,7.179844,89.86287489,72.21999983,30.49
120,121,0,100,163181,145756,136259,0,146398,186728,195081,170976,188807,162949,162114,178268,15.17259,15.428575,18.437101,21.646671,29.42097,29.768337,35.65,34.366135,32.138336,22.772585,18.871675,12.740331,7.469518,8.71541,9.550545,11.256491,16.76586,17.663082,22.10635,20.818504,19.798695,12.10496,9.462234,6.0320787,23.8677755,23.8677755,23.8677755,23.8677755,23.8677755,23.8677755,23.8677755,23.8677755,23.8677755,23.8677755,23.8677755,23.8677755,5.736659,5.1289754,5.7077956,6.1590314,6.6675134,6.725722,7.021094,5.974785,6.0099025,5.6717157,4.7795877,5.4985337,95.17238764,77.85301666,30.49
126,2610,0,100,166308,162770,231596,242292,387735,380480,605951,645030,498459,370476,289982,337737,12.561292,13.758936,16.577423,19.031673,26.08065,27.711672,31.68065,30.903234,27.92834,20.253227,17.261671,9.970973,6.1866393,6.470434,7.142365,8.321653,13.348788,14.486606,21.19716,18.961784,17.08131,10.359548,8.224107,4.8812227,21.14331175,21.14331175,21.14331175,21.14331175,21.14331175,21.14331175,21.14331175,21.14331175,21.14331175,21.14331175,21.14331175,21.14331175,6.01808,7.389879,7.511777,8.574923,7.266435,8.142448,7.4396176,7.244787,7.0016108,7.973596,6.9419594,6.9777985,87.78565693,71.2098752,30.49
127,1230,0,100,1830613,20,0,301949,1383247,1627053,2036033,1922968,1718892,2078175,1223195,2417267,5.3742027,10.105367,14.172586,17.611675,20.677425,27.628338,28.908072,28.843552,23.35501,14.132264,12.891674,4.44,4.44,5.2095895,8.92283,11.289492,16.333483,21.430689,21.829906,22.01238,18.089926,10.500322,8.673851,4.44,17.218562875,17.218562875,17.218562875,17.218562875,17.218562875,17.218562875,17.218562875,17.218562875,17.218562875,17.218562875,17.218562875,17.218562875,8.370471,10.002301,10.917693,12.019805,9.099279,9.492066,8.471495,9.286894,8.433249,9.539452,7.4564548,7.7066064,91.14378078,76.39770714,30.49
130,80,0,100,6027568,5597628,5982805,5304957,6027916,6948876,7019452,7586229,5813125,5737816,5861015,6872193,7.606457,9.01072,12.948393,17.225008,22.498392,26.636675,26.551619,26.843554,23.405003,17.86936,13.051673,8.0742,4.44,4.7001305,9.033893,12.8797,19.158258,22.577843,22.223219,22.989655,19.473719,14.741498,10.262482,5.112424,5.33611612903226,3.07714642857143,1.6014935483871,11.96836,19.7112419354839,22.0872533333333,23.9275258064516,23.4701612903226,7.81185333333333,12.8350451612903,9.06465333333333,5.91719032258064,9.221951,9.275297,8.890018,9.596457,9.698202,7.963494,9.734282,8.572517,7.6876044,7.9230843,7.9858627,11.069227,87.83979351,78.42682415,30.49
136,80,0,100,2613160,1396706,2255724,3687126,3490001,4544194,3438224,2336098,2229204,2647917,3167688,4424362,12.643554,13.441077,17.896786,20.495007,24.577425,27.740004,27.574202,27.706457,26.251669,24.077425,17.965006,15.191941,8.831004,8.874098,13.85582,16.018162,21.17607,23.978746,24.016775,24.289566,22.987724,20.38689,14.478033,11.950578,16.7261903225806,15.6401178571429,18.9466387096774,26.1234033333333,24.2295096774194,27.65652,29.4083870967742,29.7048161290323,29.4970933333333,28.0504483870968,33.7787666666667,19.2295225806452,7.6416636,7.741398,8.464278,9.872346,8.0168915,6.9046774,6.768536,7.02831,8.351229,7.583936,8.254295,8.702404,88.33952764,79,30.49
141,1140,0,100,0,7668,0,0,89525,38526,181140,97127,43185,0,12,33,13.819364,14.817863,18.20646,21.146673,28.845165,30.181671,35.50323,33.638718,30.705004,21.59678,17.985006,10.782261,7.3054576,8.023046,8.707525,10.072509,15.255211,15.735849,21.540085,19.009731,17.699997,10.696604,8.642624,5.075089,23.1023495833333,23.1023495833333,23.1023495833333,23.1023495833333,23.1023495833333,23.1023495833333,23.1023495833333,23.1023495833333,23.1023495833333,23.1023495833333,23.1023495833333,23.1023495833333,4.2862587,5.3846254,5.866546,7.15074,6.7468886,7.6204967,7.244787,6.5809226,6.3827252,6.068592,4.600632,4.675919,96.3335461,75.30324108,30.49
147,1190,0,100,178178,166353,0,21541,238901,155280,307633,257583,240673,182358,91642,23655,13.67742,14.692866,17.993555,20.685003,28.385489,29.86,35.000004,33.248394,30.260006,21.451618,18.188343,10.669362,7.3225255,7.8932343,8.489144,9.677408,14.85814,15.430745,21.254389,18.676716,17.254463,10.665059,8.657188,5.0757365,22.8426716666667,22.8426716666667,22.8426716666667,22.8426716666667,22.8426716666667,22.8426716666667,22.8426716666667,22.8426716666667,22.8426716666667,22.8426716666667,22.8426716666667,22.8426716666667,2.929665,3.9386058,4.4017134,5.629623,5.419159,6.233596,5.816035,5.231545,4.9958243,4.805805,3.116798,3.312109,96.59249497,75.02244662,30.49
160,4200,0,100,1277761,1135988,707397,662634,926584,950530,1338899,1207939,1071919,1105988,764713,1009710,8.477422,10.010719,12.680648,15.268341,21.838715,24.110008,27.917746,26.235493,22.971674,16.019361,12.280004,5.8419456,4.44,4.44,4.971763,6.294572,11.273759,13.070195,19.323196,17.011444,15.1932,8.720514,5.5724993,4.44,16.9710063833333,16.9710063833333,16.9710063833333,16.9710063833333,16.9710063833333,16.9710063833333,16.9710063833333,16.9710063833333,16.9710063833333,16.9710063833333,16.9710063833333,16.9710063833333,6.9922304,8.580249,8.442631,9.708304,7.8942204,8.701682,8.016891,7.353026,7.016524,9.099279,7.7547126,8.067403,85.60070051,70.11482179,30.49
