"Plant.Code","Elevation","Pond_Area","percentAllocation","CD_january","CD_february","CD_march","CD_april","CD_may","CD_june","CD_july","CD_august","CD_september","CD_october","CD_november","CD_december","DB_jan","DB_feb","DB_mar","DB_apr","DB_may","DB_jun","DB_jul","DB_aug","DB_sep","DB_oct","DB_nov","DB_dec","WB_jan","WB_feb","WB_mar","WB_apr","WB_may","WB_jun","WB_jul","WB_aug","WB_sep","WB_oct","WB_nov","WB_dec","WT_jan","WT_feb","WT_mar","WT_apr","WT_may","WT_jun","WT_jul","WT_aug","WT_sep","WT_oct","WT_nov","WT_dec","WS_jan","WS_feb","WS_mar","WS_apr","WS_may","WS_jun","WS_jul","WS_aug","WS_sep","WS_oct","WS_nov","WS_dec","Tdb","Twb","nwT"
3,NA,NA,100,0,1449506,1512103,1274413,1206249,1666539,1567849,1617132,1551261,1325862,1434897,1376307,11.598394,12.974143,19.877424,19.201668,22.740334,26.080004,26.970972,27.174198,23.806667,20.674202,15.500003,9.26291,8.250253,9.388594,14.934224,14.563004,18.315641,21.99746,23.368498,23.346313,20.436945,16.744549,12.000628,6.302922,13.8335129032258,13.6234965517241,16.3185967741935,20.2408166666667,20.9669,26.1177066666667,27.3268838709677,28.553735483871,26.69331,23.7492580645161,36.2719566666667,13.0497580645161,8.962177,10.127923,9.366269,9.335481,8.081835,8.269208,6.537627,6.617002,8.366142,8.074619,8.746421,7.7499022,NA,NA,30.49
26,NA,NA,100,2218006,396624,411,440,934,2038881,2404800,2419200,2317941,782359,1055841,268169,9.588715,10.444836,17.456459,16.06667,20.479033,24.856674,27.443556,27.045168,23.243338,19.088717,13.176671,7.327427,6.362017,7.21201,13.27592,12.004066,16.379217,20.897144,23.476746,22.908567,19.166359,15.145422,9.630013,4.44,10.4170838709677,10.9131620689655,15.8005290322581,18.53421,18.9404709677419,23.92247,27.3465258064516,28.2038870967742,26.3833933333333,21.9169612903226,20.32524,9.57170967741935,9.734282,10.27448,9.315758,9.618827,8.031323,7.874016,5.4768863,5.866546,9.037223,8.247801,9.246003,8.702404,NA,NA,30.49
51,245,0,100,1799,0,1690,0,29173,1405444,0,861738,1718564,752798,0,0,9.998394,10.375869,18.26452,18.016672,22.572584,26.961674,28.483877,27.777426,24.396673,17.833876,14.898339,9.411298,7.10873,7.2058463,14.119291,14.210074,18.534412,22.76779,24.717552,23.568815,20.531586,14.490099,11.302203,6.349364,10.0305903225806,9.55205172413793,17.2521612903226,18.80906,19.5805935483871,23.91496,26.8325903225806,26.8846032258065,24.70342,20.0334580645161,15.55578,10.3322419354839,8.67354,9.749957,10.12394,9.238547,8.817859,7.9709496,6.7974,6.5520587,7.97095,8.255016,8.07534,7.757118,89.62050661,79,30.49
56,NA,NA,100,0,0,160962,409435,0,743738,810858,267719,0,0,0,0,10.545167,11.925863,19.369358,18.63834,21.779041,26.046673,27.24033,27.38872,23.935005,20.222584,14.993343,9.580651,7.467122,8.623452,14.492285,14.165012,17.530813,21.724611,23.545868,23.36748,20.295998,16.10973,11.322606,6.3350444,11.8999548387097,12.4951344827586,15.4197516129032,19.2935166666667,20.4292903225806,26.3482166666667,27.9058193548387,28.6698064516129,27.9480233333333,23.5684483870968,21.92672,11.3838064516129,8.572517,9.819379,9.315757,9.052135,7.6416636,8.023146,6.01808,6.2778535,8.276665,7.6272316,8.388512,7.3313785,NA,NA,30.49
59,1870,0,100,283941,263732,271624,28320,0,195304,296365,323977,282856,43820,79296,290144,4.44,4.44,6.298395,9.276674,15.362909,24.856672,24.485493,23.422585,17.075006,8.691938,6.8000083,4.44,4.44,4.44,4.44,4.8792,10.887071,18.95488,20.451147,17.964031,11.917651,4.44,4.44,4.44,0,0,1.61844193548387,16.3852566666667,32.1194580645161,68.0923366666667,40.9465967741935,31.2887096774194,24.33679,15.9202903225806,7.95907666666667,2.09006129032258,8.774564,10.243626,11.357863,11.072836,9.921895,12.601408,9.618827,10.2899065,10.8715105,10.766158,10.901337,9.0632,88.02768518,74.99079651,30.49
60,1890,0,100,0,674551,541618,16466,181116,642857,1006653,879329,1704413,655535,701915,777229,4.44,4.44,6.04194,8.745002,15.098395,24.626669,24.567747,23.317749,17.236671,8.816138,6.81334,4.44,4.44,4.44,4.44,4.5329857,10.692249,18.691404,20.456123,18.117153,11.989248,4.44,4.44,4.44,0.150874193548387,0.0105896551724138,1.53532258064516,5.69916333333333,10.8946806451613,17.57179,22.6919935483871,22.3409096774194,18.9863866666667,13.8687096774194,7.28160666666667,3.15581290322581,8.565302,9.981364,10.932124,10.655273,9.626042,12.221129,9.301327,9.755929,10.424123,10.39093,10.528514,8.666325,88.07506764,75.00073091,30.49
87,6890,0,100,673714,643640,165821,1097,3309,248524,701800,850209,3629,7062,16110,17033,4.44,4.44,5.5919447,8.705004,14.437101,18.808338,21.00484,21.322586,14.931673,10.772586,4.53167,4.44,4.44,4.44,4.44,4.44,7.549603,10.178302,13.8328,13.774033,8.738578,4.44,4.44,4.44,9.74429294166667,9.74429294166667,9.74429294166667,9.74429294166667,9.74429294166667,9.74429294166667,9.74429294166667,9.74429294166667,9.74429294166667,9.74429294166667,9.74429294166667,9.74429294166667,10.145589,10.536741,10.867182,11.423288,10.217748,10.759664,7.57672,7.670527,9.477154,9.575531,10.45395,10.145589,79.3757684,62.51768759,30.49
108,2920,0,100,839655,730946,3492,3717,329225,744971,1112148,1175019,971414,522454,870677,932887,4.44,4.44,8.212908,10.506675,16.99839,25.410007,25.404842,23.812906,17.720007,10.150002,7.5883384,4.44,4.44,4.44,4.44,5.2904344,11.537654,17.105553,20.30269,18.468079,12.552981,4.8507724,4.44,4.44,12.4661319916667,12.4661319916667,12.4661319916667,12.4661319916667,12.4661319916667,12.4661319916667,12.4661319916667,12.4661319916667,12.4661319916667,12.4661319916667,12.4661319916667,12.4661319916667,9.351836,10.498175,11.711445,10.878966,11.220761,14.025591,10.874397,9.80644,10.550883,10.304338,11.035553,9.438429,88.30561281,70.90968836,30.49
113,NA,NA,100,1720209,435758,826062,548513,1511780,2142966,2218243,2745375,2311637,2149459,1673216,986437,4.44,4.987936,9.314519,13.860003,19.575815,23.050007,26.214521,27.016134,20.378342,14.441943,7.8666778,4.44,4.44,4.44,4.733877,6.8790054,10.043391,11.84141,15.978752,16.585201,11.10658,6.240175,4.44,4.44,14.1214603526667,14.1214603526667,14.1214603526667,14.1214603526667,14.1214603526667,14.1214603526667,14.1214603526667,14.1214603526667,14.1214603526667,14.1214603526667,14.1214603526667,14.1214603526667,3.8605192,6.078296,7.865357,8.254295,8.060187,8.6494875,6.2634215,5.9242735,5.7787523,5.592341,5.801121,5.2820563,NA,NA,30.49
117,1060,0,100,899751,708057,562767,862111,1067063,816776,1213614,1250440,1089647,876615,708323,1227484,12.575817,14.24656,17.261297,22.573343,28.980654,31.746675,35.8871,36.28872,31.540005,25.60969,18.48834,12.39033,7.229109,7.6445336,11.248173,12.279361,14.548039,15.878376,20.468985,21.779936,17.285753,12.555903,9.004747,5.030141,23.9657109166667,23.9657109166667,23.9657109166667,23.9657109166667,23.9657109166667,23.9657109166667,23.9657109166667,23.9657109166667,23.9657109166667,23.9657109166667,23.9657109166667,23.9657109166667,2.7564828,3.9879177,5.3253517,5.5028634,5.397511,6.293247,5.6212044,5.989217,4.8019567,4.2646112,3.7133145,3.2038703,96.65957508,75.28778524,30.49
120,121,0,100,49005,1577,137320,143195,140943,141628,143409,150011,142249,96516,144646,161807,14.362908,16.106905,17.56936,22.87167,28.56613,31.026676,34.950005,36.193554,32.203346,26.893559,18.885004,14.080652,7.9359627,8.822012,12.108962,14.378728,16.823252,18.891933,22.142406,24.292337,20.119987,15.522758,9.934477,5.7266736,24.4758140833333,24.4758140833333,24.4758140833333,24.4758140833333,24.4758140833333,24.4758140833333,24.4758140833333,24.4758140833333,24.4758140833333,24.4758140833333,24.4758140833333,24.4758140833333,4.8996124,5.083245,5.433591,5.532689,5.758307,6.971785,7.071605,7.1365485,5.7936654,4.4738727,4.6677403,5.3109202,95.17238764,77.85301666,30.49
126,2610,0,100,354957,353948,330793,257056,612830,483337,359522,573854,430092,655109,439273,192350,11.540328,12.512073,15.535496,20.586668,26.533876,29.325008,32.21775,32.743553,28.770006,23.788717,18.271677,11.812907,6.15338,6.2325597,9.162827,10.398401,12.999716,14.871102,19.953213,21.044445,16.6191,11.548433,8.882674,4.602367,21.96983825,21.96983825,21.96983825,21.96983825,21.96983825,21.96983825,21.96983825,21.96983825,21.96983825,21.96983825,21.96983825,21.96983825,6.025296,7.5670156,7.757118,8.038057,7.6200156,8.500358,7.417969,7.5406404,7.2551303,7.02831,7.0612626,7.107685,87.78565693,71.2098752,30.49
127,1230,0,100,0,0,0,0,495252,1169530,1543161,1748992,1432048,0,0,0,7.325814,6.653451,14.122586,15.670002,22.58871,27.130009,29.487104,28.514524,21.52,15.393556,12.801672,6.6983957,4.44,4.44,10.410283,11.43643,17.765547,20.78711,23.313522,21.460238,17.477407,10.944528,8.501465,4.44,17.3254853083333,17.3254853083333,17.3254853083333,17.3254853083333,17.3254853083333,17.3254853083333,17.3254853083333,17.3254853083333,17.3254853083333,17.3254853083333,17.3254853083333,17.3254853083333,8.00246,8.8011875,8.514791,9.693391,10.2899065,10.394299,8.384903,8.334392,7.8143644,9.034336,8.3214035,8.298312,91.14378078,76.39770714,30.49
130,80,0,100,3341867,2276389,1884832,1914865,2185721,3685614,4936539,4765101,3331397,1780945,1773344,3510056,10.937104,11.212076,16.727427,17.328342,21.29517,24.815008,27.90001,26.937101,23.245007,20.230646,15.843341,8.359689,7.228708,7.595845,12.7246,12.945906,17.086946,21.181826,23.976902,23.684633,19.962908,17.069843,12.204922,5.2189226,11.1425032258065,10.7719206896552,13.759764516129,16.9603266666667,18.9838709677419,23.03438,26.6648193548387,27.4687451612903,25.01443,22.1444451612903,17.93301,10.6441387096774,10.722863,10.390184,8.926098,9.693391,8.406551,7.8069077,6.176831,6.198478,8.172275,8.067403,9.186352,8.810643,87.83979351,78.42682415,30.49
136,80,0,100,2274177,1666697,1879430,2671746,3031929,3428253,3634676,3843370,3356216,3484957,2914702,3214179,15.295169,16.251734,20.832264,21.476673,23.451614,26.086676,28.385492,28.51452,26.813337,24.34517,20.521675,12.622584,11.36604,12.329705,16.529188,16.933065,18.96913,22.548548,24.407822,24.890224,23.155329,20.677685,16.887035,9.318946,18.9501322580645,19.3063586206897,22.3574096774194,28.74447,25.0376483870968,27.9139466666667,29.5889161290323,30.214164516129,29.5311866666667,27.8219870967742,34.29093,19.512564516129,9.236382,9.441414,8.060186,8.955202,8.341608,6.6362443,7.100469,6.3860927,8.366142,8.861155,10.588166,7.8870044,88.33952764,79,30.49
