"Plant.Code","CD_january","CD_february","CD_march","CD_april","CD_may","CD_june","CD_july","CD_august","CD_september","CD_october","CD_november","CD_december","percentAllocation","cooling","DB_jan","DB_feb","DB_mar","DB_apr","DB_may","DB_jun","DB_jul","DB_aug","DB_sep","DB_oct","DB_nov","DB_dec","WB_jan","WB_feb","WB_mar","WB_apr","WB_may","WB_jun","WB_jul","WB_aug","WB_sep","WB_oct","WB_nov","WB_dec","WS_jan","WS_feb","WS_mar","WS_apr","WS_may","WS_jun","WS_jul","WS_aug","WS_sep","WS_oct","WS_nov","WS_dec","eia_id","WT_multsrc","t_source","WT_jan","WT_feb","WT_mar","WT_apr","WT_may","WT_jun","WT_jul","WT_aug","WT_sep","WT_oct","WT_nov","WT_dec","nsegment_v","prms_id","water_source_aeg","nsegment_v11_new","cmplxcoo_flg","coolty_1","coolty_2","coolty_3"
3,1545773,1404791,1227062,1490233,1304078,1266411,1579838,1492226,1499529,1248237,1536012,1515378,100,"tower",8.087105,11.313794,16.933878,19.001677,22.458067,26.600008,27.60646,27.517748,26.045008,21.158068,15.510011,12.801619,4.9971156,7.5461755,13.13366,15.057804,18.471807,22.851011,24.007515,23.969412,22.231428,16.810534,11.48433,9.191868,9.61161,10.637017,10.6218405,8.798616,7.1726284,5.726557,6.3860927,5.6139884,4.936173,6.220126,7.7845383,8.724051,3,"","sntemp",10.6208548387097,11.907224137931,15.7348096774194,18.9585966666667,21.4355548387097,25.1362033333333,27.6231580645161,28.152335483871,28.50983,25.4149806451613,37.64773,15.0706580645161,8721,8782,"sw","8721",1,"river_once_through_fresh","tower_recirculating",""
3,1809893,1491348,1509848,238626,2081746,2792765,3037937,3079376,2606109,1702482,1880707,1162548,100,"river",8.087105,11.313794,16.933878,19.001677,22.458067,26.600008,27.60646,27.517748,26.045008,21.158068,15.510011,12.801619,4.9971156,7.5461755,13.13366,15.057804,18.471807,22.851011,24.007515,23.969412,22.231428,16.810534,11.48433,9.191868,9.61161,10.637017,10.6218405,8.798616,7.1726284,5.726557,6.3860927,5.6139884,4.936173,6.220126,7.7845383,8.724051,3,"","sntemp",10.6208548387097,11.907224137931,15.7348096774194,18.9585966666667,21.4355548387097,25.1362033333333,27.6231580645161,28.152335483871,28.50983,25.4149806451613,37.64773,15.0706580645161,8721,8782,"sw","8721",1,"river_once_through_fresh","tower_recirculating",""
7,89119,76936,89204,82682,116104,110094,106368,93428,105352,92984,90113,93905,100,"river",4.4354925,8.598278,14.835492,17.675003,21.40807,26.396673,28.074196,27.866137,25.826672,20.661295,13.591675,8.198392,1.3498906,5.1469736,10.6225815,13.205387,17.266853,21.934988,23.660353,23.446672,20.1366,14.894226,8.591966,5.1926527,9.157007,10.421039,9.871384,9.439872,7.757118,6.3827252,6.234558,6.436604,6.241052,7.7499022,8.388512,9.438428,7,"","sntemp",7.81596774193548,9.34168275862069,16.0066225806452,18.8070966666667,20.121564516129,25.2373533333333,28.6909,29.6256064516129,28.7154533333333,24.5369741935484,21.69312,9.62293225806452,9614,9679,"sw","9614",0,"river_once_through_fresh","",""
8,2447643,2441690,1206712,2746754,2379528,1122370,3194564,3099558,2706982,2430714,2451283,1579275,100,"river",5.067745,8.900008,14.812909,17.461676,21.388716,26.650003,27.998396,27.61291,25.908342,19.62581,12.673341,8.758071,1.8647832,5.308353,10.802985,13.281596,17.251865,22.380945,23.846931,23.557785,21.053679,14.45677,8.094935,5.441333,9.243598,10.16649,10.441442,9.178896,7.648879,5.8085785,6.2706375,5.880978,6.1142926,7.432401,8.194644,9.546667,8,"","sntemp",6.74050322580645,8.89565862068966,14.0193548387097,16.8362533333333,20.2917612903226,25.91223,29.0956838709677,29.8817451612903,28.9034266666667,24.5889806451613,23.8315733333333,10.4182677419355,8917,8980,"sw","8917",0,"river_once_through_fresh","",""
10,1028751,1151146,611189,0,30890,476461,883839,592803,722576,454243,403803,346806,100,"river",6.230651,10.186216,15.450006,17.990004,21.519361,26.660006,28.095167,27.822588,25.73001,20.227425,13.661674,10.085488,3.1684525,6.5401,11.592034,13.849317,17.518862,22.76751,24.08622,23.94179,21.38393,15.218752,9.232413,6.9558234,8.716836,9.395133,9.727065,8.09771,6.811832,5.0107374,6.0758076,5.224329,5.331365,6.2634215,7.173109,8.377687,10,"","sntemp",8.47330322580645,9.79164137931035,15.3371193548387,18.0528733333333,21.1158387096774,25.71265,29.3047741935484,30.3498903225806,30.0280066666667,26.3158935483871,39.10527,12.1575258064516,8611,8675,"sw","8611",0,"river_once_through_fresh","",""
26,0,36793,2144162,2336247,2426647,2342552,2700396,2316510,2448259,2611167,247159,1652673,100,"tower",5.9096847,9.965521,14.990328,17.641674,21.57259,26.591671,28.498392,27.879034,25.746668,20.114523,13.348339,9.803239,2.5793476,6.2243576,11.027194,13.523777,17.299814,22.160456,24.047222,23.707308,20.7784,14.564632,8.511067,6.5603375,9.604395,10.667872,10.419793,9.402589,7.692175,6.002446,6.44382,6.2706375,6.181401,7.5695043,8.589836,9.575531,26,"","sntemp",8.03209032258065,9.46091034482759,15.1609838709677,17.96476,20.2468806451613,25.2817866666667,28.4807709677419,29.5245870967742,28.7635266666667,24.6424741935484,22.07449,9.98515161290323,9676,9750,"sw","9676",1,"river_once_through_fresh","tower_recirculating",""
26,512452,291013,0,0,0,578641,981278,0,495170,146567,0,0,100,"river",5.9096847,9.965521,14.990328,17.641674,21.57259,26.591671,28.498392,27.879034,25.746668,20.114523,13.348339,9.803239,2.5793476,6.2243576,11.027194,13.523777,17.299814,22.160456,24.047222,23.707308,20.7784,14.564632,8.511067,6.5603375,9.604395,10.667872,10.419793,9.402589,7.692175,6.002446,6.44382,6.2706375,6.181401,7.5695043,8.589836,9.575531,26,"","sntemp",8.03209032258065,9.46091034482759,15.1609838709677,17.96476,20.2468806451613,25.2817866666667,28.4807709677419,29.5245870967742,28.7635266666667,24.6424741935484,22.07449,9.98515161290323,9676,9750,"sw","9676",1,"river_once_through_fresh","tower_recirculating",""
46,3209359.3712,2617153.1504,2302522.0896,3288347.1624,3374282.9232,3211599.276,3041159.6776,3154414.4952,2962040.8088,2228450.4744,3068731.7504,3389576.4936,20,"tower",3.6354892,7.5327635,13.530653,16.821672,20.129036,25.920006,27.637104,26.817749,24.285006,19.459684,12.420008,7.2080727,0.7385152,4.2894726,9.642783,12.436919,15.99517,21.59594,23.602514,23.060862,19.74309,14.348297,7.9295893,4.187281,7.8870044,8.785761,8.825075,7.9112983,6.804616,5.1151276,5.101658,4.935692,5.443212,6.1912622,6.6213317,8.146778,46,"","sntemp",6.09556774193548,6.53081379310345,9.45821612903226,14.3011066666667,20.7038096774194,24.0274066666667,27.9174096774194,28.1184161290323,26.00576,20.9487,19.2169633333333,8.7403,16249,16274,"sw","16249",1,"lake_once_through_fresh","tower_recirculating",""
46,16046796.856,13085765.752,11512610.448,16441735.812,16871414.616,16057996.38,15205798.388,15772072.476,14810204.044,11142252.372,15343658.752,16947882.468,100,"tower",3.6354892,7.5327635,13.530653,16.821672,20.129036,25.920006,27.637104,26.817749,24.285006,19.459684,12.420008,7.2080727,0.7385152,4.2894726,9.642783,12.436919,15.99517,21.59594,23.602514,23.060862,19.74309,14.348297,7.9295893,4.187281,7.8870044,8.785761,8.825075,7.9112983,6.804616,5.1151276,5.101658,4.935692,5.443212,6.1912622,6.6213317,8.146778,46,"","sntemp",6.09556774193548,6.53081379310345,9.45821612903226,14.3011066666667,20.7038096774194,24.0274066666667,27.9174096774194,28.1184161290323,26.00576,20.9487,19.2169633333333,8.7403,16249,16274,"sw","16249",1,"lake_once_through_fresh","tower_recirculating",""
46,12837437.4848,10468612.6016,9210088.3584,13153388.6496,13497131.6928,12846397.104,12164638.7104,12617657.9808,11848163.2352,8913801.8976,12274927.0016,13558305.9744,80,"lake",3.6354892,7.5327635,13.530653,16.821672,20.129036,25.920006,27.637104,26.817749,24.285006,19.459684,12.420008,7.2080727,0.7385152,4.2894726,9.642783,12.436919,15.99517,21.59594,23.602514,23.060862,19.74309,14.348297,7.9295893,4.187281,7.8870044,8.785761,8.825075,7.9112983,6.804616,5.1151276,5.101658,4.935692,5.443212,6.1912622,6.6213317,8.146778,46,"","sntemp",6.09556774193548,6.53081379310345,9.45821612903226,14.3011066666667,20.7038096774194,24.0274066666667,27.9174096774194,28.1184161290323,26.00576,20.9487,19.2169633333333,8.7403,16249,16274,"sw","16249",1,"lake_once_through_fresh","tower_recirculating",""
