Plant.Code,Elevation,Pond_Area,Tdb,Twb,nwT
889,439.03,1982.549307,90.4,80.2,30.49
891,459.55,1000000,89.28325171,79.17713303,30.49
892,464.4,1000000,89,79.3,30.49
897,703.31,1000000,89.1,79.8,30.49
898,434.93,1000000,90.8,79.4,30.49
913,407.96,1000000,90.3,80.4,30.49
934,451.8,1000000,90.4,80.2,30.49
955,460.02,1000000,87.2,77.7,30.49
961,793.38,1000000,87.8,78.2,30.49
963,581.75,1000000,89.62125464,79.37486166,30.49
964,565.69,1000000,89.7,79.4,30.49
972,580.75,1000000,89.9,77.7,30.49
976,516.96,1000000,90.5,80.3,30.49
981,585.19,1000000,88.3,78,30.49
983,463.95,1000000,88.6,78.4,30.49
988,489.85,1000000,87.1,77.3,30.49
990,683.89,1000000,87.60931343,78.32233404,30.49
991,616.55,1000000,87.56790266,78.69382959,30.49
992,686.93,1000000,87.60280995,78.31874286,30.49
994,434.02,1000000,88.94101303,79.25220295,30.49
995,615.65,1000000,88.3,78,30.49
996,586.67,1000000,88.3,78,30.49
997,588.96,1000000,88.02243168,77.65795014,30.49
1001,505.34,1000000,88.9,79.6,30.49
1004,459.87,1000000,86.7,78.9,30.49
1007,785.37,1000000,85.62449226,76.81224613,30.49
1008,454.48,1000000,89.1,78.7,30.49
1010,482.98,1000000,88.9,79.6,30.49
1012,390.95,1000000,89.8,79.4,30.49
1016,93.95,1000000,88.07326906,78.07326906,30.49
1024,675.54,1000000,88.7,78.8,30.49
1032,604.58,1000000,89,79.2,30.49
1037,643.89,1000000,89,79.2,30.49
1040,991.75,1000000,84.59497515,75.59497515,30.49
1043,434.11,1000000,88.96312424,79.25571274,30.49
1046,594.34,1000000,86,77.6,30.49
1047,638.08,1000000,87.9,78,30.49
1048,589.16,1000000,87,78.5,30.49
1058,728.02,1000000,87.4,78.6,30.49
1060,756.96,1000000,85.27020591,76.13510295,30.49
1073,724.15,1000000,87.4,78.6,30.49
1077,860.26,1000000,85.93944929,76.31314977,30.49
1081,568.42,1000000,89.7,79.1,30.49
1082,980.36,1000000,89.56761227,78.96254418,30.49
1091,1077.99,1000000,88.6,78.6,30.49
1104,534.6,1000000,89.1,78.6,30.49
1122,920.72,1000000,86.64546404,76.43660381,30.49
1131,859.64,1000000,87.7704246,78.5278984,30.49
1167,550.83,1000000,89.7,79.1,30.49
1175,877.51,1000000,89.1,77.8,30.49
1206,1332.76,1000000,88,77,30.49
1217,1342.44,1000000,86.63969946,75.67760901,30.49
1218,560.69,1000000,89.7,79.1,30.49
1230,2605,1000000,88.65967202,71.23645963,30.49
1233,2458.7,1000000,90,73.13799691,30.49
1235,1920.36,1000000,92.5,77.4,30.49
1239,818.52,1000000,90.4,78.5,30.49
1240,1380.8,1000000,90,76,30.49
1241,850.53,1000000,90,79,30.49
1242,1304.92,1000000,90,76,30.49
1243,856.48,1000000,90.4,78.5,30.49
1248,1605.87,1000000,90,76,30.49
1250,841.64,1000000,88.82859672,77.62595248,30.49
1252,877.8,1000000,88.8111378,77.77226896,30.49
1270,1202.65,1000000,91.6,78.4,30.49
1271,731.56,1000000,89.97860502,77.68626107,30.49
1291,946.32,1000000,89.9,78.3,30.49
1294,722.53,1000000,91.4,79.7,30.49
1295,755.12,1000000,91.4,79.7,30.49
1299,2002.77,1000000,92.5,77.4,30.49
1305,1486.43,1000000,92.5,77.4,30.49
1317,1873.23,1000000,90,75.03537046,30.49
1330,1217.19,1000000,90,76,30.49
1336,2847.69,1000000,88.35207602,70.98840797,30.49
1353,565.74,1000000,84.2522616,75.18762721,30.49
1355,878,1000000,86.56893,76.56893,30.49
1356,488.85,1000000,85.70750278,76.47166852,30.49
1357,402.15,1000000,90,79.4,30.49
1360,977,1000000,87.7,77.1,30.49
1361,519.83,1000000,87.3,77.3,30.49
1363,459.66,1000000,88.79024214,78.49221458,30.49
1364,454.58,1000000,88.72760711,78.4437429,30.49
1372,346.14,1000000,90,79.4,30.49
1374,406.68,1000000,89.8,79.4,30.49
1378,419.6,1000000,89.18919044,79.0862488,30.49
1379,344.93,1000000,90.5,80.3,30.49
1381,406.66,1000000,89.8,79.4,30.49
1382,425.74,1000000,88.35871891,77.79580583,30.49
1383,426.26,1000000,90,79.4,30.49
1384,811.19,1000000,88.75604064,77.53188701,30.49
1385,614,1000000,91,78.1,30.49
1393,19.58,1000000,87.32634802,80.02188497,30.49
1394,21.14,1000000,89,80.3,30.49
1396,51.22,1000000,89.6,80.8,30.49
1400,13.76,1000000,88.93087161,80.57607559,30.49
1402,13.87,1000000,88.7,80.7,30.49
1403,11.7,1000000,88.7,80.7,30.49
1404,86.88,1000000,91.1,81.1,30.49
1407,-4.47,1000000,89.5,81.4,30.49
1409,-0.33,1000000,89.5,81.4,30.49
1416,179.11,35.63461316,91.13560178,79.54617758,30.49
1417,196.87,1000000,91.5,79.5,30.49
1439,9.22,1000000,88.09146194,80.71536222,30.49
1443,40.15,1000000,89,80.7,30.49
1447,185.22,1000000,90,79,30.49
1449,6.15,1000000,88.33819694,80.33819694,30.49
1450,127.68,1000000,89.6,80.8,30.49
1455,20.45,1000000,88.17709477,80.17709477,30.49
1458,280.48,1000000,91.1,81.1,30.49
1464,36.98,1000000,87.84015224,79.68030447,30.49
1496,28.64,1000000,82.6,73.5,30.49
1507,19.37,1000000,83,73.9,30.49
1552,4.16,1000000,88.6,78.1,30.49
1553,8.49,1000000,88.6,78.1,30.49
1554,11.21,1000000,88.6,78.1,30.49
1559,10.45,1000000,88.6,78.1,30.49
1564,8.11,1000000,86.40574404,77.44860745,30.49
1570,355.47,1000000,91,79.4,30.49
1571,9.41,1000000,89.46153404,78.69070209,30.49
1572,267.75,1000000,91,79.4,30.49
1573,16.54,1000000,89.2,79.4,30.49
1588,10.48,1000000,86.3,76.2,30.49
1589,12.54,1000000,86.3,76.2,30.49
1590,22.21,1000000,84.2,76,30.49
1595,9.28,1000000,83.40504456,74.40504456,30.49
1599,10.67,1000000,81,75.6,30.49
1606,118.8,1000000,86.7,76.3,30.49
1613,26.73,1000000,83.5,75.7,30.49
1619,14.35,1000000,84.31307501,75.91271607,30.49
1626,14.95,1000000,86.3,76.2,30.49
1642,62.9,1000000,86.7,76.3,30.49
1660,14.31,1000000,86.8,76.9,30.49
1682,14.5,1000000,84.25643382,76.04658541,30.49
1695,586.15,1000000,82.6,75.6,30.49
1702,576.8,1000000,85.67092919,76.4191436,30.49
1710,598.82,1000000,84.6,76.5,30.49
1715,589.88,1000000,84.72501515,75.69799932,30.49
1720,584.2,1000000,85.8,76.4,30.49
1723,580.45,1000000,86.9,77.2,30.49
1726,579.45,1000000,86.5,76.9,30.49
1729,582.95,1000000,84,75,30.49
1731,580.83,1000000,85.6,76.4,30.49
1732,596.57,1000000,85.6,76.4,30.49
1733,580.87,1000000,84.5,78.2,30.49
1740,574.57,1000000,86.5,76.9,30.49
1743,582.42,1000000,85.6,76.4,30.49
1745,581.92,1000000,84.5,78.2,30.49
1769,605.58,1000000,85,76.4,30.49
1771,588.2,1000000,85,76.4,30.49
1772,607.19,1000000,83.4,74.5,30.49
1822,580.82,1000000,86.5,76.9,30.49
1825,581.58,1000000,82.6,75.6,30.49
1830,582.86,1000000,84.6,76.5,30.49
1831,831.11,1000000,85.3452384,76.43060798,30.49
1832,882.14,1000000,83.49157165,75.26043184,30.49
1843,611.48,1000000,85,76.4,30.49
1866,574.99,1000000,84.5,78.2,30.49
1880,694.76,1000000,84.6,76.5,30.49
1888,1243.09,1000000,84.8,76.7,30.49
1891,1449.81,1000000,81.4,72.7,30.49
1893,1295.08,1000000,83.28098343,75.00647421,30.49
1897,609.07,1000000,83.4,76.6,30.49
1904,704.6,1000000,87.5,76.9,30.49
1912,701.25,1000000,86.6,77.3,30.49
1915,690.56,1000000,86.31369804,77.58263464,30.49
1918,896.51,1000000,86.4,76.5,30.49
1922,931.49,1000000,86.4,76.5,30.49
1925,695.13,1000000,86.62967616,77.21284399,30.49
1926,676.87,1000000,86.6,77.3,30.49
1927,822.1,1000000,87.1,77.1,30.49
1934,778.86,1000000,83.63559289,74.57592456,30.49
1943,1201.29,1000000,85.52157947,75.61570953,30.49
1960,1197.17,1000000,84.6,76.8,30.49
1961,1210.92,1000000,84.6,76.8,30.49
1973,1181.16,1000000,84.8,76.7,30.49
1979,1481.15,1000000,79.66325569,70.55172514,30.49
1980,1038.6,1000000,83.28339065,74,30.49
1990,1447.18,1000000,87.6,77.4,30.49
2001,850.14,1000000,83.68383312,74.57615873,30.49
2003,1134.62,1000000,84.8,76.7,30.49
2008,986.12,1000000,84.6,76.8,30.49
2018,1434,45.1032218,81.4,72.7,30.49
2022,1130.63,1000000,84.32326732,74.28378105,30.49
2039,849.64,1000000,87.1,77.1,30.49
2046,144.97,1000000,90,78.4,30.49
2048,286.3,1000000,90,79,30.49
2049,16.98,1000000,90.034604,82.97218249,30.49
2050,104.16,1000000,90.2,79.8,30.49
2051,141.04,580.1369364,91.8,80.4,30.49
2052,185.11,1000000,89.3,80.4,30.49
2053,362.4,374.1025218,90.2,79.8,30.49
2059,169.57,1000000,90.71980495,79.37136138,30.49
2062,128.86,1000000,90.30257374,79,30.49
2063,131.19,1000000,90.2,79.8,30.49
2067,107.11,1000000,90.24387244,79.48774488,30.49
2070,207.73,1000000,89.02059379,78.67353126,30.49
2076,944.84,26.51631176,89.9368133,78.21344558,30.49
2079,741.67,1000000,91.4,79.7,30.49
2080,753.33,1000000,90,79,30.49
2094,724.97,1000000,91.4,79.7,30.49
2098,811.49,1000000,90.3,79.5,30.49
2103,491.28,1000000,90.8,79.9,30.49
2104,417.14,1000000,90.3,80.4,30.49
2107,445.06,1000000,90.8,79.4,30.49
2123,765.47,1000000,87.37530832,77.23848741,30.49
2132,781.56,1000000,89.5668182,78,30.49
2144,783.21,1000000,88.63874792,77.70601436,30.49
2161,1161.32,1000000,88.92653704,77.55836774,30.49
2167,297.07,1000000,90.5,80.3,30.49
2168,733,1000000,89.4,79.1,30.49
2169,531.87,1000000,89.1,79.4,30.49
2171,731.71,1000000,91.4,79.7,30.49
2187,3105.13,1000000,85.4,66.4,30.49
2226,2365.93,1000000,89.2,77.3,30.49
2236,1311.18,1000000,90.8,78.2,30.49
2240,1179.48,1000000,88.26172619,77,30.49
2241,1843.98,1000000,89.2,77.3,30.49
2244,1932,1000000,89.2,77.3,30.49
2277,1444.14,1000000,88.59970127,77,30.49
2289,1001.08,1000000,88.7,77.4,30.49
2291,985.28,1000000,89.7,79,30.49
2322,1686.95,1000000,94.28416612,70.12593555,30.49
2324,1583.44,1000000,94.20896247,69.9918723,30.49
2326,1697.81,1000000,95,72.5,30.49
2330,4316.89,181.029398,89.2,64,30.49
2336,4271.93,33.44016931,89.2,64,30.49
2341,704.46,1000000,96.3,72.6,30.49
2364,207.74,1000000,84.7,74.7,30.49
2367,18.75,1000000,84.5,75.5,30.49
2378,10.42,1000000,87.28257547,78.05397674,30.49
2384,8.19,1000000,87.3,78,30.49
2388,21.69,1000000,87.8,78.8,30.49
2390,-2.1,1000000,88.8,77.7,30.49
2393,150.84,1000000,84.78078719,75.78078719,30.49
2398,9.68,1000000,85.79986952,76.6720195,30.49
2399,12.42,1000000,88.8,78.7,30.49
2403,7.15,1000000,88.8,77.7,30.49
2404,7.84,1000000,88.8,77.7,30.49
2406,9.63,1000000,85.80452404,76.20188507,30.49
2408,16.8,1000000,88.9,77.5,30.49
2410,10.12,1000000,87.3,78,30.49
2411,7.94,1000000,88.8,77.7,30.49
2434,80.89,1000000,87.1,78,30.49
2442,5330.8,1372.789798,82.4,65.3,30.49
2444,3734.53,1000000,85,68.91957824,30.49
2446,3751.04,1000000,86.695131,71.390262,30.49
2450,5088.76,1000000,82.5410213,64.67589291,30.49
2451,5303.04,1000000,81.49931434,63.72627621,30.49
2454,3810.47,1000000,86.69225674,71.38451349,30.49
2465,5320.31,1000000,81.91310554,63.95277146,30.49
2468,6656.63,1000000,85,67.3,30.49
2475,5121.76,1000000,82.5,65.3,30.49
2480,7.04,1000000,87.4,76.8,30.49
2490,12.5,1000000,88.8,77.7,30.49
2491,1.49,1000000,87.2,77.2,30.49
2493,6.44,1000000,87.2,77.2,30.49
2497,80.93,1000000,84.6,76,30.49
2500,11.08,1000000,87.2,77.2,30.49
2502,17.75,1000000,87.2,77.2,30.49
2511,7.68,1000000,84.3,77,30.49
2513,9.01,1000000,84.3,77,30.49
2514,14.36,1000000,87.2,77.2,30.49
2516,13.96,1000000,85,77,30.49
2517,10.02,1000000,83.6,76.7,30.49
2526,836.02,1000000,80.9,72.7,30.49
2527,456.1,1000000,84.9,75.2,30.49
2529,903.61,1000000,84.9,75.2,30.49
2535,395.91,1000000,84.9,75.2,30.49
2539,15.57,1000000,82.12629885,74,30.49
2549,571.62,1000000,83.9,75.5,30.49
2554,580.55,1000000,80,72.4,30.49
2589,261.3,1000000,84.25658168,75.09425584,30.49
2594,253.02,1000000,84.8,75.4,30.49
2625,8.65,1000000,85.4,76.6,30.49
2629,3.72,1000000,84.6,76,30.49
2640,474.03,1000000,84.5,75.5,30.49
2642,250.33,1000000,84.5,75.5,30.49
2682,1313.84,1000000,80.32927,72.77045438,30.49
2706,2170.48,1000000,83.3,74.2,30.49
2708,173.25,1000000,89.3,78.3,30.49
2709,83.61,551.8016013,90.1,79.8,30.49
2712,426.7,1000000,88.62576205,77.74110021,30.49
2713,10.13,1173.493444,89,80.3,30.49
2716,128.93,216.4828091,90,79.3,30.49
2718,588.32,1000000,88.4,77.1,30.49
2720,633.84,1000000,87.49341416,76.95252897,30.49
2721,688.71,1000000,87.60948617,76.78220891,30.49
2723,514.93,1000000,87.88696369,77.29918992,30.49
2727,770.07,1000000,86.1,76.2,30.49
2732,668.43,1000000,88.4,77.1,30.49
2790,1659.11,1000000,85.8,74.3,30.49
2801,1497.51,1000000,85.4,75.4,30.49
2817,1702.56,1000000,85.8,74.3,30.49
2823,1959.78,1000000,85.8,74.3,30.49
2824,1687.83,1000000,85.8,74.3,30.49
2828,669.85,1000000,84.03814198,74.45775242,30.49
2830,484.21,1000000,88,77.9,30.49
2832,490.55,1000000,87.35239002,77.4850593,30.49
2835,578.27,1000000,82.6,75.3,30.49
2836,592.5,1000000,85.6,76.3,30.49
2837,611.36,1000000,85.6,76.3,30.49
2838,579.16,1000000,85.6,76.3,30.49
2840,742.89,1000000,86.04568917,76.45524279,30.49
2843,695.42,1000000,86.7,79.8,30.49
2848,699.62,1000000,87.1,77.5,30.49
2850,530.55,1000000,87.31203881,77.52294441,30.49
2857,576.72,1000000,85.6,76.3,30.49
2861,869.6,1000000,84.7,75.1,30.49
2864,660.22,1000000,83,73.5,30.49
2866,680.17,1000000,84.8,75.2,30.49
2867,659.06,1000000,84.8,75.2,30.49
2872,644.73,1000000,86.44807412,77.36299804,30.49
2876,577.41,1000000,86.7,77.3,30.49
2877,592.63,1000000,86.9,77.2,30.49
2878,580.75,1000000,86.9,77.2,30.49
2908,568.51,1000000,85.6,76.3,30.49
2914,875.5,1000000,84.6,75.4,30.49
2917,591.61,1000000,88,77.9,30.49
2935,1020.42,1000000,82.68606453,74.46684605,30.49
2936,641.61,1000000,83.15031881,74.40321035,30.49
2937,858.72,1000000,86.2,76.5,30.49
2942,848.51,1000000,86.2,76.5,30.49
2943,1103.43,1000000,84.6,75.8,30.49
2951,1077.78,336.1439528,90.87387548,77.87423464,30.49
2952,514.39,1000000,92.19182566,78.67687578,30.49
2953,1237.88,1000000,89.46983663,76.2670489,30.49
2956,932.33,1000000,90.8,78.2,30.49
2963,640.98,1000000,90.21156738,77.6829315,30.49
2964,1244.19,1000000,89.68690066,76.2514277,30.49
2965,624.15,1000000,90.85289595,77.926012,30.49
3000,916.24,1000000,93.4,79,30.49
3006,1180.31,1000000,89.67018433,76.26055721,30.49
3008,1890.77,1000000,90.61633948,75.1244648,30.49
3096,732.19,1000000,82.46498983,73.57380776,30.49
3098,751.59,1000000,84.9,75.2,30.49
3113,297.05,1000000,86.3,76.7,30.49
3115,195.13,1000000,87.5,77.2,30.49
3118,1088.26,1000000,81.35270532,72.35270532,30.49
3122,1198.91,1000000,81.48748708,72.48748708,30.49
3130,1097.25,1000000,80.80652528,72.07799566,30.49
3131,1056.34,1000000,83.9,74.7,30.49
3132,1184.69,1000000,80,72.4,30.49
3136,1001.13,1000000,80.36894872,71.99192472,30.49
3138,779.41,1000000,83.5,74.6,30.49
3140,282.28,1000000,87.7,78,30.49
3148,234.49,1000000,87.49913532,77.13764424,30.49
3149,536.76,1000000,82.29394016,74.12195814,30.49
3152,445.91,1000000,86.8,76.5,30.49
3159,106.79,1000000,88.6,77.7,30.49
3160,10.36,1000000,88.5,78.3,30.49
3161,9.66,1000000,88.5,78.3,30.49
3166,120.85,1000000,87.28404064,77.5609773,30.49
3169,17.55,1000000,88.5,78.3,30.49
3176,523.06,1000000,84,75,30.49
3178,832.18,1000000,83.5,74.6,30.49
3179,794.32,1000000,83,73.5,30.49
3181,756.4,1000000,84.9,75.2,30.49
3182,758.38,1000000,84.9,75.2,30.49
3236,11.51,1000000,85.2,76.5,30.49
3251,225.13,1000000,90.4,79.5,30.49
3264,682.37,1000000,87.33999056,76.58160812,30.49
3265,796.15,1000000,88.2,77,30.49
3280,75.08,1000000,89.1,80.5,30.49
3287,200.11,1000000,90,78.4,30.49
3295,143.7,1000000,91.1,79.4,30.49
3297,109.55,1000000,89.47132469,78.61330739,30.49
3298,10.4,1000000,89.21394848,80.1848273,30.49
3317,18.08,319.0840769,90.4,79.5,30.49
3319,24.31,1000000,89.1,80.5,30.49
3325,3331.01,1000000,86.1,70.9,30.49
3334,1320.35,1000000,87.6,77.4,30.49
3393,238.9,1000000,91.1,80.2,30.49
3396,792.83,1000000,87.7,77.1,30.49
3399,435.44,1000000,89.3,79.8,30.49
3403,465.91,1000000,88.7,78.2,30.49
3405,1109.63,1000000,85.21402189,75.32569559,30.49
3406,391.21,1000000,89.3,79.8,30.49
3407,763.68,1000000,87.7,77.1,30.49
3419,730.2,1000000,87.7,77.1,30.49
3436,19.22,1000000,87.9,80.2,30.49
3438,125.53,1000000,90.9,80.4,30.49
3439,421.82,1000000,91.7,79,30.49
3440,69.57,1000000,89.4,80.9,30.49
3441,10.82,1000000,89.4,80.9,30.49
3442,38.96,1000000,91,81.3,30.49
3443,55.3,1000000,87.68964485,80.26939392,30.49
3452,455.93,1000000,92.7,79.5,30.49
3453,472.71,1000000,91.9,78.6,30.49
3454,507.42,1000000,91.4,78.6,30.49
3455,414.78,1000000,92.7,79.5,30.49
3456,4065.69,1000000,85,68.87747548,30.49
3457,275.21,923.8828984,88.2,80.3,30.49
3459,7.84,1000000,88.05018088,81.51836692,30.49
3460,17.21,1000000,88.6,82,30.49
3461,15.46,1000000,89,80.5,30.49
3464,35.5,1000000,88.2453629,79.52385765,30.49
3466,11.79,1000000,88.6,82,30.49
3468,12,1000000,88.6,82,30.49
3469,117.47,1000000,88.10744527,79.33597548,30.49
3470,71.01,2352.329666,88.86163071,80.92088713,30.49
3471,16.17,1000000,88.6,82,30.49
3476,288.68,1000000,90.1,79,30.49
3477,282.86,1000000,90.1,79,30.49
3478,298.39,607.2886259,90.79424665,79.26040891,30.49
3482,3172.52,1000000,86.26028042,71.84006138,30.49
3483,3706.34,1000000,86.1,71.1,30.49
3484,3592.27,1000000,85.96292193,69.91775348,30.49
3485,3671.15,1000000,85.70461557,71.03146234,30.49
3489,673.1,1000000,91.8,78.5,30.49
3490,1075.08,1000000,92,77.7,30.49
3491,563.13,1000000,91.8,78.5,30.49
3492,2082.12,1000000,90.9,77,30.49
3493,538.56,1000000,91.8,78.5,30.49
3494,2655.71,1000000,87.1,73.2,30.49
3497,321.99,1000000,91.6,78.7,30.49
3500,641.45,1000000,92.3,78.5,30.49
