"plant_bo","bogen"
"728^Y5BR","728^5"
"728^Y6BR","728^6"
"728^Y7BR","728^7"
"733^1","733^1"
"733^2","733^2"
"733^3","733^3"
"733^4","733^4"
"753^ST","753^1"
"762^2","762^1"
"765^1","765^1"
"765^2","765^2"
"765^3","765^3"
"765^4","765^4"
"765^5","765^5"
"765^6","765^6"
"766^3","766^1"
"766^4","766^2"
"766^5","766^3"
"766^6","766^4"
"766^7","766^5"
"766^8","766^6"
"772^5","772^1"
"772^6","772^2"
"856^1","856^1"
"856^2","856^2"
"856^3","856^3"
"861^1","861^1"
"861^2","861^2"
"862^1","862^1"
"862^2","862^2"
"874^5","874^1"
"876^1","876^1"
"876^2","876^2"
"879^51","879^1"
"879^52","879^1"
"879^61","879^2"
"879^62","879^2"
"883^7","883^1"
"883^8","883^2"
"884^3","884^3"
"884^4","884^4"
"887^1","887^1"
"887^2","887^2"
"887^3","887^3"
"887^4","887^4"
"887^5","887^5"
"887^6","887^6"
"889^1","889^1"
"889^2","889^2"
"889^3","889^3"
"891^9","891^2"
"892^1","892^1"
"892^2","892^2"
"898^4","898^2"
"898^5","898^3"
"963^31","963^1"
"963^32","963^2"
"963^33","963^3"
"963^41","963^4"
"972^4","972^1"
"972^5","972^1"
"972^7","972^1"
"972^8","972^1"
"976^4","976^1"
"976^123","976^2"
"983^1","983^1"
"983^2","983^2"
"983^3","983^3"
"983^4","983^4"
"983^5","983^5"
"983^6","983^6"
"988^U1","988^1"
"988^U2","988^2"
"988^U3","988^3"
"988^U4","988^4"
"990^50","990^3"
"990^60","990^4"
"990^70","990^5"
"991^3","991^3"
"991^4","991^4"
"991^5","991^5"
"991^6","991^6"
"992^11","992^1"
"992^12","992^1"
"992^13","992^1"
"992^14","992^1"
"992^15","992^1"
"992^16","992^1"
"992^17","992^1"
"992^18","992^1"
"994^1","994^1"
"994^2","994^2"
"994^3","994^3"
"994^4","994^4"
"995^7","995^1"
"995^8","995^2"
"997^12","997^2"
"1001^1","1001^1"
"1001^2","1001^2"
"1004^CT1","1004^1"
"1004^CT2","1004^1"
"1004^HRSG1","1004^1"
"1004^HRSG2","1004^1"
"1004^NA","1004^1"
"1007^3","1007^1"
"1007^4","1007^1"
"1007^5","1007^1"
"1007^CT3","1007^1"
"1007^CT4","1007^1"
"1007^CT5","1007^1"
"1008^2","1008^2"
"1008^4","1008^4"
"1010^2","1010^1"
"1010^3","1010^2"
"1010^4","1010^3"
"1010^5","1010^4"
"1010^6","1010^5"
"1012^2","1012^2"
"1012^3","1012^3"
"1016^1","1016^1"
"1016^2","1016^1"
"1016^3","1016^1"
"1016^6","1016^1"
"1016^7","1016^1"
"1016^8","1016^1"
"1024^5","1024^1"
"1024^6","1024^2"
"1032^5","1032^1"
"1032^6","1032^2"
"1037^2","1037^1"
"1037^5","1037^2"
"1040^1","1040^1"
"1040^2","1040^2"
"1043^1SG1","1043^1"
"1043^2SG1","1043^2"
"1046^1","1046^1"
"1046^5","1046^1"
"1046^6","1046^1"
"1047^4","1047^2"
"1048^2","1048^2"
"1073^1","1073^1"
"1073^2","1073^1"
"1073^3","1073^2"
"1073^4","1073^3"
"1077^1","1077^1"
"1077^3","1077^3"
"1081^9","1081^2"
"1082^1","1082^1"
"1082^2","1082^2"
"1082^3","1082^3"
"1082^4","1082^4"
"1091^1","1091^1"
"1091^2","1091^2"
"1091^3","1091^3"
"1104^1","1104^1"
"1122^7","1122^1"
"1122^8","1122^2"
"1131^6","1131^1"
"1131^7","1131^2"
"1167^7","1167^1"
"1167^8","1167^2"
"1167^9","1167^3"
"1206^GT1","1206^1"
"1206^GT2","1206^1"
"1206^HRSG1","1206^1"
"1206^HRSG2","1206^1"
"1217^1","1217^1"
"1230^1","1230^1"
"1233^4","1233^1"
"1235^3","1235^1"
"1239^40","1239^1"
"1240^1","1240^1"
"1240^2","1240^2"
"1241^1","1241^1"
"1241^2","1241^2"
"1242^3","1242^3"
"1242^4","1242^4"
"1248^4","1248^4"
"1250^3","1250^1"
"1250^4","1250^2"
"1250^5","1250^3"
"1252^9","1252^1"
"1252^10","1252^2"
"1270^NA","1270^1"
"1271^4","1271^1"
"1271^5","1271^2"
"1295^1","1295^1"
"1295^2","1295^2"
"1317^5","1317^2"
"1330^4","1330^1"
"1336^S-2","1336^2"
"1353^BSU1","1353^1"
"1353^BSU2","1353^2"
"1355^1","1355^1"
"1355^2","1355^2"
"1355^3","1355^3"
"1356^1","1356^1"
"1356^2","1356^2"
"1356^3","1356^3"
"1356^4","1356^4"
"1357^4","1357^1"
"1357^5","1357^2"
"1363^4","1363^1"
"1363^5","1363^2"
"1363^6","1363^3"
"1363^7A","1363^4"
"1363^7B","1363^4"
"1364^1","1364^1"
"1364^2","1364^2"
"1364^3","1364^3"
"1364^4","1364^4"
"1374^1","1374^1"
"1374^2","1374^2"
"1378^1","1378^1"
"1378^2","1378^2"
"1378^3","1378^3"
"1379^1","1379^1"
"1379^2","1379^2"
"1379^3","1379^3"
"1379^4","1379^4"
"1379^5","1379^5"
"1379^6","1379^6"
"1379^7","1379^7"
"1379^8","1379^8"
"1379^9","1379^9"
"1381^C1","1381^1"
"1381^C2","1381^2"
"1381^C3","1381^3"
"1382^H1","1382^1"
"1382^H2","1382^2"
"1383^R1","1383^1"
"1384^1","1384^1"
"1384^2","1384^2"
"1385^1","1385^1"
"1385^2","1385^2"
"1385^3","1385^3"
"1385^4","1385^4"
"1393^4","1393^2"
"1393^6","1393^3"
"1393^1A","1393^4"
"1393^2A","1393^5"
"1394^2","1394^2"
"1394^4","1394^4"
"1396^6-1","1396^1"
"1396^U6CT","1396^1"
"1396^7-1","1396^2"
"1396^7-2","1396^2"
"1396^U72","1396^2"
"1396^U7CT","1396^2"
"1400^1","1400^1"
"1400^3","1400^3"
"1402^1","1402^1"
"1402^2","1402^2"
"1402^3","1402^3"
"1403^4","1403^1"
"1403^5","1403^1"
"1403^3","1403^3"
"1403^6A","1403^4"
"1403^6AHRSG","1403^4"
"1403^6B","1403^4"
"1403^6BHRSG","1403^4"
"1404^7A","1404^2"
"1404^7AB","1404^2"
"1404^7B","1404^2"
"1409^3","1409^1"
"1409^2","1409^2"
"1416^5A","1416^1"
"1417^2","1417^2"
"1417^3","1417^3"
"1417^4","1417^4"
"1439^14","1439^1"
"1439^15","1439^2"
"1439^16","1439^3"
"1447^1","1447^1"
"1447^2","1447^2"
"1449^3","1449^3"
"1449^4","1449^4"
"1455^2","1455^2"
"1464^1B1","1464^1"
"1464^1B2","1464^2"
"1507^1","1507^1"
"1507^2","1507^2"
"1507^3","1507^3"
"1507^4","1507^4"
"1513^1","1513^1"
"1513^2","1513^2"
"1552^1","1552^1"
"1552^2","1552^2"
"1553^3","1553^1"
"1554^1","1554^1"
"1554^2","1554^2"
"1554^3","1554^3"
"1554^4","1554^4"
"1559^4","1559^1"
"1564^8","1564^1"
