"Plant design conditions from EIA 860 report. User parameters (Min T,Min approach, and Max approach) specifies consitions used in model calculations",,,,,,,,,,,,
Days in month,,,,,,,,,,,,
Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,design
31,28,31,30,31,30,31,31,30,31,30,31,30
Min T,Min approach,max approach,,,,,,,,,,
4.44444,5,15,,,,,,,,,,
Plant Characteristics,,,DC,,,,,,,,,
Plant_ID,Elevation,Pond_Area,Tdb,Twb,nwT,,,,,,,
2001,845,0,83.68383312,74.57615873,30.49,,,,,,,
2022,1132,0,84.32326732,74.28378105,30.49,,,,,,,
2048,283,0,90,79,30.49,,,,,,,
2059,170,0,90.71980495,79.37136138,30.49,,,,,,,
2062,129,0,90.30257374,79,30.49,,,,,,,
2063,129,0,90.29840549,79,30.49,,,,,,,
2067,98,0,90.24387244,79.48774488,30.49,,,,,,,
2070,230,0,89.02059379,78.67353126,30.49,,,,,,,
2123,777,0,87.37530832,77.23848741,30.49,,,,,,,
2132,780,0,89.5668182,78,30.49,,,,,,,
2144,783,0,88.63874792,77.70601436,30.49,,,,,,,
2236,1310,0,89.29490719,76.71600165,30.49,,,,,,,
2240,1180,0,88.26172619,77,30.49,,,,,,,
2241,1844,0,88.01285927,74.99703969,30.49,,,,,,,
2277,1440,0,88.59970127,77,30.49,,,,,,,
2322,1680,0,94.28416612,70.12593555,30.49,,,,,,,
2324,1590,0,94.20896247,69.9918723,30.49,,,,,,,
2326,1702,0,94.69761228,70.32526282,30.49,,,,,,,
2393,140,0,84.78078719,75.78078719,30.49,,,,,,,
2398,2,0,85.79986952,76.6720195,30.49,,,,,,,
2406,10,0,85.80452404,76.20188507,30.49,,,,,,,
2434,80,0,85.20367594,76.60183797,30.49,,,,,,,
2444,3740,0,85,68.91957824,30.49,,,,,,,
2446,3750,0,86.695131,71.390262,30.49,,,,,,,
2450,5100,0,82.5410213,64.67589291,30.49,,,,,,,
2451,5300,0,81.49931434,63.72627621,30.49,,,,,,,
2454,3800,0,86.69225674,71.38451349,30.49,,,,,,,
2465,5321,0,81.91310554,63.95277146,30.49,,,,,,,
2539,14,0,82.12629885,74,30.49,,,,,,,
2935,1021,0,82.68606453,74.46684605,30.49,,,,,,,
2936,639,0,83.15031881,74.40321035,30.49,,,,,,,
2943,1104,0,83.00968207,74.89607708,30.49,,,,,,,
2953,1236,0,89.46983663,76.2670489,30.49,,,,,,,
2963,641,0,90.21156738,77.6829315,30.49,,,,,,,
2964,1244,0,89.68690066,76.2514277,30.49,,,,,,,
2965,625,0,90.85289595,77.926012,30.49,,,,,,,
3006,1181,0,89.67018433,76.26055721,30.49,,,,,,,
3008,1893,0,90.61633948,75.1244648,30.49,,,,,,,
3096,732,0,82.46498983,73.57380776,30.49,,,,,,,
3115,308.37,0,84.62880829,75.62880829,30.49,,,,,,,
3118,1089,0,81.35270532,72.35270532,30.49,,,,,,,
3122,1200,0,81.48748708,72.48748708,30.49,,,,,,,
3130,1097,0,80.80652528,72.07799566,30.49,,,,,,,
3136,1002,0,80.36894872,71.99192472,30.49,,,,,,,
3149,538,0,82.29394016,74.12195814,30.49,,,,,,,
3179,765,0,83.02658461,74.63073563,30.49,,,,,,,
3280,76,0,88.15798312,79.11009889,30.49,,,,,,,
3325,3333,0,84.57178227,68.57178227,30.49,,,,,,,
3456,4067,0,85,68.87747548,30.49,,,,,,,
3464,37,0,88.2453629,79.52385765,30.49,,,,,,,
3469,121,0,88.10744527,79.33597548,30.49,,,,,,,
3482,3178,0,86.26028042,71.84006138,30.49,,,,,,,
3483,3710,0,85.86031097,69.53922799,30.49,,,,,,,
3484,3596,0,85.96292193,69.91775348,30.49,,,,,,,
3485,3675,0,85.70461557,71.03146234,30.49,,,,,,,
3494,2652,0,87.19503141,72.39006282,30.49,,,,,,,
