combogencoo,cooling_type1,cooling_type2,cooling_type3,water_source1,water_source2
combogencoo^46^1,ON,OT,,SW,FR
combogencoo^204^1,RC,,,SW,FR
combogencoo^210^1,RC,,,SW,FR
combogencoo^371^1,RI,,,SW,FR
combogencoo^566^1,ON,,,SW,SA
combogencoo^566^1,ON,,,SW,SA
combogencoo^621^3,RC,,,PD,BE
,RC,,,PD,BE
,RI,,,PD,BE
combogencoo^649^1,RN,,,SW,FR
combogencoo^649^1,RN,,,SW,FR
combogencoo^649^1,RN,,,SW,FR
combogencoo^649^1,RN,,,SW,FR
combogencoo^869^1,OC,RC,HT,SW,FR
combogencoo^869^1,OC,RC,HT,SW,FR
combogencoo^880^1,ON,,,SW,FR
combogencoo^880^1,ON,,,SW,FR
combogencoo^1060^1,RI,,,SW,FR
combogencoo^1060^1,OT,,,GW,FR
combogencoo^1590^1,ON,,,SW,SA
combogencoo^1715^1,RI,,,SW,FR
combogencoo^1729^1,RN,,,SW,FR
combogencoo^1922^1,ON,OT,,SW,FR
combogencoo^1925^1,ON,RI,,SW,FR
combogencoo^2289^1,ON,,,SW,FR
combogencoo^2388^1,ON,,,SW,SA
combogencoo^2410^1,ON,,,SW,FR
combogencoo^2410^2,ON,,,SW,FR
combogencoo^2497^1,ON,,,SW,BR
combogencoo^2589^1,ON,,,SW,FR
combogencoo^2589^2,RN,,,SW,FR
combogencoo^3166^1,ON,HT,,SW,FR
combogencoo^3166^1,ON,HT,,SW,FR
combogencoo^3251^1,RC,,,SW,FR
combogencoo^3251^1,RC,,,SW,FR
combogencoo^3265^1,ON,,,SW,FR
combogencoo^3265^2,ON,,,SW,FR
combogencoo^3265^3,ON,,,SW,FR
combogencoo^3806^1,ON,,,SW,BR
combogencoo^3806^2,ON,,,SW,BR
combogencoo^4046^1,ON,,,SW,FR
combogencoo^4046^2,ON,,,SW,FR
combogencoo^4270^1,ON,,,SW,FR
combogencoo^6000^1,ON,,,SW,FR
combogencoo^6000^2,ON,,,SW,FR
combogencoo^6001^1,RI,,,SW,FR
combogencoo^6001^1,RI,,,SW,FR
combogencoo^6008^1,RI,,,PD,BE
combogencoo^6008^2,RI,,,PD,BE
combogencoo^6008^3,RI,,,PD,BE
combogencoo^6011^1,ON,,,SW,BR
combogencoo^6014^1,ON,,,SW,SA
combogencoo^6014^2,ON,,,SW,SA
combogencoo^6015^1,RN,,,SW,FR
combogencoo^6020^1,RN,,,SW,FR
combogencoo^6022^1,RC,,,SW,FR
combogencoo^6022^1,RC,,,SW,FR
combogencoo^6023^1,RN,,,SW,FR
combogencoo^6023^1,RN,,,SW,FR
combogencoo^6026^1,RC,,,SW,FR
combogencoo^6026^1,RC,,,SW,FR
combogencoo^6036^1,RI,,,SW,FR
combogencoo^6036^1,RI,,,SW,FR
combogencoo^6038^1,ON,,,SW,FR
combogencoo^6038^1,ON,,,SW,FR
combogencoo^6040^1,RN,,,SW,FR
combogencoo^6040^1,RN,,,SW,FR
combogencoo^6045^1,ON,,,SW,SA
combogencoo^6051^1,RI,,,SW,FR
combogencoo^6051^1,RI,,,SW,FR
combogencoo^6072^1,RN,RI,,GW,FR
combogencoo^6099^1,ON,,,SW,SA
combogencoo^6099^1,ON,,,SW,SA
combogencoo^6103^1,RN,,,SW,FR
combogencoo^6103^2,RN,,,SW,FR
combogencoo^6105^1,RN,,,SW,FR
combogencoo^6105^1,RN,,,SW,FR
combogencoo^6110^1,ON,,,SW,FR
combogencoo^6115^1,ON,,,SW,SA
combogencoo^6118^1,RN,,,SW,BR
combogencoo^6122^1,ON,,,SW,FR
combogencoo^6127^1,RC,,,SW,FR
combogencoo^6145^1,RC,,,SW,FR
combogencoo^6149^1,RN,,,SW,FR
combogencoo^6152^1,ON,OT,,SW,FR
combogencoo^6153^1,RN,,,SW,FR
combogencoo^6168^1,ON,,,SW,FR
combogencoo^6168^2,ON,,,SW,FR
combogencoo^6251^1,RC,,,SW,FR
combogencoo^6462^1,RI,,,SW,FR
combogencoo^7722^1,RN,OT,,SW,FR
combogencoo^8011^1,RN,,,SW,FR
combogencoo^8036^1,ON,,,SW,FR
combogencoo^8055^1,ON,,,SW,FR
combogencoo^8055^2,RN,,,SW,FR
combogencoo^8907^1,ON,,,SW,BR
