Plant.Code,elevation,pond_area
3,15,1000000
3,15,1000000
7,535,1000000
8,275,1000000
10,100,1000000
26,400,1000000
26,400,1000000
46,575,67070
46,575,67070
46,575,67070
46,575,67070
47,445,1000000
50,620,1000000
51,245,1000000
56,40,1000000
59,1870,1000000
60,1890,1000000
79,446,1000000
87,6890,1000000
96,85,1000000
96,85,1000000
108,2920,1000000
113,5030,360
116,1180,1000000
117,1060,1000000
120,121,1000000
126,2610,1000000
127,1230,1000000
130,80,1000000
136,80,1000000
141,1140,1000000
147,1190,1000000
160,4200,1000000
165,620,1000000
170,330,1940
201,374,1000000
201,374,1000000
201,374,1000000
201,374,1000000
202,210,1000000
203,120,1000000
204,730,4895
207,10,1000000
210,1100,5090
260,0,1000000
271,10,1000000
271,10,1000000
298,460,1000000
302,0,1000000
315,0,1000000
330,0,1000000
331,1110,1000000
335,0,1000000
345,10,1000000
350,0,1000000
356,0,1000000
358,1110,1000000
371,450,1000000
377,470,1000000
384,510,1000000
384,510,1000000
384,510,1000000
384,510,1000000
389,-50,1000000
399,17,1000000
400,0,1000000
404,0,1000000
408,920,1000000
420,750,1000000
469,5140,1000000
470,4830,1000000
477,5240,531
492,5960,1000000
493,6175,1000000
525,6520,1000000
527,5580,1000000
533,197,1000000
546,0,1000000
550,1442,1000000
562,20,1000000
562,20,1000000
564,80,1000000
566,0,1000000
568,0,1000000
589,115,1000000
593,10,1000000
594,10,1000000
599,40,1000000
602,20,1000000
609,0,1000000
612,0,1000000
613,0,1000000
619,6,1000000
620,15,1100
621,4,3850
621,4,3850
628,2,1000000
628,2,1000000
634,0,1000000
638,60,1000000
641,25,1000000
641,25,1000000
641,25,1000000
641,25,1000000
641,25,1000000
642,89,1000000
643,8,1000000
643,8,1000000
645,0,1000000
649,210,1000000
663,190,1000000
664,148,1000000
667,0,1000000
673,24,1000000
675,133,2786.042241
676,140,1000000
688,130,1000000
689,4,1000000
693,0,1000000
693,0,1000000
703,720,1000000
708,590,1000000
709,360,15330
710,810,1000000
715,0,1000000
727,180,1000000
728,750,1000000
733,0,1000000
753,241,4901.056015
765,0,1000000
766,0,1000000
772,56,1000000
856,450,1000000
861,620,1000000
862,363,1000000
869,520,638
869,520,638
869,520,638
869,520,638
874,530,1000000
876,600,2165
879,460,1426
880,600,1000000
883,580,1000000
884,580,1000000
887,350,1000000
889,430,2000
891,460,1000000
892,460,1000000
898,440,1000000
963,580,4260
963,580,4260
972,575,1000000
976,510,1000000
983,460,1000000
988,490,1000000
990,680,1000000
990,680,1000000
990,680,1000000
990,680,1000000
990,680,1000000
991,620,1000000
991,620,1000000
991,620,1000000
991,620,1000000
992,706,1000000
994,440,1000000
994,440,1000000
995,620,1000000
997,600,1000000
1001,510,1000000
1007,790,1000000
1008,460,1000000
1010,490,1000000
1012,390,1000000
1016,93,1000000
1032,606,1000000
1040,994,1000000
1043,437,1000000
1043,437,1000000
1043,437,1000000
