"bogencoo","LAKE..OF..OC..RC.","RIVER..OF.","POND..OC..RC.","TOWER..RF..RI..RN.","DC","OS"
"combogencoo^371^1",NA,NA,NA,1,NA,NA
"combogencoo^377^1",NA,NA,NA,1,NA,NA
"combogencoo^377^2",NA,NA,NA,1,NA,NA
"combogencoo^377^3",NA,NA,NA,1,NA,NA
"combogencoo^377^4",NA,NA,NA,1,NA,NA
"combogencoo^384^1",NA,0.7,NA,0.3,NA,NA
"combogencoo^384^2",NA,0.7,NA,0.3,NA,NA
"combogencoo^389^1",NA,NA,NA,1,NA,NA
"combogencoo^389^2",NA,NA,NA,1,NA,NA
"combogencoo^389^3",NA,NA,NA,1,NA,NA
"combogencoo^399^1",NA,NA,NA,NA,NA,1
"combogencoo^400^1",NA,NA,NA,NA,NA,1
"combogencoo^400^2",NA,NA,NA,NA,NA,1
"combogencoo^400^3",NA,NA,NA,NA,NA,1
"combogencoo^404^1",NA,NA,NA,NA,NA,1
"combogencoo^404^2",NA,NA,NA,NA,NA,1
"combogencoo^408^1",NA,NA,NA,1,NA,NA
"combogencoo^422^1",NA,NA,NA,1,NA,NA
"combogencoo^469^1",NA,NA,NA,1,NA,NA
"combogencoo^469^2",NA,NA,NA,1,NA,NA
"combogencoo^469^3",NA,NA,NA,1,NA,NA
"combogencoo^470^1",NA,NA,NA,1,NA,NA
"combogencoo^470^2",NA,NA,NA,1,NA,NA
"combogencoo^470^3",NA,NA,NA,0.63,0.37,NA
"combogencoo^492^1",NA,NA,NA,1,NA,NA
"combogencoo^492^2",NA,NA,NA,1,NA,NA
"combogencoo^492^3",NA,NA,NA,1,NA,NA
"combogencoo^493^1",NA,NA,NA,1,NA,NA
"combogencoo^493^2",NA,NA,NA,1,NA,NA
"combogencoo^493^3",NA,NA,NA,1,NA,NA
"combogencoo^525^1",NA,NA,NA,1,NA,NA
"combogencoo^525^2",NA,NA,NA,1,NA,NA
"combogencoo^527^1",NA,NA,NA,1,NA,NA
"combogencoo^533^1",NA,NA,NA,1,NA,NA
"combogencoo^533^2",NA,NA,NA,1,NA,NA
"combogencoo^546^1",NA,NA,NA,NA,NA,1
"combogencoo^546^2",NA,NA,NA,NA,NA,1
"combogencoo^550^1",NA,NA,NA,1,NA,NA
"combogencoo^562^1",NA,1,NA,NA,NA,NA
"combogencoo^562^2",NA,1,NA,NA,NA,NA
"combogencoo^562^3",NA,NA,NA,1,NA,NA
"combogencoo^564^1",NA,NA,NA,1,NA,NA
"combogencoo^564^2",NA,NA,NA,1,NA,NA
"combogencoo^564^3",NA,NA,NA,1,NA,NA
"combogencoo^566^1",NA,NA,NA,NA,NA,1
"combogencoo^568^1",NA,NA,NA,NA,NA,1
"combogencoo^589^1",NA,NA,NA,1,NA,NA
"combogencoo^593^1",NA,NA,NA,NA,NA,1
"combogencoo^593^2",NA,NA,NA,NA,NA,1
"combogencoo^593^3",NA,NA,NA,NA,NA,1
"combogencoo^594^1",NA,NA,NA,1,NA,NA
"combogencoo^599^1",NA,NA,NA,1,NA,NA
"combogencoo^599^2",NA,NA,NA,1,NA,NA
"combogencoo^602^1",NA,NA,NA,1,NA,NA
"combogencoo^602^2",NA,NA,NA,1,NA,NA
"combogencoo^609^1",NA,NA,NA,NA,NA,1
"combogencoo^612^1",NA,NA,NA,0.2,NA,0.8
"combogencoo^613^1",NA,NA,NA,NA,NA,1
"combogencoo^613^2",NA,NA,NA,NA,NA,1
"combogencoo^617^1",NA,NA,NA,NA,NA,1
"combogencoo^619^1",NA,NA,NA,NA,NA,1
"combogencoo^620^1",NA,NA,1,NA,NA,NA
"combogencoo^621^1",NA,NA,NA,NA,NA,1
"combogencoo^621^2",NA,NA,NA,1,NA,NA
"combogencoo^621^3",NA,NA,NA,NA,NA,1
"combogencoo^628^1",NA,NA,NA,NA,NA,1
"combogencoo^628^2",NA,NA,NA,NA,NA,1
"combogencoo^628^3",NA,NA,NA,1,NA,NA
"combogencoo^628^4",NA,NA,NA,1,NA,NA
"combogencoo^628^5",NA,NA,NA,1,NA,NA
"combogencoo^628^6",NA,NA,NA,1,NA,NA
"combogencoo^634^1",NA,NA,NA,NA,NA,1
"combogencoo^641^1",NA,0.5,NA,0.5,NA,NA
"combogencoo^641^2",NA,NA,NA,1,NA,NA
"combogencoo^641^3",NA,NA,NA,1,NA,NA
"combogencoo^643^1",NA,NA,NA,NA,NA,1
"combogencoo^643^2",NA,NA,NA,1,NA,NA
"combogencoo^645^1",NA,NA,NA,NA,NA,1
"combogencoo^645^2",NA,NA,NA,NA,NA,1
"combogencoo^645^3",NA,NA,NA,NA,NA,1
"combogencoo^645^4",NA,NA,NA,NA,NA,1
"combogencoo^649^1",NA,NA,NA,1,NA,NA
"combogencoo^663^1",NA,NA,NA,1,NA,NA
"combogencoo^663^2",NA,NA,NA,1,NA,NA
"combogencoo^664^1",NA,NA,NA,1,NA,NA
"combogencoo^667^1",NA,NA,NA,NA,NA,1
"combogencoo^667^2",NA,NA,NA,NA,NA,1
"combogencoo^667^3",NA,NA,NA,NA,NA,1
"combogencoo^673^1",NA,NA,NA,1,NA,NA
"combogencoo^673^2",NA,NA,NA,1,NA,NA
"combogencoo^675^1",1,NA,NA,NA,NA,NA
"combogencoo^676^1",1,NA,NA,NA,NA,NA
"combogencoo^676^2",NA,NA,NA,1,NA,NA
"combogencoo^676^3",NA,NA,NA,1,NA,NA
"combogencoo^676^4",NA,NA,NA,1,NA,NA
"combogencoo^688^1",NA,NA,NA,1,NA,NA
"combogencoo^688^2",NA,NA,NA,1,NA,NA
"combogencoo^689^1",NA,NA,NA,1,NA,NA
"combogencoo^703^1",NA,NA,NA,1,NA,NA
"combogencoo^703^2",NA,NA,NA,1,NA,NA
"combogencoo^703^3",NA,NA,NA,1,NA,NA
"combogencoo^703^4",NA,NA,NA,1,NA,NA
"combogencoo^708^1",NA,1,NA,NA,NA,NA
"combogencoo^708^2",NA,1,NA,NA,NA,NA
"combogencoo^708^3",NA,1,NA,NA,NA,NA
"combogencoo^708^4",NA,1,NA,NA,NA,NA
"combogencoo^710^1",NA,NA,NA,1,NA,NA
"combogencoo^710^2",NA,NA,NA,1,NA,NA
"combogencoo^710^3",NA,NA,NA,1,NA,NA
"combogencoo^728^4",NA,NA,NA,1,NA,NA
"combogencoo^728^5",NA,NA,NA,1,NA,NA
"combogencoo^728^6",NA,NA,NA,1,NA,NA
"combogencoo^728^7",NA,NA,NA,1,NA,NA
"combogencoo^728^1",NA,NA,NA,1,NA,NA
"combogencoo^728^2",NA,NA,NA,1,NA,NA
"combogencoo^728^3",NA,NA,NA,1,NA,NA
"combogencoo^753^1",1,NA,NA,NA,NA,NA
"combogencoo^765^1",NA,NA,NA,NA,NA,1
"combogencoo^766^1",NA,NA,NA,NA,NA,1
"combogencoo^766^2",NA,NA,NA,NA,NA,1
"combogencoo^766^3",NA,NA,NA,NA,NA,1
"combogencoo^772^1",NA,NA,NA,1,NA,NA
"combogencoo^772^2",NA,NA,NA,1,NA,NA
"combogencoo^856^1",NA,1,NA,NA,NA,NA
"combogencoo^856^2",NA,1,NA,NA,NA,NA
"combogencoo^856^3",NA,1,NA,NA,NA,NA
"combogencoo^861^1",0.7,NA,NA,0.3,NA,NA
"combogencoo^861^2",0.7,NA,NA,0.3,NA,NA
"combogencoo^862^1",NA,1,NA,NA,NA,NA
"combogencoo^862^2",NA,1,NA,NA,NA,NA
"combogencoo^869^1",NA,0.5,0.35,0.15,NA,NA
"combogencoo^874^1",NA,1,NA,NA,NA,NA
"combogencoo^876^1",1,NA,NA,NA,NA,NA
"combogencoo^876^2",1,NA,NA,NA,NA,NA
"combogencoo^879^1",NA,NA,1,NA,NA,NA
"combogencoo^879^2",NA,NA,1,NA,NA,NA
"combogencoo^880^1",NA,1,NA,NA,NA,NA
"combogencoo^883^1",1,NA,NA,NA,NA,NA
"combogencoo^883^2",1,NA,NA,NA,NA,NA
"combogencoo^884^1",NA,1,NA,NA,NA,NA
"combogencoo^884^2",NA,1,NA,NA,NA,NA
"combogencoo^887^1",NA,1,NA,NA,NA,NA
"combogencoo^887^2",NA,1,NA,NA,NA,NA
"combogencoo^889^1",NA,NA,1,NA,NA,NA
"combogencoo^891^1",NA,NA,NA,1,NA,NA
"combogencoo^892^1",NA,1,NA,NA,NA,NA
"combogencoo^963^1",1,NA,NA,NA,NA,NA
