"combogen","combogencoo"
"combogen^3^2","combogencoo^3^1"
"combogen^3^3","combogencoo^3^1"
"combogen^3^4","combogencoo^3^2"
"combogen^3^5","combogencoo^3^2"
"combogen^3^6","combogencoo^3^3"
"combogen^3^7","combogencoo^3^4"
"combogen^7^1","combogencoo^7^1"
"combogen^7^2","combogencoo^7^1"
"combogen^8^1","combogencoo^8^1"
"combogen^8^2","combogencoo^8^1"
"combogen^8^3","combogencoo^8^2"
"combogen^8^4","combogencoo^8^2"
"combogen^8^5","combogencoo^8^3"
"combogen^10^1","combogencoo^10^1"
"combogen^10^2","combogencoo^10^1"
"combogen^26^1","combogencoo^26^1"
"combogen^26^2","combogencoo^26^1"
"combogen^26^3","combogencoo^26^2"
"combogen^26^4","combogencoo^26^2"
"combogen^26^5","combogencoo^26^3"
"combogen^47^1","combogencoo^47^1"
"combogen^47^2","combogencoo^47^1"
"combogen^47^3","combogencoo^47^1"
"combogen^47^4","combogencoo^47^1"
"combogen^50^7","combogencoo^50^1"
"combogen^51^1","combogencoo^51^1"
"combogen^56^2","combogencoo^56^2"
"combogen^56^3","combogencoo^56^2"
"combogen^59^1","combogencoo^59^1"
"combogen^60^1","combogencoo^60^1"
"combogen^60^2","combogencoo^60^2"
"combogen^79^1","combogencoo^79^1"
"combogen^87^1","combogencoo^87^1"
"combogen^96^1","combogencoo^96^1"
"combogen^108^1","combogencoo^108^1"
"combogen^113^1","combogencoo^113^1"
"combogen^113^2","combogencoo^113^1"
"combogen^113^3","combogencoo^113^2"
"combogen^113^4","combogencoo^113^3"
"combogen^116^1","combogencoo^116^1"
"combogen^116^2","combogencoo^116^2"
"combogen^117^1","combogencoo^117^1"
"combogen^117^2","combogencoo^117^1"
"combogen^117^3","combogencoo^117^1"
"combogen^117^4","combogencoo^117^2"
"combogen^117^5","combogencoo^117^3"
"combogen^120^1","combogencoo^120^1"
"combogen^126^1","combogencoo^126^1"
"combogen^126^2","combogencoo^126^2"
"combogen^126^3","combogencoo^126^3"
"combogen^126^4","combogencoo^126^4"
"combogen^127^1","combogencoo^127^1"
"combogen^130^1","combogencoo^130^1"
"combogen^130^2","combogencoo^130^2"
"combogen^130^3","combogencoo^130^3"
"combogen^130^4","combogencoo^130^4"
"combogen^136^1","combogencoo^136^1"
"combogen^136^2","combogencoo^136^2"
"combogen^141^1","combogencoo^141^1"
"combogen^141^2","combogencoo^141^2"
"combogen^141^3","combogencoo^141^3"
"combogen^147^3","combogencoo^147^1"
"combogen^160^1","combogencoo^160^1"
"combogen^160^2","combogencoo^160^2"
"combogen^160^3","combogencoo^160^3"
"combogen^165^1","combogencoo^165^1"
"combogen^165^2","combogencoo^165^2"
"combogen^170^4","combogencoo^170^1"
"combogen^201^1","combogencoo^201^1"
"combogen^202^1","combogencoo^202^1"
"combogen^203^1","combogencoo^203^1"
"combogen^207^1","combogencoo^207^1"
"combogen^207^2","combogencoo^207^2"
"combogen^260^1","combogencoo^260^1"
"combogen^260^2","combogencoo^260^2"
"combogen^260^3","combogencoo^260^3"
"combogen^260^4","combogencoo^260^4"
"combogen^271^1","combogencoo^271^1"
"combogen^271^2","combogencoo^271^2"
"combogen^271^3","combogencoo^271^3"
"combogen^298^1","combogencoo^298^1"
"combogen^298^2","combogencoo^298^2"
"combogen^302^1","combogencoo^302^1"
"combogen^302^2","combogencoo^302^2"
"combogen^302^3","combogencoo^302^3"
"combogen^302^4","combogencoo^302^4"
"combogen^302^5","combogencoo^302^5"
"combogen^315^1","combogencoo^315^1"
"combogen^315^2","combogencoo^315^2"
"combogen^315^3","combogencoo^315^3"
"combogen^315^4","combogencoo^315^4"
"combogen^315^5","combogencoo^315^5"
"combogen^315^6","combogencoo^315^6"
"combogen^330^2","combogencoo^330^1"
"combogen^331^1","combogencoo^331^1"
"combogen^331^2","combogencoo^331^2"
"combogen^335^1","combogencoo^335^1"
"combogen^335^2","combogencoo^335^1"
"combogen^345^1","combogencoo^345^1"
"combogen^345^2","combogencoo^345^1"
