Plant.Code,elevation,pond_area
1233,2458.7,1000000
1235,1920.36,1000000
1239,818.52,1000000
1240,1380.8,1000000
1241,850.53,1000000
1242,1304.92,1000000
1243,856.48,1000000
1248,1605.87,1000000
1250,841.64,1000000
1252,877.8,1000000
1270,1202.65,1000000
1271,731.56,1000000
1291,946.32,1000000
1294,722.53,1000000
1295,755.12,1000000
1299,2002.77,1000000
1305,1486.43,1000000
1317,1873.23,1000000
1330,1217.19,1000000
1336,2847.69,1000000
1353,565.74,1000000
1355,878,1000000
1356,488.85,1000000
1357,402.15,1000000
1360,977,1000000
1361,519.83,1000000
1363,459.66,1000000
1364,454.58,1000000
1372,346.14,1000000
1374,406.68,1000000
1378,419.6,1000000
1379,344.93,1000000
1381,406.66,1000000
1382,425.74,1000000
1383,426.26,1000000
1384,811.19,1000000
1385,614,1000000
1393,19.58,1000000
1394,21.14,1000000
1396,51.22,1000000
1400,13.76,1000000
1402,13.87,1000000
1403,11.7,1000000
1404,86.88,1000000
1407,-4.47,1000000
1409,-0.33,1000000
1416,179.11,35.63461316
1417,196.87,1000000
1439,9.22,1000000
1443,40.15,1000000
1447,185.22,1000000
1449,6.15,1000000
1450,127.68,1000000
1455,20.45,1000000
1458,280.48,1000000
1464,36.98,1000000
1496,28.64,1000000
1507,19.37,1000000
1552,4.16,1000000
1553,8.49,1000000
1554,11.21,1000000
1559,10.45,1000000
1564,8.11,1000000
1570,355.47,1000000
1571,9.41,1000000
1572,267.75,1000000
1573,16.54,1000000
1588,10.48,1000000
1589,12.54,1000000
1590,22.21,1000000
1595,9.28,1000000
1599,10.67,1000000
1606,118.8,1000000
1613,26.73,1000000
1619,14.35,1000000
1626,14.95,1000000
1642,62.9,1000000
1660,14.31,1000000
1682,14.5,1000000
1695,586.15,1000000
1702,576.8,1000000
1710,598.82,1000000
1715,589.88,1000000
1720,584.2,1000000
1723,580.45,1000000
1726,579.45,1000000
1729,582.95,1000000
1731,580.83,1000000
1732,596.57,1000000
1733,580.87,1000000
1740,574.57,1000000
1743,582.42,1000000
1745,581.92,1000000
1769,605.58,1000000
1771,588.2,1000000
1772,607.19,1000000
1822,580.82,1000000
1825,581.58,1000000
1830,582.86,1000000
1831,831.11,1000000
1832,882.14,1000000
1843,611.48,1000000
1866,574.99,1000000
