param,mx,mn,med,mean,num_nans
rh_avg,100.0,7.15,66.2,64.00757231636112,False
air_tmp_C_avg,36.700012,-29.100006,15.550018,14.542078293484055,False
open_wtr_et_mm,13.65,0.0,3.57,3.754763929647871,False
wb_tmp_C,28.151817,-29.027363,11.236391000000001,10.546061056588679,False
rh_max,100.0,13.7,90.700005,86.8611453842383,False
rh_min,100.0,0.6,41.5,41.15399898460768,False
sp_h_kg_kg,0.02369,0.00024999998,0.006670000000000001,0.007658801280334894,False
air_tmn_K,305.0,234.9,281.8,281.4293044167518,False
air_tmx_K,319.5,251.2,295.5,293.9548401000744,False
precip_mm,278.5,0.0,0.0,2.4295226815731623,False
wnd_spd_m_s,17.1,0.2,3.6000001000000004,3.8499802213355805,False
wnd_dir_dg_clk_frm_N,359.0,0.0,200.0,195.26753201714186,False
ref_et_gr_mm,13.0,0.0,3.4,3.5759657533486986,False
ref_et_alf_mm,19.7,0.0,4.6,4.795897897120125,False
sur_rad_Wm2,429.30002,12.5,194.1,195.56277122649993,False
vpdef_kPa,5.77,0.0,0.75,0.8628803641069627,False
