Plant.Code,state,water_source,gsf_v11_id,prms_id,elev_ft,pond_acres,latitude,longitude,huc_12
331,CA,gw_fresh,56205,56231,1121.39,1000000,34.059222,-117.452853,1.80702E+11
334,CA,gw_fresh,56443,56240,943.38,1000000,34.059222,-117.452853,1.80702E+11
335,CA,sw_saline,56237,56271,2.02,1000000,33.660722,-118.045014,1.80702E+11
341,CA,sw_saline,56079,56103,-15.47,1000000,33.78336,-118.29569,1.80701E+11
345,CA,sw_saline,55355,55388,12,1000000,34.147534,-119.207104,1.80701E+11
358,CA,gw_fresh,56445,56237,1110.1,1000000,34.092867,-117.132705,1.80702E+11
371,WA,sw_fresh,52879,52913,446.94,1000000,46.462322,-119.318472,1.702E+11
375,CA,municipal,56073,56094,565.6,1000000,34.191927,-118.429023,1.80701E+11
377,CA,reclaimed_ww,56073,56094,467.3,1000000,34.191927,-118.429023,1.80701E+11
384,IL,sw_fresh,20730,20756,514.27,1000000,41.448099,-88.14645,071200040905
389,CA,sw_fresh,56307,56339,-48.12,1000000,32.814579,-115.525175,1.81002E+11
399,CA,sw_saline,56079,56103,12.48,1000000,33.78336,-118.29569,1.80701E+11
400,CA,sw_saline,56109,56134,14.17,1000000,33.851988,-118.130505,1.80701E+11
408,CA,municipal,56070,56099,925.09,1000000,34.191927,-118.429023,1.80701E+11
420,CA,municipal,56072,56088,755.13,1000000,34.085144,-118.100538,1.80701E+11
422,CA,municipal,56072,56088,760.26,1000000,34.085144,-118.100538,1.80701E+11
460,CO,sw_fresh,34429,34446,4664.89,4.877886949,38.230133,-104.657046,1.102E+11
462,CO,sw_fresh,34415,34434,5353.71,1000000,38.451205,-105.248053,1.102E+11
465,CO,sw_fresh,24222,24185,5263.82,1000000,39.68869,-105.037202,1.019E+11
468,CO,sw_fresh,43358,43376,4778.28,1000000,39.164359,-108.354184,1.401E+11
469,CO,sw_fresh,24282,24282,5130.88,1000000,39.723973,-104.937324,1.019E+11
470,CO,sw_fresh,34442,34454,4835.07,1000000,38.150798,-104.564213,1.102E+11
477,CO,sw_fresh,24501,24513,5229.21,530.9580939,39.955367,-105.245451,1.019E+11
478,CO,sw_fresh,24188,24192,5194.74,1000000,39.68869,-105.037202,1.019E+11
492,CO,reclaimed_ww,34664,34686,5958.05,1000000,38.821151,-104.828184,1.102E+11
493,CO,municipal,34658,34683,6169.53,1000000,38.917473,-104.819237,1.102E+11
511,CO,municipal,34374,34394,6029.72,1000000,37.184459,-104.532179,1.102E+11
525,CO,sw_fresh,43032,43043,6514.53,1000000,40.513222,-107.202002,1.405E+11
527,CO,sw_fresh,44610,44616,5570.33,1000000,38.231435,-108.504371,1.403E+11
533,AL,sw_fresh,4826,4845,189.19,1000000,31.392542,-86.490635,031403010405
544,CT,sw_fresh,1225,1231,7.66,1000000,41.250803,-73.097706,011000051302
546,CT,sw_saline,860,864,5.45,1000000,41.444092,-72.112571,011000030203
