param,mx,mn,med,mean,num_nans
rh_avg,100.0,5.0499997,66.0,63.71795275063401,False
air_tmp_C_avg,39.69998,-29.25,15.199982,14.146345771757488,False
open_wtr_et_mm,13.545,0.0,3.6749997000000003,3.7760900945599554,False
wb_tmp_C,29.269451,-29.590805,10.689437250000001,10.054914697296878,False
rh_max,100.0,8.6,88.0,84.73547793709437,False
rh_min,100.0,1.0,42.5,42.700427220657886,False
sp_h_kg_kg,0.024059999999999998,0.00027,0.0063,0.0076071093926692885,False
air_tmn_K,307.0,236.9,281.8,281.43779385171774,False
air_tmx_K,321.8,248.3,295.0,293.15488567960364,False
precip_mm,254.8,0.0,0.0,2.5838678488504945,False
wnd_spd_m_s,17.9,0.3,3.7,3.9890911758070837,False
wnd_dir_dg_clk_frm_N,359.0,0.0,212.0,204.27423518046027,False
ref_et_gr_mm,12.900001,0.0,3.5,3.5962763888946956,False
ref_et_alf_mm,19.6,0.0,4.8,4.822405368827312,False
sur_rad_Wm2,451.0,12.7,197.2,195.51315022503783,False
vpdef_kPa,6.5899997,0.0,0.76,0.8733593946937849,False
