"Plant_ID","percentAllocation","min_Jan","min_Feb","min_Mar","min_Apr","min_May","min_Jun","min_Jul","min_Aug","min_Sep","min_Oct","min_Nov","min_Dec","min_design","med_Jan","med_Feb","med_Mar","med_Apr","med_May","med_Jun","med_Jul","med_Aug","med_Sep","med_Oct","med_Nov","med_Dec","med_design","max_Jan","max_Feb","max_Mar","max_Apr","max_May","max_Jun","max_Jul","max_Aug","max_Sep","max_Oct","max_Nov","max_Dec","max_design","25th_Jan","25th_Feb","25th_Mar","25th_Apr","25th_May","25th_Jun","25th_Jul","25th_Aug","25th_Sep","25th_Oct","25th_Nov","25th_Dec","25th_design","75th_Jan","75th_Feb","75th_Mar","75th_Apr","75th_May","75th_Jun","75th_Jul","75th_Aug","75th_Sep","75th_Oct","75th_Nov","75th_Dec","75th_design"
6469,100,0.551698952918713,0.55169937227821,0.551560925889635,0.693442230745231,0.724175819180074,0.780816429720222,0.808688918247076,0.814052298634384,0.736535336977105,0.700469605974233,0.552579688998696,0.551696919276465,0.551015913864614,0.608783037548595,0.608783500299063,0.608630728914364,0.699618943787562,0.727351836547643,0.783868021974188,0.817881761411437,0.82614862708445,0.73946820234679,0.705851106970026,0.610193659251306,0.608780793486143,0.610543809345884,0.686429171619385,0.686429693390527,0.686726450460458,0.728471245692409,0.757900548506876,0.834843183906867,0.888762056930383,0.906547380524168,0.768739649446523,0.733924213699316,0.688742574615278,0.686426641342037,0.691778805184107,0.592124277350852,0.592124727438601,0.591976136495382,0.694064636145683,0.724175819180074,0.781027468871364,0.80959755429221,0.815774584102761,0.736535336977105,0.700469605974234,0.59286860141294,0.592122094695004,0.592917369162363,0.637742359077446,0.637742843840583,0.638090405112298,0.702258591128165,0.734357776845417,0.790182054314075,0.828470752931661,0.839143860567576,0.746316306082451,0.708447169540988,0.639515673432053,0.63774000826674,0.640973469404026
6481,100,0.551687242364999,0.551688512341645,0.582638831048841,0.696280745556267,0.740851480297911,0.823758692631522,0.865922072865207,0.845542510598912,0.822185987465936,0.737864263263659,0.55177358942065,0.552123038885854,0.551015913864614,0.608770115308262,0.608771516688916,0.624960087999159,0.701789565021987,0.743217616250067,0.853336328640877,0.913661232305583,0.88109095487377,0.85584211604658,0.738996449086751,0.60920862400681,0.609000593617639,0.610543809345884,0.661852237877882,0.661853761452872,0.672159952171021,0.724782907616502,0.805255039413583,0.98469690710566,1.08348836643795,1.02044864551791,1.00203823740681,0.794368164903226,0.662754410218956,0.66199358386966,0.666129439857128,0.592111708715153,0.592113071748379,0.610541172283987,0.696280745556267,0.741757503193128,0.835384255869781,0.886650232618987,0.860011804228509,0.835195535590666,0.738744724768479,0.592200242607604,0.591803863128167,0.592917369162363,0.631115327942548,0.631116780761583,0.64389137192201,0.704280230359278,0.750010546500045,0.875792685328773,0.943892064128179,0.905136212412854,0.880284550411345,0.745279075836807,0.631825846351349,0.631302374207368,0.633929158304592
6558,100,0.666211777085548,0.656015899994271,0.740548086236904,0.801253397724985,0.835178539503102,0.854944249468664,0.856441713663755,0.864148155463856,0.850259413908878,0.817737049311017,0.751118680647827,0.700783039235699,0.572793315410542,0.683440335621919,0.677908992655048,0.744012053303888,0.805419982157268,0.838977777092793,0.862429097646437,0.866065563499395,0.877336793237081,0.861911500129292,0.824098743727099,0.753822509522613,0.707223488417157,0.633929158304592,0.736777598649852,0.734120398894833,0.773185753662453,0.834772443532656,0.877547134971291,0.906300329005336,0.912705255250021,0.931419899972606,0.917788352271234,0.878437393965539,0.781537983415772,0.749977716022835,0.713191242218943,0.672494250489331,0.665534642700826,0.742655475774301,0.802343840413918,0.83597098210681,0.855955398069462,0.858488710343833,0.867169898480144,0.852619884982414,0.818729802336314,0.752470703128021,0.700959655991862,0.610543809345884,0.702818626662427,0.698720114902955,0.751438677753111,0.807979371454951,0.84728143221516,0.872953452545592,0.876535948499658,0.890082189538763,0.874707079873195,0.835659399539966,0.761143544278395,0.721157898134577,0.666129439857128
6639,100,0.573057201960148,0.572925911811271,0.693988189818357,0.785411604675114,0.803356691503505,0.837873888005354,0.84091567560341,0.84800175004496,0.826583458105144,0.784061925358438,0.697324240302018,0.573252871094279,0.572793315410542,0.631551743907408,0.63125462039807,0.702743894530626,0.79045309227691,0.807000001906138,0.840383730036568,0.842961374385413,0.853996090189604,0.832563077939313,0.788146409836348,0.70351349049152,0.632101313588571,0.633929158304592,0.70776931769548,0.706873749089229,0.74591200147829,0.817866175353857,0.827062888905625,0.869756393504919,0.872164298690082,0.897214789007416,0.88497702184919,0.829586386659789,0.746575252580125,0.708148628177586,0.713191242218943,0.609391083184317,0.608954526789131,0.695661248200154,0.78562605070052,0.803901326183802,0.83906911977487,0.841613983583156,0.848069209608669,0.827149919782263,0.784453920075497,0.697922868804622,0.609474230451237,0.610543809345884,0.662576362942007,0.661943508475282,0.717507797302051,0.792052097688069,0.809813522620892,0.846234697098319,0.84850288905915,0.86350067469229,0.844448350463949,0.793359611873186,0.717834961304365,0.662557766150738,0.666129439857128
6641,100,0.573098741125126,0.573052531082797,0.715382953666657,0.78914146191016,0.808914937233976,0.849789632203822,0.850050422043424,0.858097546110744,0.826631642978609,0.794554428954821,0.715190558525941,0.573819875442501,0.572793315410542,0.631597523162938,0.631212755745349,0.721630892928129,0.79428249319236,0.812477209955692,0.855477008353543,0.854507866731523,0.869246974551529,0.829962930188688,0.797597917451888,0.721626200810851,0.632183300734535,0.633929158304592,0.707820621729969,0.707167266064219,0.756872806393507,0.822718175707951,0.832869345625515,0.89560750044279,0.890962813920472,0.922882346167552,0.870782946112281,0.847788744596094,0.757060885812799,0.708804206087932,0.713191242218943,0.609435256081287,0.608964139562978,0.716191663201525,0.789551268242888,0.809155761035662,0.85025477304731,0.850708029727513,0.860415373969383,0.827770848287879,0.796311785016409,0.716274219729274,0.609703074403676,0.610543809345884,0.662624391077342,0.662330348796608,0.73126843531731,0.794778962401237,0.813441011873286,0.864626857581604,0.862861685357082,0.882372977802474,0.838068590407572,0.807168894560551,0.731472908114118,0.663450866080355,0.666129439857128
6664,100,0.5735645686666,0.5735645686666,0.656106245634806,0.762215330257134,0.779696520516525,0.814975592611351,0.824442916514864,0.814626472906676,0.771039399784531,0.734745067920668,0.589372887539446,0.5735645686666,0.572793315410542,0.632723615824159,0.632723615824159,0.677139055503152,0.764679734293768,0.781635370364987,0.819012130634127,0.827809451596766,0.816257302414251,0.773767389983354,0.738645413478808,0.641458061096597,0.632723615824159,0.633929158304592,0.709961659373572,0.709961659373572,0.732246773619923,0.784479793909594,0.800441328022221,0.836784179972595,0.845654298120615,0.829031781184191,0.797079855272117,0.769207406276416,0.714264147033159,0.709961659373572,0.713191242218943,0.610026589401691,0.610026589401691,0.665351666497125,0.763815523045753,0.781613730577347,0.815635991493549,0.824863168969203,0.815824188977969,0.772605149288189,0.736959785645202,0.620965473236548,0.610026589401691,0.610543809345884,0.664120955874762,0.664120955874762,0.697530427666024,0.769268682301092,0.787090196321097,0.820307443297353,0.829094279778798,0.820217048375576,0.780445838052881,0.746941345254374,0.670645074298367,0.664120955874762,0.666129439857128
6768,100,0.573915880819236,0.573915880819236,0.699507104807808,0.783172138572366,0.812202303121727,0.854439479550652,0.852904234848171,0.852568280925772,0.830377349259747,0.789923009468366,0.705384844381628,0.573915880819236,0.572793315410542,0.63323932091361,0.63323932091361,0.707621264838117,0.787409252668644,0.816107681586417,0.863620740370403,0.85979429231406,0.862493016484972,0.836454490523277,0.79318603721028,0.712032087666802,0.63323932091361,0.633929158304592,0.710634851546489,0.710634851546489,0.750749548308505,0.812633297080753,0.8418523779653,0.909383220479747,0.902002125107343,0.914416488369371,0.887706061901808,0.840844309092929,0.751620631140693,0.710634851546489,0.713191242218943,0.610326031364734,0.610326031364734,0.70117091120345,0.783987270165201,0.813244637046708,0.856313844799712,0.854164521399011,0.854454755990481,0.830615310624006,0.791250510774049,0.705468239973433,0.610326031364734,0.610543809345884,0.664766216616362,0.664766216616362,0.722206857012185,0.791022329321591,0.817896173390148,0.873834479936816,0.869488478610291,0.875264972372103,0.847587478015362,0.801859649828603,0.72382874654929,0.664766216616362,0.666129439857128
6772,100,0.573316548653939,0.573392183747013,0.71405315144575,0.778256052986374,0.814663347407872,0.846959249191328,0.852452887032701,0.869621613800855,0.829074447320401,0.792471891948294,0.726158081552479,0.621259098896329,0.572793315410542,0.631503568977307,0.631071623766744,0.719931215799911,0.780218031594963,0.819132611786507,0.850661200037952,0.858190315675529,0.889505073318425,0.831996175408586,0.795992429863411,0.731494767489929,0.657604409559488,0.633929158304592,0.707034229799125,0.70712750566898,0.757130169053259,0.797571287325328,0.840189673064165,0.885425251143022,0.898589514517678,0.95880069567147,0.865950188875657,0.837021243803625,0.764030407902216,0.720808557332885,0.713191242218943,0.609244702381078,0.608777994810699,0.714384929059603,0.779618633236827,0.815456931048734,0.84778098082874,0.85257367895895,0.875613234491388,0.830554113236772,0.79348104137956,0.727669853460177,0.64105176784521,0.610543809345884,0.662149785766561,0.662237140232071,0.731690337758099,0.785001072501583,0.819671959814919,0.858278052749706,0.867326176758757,0.907088244404927,0.838818219303963,0.801846616795662,0.74023219288551,0.681909999873421,0.666129439857128
6823,100,0.573140899348368,0.572982197820691,0.689824848247184,0.779597623763982,0.797874680052876,0.833411850508454,0.839067880733356,0.844088693195542,0.824649609109164,0.778939577757241,0.693850140735007,0.573647341024878,0.572793315410542,0.631310092679411,0.631316636799803,0.699326643941133,0.783228751064198,0.799732599460527,0.835913079645917,0.841307128663952,0.848910114361673,0.829811811528033,0.784975855074371,0.701913448280252,0.631839821074382,0.633929158304592,0.707276315656327,0.706943194547498,0.743711869900433,0.807664261106414,0.816123008131429,0.857507637453684,0.866954524306268,0.886764219963656,0.879091357173912,0.818769378844412,0.746537212066174,0.707855675827668,0.713191242218943,0.609058045622003,0.609014352360858,0.691872051446473,0.780372010380739,0.799356402115024,0.833594787377229,0.840163303396725,0.845048129937299,0.825388401823258,0.779698639034644,0.695308561418517,0.609222098482155,0.610543809345884,0.662432484257119,0.662008539848075,0.714463480344343,0.787895919248617,0.804300374548762,0.83826186525941,0.845272795101011,0.856560205039847,0.840275736465511,0.786023336381318,0.717407008150697,0.662769069019913,0.666129439857128
7013,100,0.573978387796994,0.573978387796994,0.69845280318783,0.776273412202423,0.786426524634599,0.83776917860118,0.847501008974136,0.853099691889543,0.813647406579566,0.783800626146835,0.697091532667745,0.573978387796994,0.572793315410542,0.633488072347726,0.633488072347726,0.704823639354666,0.779861865484977,0.7887337821106,0.841869929510231,0.854190284010985,0.866883415627543,0.816925615956143,0.788836060875627,0.702861622595873,0.633488072347726,0.633929158304592,0.689806996769833,0.689806996769833,0.734249610486866,0.804568093425498,0.805899853830907,0.878611324026315,0.897873867809787,0.928068357265018,0.844978014316665,0.825177412775813,0.732182930496992,0.689806996769833,0.691778805184107,0.610516180914642,0.610516180914642,0.69884879310714,0.777588628947947,0.788404126558475,0.838471777550168,0.84847658738726,0.855673621061529,0.814093143692958,0.784932047951533,0.697303628947778,0.610516180914642,0.610543809345884,0.664596638464561,0.664596638464561,0.719042586472935,0.786063694176941,0.793900144914457,0.849735725143704,0.864849397010746,0.881110788979325,0.81966628043328,0.791691490773241,0.717407372230988,0.664596638464561,0.666129439857128
