"Plant_ID","percentAllocation","min_Jan","min_Feb","min_Mar","min_Apr","min_May","min_Jun","min_Jul","min_Aug","min_Sep","min_Oct","min_Nov","min_Dec","med_Jan","med_Feb","med_Mar","med_Apr","med_May","med_Jun","med_Jul","med_Aug","med_Sep","med_Oct","med_Nov","med_Dec","max_Jan","max_Feb","max_Mar","max_Apr","max_May","max_Jun","max_Jul","max_Aug","max_Sep","max_Oct","max_Nov","max_Dec"
26,100,5.96231980742553,5.44457411563518,5.15033034990187,4.03567011365667,6.1512199492322,7.8501587186377,7.75298356618619,2.85511393045481,0.000428694683104052,0.00114815566553221,0.583260424678393,3.03666801091973,8.14777393138114,6.81801579377952,6.44925016874659,5.04270961115511,7.67816028523065,9.79462922385946,9.67193099219977,3.55938204938518,0.000535759717660497,0.00143494736186071,0.743696715649998,3.86424325834167,13.0128881199384,10.1263588671539,9.59417328657164,7.38846421203821,11.3550117286703,14.450739032303,14.2519758508161,5.2441617667547,0.000795104586941984,0.00210311921178604,1.13780198999428,5.91292940018516
46,20,7.73167827591289,7.14446464734613,6.14561702941975,9.43392356041845,10.631493081993,11.6530001480039,11.975889342464,11.3829381316778,10.8477281105716,6.08736622594362,7.13186510295209,9.66599891333675,10.5976920611135,8.98481286230931,7.71132624025217,11.8075637694497,13.2828947078537,14.559101396534,14.9497032231102,14.2026722307782,13.5436648378795,7.59513496173505,9.09855565061226,12.3576016187088,16.9609815334372,13.5305802841754,11.5982409669109,17.527330384393,19.585354276231,21.3307060623146,21.9118380116396,20.8952460810548,19.9616095696067,11.0902972662702,13.9598369190129,19.0451682117456
46,100,38.6583913795645,35.7223232367307,30.7280851470987,47.1696178020923,53.1574654099649,58.2650007400194,59.87944671232,56.9146906583889,54.2386405528578,30.4368311297181,35.6593255147605,48.3299945666838,52.9884603055674,44.9240643115466,38.5566312012609,59.0378188472483,66.4144735392684,72.7955069826699,74.7485161155512,71.0133611538908,67.7183241893973,37.9756748086752,45.4927782530613,61.788008093544,84.8049076671859,67.6529014208768,57.9912048345545,87.6366519219652,97.9267713811548,106.653530311573,109.559190058198,104.476230405274,99.8080478480333,55.4514863313512,69.7991845950646,95.2258410587279
51,100,3.13280330988992,3.71445895374042,0,0,1.11584145385309,4.99177770933955,5.76713148259952,6.05283678779698,5.76478120409551,3.32928706765186,0.000250714907648389,0,4.14726662202544,4.66718105793592,0,0,1.39599894694601,6.25498669297258,7.27393673274488,7.60358956774437,7.19132385203828,4.15185792140874,0.000315815628173954,0,6.51623697846853,7.00640417305772,0,0,2.08669902192306,9.34552861591066,11.0234567822215,11.4406076332289,10.5992907109832,6.05411285425504,0.000476663218357149,0
56,100,2.67985005372144,0.0108696789723867,1.18203366979891,0,0.107962214322079,2.94852702240139,5.51991565037074,5.34688906814074,3.81451309545495,3.43124666255546,0.615979565807169,1.30778912261621,3.52679730840183,0.0135863135586726,1.47742783352093,0,0.134874727234618,3.68157100656598,6.88659316170593,6.66742744037329,4.75913651674095,4.28267988673224,0.773530775178425,1.6517632679584,5.52351821641323,0.0199424054676662,2.17929752166021,0,0.198302233569263,5.40236670599152,10.1491900586554,9.83041544073303,6.98445789639695,6.26085548531684,1.16366838399573,2.50245297272039
59,100,0.760281300258853,0.692613521247477,0.684634917191066,0.631922228022603,0.640552435134413,1.1742263186298,1.27358924403912,1.22523788250129,0.992139925729911,0.416943604369936,0.761338009684907,0.726165456100363,1.04160097897078,0.948894733481079,0.939226282645236,0.828181115943555,0.80086656544086,1.47154996762,1.5899122311786,1.53281219408476,1.23928317617048,0.526721829146953,1.04380760916586,0.995388067832356,1.61838231680881,1.47434045107773,1.45973214907486,1.26197214007409,1.18714374153163,2.21687040262478,2.35738821187473,2.2460666455222,1.79387941971089,0.786172893120934,1.62429938905635,1.54722387414886
60,100,5.16622443308537,4.83171162484464,3.61497780913461,1.74556291221865,2.10516016997715,2.68601186338601,2.7982315469067,2.20348493164696,4.2972224614188,2.71068904415551,4.45084140036377,4.52276970361228,7.07783346144693,6.61954405143096,4.95521474680836,2.28284221798596,2.63150981135295,3.36995303801438,3.49220933005771,2.75600544051704,5.36450173373605,3.42317790382702,6.10218071578073,6.20284531980059,10.9971483769551,10.2850834959453,7.70234927016191,3.47453174029245,3.91032399006117,5.09840826012348,5.1957214530289,4.04862940792712,7.77109481588157,5.10838493298326,9.48930918757251,9.63909240729305
87,100,1.45390675502116,1.44798609383757,1.2585377505719,1.27567660599102,1.8294580388964,1.85955393578698,2.01329415735583,0.970993586928189,1.90328463044379,1.86090615659211,1.42040631033682,1.49582179376914,1.99892406261416,1.99078395867311,1.72939361072568,1.58935527137168,2.3273934788493,2.42756425762768,2.56254414355372,1.22677259004127,2.38609347303148,2.32581774274696,1.95286550710053,2.05655154061397,3.2240195344364,3.21089054439165,2.78859120924448,2.45054703407012,3.80199495391786,4.07960361699008,4.07067330489312,1.927484330035,3.71622642338692,3.51890304921918,3.14973272910889,3.31696559390237
108,100,1.86186289097249,1.03573550899852,2.04164230927814,1.68192790327622,3.48340484100053,3.25627414594796,4.19599809330565,3.56734949392606,2.31444957538727,0.0023995512197241,0.856578673161294,1.7753758254662,2.56001139033132,1.42410846322948,2.56273648212605,2.10691874979443,4.42939596785206,4.19541724133268,5.31643004686481,4.49706053684399,2.89434790759795,0.00302135752153233,1.17777263333415,2.44109400179215,4.13477524290461,2.30013367878418,3.81528529332383,3.20808179746848,7.04741245952934,6.74127253123829,8.27531782761684,6.94499318530028,4.3965113419873,0.00448360037251205,1.90226697602715,3.9427070841692
113,100,4.61130052820819,3.12007733699403,2.81762280851678,2.97179191241385,4.61838552743837,6.52650443018922,8.19499878886494,8.94145424993695,7.81578562200472,6.61690558795932,5.94498287079064,4.3229600118872,6.34092341620821,4.15307570070389,3.52154336801798,3.80719533996186,6.04543766601115,8.82639414805318,10.860203873132,11.6503883050544,10.1338228775765,8.24702236418787,7.75540778463568,5.94443112068399,10.2349301769276,6.59831777042617,5.31414194160263,6.30722061781441,10.2565097832338,15.4705427402723,18.2532818930816,19.0869601862656,16.6613565362468,12.487865913261,12.1967858804348,9.59494910571527
